,Concept_ID,es,mhr
0,Auge::N,ojo,шинча́
1,Ohr::N,oreja,пы́лыш
2,Nase::N,nariz,нер
3,Mund::N,boca,умша́
4,Zahn::N,diente,пӱй
5,Zunge::N,lengua,йы́лме
6,Lippe::N,labio,тӱ́рвӧ
7,Wange::N,mejilla,шӱ́ргӧ
8,Gesicht::N,cara,чури́й
9,Stirn::N,frente,саҥга́
10,Haar::N,cabello,ӱп
11,Schnurrbart::N,bigote,ӧ́рыш
12,Bart::N,barba,понда́ш
13,Kinn::N,barbilla,оҥыла́ш
14,Kiefer[Anatomie]::N,mandíbula,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,mandíbula,пӱйората́
16,Kehle::N,garganta,лога́р
17,Hals::N,cuello,шӱй
18,Genick::N,nuca,шӱйло́дыш
19,Genick::N,cerviz,шӱйло́дыш
20,Kopf::N,cabeza,вуй
21,Rücken::N,espalda,туп
22,Bauch::N,vientre,мӱ́шкыр
23,Nabel::N,ombligo,кы́лымде
24,Busen::N,pecho,чы́зе
25,Brust::N,pecho,оҥ
26,Schulter::N,hombro,ва́че
27,Arm::N,brazo,кид
28,Ellenbogen::N,codo,кынерву́й
29,Hand::N,mano,кид
30,Hand::N,mano,копа́
31,Handfläche::N,palma,со́во
32,Finger::N,dedo,парня́
33,Fingernagel::N,uña,кидкӱ́ч
34,Fingernagel::N,uña,парнягӱ́ч
35,Nagel[Anatomie]::N,uña,кӱч
36,Zeh::N,dedo del pie,йолварня́
37,Fuß::N,pie,йол
38,Fuß::N,pie,йолкопа́
39,Ferse::N,talón,тага́н
40,Knie::N,rodilla,пулву́й
41,Oberschenkel::N,muslo,э́рде
42,Bein::N,pierna,йол
43,Körper::N,cuerpo,кап
44,Haut::N,piel,кова́ште
45,Blut::N,sangre,вӱр
46,Ader::N,vena,шӧн
47,Sehne::N,tendón,шӧн
48,Sehne::N,tendón,кӱсе́н
49,Knochen::N,hueso,лу
50,Gehirn::N,cerebro,вем
51,Gehirn::N,cerebro,вуйве́м
52,Gehirn::N,encéfalo,вем
53,Gehirn::N,encéfalo,вуйве́м
54,Herz::N,corazón,шӱм
55,Magen::N,estómago,пага́р
56,Leber::N,hígado,мокш
57,Atem::N,aliento,шӱ́лыш
58,Hunger::N,hambre,шужыма́ш
59,Träne::N,lágrima,шинчавӱ́д
60,Geschmack::N,gusto,там
61,Geruch::N,olor,пуш
62,Schlaf::N,sueño,о́мо
63,Traum::N,sueño,йӱдо́мо
64,Traum::N,ensueño,йӱдо́мо
65,Himmel::N,cielo,кава́
66,Sonne::N,sol,ке́че
67,Mond::N,luna,ты́лзе
68,Stern::N,estrella,шӱ́дыр
69,Luft::N,aire,юж
70,Wind::N,viento,марде́ж
71,Welle::N,ola,то́лкын
72,Welle::N,onda,то́лкын
73,Wasser::N,agua,вӱд
74,Stein::N,piedra,кӱ
75,Boden::N,suelo,рок
76,Erde::N,tierra,мла́нде
77,Staub::N,polvo,пура́к
78,Rauch::N,humo,шикш
79,Funke::N,chispa,сеске́м
80,Funke::N,chispa,тулйы́п
81,Feuer::N,fuego,тул
82,Licht::N,luz,со́то
83,Schatten::N,sombra,ӱ́мыл
84,Wetter::N,tiempo,иге́че
85,Nebel::N,niebla,тӱтыра́
86,Wolke::N,nube,пыл
87,Regen::N,lluvia,йӱр
88,Schnee::N,nieve,лум
89,Eis::N,hielo,ий
90,Frost::N,helada,чатлама́
91,Kälte::N,frío,йӱ́штӧ
92,Hitze::N,calor,шо́кшо
93,Raureif::N,escarcha,пӧрш
94,Raureif::N,escarcha,по́кшым
95,Regenbogen::N,arco iris,шонанпы́л
96,Donner::N,trueno,кӱ́дырчӧ
97,Strömung::N,corriente,йо́гын
98,Tropfen::N,gota,чӱча́лтыш
99,Schaum::N,espuma,шоҥ
100,Schmutz::N,suciedad,лавыра́
101,See::N,lago,ер
102,Sumpf::N,pantano,лӱ́кӧ
103,Moor::N,turbera,куп
104,Wiese::N,prado,о́лык
105,Wiese::N,pradera,о́лык
106,Wald::N,bosque,чодыра́
107,Hügel::N,colina,арка́
108,Anhöhe::N,cerro,тӧва́
109,Anhöhe::N,cerro,кӱкшака́
110,Berg::N,monte,ку́рык
111,Berg::N,montaña,ку́рык
112,Gipfel::N,cima,чаҥга́
113,Gipfel::N,cima,курыкву́й
114,Gipfel::N,cumbre,чаҥга́
115,Gipfel::N,cumbre,курыкву́й
116,Höhle::N,cueva,пеще́р
117,Höhle::N,cueva,курыкпо́мыш
118,Höhle::N,caverna,пеще́р
119,Höhle::N,caverna,курыкпо́мыш
120,Abhang::N,cuesta,та́йыл
121,Abhang::N,declive,та́йыл
122,Quelle::N,fuente,важ
123,Quelle::N,fuente,вӱдшинча́
124,Quelle::N,manantial,важ
125,Quelle::N,manantial,вӱдшинча́
126,Bach::N,arroyo,изэҥе́р
127,Fluss::N,río,эҥе́р
128,Ufer::N,orilla,сер
129,Küste::N,costa,вӱдтӱ́р
130,Festland::N,tierra firme,мла́нде
131,Meer::N,mar,те́ҥыз
132,Bucht::N,cala,икса́
133,Bucht::N,bahía,икса́
134,Insel::N,isla,отро́
135,Blume::N,flor,пеле́дыш
136,Gras::N,hierba,шу́до
137,Wurzel::N,raíz,вож
138,Baum::N,árbol,пуше́ҥге
139,Stamm::N,tronco,йы́тыр
140,Rinde::N,corteza,шӱм
141,Ast::N,rama,укш
142,Zweig::N,ramo,торма́к
143,Blatt::N,hoja,лышта́ш
144,Birke::N,abedul,куэ́
145,Kiefer[Baum]::N,pino,пӱ́нчӧ
146,Weide[Baum]::N,sauce,уа́
147,Tanne::N,abeto,кож
148,Horn::N,asta,шур
149,Horn::N,cuerno,шур
150,Feder::N,pluma,пы́стыл
151,Fell::N,piel,кова́ште
152,Flügel::N,ala,шу́лдыр
153,Klaue::N,garra,кӱч
154,Kralle::N,uña,ла́па
155,Kralle::N,uña,копа́
156,Kralle::N,garra,ла́па
157,Kralle::N,garra,копа́
158,Schwanz::N,cola,поч
159,Ei::N,huevo,му́но
160,Nest::N,nido,пыжа́ш
161,Bau::N,madriguera,пыжа́ш
162,Tier::N,animal,я́нлык
163,Tier::N,animal,живо́тный
164,Herde::N,rebaño,кӱ́тӱ
165,Herde::N,rebaño,тӱшка́
166,Kuh::N,vaca,ушка́л
167,Bulle::N,toro,ӱ́шкыж
168,Pferd::N,caballo,и́мне
169,Schaf::N,oveja,шо́рык
170,Schwein::N,cerdo,сӧсна́
171,Hund::N,perro,пий
172,Katze::N,gato,пы́рыс
173,Bär::N,oso,маска́
174,Eichhörnchen::N,ardilla,ур
175,Elch::N,alce,шо́рдо
176,Fuchs::N,zorro,ры́выж
177,Hase::N,liebre,мера́ҥ
178,Maus::N,ratón,коля́
179,Wolf::N,lobo,пи́ре
180,Vogel::N,ave,ка́йык
181,Vogel::N,pájaro,ка́йык
182,Schwarm::N,bandada,каша́к
183,Huhn::N,gallina,чы́ве
184,Hahn::N,gallo,агыта́н
185,Gans::N,oca,ко́мбо
186,Gans::N,ganso,ко́мбо
187,Adler::N,águila,карагу́ш
188,Ente::N,pato,лу́до
189,Eule::N,lechuza,тумна́
190,Kranich::N,grulla,турня́
191,Krähe::N,corneja,кора́к
192,Kuckuck::N,cuco,куку́
193,Schwan::N,cisne,йӱ́ксӧ
194,Fisch::N,pez,кол
195,Barsch::N,perca,ола́ҥге
196,Hecht::N,lucio,нуж
197,Hecht::N,lucio,чорта́н
198,Schlange[Tier]::N,serpiente,ки́шке
199,Wurm::N,gusano,шукш
200,Spinne::N,araña,эҥыре́мыш
201,Ameise::N,hormiga,ку́тко
202,Laus::N,piojo,тий
203,Mücke::N,mosquito,шыҥа́
204,Fliege::N,mosca,ка́рме
205,Schmetterling::N,mariposa,лы́ве
206,Beere::N,baya,мӧр
207,Apfel::N,manzana,олма́
208,Pilz::N,seta,по́ҥго
209,Pilz::N,hongo,по́ҥго
210,Zwiebel::N,cebolla,шога́н
211,Saat::N,siembra,нӧ́шмӧ
212,Saat::N,siembra,туш
213,Korn::N,grano,шу́рно
214,Heu::N,heno,шу́до
215,Schale::N,cáscara,шӱм
216,Grube::N,foso,выне́м
217,Falle::N,trampa,лӧ́дӧ
218,Schlinge::N,lazo,о́птыш
219,Schlinge::N,lazo,шӧрга́лтыш
220,Spur::N,huella,кыша́
221,Asche::N,ceniza,ло́мыж
222,Dreck::N,suciedad,лавыра́
223,Eisen::N,hierro,кӱ́ртньӧ
224,Gold::N,oro,шӧ́ртньӧ
225,Silber::N,plata,ший
226,Kohle::N,carbón,мландышӱ́й
227,Glas::N,vidrio,янда́
228,Glas::N,cristal,янда́
229,Lehm::N,barro,шун
230,Sand::N,arena,ошма́
231,Mensch::N,hombre,еҥ
232,Mensch::N,hombre,айде́ме
233,Mensch::N,ser humano,еҥ
234,Mensch::N,ser humano,айде́ме
235,Mann::N,hombre,пӧръе́ҥ
236,Frau::N,mujer,ӱдырама́ш
237,Kind::N,niño,аза́
238,Junge::N,chico,рве́зе
239,Junge::N,muchacho,рве́зе
240,Mädchen::N,chica,ӱдыра́ш
241,Mädchen::N,muchacha,ӱдыра́ш
242,Familie::N,familia,еш
243,Großvater::N,abuelo,коча́
244,Großmutter::N,abuela,кова́
245,Eltern::N,padres,ача́-ава́
246,Vater::N,padre,ача́
247,Mutter::N,madre,ава́
248,Sohn::N,hijo,э́рге
249,Tochter::N,hija,ӱ́дыр
250,Bruder::N,hermano,иза́
251,Bruder::N,hermano,шо́льо
252,Schwester::N,hermana,ака́
253,Onkel::N,tío,иза́
254,Tante::N,tía,кока́
255,Ehemann::N,esposo,мари́й
256,Ehefrau::N,esposa,ва́те
257,Freude::N,placer,куа́н
258,Freude::N,placer,куаныма́ш
259,Freude::N,alegría,куа́н
260,Freude::N,alegría,куаныма́ш
261,Gelächter::N,risa,во́штылтыш
262,Gelächter::N,carcajada,во́штылтыш
263,Glück::N,felicidad,пиа́л
264,Kummer::N,pena,о́йго
265,Wunsch::N,deseo,ку́мыл
266,Lust::N,ganas,ку́мыл
267,Geist::N,mente,ӧрт
268,Geist::N,mente,чон
269,Geist::N,espíritu,ӧрт
270,Geist::N,espíritu,чон
271,Gedanke::N,idea,ой
272,Gedanke::N,idea,шоныма́ш
273,Gedanke::N,pensamiento,ой
274,Gedanke::N,pensamiento,шоныма́ш
275,Gedächtnis::N,memoria,шарныма́ш
276,Verstand::N,razón,уш
277,Verstand::N,entendimiento,уш
278,Sinn::N,sentido,смысл
279,Sinn::N,significado,смысл
280,Grund::N,causa,ама́л
281,Wahrheit::N,verdad,чын
282,Gespräch::N,conversación,мутланыма́ш
283,Märchen::N,cuento,йома́к
284,Erzählung::N,cuento,ойлыма́ш
285,Erzählung::N,narración,ойлыма́ш
286,Nachricht::N,mensaje,увертарыма́ш
287,Neuigkeit::N,noticia,уве́р
288,Name::N,nombre,лӱм
289,Rätsel::N,acertijo,ту́што
290,Rätsel::N,adivinanza,ту́што
291,Rede::N,discurso,ойлыма́ш
292,Sprache::N,lengua,йы́лме
293,Stimme::N,voz,йӱк
294,Wort::N,palabra,ой
295,Wort::N,palabra,мут
296,Zeichen::N,señal,ти́ште
297,Zeichen::N,señal,знак
298,Ruf::N,llamada,ӱжма́ш
299,Lärm::N,ruido,лӱшкыма́ш
300,Lärm::N,ruido,йӱк-йӱа́н
301,Lärm::N,barullo,лӱшкыма́ш
302,Lärm::N,barullo,йӱк-йӱа́н
303,Laut::N,sonido,йӱк
304,Ton::N,tono,йӱксе́м
305,Lied::N,canción,му́ро
306,Ruhe::N,calma,ты́мык
307,Ruhe::N,silencio,ты́мык
308,Leute::N,gente,еҥ-влак
309,Volk::N,pueblo,ка́лык
310,Arbeit::N,trabajo,паша́
311,Gast::N,huésped,уна́
312,Gast::N,invitado,уна́
313,Geschenk::N,regalo,пӧле́к
314,Spiel::N,juego,мо́дыш
315,Spiel::N,juego,модма́ш
316,Gesellschaft::N,compañía,тӱшка́
317,Hilfe::N,ayuda,по́лыш
318,Hilfe::N,socorro,по́лыш
319,Freund::N,amigo,таҥ
320,Freund::N,amigo,йолта́ш
321,Kamerad::N,camarada,таҥ
322,Kamerad::N,compañero,таҥ
323,Angelegenheit::N,asunto,паша́
324,Anzahl::N,cantidad,чот
325,Art::N,tipo,вид
326,Art::N,clase,вид
327,Stück::N,pieza,ка́тыш
328,Stück::N,pieza,ла́стык
329,Teil::N,parte,ужа́ш
330,Hälfte::N,mitad,пел
331,Hälfte::N,mitad,пе́ле
332,Kreis::N,círculo,ты́ртыш
333,Kreuz::N,cruz,ыре́с
334,Linie::N,línea,ли́ний
335,Strich::N,raya,коре́ш
336,Strich::N,trazo,коре́ш
337,Abstand::N,distancia,кокла́
338,Entfernung::N,distancia,тора́
339,Entfernung::N,distancia,ку́жыт
340,Gegend::N,región,кунде́м
341,Gegend::N,comarca,кунде́м
342,Platz::N,espacio,ку́мдык
343,Ort::N,sitio,вер
344,Ort::N,sitio,о́лмо
345,Seite::N,lado,ӧ́рдыж
346,Seite::N,costado,ӧ́рдыж
347,Mitte::N,medio,покше́л
348,Mitte::N,centro,покше́л
349,Gegenstand::N,objeto,наста́
350,Sache::N,cosa,наста́
351,Rand::N,borde,тӱр
352,Kante::N,borde,тӱр
353,Ecke::N,esquina,лук
354,Spitze::N,punta,вуй
355,Ende::N,cabo,муча́ш
356,Ende::N,extremo,муча́ш
357,Loch::N,agujero,рож
358,Loch::N,abertura,рож
359,Winkel::N,ángulo,лук
360,Muster::N,dibujo,пеза́к
361,Muster::N,dibujo,узо́р
362,Muster::N,dibujo,ӱ́лгӧ
363,Größe::N,tamaño,кӱ́кшыт
364,Länge::N,longitud,ку́тыш
365,Höhe::N,altura,кӱ́кшыт
366,Höhe::N,altitud,кӱ́кшыт
367,Gewicht::N,peso,не́лыт
368,Menge::N,cantidad,чот
