,Concept_ID,ba,tt
0,Auge::N,күҙ,күз
1,Ohr::N,ҡолаҡ,колак
2,Nase::N,танау,борын
3,Mund::N,ауыҙ,авыз
4,Mund::N,ауыҙ,тамак
5,Zahn::N,теш,теш
6,Zunge::N,тел,тел
7,Lippe::N,ирен,ирен
8,Wange::N,яцаҡтар,яңак
9,Gesicht::N,бит,йөз
10,Stirn::N,маңлай,маңгай
11,Haar::N,сәс,чәч
12,Schnurrbart::N,мылтыҡ,мыек
13,Bart::N,һаҡал,сакал
14,Kinn::N,эйэк,ияк
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,казналык
16,Kehle::N,тамаҡ,тамак
17,Hals::N,муйын,бугаз
18,Genick::N,соңҡа,җилкә
19,Kopf::N,баш,баш
20,Rücken::N,арҡа,сырт
21,Bauch::N,ҡорһаҡ,корсак
22,Nabel::N,кендек,кендек
23,Busen::N,күкрәк,түш
24,Brust::N,түш,имчәк
25,Brust::N,түш,күкрәк
26,Schulter::N,яурын,иңбаш
27,Schulter::N,яурын,кулбаш
28,Arm::N,ҡул,кул
29,Ellenbogen::N,терһәк,терсәк
30,Hand::N,ҡул,кул
31,Hand::N,ҡул суғы,кул
32,Handfläche::N,ус төбө,уч
33,Finger::N,бармаҡ,бармак
34,Fingernagel::N,тырнаҡ,тырнак
35,Nagel[Anatomie]::N,тырнаҡ,тырнак
36,Zeh::N,бармаҡ,бармак
37,Fuß::N,табан,табан
38,Ferse::N,үксә,үкчә
39,Knie::N,тубыҡ,тез
40,Oberschenkel::N,сандыр,бот
41,Bein::N,аяҡ,аяк
42,Körper::N,тән,тән
43,Körper::N,тән,җисем
44,Haut::N,тире,тире
45,Blut::N,ҡан,кан
46,Ader::N,тамыр,тамыр
47,Sehne::N,һеңер,сеңер
48,Sehne::N,тарамыш,сеңер
49,Knochen::N,һойәк,сөяк
50,Gehirn::N,мейе,ми
51,Herz::N,йорәк,йөрәк
52,Magen::N,ашҡаҙан,ашказаны
53,Leber::N,бауыр,бавыр
54,Atem::N,һулыш,сулыш
55,Hunger::N,аслыҡ,ачлык
56,Träne::N,күҙ иәше,яшь
57,Geschmack::N,тәм,тәм
58,Geschmack::N,тәм,зәвык
59,Geruch::N,еҫ,ис
60,Schlaf::N,йоҡлау,йокы
61,Traum::N,төш,төш
62,Himmel::N,күк,күк
63,Sonne::N,ҡояш,кояш
64,Mond::N,ай,ай
65,Stern::N,йондоҙ,йолдыз
66,Luft::N,һауа,һава
67,Wind::N,ел,җил
68,Welle::N,тулҡын,дулкын
69,Wasser::N,һыу,су
70,Stein::N,таш,таш
71,Boden::N,тупраҡ,туфрак
72,Erde::N,балсҡ,җир
73,Staub::N,туҙан,тузан
74,Rauch::N,төтөн,төтен
75,Funke::N,осҡон,очкын
76,Feuer::N,ут,ут
77,Licht::N,яҡтылыҡ,якты
78,Schatten::N,күләгә,күләгә
79,Wetter::N,һауа торошо,һава
80,Nebel::N,төман,томан
81,Wolke::N,болот,болыт
82,Regen::N,ямғыр,яңгыр
83,Schnee::N,ҡар,кар
84,Eis::N,боҙ,боз
85,Frost::N,һалҡын,суык
86,Frost::N,һалҡын,салкын
87,Kälte::N,һыуыҡ,суык
88,Kälte::N,һыуыҡ,салкын
89,Hitze::N,томра,эсселек
90,Hitze::N,эҫелек,эсселек
91,Raureif::N,ҡырау,бәс
92,Raureif::N,ҡырау,сыкы
93,Regenbogen::N,йәйғор,салават күпере
94,Donner::N,күк күкрәү,күкрәү
95,Strömung::N,ағым,агыш'агым
96,Tropfen::N,тамсы,тамчы
97,Schaum::N,күбек,күбек
98,Schmutz::N,батҡаҡ,пычрак
99,See::N,күл,күл
100,Sumpf::N,һаҙлык,саз
101,Moor::N,һаҙ,торфлык
102,Wiese::N,болон,болын
103,Wald::N,урман,урман
104,Hügel::N,түбә,калку
105,Anhöhe::N,түбә,үр
106,Anhöhe::N,ҡалҡыулыҡ,үр
107,Berg::N,тау,тау
108,Gipfel::N,түбә,оч
109,Höhle::N,мәмерйә,мәгарә
110,Abhang::N,ипкен,кабырга
111,Quelle::N,шишмә,чишмә
112,Bach::N,шишмә,елга
113,Fluss::N,йылға,дәрья
114,Ufer::N,яр,су кырые
115,Küste::N,яр буйы,яр буе
116,Festland::N,ҡоро ер,коры җир
117,Meer::N,диңгез,диңгез
118,Bucht::N,бухта,бухта
119,Bucht::N,бухта,култык
120,Insel::N,үтрау,атау
121,Insel::N,үтрау,утрау
122,Blume::N,сәскә,чәчкә
123,Gras::N,үлән,үлән
124,Wurzel::N,тамыр,тамыр
125,Baum::N,ағас,агач
126,Stamm::N,олон,кәүсә
127,Stamm::N,көбәк,кәүсә
128,Rinde::N,ҡабыҡ,кабык
129,Ast::N,ботаҡ,ботак
130,Zweig::N,ботаҡ,ботак
131,Zweig::N,ботаҡ,тармак
132,Zweig::N,тармаҡ,ботак
133,Zweig::N,тармаҡ,тармак
134,Blatt::N,япраҡ,яфрак
135,Birke::N,ҡайын,каен
136,Kiefer[Baum]::N,ҡарғай,нарат
137,Weide[Baum]::N,тал,тал
138,Tanne::N,шыршы,чыршы
139,Horn::N,мөғөҙ,мөгез
140,Feder::N,ҡауырһын,йон
141,Fell::N,тире,тире
142,Flügel::N,ҡанат,канат
143,Klaue::N,тырнаҡ,тырнак
144,Kralle::N,аяҡ,тырнак
145,Schwanz::N,ҡойроҡ,койрык
146,Ei::N,йомортҡа,күкәй
147,Ei::N,йомортҡа,йомырка
148,Nest::N,оя,оя
149,Bau::N,оң,өн
150,Tier::N,жайуан,хайван
151,Tier::N,йыртҡыс,хайван
152,Herde::N,көтөү,көтү
153,Kuh::N,һыйыр,сыер
154,Bulle::N,үгеҙ,үгез
155,Pferd::N,ат,ат
156,Schaf::N,һарыҡ,сарык
157,Schwein::N,сусҡа,дуңгыз
158,Hund::N,эт,эт
