,Concept_ID,ps,ta
0,Auge::N,سترګه,கண்
1,Ohr::N,غوږ,காது
2,Nase::N,پوزه,மூக்கு
3,Mund::N,خوله,வாய்
4,Zahn::N,غاښ,பல்
5,Zunge::N,جبه,நாக்கு
6,Lippe::N,شونډه,உதடு
7,Wange::N,باړخو,கன்னம்
8,Gesicht::N,مخ,முகம்
9,Stirn::N,تندی,முன்னெற்றி
10,Stirn::N,وچولی,முன்னெற்றி
11,Haar::N,وېښته,முடி
12,Schnurrbart::N,برېت,மீசை
13,Bart::N,ږیره,தாடி
14,Kinn::N,زنه,கீழதாடை
15,Kiefer[Anatomie]::N,جامه,தாடை
16,Kehle::N,غاړه,தொண்டை
17,Hals::N,غاړه,கழுத்து
18,Genick::N,ورمېږ,கழுத்து
19,Kopf::N,سر,தலை
20,Rücken::N,شا,முதுகு
21,Bauch::N,نس,வயிறு
22,Bauch::N,ګېډه,வயிறு
23,Nabel::N,نوم,தொப்புள்
24,Busen::N,تی,மார்பகம்
25,Brust::N,سینه, மார்பு
26,Schulter::N,اوږه,தோள்பட்டை
27,Arm::N,لاس,கரம்
28,Ellenbogen::N,څنګل,முழங்கை
29,Hand::N,لاس,கை
30,Handfläche::N,ورغوی,உள்ளங்கை
31,Finger::N,ګوته,விரல்
32,Fingernagel::N,نوک,விரல் நகம்
33,Nagel[Anatomie]::N,نوک,நகம்
34,Zeh::N,ګوته,கால்விரல்
35,Fuß::N,پښه,கால்
36,Ferse::N,پونده,குதிகால்
37,Knie::N,زنګون,முழங்கால்
38,Oberschenkel::N,پتون,தொடை
39,Bein::N,پښه,கால்
40,Körper::N,ځان,உடல்
41,Haut::N,پوټکی,சருமம்
42,Blut::N,وینه,இரத்தம்
43,Ader::N,رګ,நாளம்
44,Sehne::N,پله,தசைநார்
45,Knochen::N,هډوکی,எலுமபு
46,Gehirn::N,ماغزه,மூனை
47,Herz::N,زړه,இதயம
48,Magen::N,معده,வயிறு
49,Leber::N,ينه,கல்லீரல்
50,Leber::N,ځیګر,கல்லீரல்
51,Atem::N,نفس,மூச்சு
52,Hunger::N,ولږه,பசி
53,Träne::N,اوښکه,கண்ணீர்
54,Geschmack::N,مزه,நறுமணம்
55,Geschmack::N,خوند,நறுமணம்
56,Geruch::N,بوی,துர்நாற்றம்
57,Schlaf::N,خوب,தூக்கம்
58,Traum::N,خوب,கனவு
59,Himmel::N,اسمان,வானம்
60,Sonne::N,لمر,சூரியன்
61,Mond::N,سپوږمۍ,சந்திரன்
62,Stern::N,ستوری,நட்சத்திரம்
63,Luft::N,هوا,காறறு
64,Wind::N,ورښ,காற்று
65,Welle::N,موج,அலை
66,Wasser::N,اوبه,நீர்
67,Stein::N,ډبره,கல்
68,Boden::N,مځکه,தரை
69,Erde::N,خاوره,மண்
70,Staub::N,ګرد,தூசி
71,Staub::N,خاوره,தூசி
72,Rauch::N,دود,புகை
73,Rauch::N,لوګی,புகை
74,Funke::N,سپرغۍ,தீப்பொறி
75,Feuer::N,اور,தீ
76,Licht::N,رڼا,வெளிச்சம்
77,Schatten::N,سیوری,நிழல்
78,Wetter::N,هوا,வானிலை
79,Nebel::N,لړه,பனிமூட்டம்
80,Wolke::N,ورېځ,மேகம்
81,Regen::N,وریا,மழை
82,Regen::N,باران,மழை
83,Schnee::N,واوره,உறைபனி
84,Eis::N,یخ,பனிக்கட்டி
85,Eis::N,کنګل,பனிக்கட்டி
86,Frost::N,یخ,உறைபனி
87,Kälte::N,ساړه,குளிர்ந்த
88,Hitze::N,تودوخي,சூடு
