,Concept_ID,be,ml
0,Auge::N,вока,കണ്ണ്
1,Ohr::N,вуха,ചെവി
2,Nase::N,нос,മൂക്ക്
3,Mund::N,рот,വായ
4,Zahn::N,зуб,പല്ല്
5,Zunge::N,язык,നാക്ക്
6,Lippe::N,губа,ചുണ്ട്
7,Wange::N,шчака,കവിൾത്തടം
8,Gesicht::N,твар,മുഖം
9,Stirn::N,лоб,നെറ്റി
10,Haar::N,волас,തലമുടി
11,Haar::N,валасы,തലമുടി
12,Schnurrbart::N,вус,മീശ
13,Schnurrbart::N,вусы,മീശ
14,Bart::N,барада,താടിരോമം
15,Kinn::N,падбародак,താടി
16,Kiefer[Anatomie]::N,сківіца,താടിയെല്ല്
17,Kehle::N,горла,കണ്ഠനാളം
18,Hals::N,шыя,കഴുത്ത്
19,Genick::N,патыліца,പിടലി
20,Kopf::N,галава,തല
21,Rücken::N,спіна,മുതുക്
22,Bauch::N,жывот,നയറ്
23,Nabel::N,пупок,നാഭി
24,Busen::N,грудзі,സ്തനം
25,Brust::N,грудзі,സ്തനം
26,Schulter::N,плячо,തോൾ
27,Arm::N,рука,കൈ
28,Ellenbogen::N,локаць,കൈമുട്ട്
29,Hand::N,кісць,കൈ
30,Handfläche::N,далонь,ഉള്ളം കൈ
31,Finger::N,палец,വിരൽ
32,Fingernagel::N,ногаць,നഖം
33,Nagel[Anatomie]::N,ногаць,നഖം
34,Zeh::N,палец,കാൽവിരൽ
35,Fuß::N,нага,കാൽപ്പാദം
36,Ferse::N,пята,ഉപ്പൂറ്റി
37,Ferse::N,пятка,ഉപ്പൂറ്റി
38,Knie::N,калена,കാൽമുട്ട്
39,Oberschenkel::N,бядро,തുട
40,Oberschenkel::N,сцягно,തുട
41,Bein::N,нага,കാൽ
42,Körper::N,цела,ശരീരം
43,Haut::N,скура,ചർമ്മം
44,Blut::N,кроў,രക്തം
45,Ader::N,вена,ഞരമ്പ്
46,Ader::N,сасуд,ഞരമ്പ്
47,Sehne::N,жыла,സ്നായു
48,Sehne::N,цеціва,സ്നായു
49,Sehne::N,сухажылле,സ്നായു
50,Knochen::N,косць,അസ്ഥി
51,Gehirn::N,мозг,തലച്ചോറ്
52,Herz::N,сэрца,ഹൃദയം
53,Magen::N,страўнік,വയർ
54,Leber::N,печань,കരൾ
55,Atem::N,дыханне,ശ്വാസം
56,Hunger::N,голад,വിശപ്പ്
57,Träne::N,сляза,കണ്ണീർ
58,Geschmack::N,смак,രുചി
59,Geruch::N,пах,ഗന്ധം
60,Schlaf::N,сон,ഉറകും
61,Traum::N,сон,സ്വപ്നം
62,Himmel::N,неба,ആകാശം
63,Sonne::N,сонца,സൂര്യൻ
64,Mond::N,месяц,ചന്ദ്രൻ
65,Stern::N,зорка,നക്ഷത്രം
66,Luft::N,паветра,കാറ്റ്
67,Wind::N,вецер,കാറ്റ്
68,Welle::N,хваля,തിരമാല
69,Wasser::N,вада,വെള്ളം
70,Stein::N,камень,ശില
71,Stein::N,камень,കല്ല്
72,Boden::N,глеба,തറ
73,Boden::N,глеба,നിലം
74,Erde::N,зямля,മണ്ണ്
75,Staub::N,пыл,പൊടി
76,Rauch::N,дым,പുക
77,Funke::N,іскра,തീപ്പൊരി
78,Feuer::N,агонь,തീ
79,Licht::N,святло,വിളക്ക്
80,Licht::N,святло,സൂര്യപ്രകാശം
81,Schatten::N,цень,തണൽ
82,Wetter::N,пагода,കാലാവസ്ഥ
83,Wetter::N,надворʼе,കാലാവസ്ഥ
84,Nebel::N,туман,മൂടൽമഞ്ഞ്
85,Wolke::N,воблака,മേഘം
86,Regen::N,дождж,മഴ
87,Schnee::N,снег,മഞ്ഞ്
88,Eis::N,лёд,ഐസ്
89,Frost::N,мароз,മൂടൽമഞ്ഞ്
90,Kälte::N,холад,തണുപ്പ്
91,Hitze::N,спёка,ചൂട്
92,Raureif::N,іней,കോടമഞ്ഞ്
93,Regenbogen::N,вясёлка,മഴവില്ല്
94,Donner::N,гром,ഇടി
95,Strömung::N,цячэнне,പ്രവാഹം
96,Tropfen::N,кропля,തുള്ളി
97,Schaum::N,пена,നുര
98,Schmutz::N,гразь,അഴുക്ക്
99,See::N,возера,തടാകം
100,Sumpf::N,багна,ചതുപ്പുനിലം
101,Moor::N,балота,പാഴ്നിലം
102,Wiese::N,луг,പുൽത്തകിടി
103,Wald::N,лес,വനം
104,Wald::N,лес,കാട്
105,Hügel::N,узгорак,കുന്ന്
106,Anhöhe::N,узвышша,ഉയർന്ന ഭൂമി
107,Berg::N,гара,പർവ്വതം
108,Gipfel::N,вяршыня,ഉച്ചകോടി
109,Höhle::N,пячора,ഗുഹ
110,Abhang::N,схіл,ചരിവ്
111,Quelle::N,крыніца,ഉറവിടം
112,Bach::N,ручай,അരുവി
113,Fluss::N,рака,നദി
114,Ufer::N,бераг,തീരം
115,Küste::N,узбярэжжа,കടൽത്തീരം
116,Festland::N,суша,കര
117,Meer::N,мора,കടൽ
118,Bucht::N,бухта,ഉൾക്കടല്
119,Insel::N,востраў,ദ്വീപ്
120,Blume::N,кветка,പൂവ്
121,Gras::N,трава,പുല്ല്
122,Wurzel::N,корань,വേര്
123,Baum::N,дрэва,മരം
124,Stamm::N,ствол,തായ്ത്തടി
125,Rinde::N,кара,പട്ട
126,Ast::N,сук,ശാഖ
127,Zweig::N,галіна,ശാഖ
128,Blatt::N,ліст,ഇല
129,Birke::N,бяроза,പൂവരശ്
130,Kiefer[Baum]::N,хвоя,പൈൻമരം
131,Kiefer[Baum]::N,сасна,പൈൻമരം
132,Weide[Baum]::N,вярба,വില്ലോ
133,Tanne::N,яліна,ദേവദാരു
134,Horn::N,рог,മൃഗത്തിൻറെ കൊമ്പ്
135,Feder::N,пяро,തൂവൽ
136,Fell::N,шкура,മൃദുരോമം
137,Flügel::N,крыло,ചിറക്
138,Klaue::N,кіпцюр,നഖം
139,Kralle::N,лапа,നഖം
140,Schwanz::N,хвост,വാൽ
141,Ei::N,яйка,മുട്ട
142,Nest::N,гняздо,കൂട്
143,Bau::N,нара,മാളം
144,Tier::N,жывёла,മൃഗം
145,Herde::N,статак,കൂട്ടം
146,Kuh::N,карова,പശു
147,Bulle::N,бык,കാള
148,Pferd::N,конь,കുതിര
149,Schaf::N,авечка,ആട്
150,Schwein::N,свіння,പന്നി
151,Hund::N,сабака,നായ്
152,Katze::N,кошка,പൂച്ച
153,Bär::N,мядзведзь,കരടി
154,Eichhörnchen::N,вавёрка,അണ്ണാൻ
155,Elch::N,лось,കടമാന്
156,Fuchs::N,ліса,കുറുക്കൻ
157,Hase::N,заяц,മുയൽ
158,Maus::N,мыш,ചുണ്ടലി
159,Wolf::N,воўк,ചെന്നായ
160,Vogel::N,птах,പക്ഷി
161,Vogel::N,птушка,പക്ഷി
162,Schwarm::N,чарада,കൂട്ടം
163,Huhn::N,курыца,കോഴി
164,Hahn::N,певень,പൂവൻകോഴി
165,Gans::N,гусь,അരയന്നം
166,Adler::N,арол,കഴുകൻ
167,Ente::N,качка,താറാവ്
168,Eule::N,сава,മൂങ്ങ
169,Kranich::N,жораў,കൊക്ക്
170,Kranich::N,журавель,കൊക്ക്
171,Krähe::N,варона,കാക്ക
172,Kuckuck::N,зязюля,കുയിൽ
173,Schwan::N,лебедзь,അരയന്നം
174,Fisch::N,рыба,മത്സ്യം
175,Barsch::N,акунь,ഒരിനം മത്സ്യം
176,Hecht::N,шчупак,ഒരു മത്സ്യം
177,Schlange[Tier]::N,змяя,പാമ്പ്
178,Wurm::N,чарвяк,വിര
179,Spinne::N,павук,ചിലന്തി
180,Ameise::N,мурашка,ഉറുമ്പ്
181,Laus::N,вош,പേന്
182,Mücke::N,камар,മശകം
183,Fliege::N,муха,ഈച്ച
184,Schmetterling::N,матыль,ചിത്രശലഭം
185,Beere::N,ягада,ബെറി
186,Apfel::N,яблык,ആപ്പിൾ
187,Pilz::N,грыб,കൂൺ
188,Zwiebel::N,цыбуля,സവാള
189,Saat::N,семя,വിത്ത്
190,Korn::N,зерне,ധാന്യം
191,Heu::N,сена,വയ്ക്കോൽ
192,Schale::N,шалупінне,തൊലി
193,Grube::N,яма,കുഴി
194,Falle::N,пастка,കെണി
195,Schlinge::N,сіло,കുടുക്ക്
196,Spur::N,след,ചുവട്
197,Asche::N,попел,ചാരം
198,Dreck::N,бруд,അഴുക്ക്
199,Eisen::N,жалеза,ഇരുമ്പ്
200,Gold::N,золата,സ്വർണ്ണം
201,Silber::N,сребра,വെള്ളി
202,Kohle::N,вугаль,കൽക്കരി
203,Glas::N,шкло,ഗ്ലാസ്
204,Lehm::N,гліна,കളിമണ്ണ്
205,Sand::N,пясок,മണൽ
206,Mensch::N,чалавек,മനുഷ്യർ
207,Mann::N,мужчына,പുരുഷൻ
208,Frau::N,жанчына,സ്ത്രീ
209,Kind::N,дзіця,കുഞ്ഞ്
