,Concept_ID,lbe,de
0,Auge::N,я,Auge
1,Ohr::N,вичӏи,Ohr
2,Nase::N,май,Nase
3,Mund::N,кьацӏ,Mund
4,Zahn::N,ккарччи,Zahn
5,Zunge::N,маз,Zunge
6,Lippe::N,мурччи,Lippe
7,Wange::N,чӏав,Wange
8,Gesicht::N,лажин,Gesicht
9,Stirn::N,ненттабакӏ,Stirn
10,Haar::N,чӏара,Haar
11,Schnurrbart::N,ссирссилтту,Schnurrbart
12,Bart::N,чӏири,Bart
13,Kinn::N,лунттубакӏ,Kinn
14,Kiefer[Anatomie]::N,ххинчулул,Kiefer
15,Kehle::N,кьакьари,Kehle
16,Hals::N,ссурссу,Hals
17,Genick::N,махъабакӏ,Genick
18,Kopf::N,бакӏ,Kopf
19,Rücken::N,ттиликӏ,Rücken
20,Bauch::N,лякьа,Bauch
21,Nabel::N,цӏумуккутӏ,Nabel
22,Busen::N,ккукку,Busen
23,Brust::N,хъазам,Brust
24,Schulter::N,хъачӏ,Schulter
25,Arm::N,ка,Arm
26,Ellenbogen::N,ссюрхъ,Ellenbogen
27,Hand::N,бартка,Hand
28,Handfläche::N,хъат,Handfläche
29,Handfläche::N,битӏянхъ,Handfläche
30,Finger::N,кӏисса,Finger
31,Fingernagel::N,михь,Fingernagel
32,Nagel[Anatomie]::N,михь,Nagel
33,Zeh::N,кӏисса,Zeh
34,Fuß::N,чӏанччан,Fuß
35,Ferse::N,никъа,Ferse
36,Knie::N,ник,Knie
37,Oberschenkel::N,жира,Oberschenkel
38,Bein::N,ччан,Bein
39,Körper::N,чурх,Körper
40,Haut::N,бурчу,Haut
41,Blut::N,оь,Blut
42,Ader::N,тунну,Ader
43,Sehne::N,хьхьа,Sehne
44,Knochen::N,ттаркӏ,Knochen
45,Gehirn::N,ня,Gehirn
46,Herz::N,дакӏ,Herz
47,Herz::N,къюкӏ,Herz
48,Magen::N,лякьа,Magen
49,Atem::N,ссихӏ ласаву,Atem
50,Atem::N,ссихӏ бигьаву,Atem
51,Hunger::N,ккаши,Hunger
52,Träne::N,макь,Träne
53,Geschmack::N,тӏин,Geschmack
54,Geschmack::N,тӏааьн,Geschmack
55,Geruch::N,кьанкь,Geruch
56,Schlaf::N,шану,Schlaf
57,Traum::N,макӏру,Traum
58,Himmel::N,ссав,Himmel
59,Sonne::N,баргъ,Sonne
60,Mond::N,барз,Mond
61,Stern::N,цӏуку,Stern
62,Luft::N,гьава,Luft
63,Wind::N,марч,Wind
64,Welle::N,щатӏи,Welle
65,Wasser::N,щин,Wasser
66,Stein::N,чару,Stein
67,Boden::N,аьрщи,Boden
68,Erde::N,аьрщи,Erde
69,Staub::N,ххит,Staub
70,Rauch::N,пуркӏу,Rauch
71,Funke::N,пиягь,Funke
72,Feuer::N,цӏу,Feuer
73,Licht::N,чани,Licht
74,Schatten::N,ххют,Schatten
75,Wetter::N,гьава,Wetter
76,Nebel::N,шархь ттурлу,Nebel
77,Wolke::N,ттурлу,Wolke
78,Regen::N,гъарал,Regen
79,Schnee::N,марххала,Schnee
80,Eis::N,микӏ,Eis
81,Frost::N,дяркъу,Frost
82,Frost::N,замгьар,Frost
83,Kälte::N,дяркъу,Kälte
84,Hitze::N,кӏиришиву,Hitze
85,Raureif::N,сил,Raureif
86,Raureif::N,бурса,Raureif
87,Regenbogen::N,ссурул ккуртта,Regenbogen
88,Donner::N,къув,Donner
89,Strömung::N,экьинанаву,Strömung
90,Tropfen::N,кӏунтӏ,Tropfen
91,Schaum::N,хьама,Schaum
92,Schmutz::N,кьяркьи,Schmutz
93,See::N,бяр,See
94,Sumpf::N,кунцӏа,Sumpf
95,Wiese::N,кьан,Wiese
96,Wald::N,вацӏа,Wald
97,Hügel::N,бакӏу,Hügel
98,Berg::N,зунтту,Berg
99,Gipfel::N,мицӏ,Gipfel
100,Höhle::N,нух,Höhle
101,Abhang::N,сун,Abhang
102,Quelle::N,дайдихьу,Quelle
103,Quelle::N,бакӏ,Quelle
104,Bach::N,чӏрир нех,Bach
105,Fluss::N,нех,Fluss
106,Ufer::N,зума,Ufer
107,Küste::N,зумаинхалу,Küste
108,Küste::N,зуманицӏалу,Küste
109,Festland::N,кьири,Festland
110,Meer::N,хьхьири,Meer
111,Insel::N,жазира,Insel
112,Blume::N,тӏутӏи,Blume
113,Gras::N,уртту,Gras
114,Wurzel::N,мархха,Wurzel
115,Baum::N,мурхь,Baum
116,Stamm::N,ттарцӏ,Stamm
117,Rinde::N,ккамара,Rinde
118,Ast::N,матӏи,Ast
119,Zweig::N,къяртта,Zweig
