,Concept_ID,ba,es
0,Auge::N,күҙ,ojo
1,Ohr::N,ҡолаҡ,oreja
2,Nase::N,танау,nariz
3,Mund::N,ауыҙ,boca
4,Zahn::N,теш,diente
5,Zunge::N,тел,lengua
6,Lippe::N,ирен,labio
7,Wange::N,яцаҡтар,mejilla
8,Gesicht::N,бит,cara
9,Stirn::N,маңлай,frente
10,Haar::N,сәс,cabello
11,Schnurrbart::N,мылтыҡ,bigote
12,Bart::N,һаҡал,barba
13,Kinn::N,эйэк,barbilla
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,mandíbula
15,Kehle::N,тамаҡ,garganta
16,Hals::N,муйын,cuello
17,Genick::N,соңҡа,nuca
18,Genick::N,соңҡа,cerviz
19,Kopf::N,баш,cabeza
20,Rücken::N,арҡа,espalda
21,Bauch::N,ҡорһаҡ,vientre
22,Nabel::N,кендек,ombligo
23,Busen::N,күкрәк,pecho
24,Brust::N,түш,pecho
25,Schulter::N,яурын,hombro
26,Arm::N,ҡул,brazo
27,Ellenbogen::N,терһәк,codo
28,Hand::N,ҡул,mano
29,Hand::N,ҡул суғы,mano
30,Handfläche::N,ус төбө,palma
31,Finger::N,бармаҡ,dedo
32,Fingernagel::N,тырнаҡ,uña
33,Nagel[Anatomie]::N,тырнаҡ,uña
34,Zeh::N,бармаҡ,dedo del pie
35,Fuß::N,табан,pie
36,Ferse::N,үксә,talón
37,Knie::N,тубыҡ,rodilla
38,Oberschenkel::N,сандыр,muslo
39,Bein::N,аяҡ,pierna
40,Körper::N,тән,cuerpo
41,Haut::N,тире,piel
42,Blut::N,ҡан,sangre
43,Ader::N,тамыр,vena
44,Sehne::N,һеңер,tendón
45,Sehne::N,тарамыш,tendón
46,Knochen::N,һойәк,hueso
47,Gehirn::N,мейе,cerebro
48,Gehirn::N,мейе,encéfalo
49,Herz::N,йорәк,corazón
50,Magen::N,ашҡаҙан,estómago
51,Leber::N,бауыр,hígado
52,Atem::N,һулыш,aliento
53,Hunger::N,аслыҡ,hambre
54,Träne::N,күҙ иәше,lágrima
55,Geschmack::N,тәм,gusto
56,Geruch::N,еҫ,olor
57,Schlaf::N,йоҡлау,sueño
58,Traum::N,төш,sueño
59,Traum::N,төш,ensueño
60,Himmel::N,күк,cielo
61,Sonne::N,ҡояш,sol
62,Mond::N,ай,luna
63,Stern::N,йондоҙ,estrella
64,Luft::N,һауа,aire
65,Wind::N,ел,viento
66,Welle::N,тулҡын,ola
67,Welle::N,тулҡын,onda
68,Wasser::N,һыу,agua
69,Stein::N,таш,piedra
70,Boden::N,тупраҡ,suelo
71,Erde::N,балсҡ,tierra
72,Staub::N,туҙан,polvo
73,Rauch::N,төтөн,humo
74,Funke::N,осҡон,chispa
75,Feuer::N,ут,fuego
76,Licht::N,яҡтылыҡ,luz
77,Schatten::N,күләгә,sombra
78,Wetter::N,һауа торошо,tiempo
79,Nebel::N,төман,niebla
