,Concept_ID,it,mdf
0,Auge::N,occhio,сельме
1,Ohr::N,orecchio,пиле
2,Nase::N,naso,шалхка
3,Mund::N,bocca,курга
4,Zahn::N,dente,пей
5,Zunge::N,lingua,кяль
6,Lippe::N,labbro,търва́
7,Wange::N,guancia,щёка
8,Gesicht::N,viso,шама
9,Gesicht::N,faccia,шама
10,Stirn::N,fronte,коня
11,Haar::N,capello,шя́ярь
12,Schnurrbart::N,baffi,уса́
13,Schnurrbart::N,mustacchi,уса́
14,Bart::N,barba,сакал
15,Kinn::N,mento,ула
16,Kiefer[Anatomie]::N,mascella,саласка
17,Kehle::N,gola,кълдома
18,Kehle::N,gola,кърга́парь
19,Hals::N,collo,сялдаз
20,Genick::N,nuca,шовонь
21,Kopf::N,capo,пря
22,Kopf::N,testa,пря
23,Rücken::N,dorso,копорь
24,Rücken::N,schiena,копорь
25,Bauch::N,ventre,пеке
26,Nabel::N,ombelico,по́кон
27,Busen::N,seno,потя
28,Brust::N,petto,мяште
29,Schulter::N,spalla,лафту
30,Arm::N,braccio,кядь
31,Ellenbogen::N,gomito,кенерьба́карь
32,Hand::N,mano,кядь
33,Handfläche::N,palma,кядьлапш
34,Finger::N,dito,сур
35,Fingernagel::N,unghia,кенже
36,Nagel[Anatomie]::N,unghia,кенже
37,Zeh::N,dito del piede,пильгосу́р
38,Fuß::N,piede,пильге
39,Fuß::N,piede,пильгелапа
40,Ferse::N,tallone,кочкяря
41,Ferse::N,calcagno,кочкяря
42,Knie::N,ginocchio,эль
43,Knie::N,ginocchio,пълма́нжа
44,Oberschenkel::N,fèmore,пильгепукша
45,Bein::N,gamba,пильге
46,Körper::N,corpo,ро́нга
47,Körper::N,corpo,по́нда
48,Haut::N,pelle,киське
49,Blut::N,sangue,вер
50,Ader::N,vena,сан
51,Ader::N,vena,верза́н
52,Sehne::N,tèndine,коське сан
53,Knochen::N,osso,пакарь
54,Gehirn::N,cervello,уй
55,Herz::N,cuore,седи
56,Magen::N,stòmaco,коткърдазь
57,Leber::N,fegato,макса
58,Atem::N,fiato,лекома
59,Atem::N,fiato,ваймонь тарксема
60,Atem::N,respiro,лекома
61,Atem::N,respiro,ваймонь тарксема
62,Hunger::N,fame,вачеши
63,Träne::N,làcrima,сельмове́дь
64,Geschmack::N,gusto,таньф
65,Geschmack::N,sapore,таньф
66,Geruch::N,odore,шине
67,Schlaf::N,sonno,удома́
68,Traum::N,sogno,он
69,Himmel::N,cielo,менель
70,Sonne::N,sole,ши
71,Mond::N,luna,ков
72,Stern::N,stella,тяште
73,Luft::N,aria,кожф
74,Wind::N,vento,варма
75,Welle::N,onda,тавла
76,Wasser::N,acqua,ведь
77,Stein::N,sasso,кев
78,Stein::N,pietra,кев
79,Boden::N,suolo,мода
80,Boden::N,suolo,потмакс
81,Boden::N,terreno,мода
82,Boden::N,terreno,потмакс
83,Erde::N,terra,мода
84,Erde::N,terra,мастор
85,Staub::N,polvere,пуль
86,Rauch::N,fumo,качам
87,Funke::N,scintilla,ця́тка
88,Feuer::N,fuoco,тол
89,Licht::N,luce,ва́лда
90,Schatten::N,ombra,цильф
91,Wetter::N,tempo,уша
92,Nebel::N,nebbia,тума́н
93,Wolke::N,nube,ковол
94,Wolke::N,nùvola,ковол
95,Regen::N,pioggia,пизем
96,Schnee::N,neve,лов
97,Eis::N,ghiaccio,эй
98,Frost::N,gelo,ке́льме
99,Kälte::N,freddo,якшама
100,Hitze::N,caldo,пси
101,Hitze::N,calura,пси
102,Raureif::N,brina,леш
103,Regenbogen::N,arcobaleno,а́тямъёнга
104,Donner::N,tuono,атям
105,Strömung::N,corrente,шудема́
106,Tropfen::N,goccia,путькс
107,Tropfen::N,goccia,пътняфкс
108,Schaum::N,spuma,шов
109,Schaum::N,schiuma,шов
110,Schmutz::N,sudiciume,ърда́з
