,Concept_ID,udm,kv
0,Auge::N,син,син
1,Ohr::N,пель,пель
2,Nase::N,ныр,ныр
3,Mund::N,ым,ӧм
4,Zahn::N,пинь,пинь
5,Zunge::N,кыл,кыв
6,Lippe::N,ымдур,тырп
7,Wange::N,бам,рожабан
8,Gesicht::N,ымныр,бан
9,Stirn::N,кымес,кымӧс
10,Haar::N,йырси,юрси
11,Schnurrbart::N,мыйык,уссэз
12,Bart::N,туш,тош
13,Kinn::N,ангес,тшӧка
14,Kiefer[Anatomie]::N,ан,ан
15,Kiefer[Anatomie]::N,анлы,ан
16,Kehle::N,гульым,юан
17,Hals::N,чырты,юан
18,Genick::N,йырбер,юр бӧр
19,Kopf::N,йыр,юр
20,Rücken::N,мыш,мышк
21,Bauch::N,кӧт,кынӧм
22,Nabel::N,гогы,гӧг
23,Busen::N,ноны,морос
24,Brust::N,мӧля,морос
25,Schulter::N,пельпум,пельпон
26,Arm::N,суй,ки
27,Ellenbogen::N,гырпум,гырдзза
28,Hand::N,ки,кикар
29,Handfläche::N,ки пыдэс,ки пыдӧс
30,Handfläche::N,кырым пыдэс,ки пыдӧс
31,Finger::N,чиньы,чунь
32,Fingernagel::N,гижы,гыж
33,Fingernagel::N,гиждӥнь,гыж
34,Nagel[Anatomie]::N,гижы,гыж
35,Zeh::N,пыдчиньы,чунь
36,Fuß::N,пыд,кокпыдӧс
37,Ferse::N,пыдбер,кокдзир
38,Knie::N,пыдес,пидзӧс
39,Oberschenkel::N,макес,лядьбей
40,Bein::N,пыд,кок
41,Körper::N,мугор,вывтыр
42,Körper::N,вылтыр,вывтыр
43,Haut::N,ку,кучик
44,Blut::N,вир,вир
45,Ader::N,вирсэр,сӧн
46,Sehne::N,вуж,жила
47,Knochen::N,лы,коска
48,Gehirn::N,вим,вем
49,Herz::N,сюлэм,сьӧлӧм
50,Magen::N,ӝуш,жӧвдӧк
51,Leber::N,мус,мус
52,Atem::N,лул,лолалӧм
53,Atem::N,шокан,лолалӧм
54,Hunger::N,кӧтсюман,тшыг
55,Träne::N,синкыли,синва
56,Geschmack::N,шӧм,кӧр
57,Geruch::N,зын,дук
58,Schlaf::N,вӧт,он
59,Traum::N,уйвӧт,вӧт
60,Himmel::N,ин,небо
61,Sonne::N,шунды,шондi
62,Mond::N,толэзь,тӧлiсь
63,Stern::N,кизили,кӧдзыв
