,Concept_ID,fr,az
0,Auge::N,œil,göz
1,Ohr::N,oreille,qulaq
2,Nase::N,nez,burun
3,Mund::N,bouche,ağız
4,Zahn::N,dent,diş
5,Zunge::N,langue,dil
6,Lippe::N,lèvre,dodaq
7,Wange::N,joue,yanaq
8,Gesicht::N,face,üz
9,Gesicht::N,visage,üz
10,Stirn::N,front,alın
11,Haar::N,cheveu,saç
12,Schnurrbart::N,moustache,bığ
13,Bart::N,barbe,saqqal
14,Kinn::N,menton,çənə
15,Kiefer[Anatomie]::N,mâchoire,çənə
16,Kehle::N,gorge,boğaz
17,Hals::N,cou,boyun
18,Genick::N,nuque,ənsə
19,Kopf::N,tête,baş
20,Rücken::N,dos,bel
21,Bauch::N,ventre,qarın
22,Nabel::N,nombril,göbək
23,Busen::N,sein,məmə
24,Brust::N,poitrine,döş
25,Schulter::N,épaule,çiyin
26,Arm::N,bras,qol
27,Ellenbogen::N,coude,dirsək
28,Hand::N,main,əl
29,Handfläche::N,paume,ovuc
30,Finger::N,doigt,barmaq
31,Fingernagel::N,ongle,barmaq dırnağı
32,Nagel[Anatomie]::N,ongle,dırnak
33,Zeh::N,orteil,ayaq barmağı
34,Zeh::N,doigt de pied,ayaq barmağı
35,Fuß::N,pied,ayaq
36,Ferse::N,talon,daban
37,Knie::N,genou,diz
38,Oberschenkel::N,cuisse,bud
39,Bein::N,jambe,qıç
40,Körper::N,corps,əndam
41,Haut::N,peau,dəri
42,Blut::N,sang,qan
43,Ader::N,veine,damar
44,Sehne::N,tendon,vətər
45,Knochen::N,os,sümük
46,Gehirn::N,cerveau,beyin
47,Herz::N,cœur,ürək
48,Magen::N,estomac,mədə
49,Leber::N,foie,qara ciyər
50,Atem::N,haleine,nəfəs
51,Hunger::N,faim,aclıq
52,Träne::N,larme,göz yaşı
53,Geschmack::N,goût,tam
54,Geschmack::N,goût,ləzzət
55,Geschmack::N,saveur,tam
56,Geschmack::N,saveur,ləzzət
57,Geruch::N,odeur,qoxu
58,Schlaf::N,sommeil,yuxu
59,Traum::N,songe,röya
60,Himmel::N,ciel,göy
61,Himmel::N,ciel,səma
62,Sonne::N,soleil,günəş
63,Mond::N,lune,ay
64,Stern::N,étoile,ulduz
65,Luft::N,air,hava
66,Wind::N,vent,yel
67,Wind::N,vent,külək
68,Welle::N,vague,dalğa
69,Wasser::N,eau,su
70,Stein::N,pierre,daş
71,Boden::N,sol,yer
72,Boden::N,sol,zəmin
73,Boden::N,terrain,yer
74,Boden::N,terrain,zəmin
75,Erde::N,terre,yer torpaq
76,Staub::N,poussière,toz
77,Rauch::N,fumée,tüstü
78,Funke::N,étincelle,qığılcım
79,Feuer::N,feu,od
80,Licht::N,lumière,işıq
81,Schatten::N,ombre,kölgə
82,Wetter::N,temps,hava
83,Nebel::N,brume,duman
84,Nebel::N,brouillard,duman
85,Wolke::N,nuage,bulud
86,Regen::N,pluie,yağış
87,Regen::N,pluie,yağmur
88,Schnee::N,neige,qar
89,Eis::N,glace,buz
90,Frost::N,gel,ayaz
91,Frost::N,gelée,ayaz
92,Kälte::N,froid,soyuq
93,Hitze::N,chaleur,coşğunluq
94,Raureif::N,givre,qırov
95,Regenbogen::N,arc-en-ciel,göy qurşağı
96,Donner::N,tonnerre,göy gurultusu
97,Strömung::N,courant,axın
98,Tropfen::N,goutte,damcı
99,Schaum::N,écume,köpük
100,Schaum::N,mousse,köpük
101,Schmutz::N,boue,çamır
102,Schmutz::N,saleté,çamır
103,See::N,lac,göl
104,Sumpf::N,marais,bataqlıq
105,Sumpf::N,marécage,bataqlıq
106,Moor::N,tourbière,bataqlıq
107,Wiese::N,pré,çəmən
108,Wald::N,bois,meşə
