,Concept_ID,kl,cs
0,Auge::N,isi,oko
1,Ohr::N,siut,ucho
2,Mund::N,paaq,pusa
3,Mund::N,qaneq,pusa
4,Zahn::N,kigut,zub
5,Zunge::N,oqaq,jazyk
6,Lippe::N,qarloq,ret
7,Wange::N,ersaq,tvář
8,Gesicht::N,kiinaq,obličej
9,Stirn::N,qaaq,čelo
10,Haar::N,meqqoq,vlas
11,Haar::N,meqqoq,vlasy
12,Bart::N,umik,vousy
13,Kinn::N,talloq,brada
14,Kiefer[Anatomie]::N,alleroq,čelist
15,Kehle::N,malaq,hrdlo
16,Hals::N,qungaseq,krk
17,Genick::N,pukusuk,týl
18,Kopf::N,niaqoq,hlava
19,Rücken::N,qimerlut,záda
20,Rücken::N,qimerlut,hřbet
21,Bauch::N,naaq,břicho
22,Nabel::N,qalaseq,pupek
23,Busen::N,iviangeq,ňadra
24,Brust::N,iviangeq,prsa
25,Schulter::N,ersik,plece
26,Schulter::N,ersik,rameno
27,Schulter::N,assaqqoq,plece
28,Schulter::N,assaqqoq,rameno
29,Arm::N,taleq,ruka
30,Ellenbogen::N,ikusik,loket
31,Hand::N,assak,ruka
32,Handfläche::N,itumak,dlaň
33,Finger::N,inuak,prst
34,Fingernagel::N,kikiak,nehet
35,Nagel[Anatomie]::N,kukik,nehet
36,Zeh::N,isigak,prst u nohy
37,Ferse::N,kimmik,pata
38,Knie::N,seeqqoq,koleno
39,Oberschenkel::N,uppat,stehno
40,Oberschenkel::N,quttoraq,stehno
41,Bein::N,isigak,noha
42,Körper::N,timi,tělo
43,Haut::N,mattak,kůže
44,Blut::N,aak,krev
45,Ader::N,taqaq,céva
46,Sehne::N,ujalu,šlacha
47,Sehne::N,ujaloq,šlacha
48,Knochen::N,saanikut,kost
49,Gehirn::N,qarasaq,mozek
50,Herz::N,uummat,srdce
51,Magen::N,aqajaroq,žaludek
52,Leber::N,tinguk,játra
53,Atem::N,anerneq,dech
54,Hunger::N,kaanneq,hlad
55,Träne::N,qia,slza
56,Träne::N,qiak,slza
57,Geschmack::N,qilanaartuut,vkus
58,Geruch::N,tipi,vůně
59,Geruch::N,tipi,zápach
60,Geruch::N,tipik,vůně
61,Geruch::N,tipik,zápach
62,Traum::N,sinnattoq,sen
63,Traum::N,sinnattugaq,sen
64,Himmel::N,qilak,nebe
65,Sonne::N,seqineq,slunce
66,Mond::N,qaammat,měsíc
67,Stern::N,ulloriaq,hvězda
68,Luft::N,silaannaq,vzduch
69,Wind::N,anori,vítr
70,Wind::N,anorsarik,vítr
71,Welle::N,aalappaa,vlna
72,Wasser::N,imeq,voda
73,Stein::N,ujarak,kámen
74,Boden::N,nateq,půda
75,Erde::N,issoq,země
76,Staub::N,pujualanerit,prach
77,Staub::N,pujoralanerit,prach
78,Rauch::N,iseq,dým
79,Rauch::N,iseq,kouř
80,Rauch::N,pujoq,dým
81,Rauch::N,pujoq,kouř
82,Funke::N,illoorneq,jiskra
83,Feuer::N,inneq,oheň
84,Licht::N,qaamaneq,světlo
85,Schatten::N,tarraq,stín
86,Wetter::N,sila,počasí
87,Nebel::N,pujoq,mlha
88,Wolke::N,nuia,mrak
89,Wolke::N,nuia,oblak
90,Regen::N,sialuk,déšť
91,Schnee::N,aput,sníh
92,Eis::N,siku,led
93,Frost::N,issi,mráz
94,Frost::N,issik,mráz
95,Kälte::N,issi,chlad
96,Hitze::N,kianneq,horko
97,Hitze::N,kiassuseq,horko
98,Raureif::N,kaneq,jinovatka
99,Regenbogen::N,neriusaaq,duha
100,Donner::N,kalleq,hrom
101,Tropfen::N,kuseriarneq,kapka
102,Schaum::N,qapuk,pěna
