,Concept_ID,lez,fr
0,Auge::N,вил,œil
1,Ohr::N,яб,oreille
2,Nase::N,нер,nez
3,Mund::N,сив,bouche
4,Zahn::N,сас,dent
5,Zahn::N,свах,dent
6,Zunge::N,мез,langue
7,Lippe::N,пӏуз,lèvre
8,Wange::N,хъвехъ,joue
9,Gesicht::N,ччин,face
10,Gesicht::N,ччин,visage
11,Stirn::N,пел,front
12,Haar::N,чӏар,cheveu
13,Schnurrbart::N,спел,moustache
14,Schnurrbart::N,спелар,moustache
15,Bart::N,ччуру,barbe
16,Kinn::N,чене,menton
17,Kiefer[Anatomie]::N,чене,mâchoire
18,Kehle::N,туьд,gorge
19,Hals::N,гардан,cou
20,Genick::N,кьам,nuque
21,Kopf::N,кьил,tête
22,Rücken::N,далу,dos
23,Bauch::N,руфун,ventre
24,Nabel::N,пицӏ,nombril
25,Busen::N,мам,sein
26,Brust::N,хур,poitrine
27,Schulter::N,къуьн,épaule
28,Arm::N,гъил,bras
29,Ellenbogen::N,кьуьнт,coude
30,Hand::N,капаш,main
31,Handfläche::N,капан юкь,paume
32,Finger::N,тӏуб,doigt
33,Fingernagel::N,кек,ongle
34,Nagel[Anatomie]::N,кек,ongle
35,Zeh::N,кул,orteil
36,Zeh::N,кул,doigt de pied
37,Fuß::N,кӏвач,pied
38,Ferse::N,дабан,talon
39,Knie::N,мет,genou
40,Bein::N,кӏвач,jambe
41,Körper::N,беден,corps
42,Haut::N,хам,peau
43,Blut::N,иви,sang
44,Ader::N,дамар,veine
45,Sehne::N,кьуру дамар,tendon
46,Knochen::N,кӏараб,os
47,Gehirn::N,мефт,cerveau
48,Herz::N,рикӏ,cœur
49,Magen::N,хук,estomac
50,Leber::N,лекь,foie
51,Atem::N,ял,haleine
52,Atem::N,нефес,haleine
53,Hunger::N,каш,faim
54,Träne::N,вилин нагъв,larme
55,Geschmack::N,дад,goût
56,Geschmack::N,дад,saveur
57,Geschmack::N,тӏям,goût
58,Geschmack::N,тӏям,saveur
59,Geruch::N,ни,odeur
60,Schlaf::N,ахвар,sommeil
61,Traum::N,ахвар,songe
62,Himmel::N,цав,ciel
63,Sonne::N,рагъ,soleil
64,Mond::N,варз,lune
65,Stern::N,гъед,étoile
66,Luft::N,гьава,air
67,Wind::N,гар,vent
68,Welle::N,лепе,vague
69,Wasser::N,яд,eau
70,Stein::N,къван,pierre
71,Boden::N,накьв,sol
72,Boden::N,накьв,terrain
73,Erde::N,ччил,terre
74,Staub::N,руг,poussière
75,Rauch::N,гум,fumée
76,Funke::N,цӏелхем,étincelle
77,Feuer::N,цӏай,feu
78,Licht::N,экв,lumière
79,Schatten::N,серин,ombre
80,Wetter::N,гьава,temps
81,Nebel::N,ччилин циф,brume
82,Nebel::N,ччилин циф,brouillard
83,Wolke::N,циф,nuage
84,Regen::N,марф,pluie
85,Schnee::N,жив,neige
86,Eis::N,мурк,glace
87,Frost::N,аяз,gel
88,Frost::N,аяз,gelée
89,Kälte::N,мекь,froid
90,Kälte::N,мекьивал,froid
91,Hitze::N,зегьем,chaleur
92,Raureif::N,къирав,givre
93,Regenbogen::N,яргъируш,arc-en-ciel
94,Donner::N,цавун ван,tonnerre
95,Tropfen::N,стӏал,goutte
96,Schaum::N,каф,écume
97,Schaum::N,каф,mousse
98,Schmutz::N,чирк,boue
99,Schmutz::N,чирк,saleté
100,Schmutz::N,кьуруш,boue
101,Schmutz::N,кьуруш,saleté
102,See::N,вир,lac
103,Sumpf::N,уьлен,marais
104,Sumpf::N,уьлен,marécage
105,Wiese::N,векь,pré
106,Wald::N,там,bois
107,Wald::N,там,forêt
108,Hügel::N,кӏунтӏ,coteau
109,Hügel::N,кӏунтӏ,colline
110,Anhöhe::N,тепе,éminence
111,Anhöhe::N,тепе,élévation
112,Anhöhe::N,гьуьндуьрвал,éminence
113,Anhöhe::N,гьуьндуьрвал,élévation
114,Berg::N,дагъ,mont
115,Berg::N,дагъ,montagne
116,Gipfel::N,кӏукӏ,cime
117,Gipfel::N,кӏукӏ,sommet
118,Höhle::N,кьветӏ,caverne
119,Abhang::N,гуьне,pente
120,Abhang::N,гуьне,versant
121,Quelle::N,чешме,source
122,Quelle::N,чешме,fontaine
123,Bach::N,булах,ruisseau
124,Fluss::N,вацӏ,fleuve
125,Fluss::N,вацӏ,rivière
126,Ufer::N,къерех,bord
127,Ufer::N,къерех,rivage
128,Küste::N,къерех,côte
129,Festland::N,кьурамат,terre ferme
130,Meer::N,гьуьл,mer
131,Bucht::N,бухта,baie
132,Insel::N,остров,île
133,Blume::N,цуьк,fleur
134,Gras::N,хъач,herbe
135,Wurzel::N,дувул,racine
136,Baum::N,ттар,arbre
137,Stamm::N,тан,tronc
138,Rinde::N,чкал,écorce
139,Ast::N,тӏур,branche
140,Zweig::N,хел,rameau
141,Blatt::N,пеш,feuille
142,Birke::N,верх,bouleau
143,Kiefer[Baum]::N,шамагъаж,pin
144,Weide[Baum]::N,цӏвелин ттар,saule
145,Tanne::N,ель,sapin
146,Horn::N,карч,corne
147,Feder::N,цӏакул,plume
148,Fell::N,хам,peau
149,Flügel::N,лув,aile
150,Klaue::N,къармах,serre
151,Kralle::N,пац,ongle
152,Kralle::N,пац,griffe
153,Kralle::N,тапас,ongle
154,Kralle::N,тапас,griffe
155,Schwanz::N,ттум,queue
156,Ei::N,кака,œuf
157,Nest::N,муг,nid
158,Bau::N,тӏеквен,terrier
159,Tier::N,гьайван,animal
160,Herde::N,суьруь,troupeau
161,Kuh::N,ккал,vache
162,Bulle::N,яц,taureau
163,Bulle::N,бугъа,taureau
164,Pferd::N,балкӏан,cheval
165,Schaf::N,хеб,mouton
166,Schwein::N,вак,porc
167,Schwein::N,вак,cochon
168,Hund::N,кицӏ,chien
169,Katze::N,кац,chat
170,Bär::N,сев,ours
171,Eichhörnchen::N,белка,écureuil
172,Elch::N,лось,élan
173,Fuchs::N,сикӏ,renard
174,Hase::N,къуьр,lièvre
175,Maus::N,кьиф,souris
176,Wolf::N,жанавур,loup
177,Vogel::N,луван ничхир,oiseau
178,Schwarm::N,луж,nuée
179,Schwarm::N,луж,volée
180,Huhn::N,верч,poule
181,Hahn::N,кӏек,coq
182,Gans::N,къаз,oie
183,Adler::N,лекь,aigle
184,Ente::N,пӏатӏ,canard
185,Eule::N,тӏиб,hibou
186,Kranich::N,дурна,grue
187,Krähe::N,къаргъа,corneille
188,Kuckuck::N,кукупӏ,coucou
189,Schwan::N,къугь,cygne
190,Fisch::N,гъед,poisson
191,Barsch::N,окунь,perche
192,Hecht::N,щука,brochet
193,Schlange[Tier]::N,илан,serpent
194,Schlange[Tier]::N,гъуьлягъ,serpent
195,Wurm::N,квак,ver
196,Spinne::N,хуьшрекан,araignée
197,Ameise::N,цегв,fourmi
198,Laus::N,нет,pou
199,Mücke::N,ветӏ,moucheron
200,Fliege::N,тӏветӏ,mouche
201,Schmetterling::N,чепелукь,papillon
202,Beere::N,куьлуь емиш,baie
203,Apfel::N,ич,pomme
204,Pilz::N,къарникъуз,champignon
205,Zwiebel::N,чичӏек,oignon
206,Saat::N,тумар,semence
207,Korn::N,твар,grain
208,Heu::N,векь,foin
209,Heu::N,векьер,foin
210,Schale::N,пириш,pelure
211,Schale::N,хъуьруьш,pelure
212,Grube::N,фур,fosse
213,Falle::N,ракьар,piège
214,Schlinge::N,гьалкъа,lacs
215,Spur::N,гел,trace
216,Asche::N,руьхъ,cendre
217,Dreck::N,чирк,crotte
218,Dreck::N,кьуруш,crotte
219,Eisen::N,ракь,fer
220,Gold::N,алтун,or
221,Silber::N,гимиш,argent
222,Kohle::N,цӏивин,charbon
223,Glas::N,шуьше,verre
224,Lehm::N,ччеб,glaise
225,Sand::N,къум,sable
226,Mensch::N,инсан,homme
227,Mann::N,итим,homme
228,Frau::N,паб,femme
229,Frau::N,дишегьли,femme
230,Kind::N,аял,enfant
231,Junge::N,гада,garçon
232,Mädchen::N,руш,fille
233,Mädchen::N,руш,jeune fille
234,Familie::N,хзан,famille
235,Familie::N,килфет,famille
236,Großvater::N,чӏехи буба,grand-père
237,Großmutter::N,чӏехи диде,grand-mère
238,Eltern::N,диде-буба,parents
239,Vater::N,буба,père
240,Mutter::N,диде,mère
241,Sohn::N,хва,fils
242,Tochter::N,руш,fille
243,Bruder::N,стха,frère
244,Schwester::N,вах,sœur
245,Onkel::N,ими,oncle
246,Onkel::N,халу,oncle
247,Tante::N,эме,tante
248,Tante::N,хала,tante
249,Ehemann::N,гъуьл,mari
250,Ehemann::N,гъуьл,époux
251,Ehefrau::N,паб,femme
252,Ehefrau::N,паб,épouse
253,Freude::N,шадвал,joie
254,Freude::N,шадвал,plaisir
255,Gelächter::N,хъвер,rires
256,Glück::N,бахт,bonheur
257,Kummer::N,дерт,peine
258,Kummer::N,дерт,chagrin
259,Kummer::N,хажалат,peine
260,Kummer::N,хажалат,chagrin
261,Wunsch::N,мурад,désir
262,Lust::N,гьевес,envie
263,Geist::N,руьгь,esprit
264,Gedanke::N,фикир,idée
265,Gedanke::N,фикир,pensée
266,Verstand::N,акьул,raison
267,Sinn::N,мана,sens
268,Grund::N,себеб,cause
269,Grund::N,себеб,raison
270,Wahrheit::N,керчек,vérité
271,Wahrheit::N,гьакъикъат,vérité
272,Gespräch::N,ихтилат,conversation
273,Märchen::N,мах,conte
274,Märchen::N,мах,conte de fées
275,Erzählung::N,кьиса,conte
276,Erzählung::N,кьиса,narration
277,Nachricht::N,хабар,message
278,Neuigkeit::N,цӏийи хабар,nouvelle
279,Name::N,тӏвар,nom
280,Rätsel::N,мискӏал,énigme
281,Rätsel::N,мискӏал,devinette
282,Rede::N,рахун,parole
283,Rede::N,рахун,discours
284,Sprache::N,чӏал,langue
285,Sprache::N,чӏал,langage
286,Stimme::N,ван,voix
287,Wort::N,гаф,mot
288,Zeichen::N,ишара,signe
289,Ruf::N,эвер,cri
290,Ruf::N,эвер,appel
291,Lärm::N,ван-сес,bruit
292,Laut::N,ван,son
293,Laut::N,сес,son
294,Ton::N,ван-сес,ton
295,Lied::N,мани,chant
296,Lied::N,мани,chanson
297,Ruhe::N,ласвал,calme
298,Ruhe::N,ласвал,tranquillité
299,Ruhe::N,фаракъат,calme
300,Ruhe::N,фаракъат,tranquillité
301,Ruhe::N,асайиш,calme
302,Ruhe::N,асайиш,tranquillité
303,Leute::N,инсанар,gens
304,Volk::N,халкь,peuple
305,Arbeit::N,кӏвалах,travail
306,Gast::N,мугьман,hôte
307,Gast::N,мугьман,invité
308,Geschenk::N,савкьат,cadeau
309,Geschenk::N,савкьат,présent
310,Spiel::N,къугъун,jeu
311,Gesellschaft::N,жемят,compagnie
312,Gesellschaft::N,общество,compagnie
313,Hilfe::N,куьмек,aide
314,Hilfe::N,куьмек,secours
315,Freund::N,дуст,ami
316,Kamerad::N,яр-дуст,copain
317,Kamerad::N,яр-дуст,camarade
318,Angelegenheit::N,кар,affaire
319,Anzahl::N,сан,nombre
320,Anzahl::N,кьадар,nombre
321,Art::N,жуьре,sorte
322,Art::N,жуьре,espèce
323,Stück::N,кӏус,morceau
324,Teil::N,пай,part
325,Teil::N,пай,partie
326,Hälfte::N,зур,moitié
327,Hälfte::N,зур пай,moitié
328,Kreis::N,круг,cercle
329,Kreis::N,чкаяр,cercle
330,Kreis::N,элкъвей цӏар,cercle
331,Kreuz::N,хаш,croix
332,Linie::N,цӏар,ligne
