,Concept_ID,eu,da
0,Auge::N,begi,øje
1,Ohr::N,belarri,øre
2,Nase::N,sudur,næse
3,Mund::N,aho,mund
4,Zahn::N,hortz,tand
5,Zunge::N,mihi,tunge
6,Lippe::N,ezpain,læbe
7,Wange::N,masail,kind
8,Gesicht::N,aurpegi,ansigt
9,Stirn::N,bekoki,pande
10,Haar::N,ile,hår
11,Haar::N,bilo,hår
12,Schnurrbart::N,bibote,overskæg
13,Schnurrbart::N,sudurpeko,overskæg
14,Bart::N,bizar,skæg
15,Kinn::N,kokots,hage
16,Kiefer[Anatomie]::N,masailezur,kæbe
17,Kehle::N,eztarri,strube
18,Hals::N,sama,hals
19,Genick::N,garondo,nakke
20,Kopf::N,buru,hoved
21,Rücken::N,bizkar,ryg
22,Bauch::N,sabel,mave
23,Nabel::N,zilbor,navle
24,Busen::N,titi,barm
25,Busen::N,ugatz,barm
26,Brust::N,bular,bryst
27,Schulter::N,besaburu,skulder
28,Arm::N,beso,arm
29,Ellenbogen::N,ukondo,albue
30,Hand::N,esku,hånd
31,Handfläche::N,ahur,håndflade
32,Finger::N,hatz,finger
33,Fingernagel::N,azazkal,fingernegl
34,Nagel[Anatomie]::N,azazkal,negl
35,Zeh::N,behatz,tå
36,Fuß::N,oin,fod
37,Ferse::N,orpo,hæl
38,Ferse::N,oinburu,hæl
39,Knie::N,belaun,knæ
40,Oberschenkel::N,izter,lår
41,Bein::N,zango,ben
42,Körper::N,soin,krop
43,Körper::N,soin,legeme
44,Haut::N,azal,hud
45,Blut::N,odol,blod
46,Ader::N,zain,åre
47,Sehne::N,gihar-zain,sene
48,Knochen::N,hezur,ben
49,Gehirn::N,garun,hjerne
50,Gehirn::N,burmuin,hjerne
51,Herz::N,bihotz,hjerte
52,Magen::N,urdail,mave
53,Leber::N,gibel,lever
54,Atem::N,hats,ånde
55,Atem::N,arnasa,ånde
56,Hunger::N,gose,sult
57,Träne::N,malko,tåre
58,Geschmack::N,dasta,smag
59,Geruch::N,usain,lugt
60,Schlaf::N,lo,søvn
61,Traum::N,amets,drøm
62,Himmel::N,zeru,himmel
63,Sonne::N,eguzki,sol
64,Mond::N,ilargi,måne
65,Stern::N,izar,stjerne
66,Luft::N,aire,luft
67,Wind::N,haize,vind
68,Welle::N,uhin,bølge
69,Welle::N,olatu,bølge
70,Wasser::N,ur,vand
71,Stein::N,harri,sten
72,Boden::N,lur,jord
73,Boden::N,zoru,jord
74,Erde::N,lur,jord
75,Staub::N,hauts,støv
76,Rauch::N,ke,røg
77,Funke::N,zirta,gnist
78,Funke::N,txinparta,gnist
79,Feuer::N,su,ild
80,Licht::N,argi,lys
81,Schatten::N,itzal,skygge
82,Schatten::N,geriza,skygge
83,Wetter::N,eguraldi,vejr
84,Nebel::N,laino,tåge
85,Wolke::N,hodei,sky
86,Regen::N,euri,regn
87,Schnee::N,elur,sne
88,Eis::N,horma,is
89,Frost::N,izotzaldi,frost
90,Kälte::N,hotz,kulde
91,Hitze::N,bero,hede
92,Raureif::N,antzigar,rimfrost
93,Regenbogen::N,ostadar,regnbue
94,Regenbogen::N,ortzadar,regnbue
95,Donner::N,ostots,torden
96,Donner::N,ihurtzuri,torden
97,Strömung::N,laster,strømning
98,Tropfen::N,xorta,dråbe
99,Schaum::N,bits,skum
100,Schmutz::N,lohi,snavs
101,Schmutz::N,zikin,snavs
102,See::N,laku,sø
103,See::N,aintzira,sø
104,Sumpf::N,zingira,sump
105,Moor::N,zohikaztegi,mose
106,Wiese::N,larre,eng
107,Wiese::N,belardi,eng
108,Wald::N,baso,skov
109,Wald::N,oihan,skov
110,Hügel::N,muino,høj
111,Hügel::N,muino,bakke
112,Hügel::N,pentoka,høj
113,Hügel::N,pentoka,bakke
114,Anhöhe::N,garai,høj
115,Anhöhe::N,garai,bakke
116,Anhöhe::N,goragune,høj
117,Anhöhe::N,goragune,bakke
118,Berg::N,mendi,bjerg
119,Gipfel::N,gain,top
120,Gipfel::N,tontor,top
121,Höhle::N,kobazulo,hule
122,Abhang::N,aldapa,skrænt
123,Abhang::N,aldapa,skråning
124,Quelle::N,iturri,kilde
125,Quelle::N,iturbegi,kilde
126,Bach::N,lats,bæk
127,Bach::N,erreka,bæk
