,Concept_ID,ml,ar
0,Auge::N,കണ്ണ്,عين
1,Ohr::N,ചെവി,أذن
2,Nase::N,മൂക്ക്,أنف
3,Mund::N,വായ,فم
4,Zahn::N,പല്ല്,سن
5,Zunge::N,നാക്ക്,لسان
6,Lippe::N,ചുണ്ട്,شفة
7,Wange::N,കവിൾത്തടം,خد
8,Wange::N,കവിൾത്തടം,وجنة
9,Gesicht::N,മുഖം,وجه
10,Stirn::N,നെറ്റി,جبين
11,Haar::N,തലമുടി,شعر
12,Schnurrbart::N,മീശ,شارب
13,Bart::N,താടിരോമം,لحية
14,Kinn::N,താടി,ذقن
15,Kiefer[Anatomie]::N,താടിയെല്ല്,فك
16,Kehle::N,കണ്ഠനാളം,حلق
17,Hals::N,കഴുത്ത്,عنق
18,Hals::N,കഴുത്ത്,رقبة
19,Genick::N,പിടലി,قفا
20,Kopf::N,തല,رأس
21,Rücken::N,മുതുക്,ظهر
22,Bauch::N,നയറ്,بطن
23,Nabel::N,നാഭി,سرة
24,Busen::N,സ്തനം,ثدي
25,Brust::N,സ്തനം,صدر
26,Schulter::N,തോൾ,كتف
27,Arm::N,കൈ,ذراع
28,Ellenbogen::N,കൈമുട്ട്,كوع
29,Hand::N,കൈ,يد
30,Handfläche::N,ഉള്ളം കൈ,كف
31,Finger::N,വിരൽ,إصبع
32,Fingernagel::N,നഖം,ظفر
33,Nagel[Anatomie]::N,നഖം,ظفر
34,Zeh::N,കാൽവിരൽ,إصبع القدم
35,Fuß::N,കാൽപ്പാദം,قدم
36,Ferse::N,ഉപ്പൂറ്റി,كعب
37,Knie::N,കാൽമുട്ട്,ركبة
38,Oberschenkel::N,തുട,فخذ
39,Bein::N,കാൽ,ساق
40,Körper::N,ശരീരം,جسم
41,Haut::N,ചർമ്മം,بشرة
42,Blut::N,രക്തം,دم
43,Ader::N,ഞരമ്പ്,عرق
44,Sehne::N,സ്നായു,طنب
45,Knochen::N,അസ്ഥി,عظم
46,Gehirn::N,തലച്ചോറ്,دماغ
47,Herz::N,ഹൃദയം,قلب
48,Magen::N,വയർ,معدة
49,Leber::N,കരൾ,كبد
50,Atem::N,ശ്വാസം,نفس
51,Hunger::N,വിശപ്പ്,جوع
52,Träne::N,കണ്ണീർ,دمعة
53,Geschmack::N,രുചി,طعم
54,Geschmack::N,രുചി,مذاق
55,Geruch::N,ഗന്ധം,رائحة
56,Schlaf::N,ഉറകും,نوم
57,Schlaf::N,ഉറകും,منام
58,Traum::N,സ്വപ്നം,حلم
59,Himmel::N,ആകാശം,سماء
60,Sonne::N,സൂര്യൻ,شمس
61,Mond::N,ചന്ദ്രൻ,قمر
62,Stern::N,നക്ഷത്രം,نجم
63,Stern::N,നക്ഷത്രം,كوكب
64,Luft::N,കാറ്റ്,هواء
65,Wind::N,കാറ്റ്,ريح
66,Welle::N,തിരമാല,موجة
67,Wasser::N,വെള്ളം,ماء
68,Stein::N,ശില,حجر
69,Stein::N,കല്ല്,حجر
70,Boden::N,തറ,تراب
71,Boden::N,നിലം,تراب
72,Erde::N,മണ്ണ്,أرض
73,Staub::N,പൊടി,غبار
74,Rauch::N,പുക,دخان
75,Funke::N,തീപ്പൊരി,شرارة
76,Feuer::N,തീ,نار
77,Licht::N,വിളക്ക്,نور
78,Licht::N,വിളക്ക്,ضوء
79,Licht::N,സൂര്യപ്രകാശം,نور
80,Licht::N,സൂര്യപ്രകാശം,ضوء
81,Schatten::N,തണൽ,ظل
82,Schatten::N,തണൽ,فيء
83,Wetter::N,കാലാവസ്ഥ,جو
84,Wetter::N,കാലാവസ്ഥ,طقس
85,Nebel::N,മൂടൽമഞ്ഞ്,ضباب
86,Wolke::N,മേഘം,غيمة
87,Wolke::N,മേഘം,سحابة
88,Regen::N,മഴ,مطر
89,Schnee::N,മഞ്ഞ്,ثلج
90,Eis::N,ഐസ്,جليد
91,Frost::N,മൂടൽമഞ്ഞ്,صقيع
92,Kälte::N,തണുപ്പ്,برد
93,Hitze::N,ചൂട്,حر
94,Hitze::N,ചൂട്,حرارة
95,Raureif::N,കോടമഞ്ഞ്,صقيع
96,Regenbogen::N,മഴവില്ല്,قوس قزح
97,Donner::N,ഇടി,رعد
98,Strömung::N,പ്രവാഹം,تيار
99,Tropfen::N,തുള്ളി,قطرة
100,Schaum::N,നുര,زبد
101,Schaum::N,നുര,رغوة
102,Schmutz::N,അഴുക്ക്,وسخ
103,See::N,തടാകം,بحيرة
104,Sumpf::N,ചതുപ്പുനിലം,مستنقع
105,Moor::N,പാഴ്നിലം,مستنقع
106,Wiese::N,പുൽത്തകിടി,مرج
107,Wald::N,വനം,غابة
108,Wald::N,കാട്,غابة
109,Hügel::N,കുന്ന്,تل
110,Anhöhe::N,ഉയർന്ന ഭൂമി,تل
111,Berg::N,പർവ്വതം,جبل
112,Gipfel::N,ഉച്ചകോടി,قمة
113,Höhle::N,ഗുഹ,كهف
114,Abhang::N,ചരിവ്,منحدر
115,Quelle::N,ഉറവിടം,منبع
116,Bach::N,അരുവി,مجرى
117,Fluss::N,നദി,نهر
118,Ufer::N,തീരം,ضفة
119,Küste::N,കടൽത്തീരം,ساحل
120,Festland::N,കര,بر
121,Meer::N,കടൽ,بحر
122,Bucht::N,ഉൾക്കടല്,خليج
123,Insel::N,ദ്വീപ്,جزيرة
124,Blume::N,പൂവ്,زهرة
125,Gras::N,പുല്ല്,حشيش
126,Wurzel::N,വേര്,أصل
127,Baum::N,മരം,شجرة
128,Stamm::N,തായ്ത്തടി,جذع
129,Rinde::N,പട്ട,قشرة
130,Ast::N,ശാഖ,فرع
131,Zweig::N,ശാഖ,غصن
132,Blatt::N,ഇല,ورقة
133,Birke::N,പൂവരശ്,قضبان
134,Kiefer[Baum]::N,പൈൻമരം,صنوبرة
135,Weide[Baum]::N,വില്ലോ,صفصاف
136,Tanne::N,ദേവദാരു,شوح
137,Tanne::N,ദേവദാരു,تبوب
138,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,قرن
139,Feder::N,തൂവൽ,ريشة
140,Fell::N,മൃദുരോമം,فرو
141,Flügel::N,ചിറക്,جناح
142,Klaue::N,നഖം,مخلب
143,Kralle::N,നഖം,مخلب
144,Schwanz::N,വാൽ,ذيل
145,Ei::N,മുട്ട,بيض
146,Nest::N,കൂട്,عش
147,Bau::N,മാളം,جحر
148,Tier::N,മൃഗം,حيوان
149,Herde::N,കൂട്ടം,قطيع
150,Kuh::N,പശു,بقرة
151,Bulle::N,കാള,ثور
152,Pferd::N,കുതിര,خيل
153,Schaf::N,ആട്,شاة
154,Schwein::N,പന്നി,خنزير
155,Hund::N,നായ്,كلب
156,Katze::N,പൂച്ച,قطة
157,Bär::N,കരടി,دب
158,Eichhörnchen::N,അണ്ണാൻ,سنجاب
159,Elch::N,കടമാന്,موظ
160,Fuchs::N,കുറുക്കൻ,ثعلب
161,Hase::N,മുയൽ,أرنب
162,Maus::N,ചുണ്ടലി,فأرة
163,Wolf::N,ചെന്നായ,ذئب
164,Vogel::N,പക്ഷി,طير
165,Schwarm::N,കൂട്ടം,سرب
166,Huhn::N,കോഴി,دجاجة
167,Hahn::N,പൂവൻകോഴി,ديك
168,Gans::N,അരയന്നം,وزة
169,Adler::N,കഴുകൻ,نسر
170,Ente::N,താറാവ്,بطة
171,Eule::N,മൂങ്ങ,بوم
172,Kranich::N,കൊക്ക്,كركي
173,Krähe::N,കാക്ക,غراب
174,Kuckuck::N,കുയിൽ,وقواق
175,Schwan::N,അരയന്നം,إوز عراقي
176,Fisch::N,മത്സ്യം,سمك
