,Concept_ID,et,en
0,Auge::N,silm,eye
1,Ohr::N,kõrv,ear
2,Nase::N,nina,nose
3,Mund::N,suu,mouth
4,Zahn::N,hammas,tooth
5,Zunge::N,keel,tongue
6,Lippe::N,huul,lip
7,Wange::N,põsk,cheek
8,Gesicht::N,nägu,face
9,Stirn::N,otsmik,forehead
10,Haar::N,juus,hair
11,Schnurrbart::N,vurrud,moustache
12,Schnurrbart::N,vuntsid,moustache
13,Bart::N,habe,beard
14,Kinn::N,lõug,chin
15,Kiefer[Anatomie]::N,lõualuu,jaw
16,Kehle::N,kõri,throat
17,Hals::N,kael,neck
18,Genick::N,kukal,nape
19,Kopf::N,pea,head
20,Rücken::N,selg,back
21,Rücken::N,selg,spine
22,Bauch::N,kõht,belly
23,Nabel::N,naba,navel
24,Busen::N,rind,bosom
25,Brust::N,rind,chest
26,Brust::N,rind,breast
27,Schulter::N,õlg,shoulder
28,Arm::N,käsivars,arm
29,Ellenbogen::N,küünarnukk,elbow
30,Hand::N,käsi,hand
31,Handfläche::N,pihk,palm
32,Finger::N,sõrm,finger
33,Fingernagel::N,küüs,fingernail
34,Nagel[Anatomie]::N,küüs,nail
35,Zeh::N,varvas,toe
36,Fuß::N,jalg,foot
37,Ferse::N,kand,heel
38,Knie::N,põlv,knee
39,Oberschenkel::N,reis,thigh
40,Bein::N,jalg,leg
41,Körper::N,ihu,body
42,Körper::N,keha,body
43,Haut::N,nahk,skin
44,Blut::N,veri,blood
45,Ader::N,veen,vein
46,Sehne::N,kõõlus,sinew
47,Knochen::N,luu,bone
48,Gehirn::N,aju,brain
49,Herz::N,süda,heart
50,Magen::N,magu,stomach
51,Leber::N,maks,liver
52,Atem::N,hingeõhk,breath
53,Atem::N,hingamine,breath
54,Hunger::N,nälg,hunger
55,Träne::N,pisar,tear
56,Geschmack::N,maitse,flavour
57,Geschmack::N,maitse,flavor
58,Geruch::N,lõhn,odour
59,Geruch::N,lõhn,odor
60,Schlaf::N,uni,sleep
61,Traum::N,unenägu,dream
62,Himmel::N,taevas,sky
63,Sonne::N,päike,sun
64,Mond::N,kuu,moon
65,Stern::N,täht,star
66,Luft::N,õhk,air
67,Wind::N,tuul,wind
68,Welle::N,laine,wave
69,Wasser::N,vesi,water
70,Stein::N,kivi,stone
71,Boden::N,maa,soil
72,Boden::N,maa,ground
73,Boden::N,pinnas,soil
74,Boden::N,pinnas,ground
75,Erde::N,maa,earth
76,Staub::N,põrm,dust
77,Rauch::N,suits,smoke
78,Funke::N,säde,spark
79,Feuer::N,tuli,fire
80,Licht::N,valgus,light
81,Schatten::N,vari,shadow
82,Wetter::N,ilm,weather
83,Nebel::N,udu,fog
84,Wolke::N,pilv,cloud
85,Regen::N,sadu,rain
86,Schnee::N,lumi,snow
87,Eis::N,jää,ice
88,Frost::N,pakane,frost
89,Kälte::N,külm,chill
90,Kälte::N,külmus,chill
91,Hitze::N,kuumus,heat
92,Hitze::N,palavus,heat
93,Raureif::N,härmatis,hoarfrost
94,Regenbogen::N,vikerkaar,rainbow
95,Donner::N,kõu,thunder
96,Donner::N,müristamine,thunder
97,Strömung::N,voolus,current
98,Strömung::N,jõevool,current
99,Tropfen::N,tilk,drop
100,Schaum::N,vaht,foam
101,Schmutz::N,pori,dirt
102,Schmutz::N,mustus,dirt
103,See::N,järv,lake
104,Sumpf::N,soo,swamp
105,Moor::N,raba,moor
106,Wiese::N,aas,meadow
107,Wiese::N,nurm,meadow
108,Wald::N,mets,forest
109,Hügel::N,küngas,hill
110,Anhöhe::N,küngas,elevation
111,Berg::N,mägi,mountain
112,Gipfel::N,mäetipp,summit
113,Höhle::N,koobas,cave
114,Abhang::N,nõlvak,slope
115,Quelle::N,allikas,source
116,Bach::N,oja,brook
117,Fluss::N,jõgi,river
118,Ufer::N,kallas,shore
119,Küste::N,rannik,coast
120,Festland::N,mander,land
121,Festland::N,maismaa,land
122,Meer::N,meri,sea
123,Bucht::N,laht,cove
124,Insel::N,saar,island
125,Blume::N,lill,flower
126,Gras::N,rohi,grass
127,Wurzel::N,juur,root
128,Baum::N,puu,tree
129,Stamm::N,tüvi,trunk
130,Rinde::N,koor,bark
131,Ast::N,oks,limb
132,Zweig::N,oks,branch
133,Blatt::N,leht,leaf
134,Birke::N,kask,birch
135,Kiefer[Baum]::N,mänd,pine
136,Weide[Baum]::N,paju,willow
137,Tanne::N,nulg,fir
138,Horn::N,sarv,horn
139,Feder::N,sulg,feather
140,Fell::N,karvkate,fur
141,Fell::N,karusnahk,fur
142,Flügel::N,tiib,wing
143,Flügel::N,tiivik,wing
144,Klaue::N,küüs,claw
145,Kralle::N,küünis,claw
146,Schwanz::N,saba,tail
147,Ei::N,muna,egg
148,Nest::N,pesa,nest
149,Bau::N,urg,lair
150,Tier::N,loom,animal
151,Herde::N,kari,flock
152,Kuh::N,lehm,cow
153,Bulle::N,pull,bull
154,Pferd::N,hobune,horse
