,Concept_ID,it,udm
0,Auge::N,occhio,син
1,Ohr::N,orecchio,пель
2,Nase::N,naso,ныр
3,Mund::N,bocca,ым
4,Zahn::N,dente,пинь
5,Zunge::N,lingua,кыл
6,Lippe::N,labbro,ымдур
7,Wange::N,guancia,бам
8,Gesicht::N,viso,ымныр
9,Gesicht::N,faccia,ымныр
10,Stirn::N,fronte,кымес
11,Haar::N,capello,йырси
12,Schnurrbart::N,baffi,мыйык
13,Schnurrbart::N,mustacchi,мыйык
14,Bart::N,barba,туш
15,Kinn::N,mento,ангес
16,Kiefer[Anatomie]::N,mascella,ан
17,Kiefer[Anatomie]::N,mascella,анлы
18,Kehle::N,gola,гульым
19,Hals::N,collo,чырты
20,Genick::N,nuca,йырбер
21,Kopf::N,capo,йыр
22,Kopf::N,testa,йыр
23,Rücken::N,dorso,мыш
24,Rücken::N,schiena,мыш
25,Bauch::N,ventre,кӧт
26,Nabel::N,ombelico,гогы
27,Busen::N,seno,ноны
28,Brust::N,petto,мӧля
29,Schulter::N,spalla,пельпум
30,Arm::N,braccio,суй
31,Ellenbogen::N,gomito,гырпум
32,Hand::N,mano,ки
33,Handfläche::N,palma,ки пыдэс
34,Handfläche::N,palma,кырым пыдэс
35,Finger::N,dito,чиньы
36,Fingernagel::N,unghia,гижы
37,Fingernagel::N,unghia,гиждӥнь
38,Nagel[Anatomie]::N,unghia,гижы
39,Zeh::N,dito del piede,пыдчиньы
40,Fuß::N,piede,пыд
41,Ferse::N,tallone,пыдбер
42,Ferse::N,calcagno,пыдбер
43,Knie::N,ginocchio,пыдес
44,Oberschenkel::N,fèmore,макес
45,Bein::N,gamba,пыд
46,Körper::N,corpo,мугор
47,Körper::N,corpo,вылтыр
48,Haut::N,pelle,ку
49,Blut::N,sangue,вир
50,Ader::N,vena,вирсэр
51,Sehne::N,tèndine,вуж
52,Knochen::N,osso,лы
53,Gehirn::N,cervello,вим
54,Herz::N,cuore,сюлэм
55,Magen::N,stòmaco,ӝуш
56,Leber::N,fegato,мус
57,Atem::N,fiato,лул
58,Atem::N,fiato,шокан
59,Atem::N,respiro,лул
60,Atem::N,respiro,шокан
61,Hunger::N,fame,кӧтсюман
62,Träne::N,làcrima,синкыли
63,Geschmack::N,gusto,шӧм
64,Geschmack::N,sapore,шӧм
65,Geruch::N,odore,зын
66,Schlaf::N,sonno,вӧт
67,Traum::N,sogno,уйвӧт
68,Himmel::N,cielo,ин
69,Sonne::N,sole,шунды
70,Mond::N,luna,толэзь
71,Stern::N,stella,кизили
72,Luft::N,aria,омыр
73,Wind::N,vento,тӧл
74,Welle::N,onda,тулкым
75,Wasser::N,acqua,ву
76,Stein::N,sasso,из
77,Stein::N,pietra,из
78,Boden::N,suolo,музъем
79,Boden::N,terreno,музъем
80,Erde::N,terra,му
81,Staub::N,polvere,пыль
82,Rauch::N,fumo,ӵын
83,Funke::N,scintilla,гизьы
84,Feuer::N,fuoco,тыл
85,Licht::N,luce,тыл
86,Schatten::N,ombra,вужер
87,Wetter::N,tempo,куазь
88,Nebel::N,nebbia,бус
89,Wolke::N,nube,пилем
90,Wolke::N,nùvola,пилем
91,Regen::N,pioggia,зор
92,Schnee::N,neve,лымы
93,Eis::N,ghiaccio,йӧ
94,Frost::N,gelo,кезьыт
95,Kälte::N,freddo,кезьыт
96,Hitze::N,caldo,пӧсь
97,Hitze::N,calura,пӧсь
98,Raureif::N,brina,гӧр
99,Regenbogen::N,arcobaleno,вуюись
100,Donner::N,tuono,гудыри
101,Strömung::N,corrente,бызён
102,Tropfen::N,goccia,шапык
103,Schaum::N,spuma,шукы
104,Schaum::N,schiuma,шукы
105,Schmutz::N,sudiciume,нӧд
106,Schmutz::N,sudiciume,дэри
107,See::N,lago,ты
108,Sumpf::N,palude,нюр
109,Moor::N,torbiera,нюр
110,Wiese::N,prato,возь
111,Wiese::N,prato,возьвыл
112,Wald::N,bosco,сик
113,Wald::N,bosco,нюлэс
114,Wald::N,foresta,сик
115,Wald::N,foresta,нюлэс
116,Hügel::N,colle,выр
117,Hügel::N,colle,вырйыл
118,Hügel::N,collina,выр
119,Hügel::N,collina,вырйыл
120,Anhöhe::N,altura,выр
121,Anhöhe::N,altura,вырйыл
122,Berg::N,monte,гурезь
123,Berg::N,montagna,гурезь
124,Gipfel::N,cima,йыл
125,Höhle::N,grotta,гу
126,Höhle::N,caverna,гу
127,Abhang::N,pendìo,бам
128,Quelle::N,sorgente,ошмес
129,Bach::N,ruscello,пичи шур
130,Fluss::N,fiume,шур
131,Ufer::N,riva,ярдур
132,Küste::N,costa,вудур
133,Festland::N,terraferma,мувыр
134,Meer::N,mare,зарезь
135,Bucht::N,cala,вукож
136,Insel::N,ìsola,вумуӵ
137,Insel::N,ìsola,шормуӵ
138,Blume::N,fiore,сяська
139,Gras::N,erba,турын
140,Wurzel::N,radice,выжы
141,Baum::N,àlbero,пу
142,Stamm::N,tronco,модос
143,Rinde::N,corteccia,сул
144,Ast::N,ramo,ул
145,Zweig::N,ramo,вай
146,Blatt::N,foglia,куар
147,Birke::N,betulla,кызьпу
148,Kiefer[Baum]::N,pino,пужым
149,Weide[Baum]::N,sàlice,бадьпу
150,Tanne::N,abete,кыз
151,Horn::N,corno,сюр
152,Feder::N,penna,тылы
153,Fell::N,manto,ку
154,Fell::N,pelame,ку
155,Flügel::N,ala,бурд
156,Klaue::N,grinfia,гижы
157,Kralle::N,unghia,пыд
158,Kralle::N,artiglio,пыд
159,Schwanz::N,coda,быж
160,Ei::N,uovo,пуз
161,Ei::N,uovo,кукей
162,Nest::N,nido,кар
163,Nest::N,nido,пузкар
164,Bau::N,covo,кар
165,Bau::N,covo,гу
166,Tier::N,bestia,пӧйшур
167,Tier::N,animale,пӧйшур
168,Herde::N,gregge,уллё
169,Kuh::N,vacca,скал
170,Bulle::N,toro,ош
171,Bulle::N,toro,пороз
172,Pferd::N,cavallo,вал
173,Schaf::N,pècora,ыж
174,Schwein::N,porco,парсь
175,Schwein::N,maiale,парсь
176,Hund::N,cane,пуны
177,Katze::N,gatta,коӵыш
178,Bär::N,orso,гондыр
179,Eichhörnchen::N,scoiàttolo,коньы
180,Elch::N,alce,койык
181,Fuchs::N,volpe,ӟичы
182,Hase::N,lepre,кеч
183,Maus::N,topo,шыр
184,Maus::N,sorcio,шыр
185,Wolf::N,lupo,кион
186,Vogel::N,uccello,тылобурдо
187,Schwarm::N,stormo,уллё
188,Huhn::N,gallina,курег
189,Hahn::N,gallo,атас
190,Gans::N,oca,ӟазег
191,Adler::N,àquila,ӧрзи
192,Ente::N,ànatra,ӵӧж
193,Eule::N,gufo,кучыран
194,Eule::N,civetta,кучыран
195,Kranich::N,gru,тури
