,Concept_ID,de,mdf
0,Auge::N,Auge,сельме
1,Ohr::N,Ohr,пиле
2,Nase::N,Nase,шалхка
3,Mund::N,Mund,курга
4,Zahn::N,Zahn,пей
5,Zunge::N,Zunge,кяль
6,Lippe::N,Lippe,търва́
7,Wange::N,Wange,щёка
8,Gesicht::N,Gesicht,шама
9,Stirn::N,Stirn,коня
10,Haar::N,Haar,шя́ярь
11,Schnurrbart::N,Schnurrbart,уса́
12,Bart::N,Bart,сакал
13,Kinn::N,Kinn,ула
14,Kiefer[Anatomie]::N,Kiefer,саласка
15,Kehle::N,Kehle,кълдома
16,Kehle::N,Kehle,кърга́парь
17,Hals::N,Hals,сялдаз
18,Genick::N,Genick,шовонь
19,Kopf::N,Kopf,пря
20,Rücken::N,Rücken,копорь
21,Bauch::N,Bauch,пеке
22,Nabel::N,Nabel,по́кон
23,Busen::N,Busen,потя
24,Brust::N,Brust,мяште
25,Schulter::N,Schulter,лафту
26,Arm::N,Arm,кядь
27,Ellenbogen::N,Ellenbogen,кенерьба́карь
28,Hand::N,Hand,кядь
29,Handfläche::N,Handfläche,кядьлапш
30,Finger::N,Finger,сур
31,Fingernagel::N,Fingernagel,кенже
32,Nagel[Anatomie]::N,Nagel,кенже
33,Zeh::N,Zeh,пильгосу́р
34,Fuß::N,Fuß,пильге
35,Fuß::N,Fuß,пильгелапа
36,Ferse::N,Ferse,кочкяря
37,Knie::N,Knie,эль
38,Knie::N,Knie,пълма́нжа
39,Oberschenkel::N,Oberschenkel,пильгепукша
40,Bein::N,Bein,пильге
41,Körper::N,Körper,ро́нга
42,Körper::N,Körper,по́нда
43,Haut::N,Haut,киське
44,Blut::N,Blut,вер
45,Ader::N,Ader,сан
46,Ader::N,Ader,верза́н
47,Sehne::N,Sehne,коське сан
48,Knochen::N,Knochen,пакарь
49,Gehirn::N,Gehirn,уй
50,Herz::N,Herz,седи
51,Magen::N,Magen,коткърдазь
52,Leber::N,Leber,макса
53,Atem::N,Atem,лекома
54,Atem::N,Atem,ваймонь тарксема
55,Hunger::N,Hunger,вачеши
56,Träne::N,Träne,сельмове́дь
57,Geschmack::N,Geschmack,таньф
58,Geruch::N,Geruch,шине
59,Schlaf::N,Schlaf,удома́
60,Traum::N,Traum,он
61,Himmel::N,Himmel,менель
62,Sonne::N,Sonne,ши
63,Mond::N,Mond,ков
64,Stern::N,Stern,тяште
65,Luft::N,Luft,кожф
66,Wind::N,Wind,варма
67,Welle::N,Welle,тавла
68,Wasser::N,Wasser,ведь
69,Stein::N,Stein,кев
70,Boden::N,Boden,мода
71,Boden::N,Boden,потмакс
72,Erde::N,Erde,мода
73,Erde::N,Erde,мастор
74,Staub::N,Staub,пуль
75,Rauch::N,Rauch,качам
76,Funke::N,Funke,ця́тка
77,Feuer::N,Feuer,тол
78,Licht::N,Licht,ва́лда
79,Schatten::N,Schatten,цильф
80,Wetter::N,Wetter,уша
81,Nebel::N,Nebel,тума́н
82,Wolke::N,Wolke,ковол
83,Regen::N,Regen,пизем
84,Schnee::N,Schnee,лов
85,Eis::N,Eis,эй
86,Frost::N,Frost,ке́льме
87,Kälte::N,Kälte,якшама
88,Hitze::N,Hitze,пси
89,Raureif::N,Raureif,леш
90,Regenbogen::N,Regenbogen,а́тямъёнга
91,Donner::N,Donner,атям
92,Strömung::N,Strömung,шудема́
93,Tropfen::N,Tropfen,путькс
94,Tropfen::N,Tropfen,пътняфкс
95,Schaum::N,Schaum,шов
96,Schmutz::N,Schmutz,ърда́з
97,See::N,See,эрьхке
98,Sumpf::N,Sumpf,шяй
99,Moor::N,Moor,шяй
100,Wiese::N,Wiese,луга
101,Wald::N,Wald,вирь
102,Hügel::N,Hügel,губо́р
103,Hügel::N,Hügel,пандоня
104,Anhöhe::N,Anhöhe,губо́р
105,Berg::N,Berg,панда
106,Gipfel::N,Gipfel,пря
107,Höhle::N,Höhle,у́нда
108,Abhang::N,Abhang,па́нда ша́ма
109,Quelle::N,Quelle,эшиня
110,Bach::N,Bach,шудерькс
111,Fluss::N,Fluss,ляй
112,Ufer::N,Ufer,търва́
113,Küste::N,Küste,ляйтърва́
114,Festland::N,Festland,мода
115,Meer::N,Meer,моря
116,Bucht::N,Bucht,ведьуське
117,Insel::N,Insel,цёнга
118,Blume::N,Blume,панчф
119,Gras::N,Gras,тише
120,Wurzel::N,Wurzel,юр
121,Wurzel::N,Wurzel,ункс
122,Baum::N,Baum,шуфта
123,Stamm::N,Stamm,ро́нга
124,Rinde::N,Rinde,кер
125,Ast::N,Ast,морга
126,Zweig::N,Zweig,тарад
127,Blatt::N,Blatt,лопа
128,Birke::N,Birke,ке́лу
129,Kiefer[Baum]::N,Kiefer,пиче
130,Weide[Baum]::N,Weide,каль
131,Tanne::N,Tanne,куз
132,Horn::N,Horn,сюра
133,Feder::N,Feder,толга
134,Fell::N,Fell,кедь
135,Flügel::N,Flügel,паця
136,Klaue::N,Klaue,кенже
137,Kralle::N,Kralle,кенже
138,Schwanz::N,Schwanz,пула
139,Ei::N,Ei,ал
140,Nest::N,Nest,пиза
141,Bau::N,Bau,пиза
142,Tier::N,Tier,жува́та
143,Herde::N,Herde,нал
144,Herde::N,Herde,стада
145,Kuh::N,Kuh,скал
146,Kuh::N,Kuh,тракс
147,Bulle::N,Bulle,бука
148,Pferd::N,Pferd,лишме
149,Schaf::N,Schaf,уча́
150,Schwein::N,Schwein,тува
151,Hund::N,Hund,пине
152,Katze::N,Katze,катоня
153,Katze::N,Katze,аваката
154,Bär::N,Bär,офта
155,Eichhörnchen::N,Eichhörnchen,ур
156,Elch::N,Elch,ся́рда
157,Fuchs::N,Fuchs,келазь
158,Hase::N,Hase,ну́мол
159,Maus::N,Maus,шеер
160,Wolf::N,Wolf,върьгаз
161,Vogel::N,Vogel,нармонь
162,Schwarm::N,Schwarm,ко́вол
163,Schwarm::N,Schwarm,ме́швеле
164,Huhn::N,Huhn,сараз
165,Hahn::N,Hahn,а́тякш
166,Gans::N,Gans,маци
167,Adler::N,Adler,куцькан
168,Ente::N,Ente,яксярга
169,Eule::N,Eule,ко́рож
170,Kranich::N,Kranich,ка́рга
171,Krähe::N,Krähe,ва́рси
172,Kuckuck::N,Kuckuck,ку́ку
173,Schwan::N,Schwan,ло́ксти
174,Fisch::N,Fisch,кал
175,Barsch::N,Barsch,о́кунь
176,Hecht::N,Hecht,щу́ка
177,Schlange[Tier]::N,Schlange,куй
178,Wurm::N,Wurm,сукс
179,Spinne::N,Spinne,унжа́
180,Ameise::N,Ameise,панжам
181,Laus::N,Laus,си
182,Mücke::N,Mücke,ся́ське
183,Fliege::N,Fliege,кару
184,Schmetterling::N,Schmetterling,ме́лав
185,Beere::N,Beere,и́мож
186,Apfel::N,Apfel,марь
187,Pilz::N,Pilz,панга
188,Zwiebel::N,Zwiebel,шурьхкя́
189,Saat::N,Saat,видьмот
190,Korn::N,Korn,сёра
191,Heu::N,Heu,тише
192,Schale::N,Schale,кедь
193,Grube::N,Grube,лотка
194,Falle::N,Falle,туфкс
195,Falle::N,Falle,кунда́ма
196,Schlinge::N,Schlinge,килькш
197,Spur::N,Spur,пильгоки́
198,Asche::N,Asche,кулу
199,Dreck::N,Dreck,ърда́з
200,Eisen::N,Eisen,кшни
201,Gold::N,Gold,ока
202,Gold::N,Gold,золота
203,Silber::N,Silber,сия́
204,Kohle::N,Kohle,седь
205,Kohle::N,Kohle,седьвальмя
206,Glas::N,Glas,кля́нцек
207,Lehm::N,Lehm,сёвонь
208,Sand::N,Sand,шува́р
209,Mensch::N,Mensch,ломань
210,Mann::N,Mann,аля
211,Mann::N,Mann,цёраломань
212,Frau::N,Frau,ава
213,Kind::N,Kind,идь
214,Kind::N,Kind,шаба
215,Junge::N,Junge,цёраня
216,Mädchen::N,Mädchen,стирня́
217,Familie::N,Familie,тнал
218,Familie::N,Familie,семья
219,Großvater::N,Großvater,атя
220,Großvater::N,Großvater,щя́тя
221,Großmutter::N,Großmutter,баба
