,Concept_ID,tt,hi
0,Auge::N,күз,आँख
1,Auge::N,күз,चक्षु
2,Ohr::N,колак,कान
3,Ohr::N,колак,कर्ण
4,Nase::N,борын,नाक
5,Nase::N,борын,नासा
6,Mund::N,авыз,मुख
7,Mund::N,авыз,मुँह
8,Mund::N,тамак,मुख
9,Mund::N,тамак,मुँह
10,Zahn::N,теш,दंत
11,Zahn::N,теш,दाँत
12,Zunge::N,тел,जीभ
13,Zunge::N,тел,ज़बान
14,Zunge::N,тел,जिह्वा
15,Lippe::N,ирен,ओंठ
16,Lippe::N,ирен,होंठ
17,Wange::N,яңак,गाल
18,Wange::N,яңак,कपोल
19,Gesicht::N,йөз,मुँह
20,Gesicht::N,йөз,चेहरा
21,Stirn::N,маңгай,माथा
22,Stirn::N,маңгай,मस्तक
23,Haar::N,чәч,बाल
24,Schnurrbart::N,мыек,मूँछें
25,Bart::N,сакал,दाढ़ी
26,Kinn::N,ияк,चिबुक
27,Kiefer[Anatomie]::N,казналык,जबड़ा
28,Kehle::N,тамак,गला
29,Hals::N,бугаз,गला
30,Hals::N,бугаз,गरदन
31,Genick::N,җилкә,गरदन
32,Genick::N,җилкә,ग्रीवा
33,Kopf::N,баш,सिर
34,Kopf::N,баш,शीर्ष
35,Rücken::N,сырт,पीठ
36,Bauch::N,корсак,उदर
37,Nabel::N,кендек,नाभि
38,Nabel::N,кендек,ढोंढी
39,Busen::N,түш,कुच
40,Busen::N,түш,स्तन
41,Brust::N,имчәк,वक्ष
42,Brust::N,күкрәк,वक्ष
43,Schulter::N,иңбаш,कंधा
44,Schulter::N,иңбаш,स्कंध
45,Schulter::N,кулбаш,कंधा
46,Schulter::N,кулбаш,स्कंध
47,Arm::N,кул,बाँह
48,Arm::N,кул,बाज़ू
49,Ellenbogen::N,терсәк,कुहनी
50,Hand::N,кул,हाथ
51,Hand::N,кул,हस्त
52,Handfläche::N,уч,हथेली
53,Finger::N,бармак,उँगली
54,Finger::N,бармак,अँगुली
