,Concept_ID,tt,ca
0,Auge::N,күз,ull
1,Ohr::N,колак,orella
2,Nase::N,борын,nas
3,Mund::N,авыз,boca
4,Mund::N,тамак,boca
5,Zahn::N,теш,dent
6,Zunge::N,тел,llēngua
7,Lippe::N,ирен,llavi
8,Wange::N,яңак,galta
9,Gesicht::N,йөз,cara
10,Stirn::N,маңгай,front
11,Haar::N,чәч,cabēll
12,Schnurrbart::N,мыек,bigoti
13,Bart::N,сакал,barba
14,Kinn::N,ияк,mentó
15,Kinn::N,ияк,barbeta
16,Kiefer[Anatomie]::N,казналык,queix
17,Kiefer[Anatomie]::N,казналык,mandíbula
18,Kehle::N,тамак,gola
19,Kehle::N,тамак,gorja
20,Hals::N,бугаз,coll
21,Genick::N,җилкә,nuca
22,Kopf::N,баш,cap
23,Rücken::N,сырт,esquena
24,Bauch::N,корсак,panxa
25,Nabel::N,кендек,llombrígol
26,Busen::N,түш,pit
27,Busen::N,түш,mama
28,Brust::N,имчәк,pit
29,Brust::N,күкрәк,pit
30,Schulter::N,иңбаш,espatlla
31,Schulter::N,кулбаш,espatlla
32,Arm::N,кул,braç
33,Ellenbogen::N,терсәк,colze
34,Hand::N,кул,mà
35,Handfläche::N,уч,palma
36,Finger::N,бармак,dit
37,Fingernagel::N,тырнак,ungla
38,Nagel[Anatomie]::N,тырнак,ungla
39,Zeh::N,бармак,dit del peu
40,Fuß::N,табан,peu
41,Ferse::N,үкчә,taló
42,Knie::N,тез,genoll
43,Oberschenkel::N,бот,cuixa
44,Bein::N,аяк,cama
45,Körper::N,тән,cos
46,Körper::N,җисем,cos
47,Haut::N,тире,pell
48,Blut::N,кан,sang
49,Ader::N,тамыр,vena
50,Sehne::N,сеңер,tendó
51,Knochen::N,сөяк,os
52,Gehirn::N,ми,cervell
53,Herz::N,йөрәк,cor
54,Magen::N,ашказаны,estómac
55,Leber::N,бавыр,fetge
56,Atem::N,сулыш,alè
57,Atem::N,сулыш,hàlit
58,Hunger::N,ачлык,fam
59,Hunger::N,ачлык,gana
60,Träne::N,яшь,llàgrima
61,Geschmack::N,тәм,gust
62,Geschmack::N,тәм,sabor
63,Geschmack::N,зәвык,gust
64,Geschmack::N,зәвык,sabor
65,Geruch::N,ис,olor
66,Schlaf::N,йокы,son
67,Traum::N,төш,somni
68,Himmel::N,күк,celm
69,Sonne::N,кояш,sol
70,Mond::N,ай,lluna
71,Stern::N,йолдыз,estel
72,Stern::N,йолдыз,estrella
73,Luft::N,һава,aire
74,Wind::N,җил,vent
75,Welle::N,дулкын,ona
76,Wasser::N,су,āigua
77,Stein::N,таш,pedra
78,Boden::N,туфрак,sòl
79,Erde::N,җир,terra
80,Staub::N,тузан,pols
81,Rauch::N,төтен,fum
82,Funke::N,очкын,guspira
83,Funke::N,очкын,centella
84,Feuer::N,ут,foc
85,Licht::N,якты,llum
86,Schatten::N,күләгә,ombra
87,Wetter::N,һава,temps
88,Nebel::N,томан,boira
89,Wolke::N,болыт,núvol
90,Regen::N,яңгыр,pluja
91,Schnee::N,кар,neu
92,Eis::N,боз,gel
93,Eis::N,боз,glaç
94,Frost::N,суык,glaçada
95,Frost::N,салкын,glaçada
96,Kälte::N,суык,fred
97,Kälte::N,салкын,fred
98,Hitze::N,эсселек,calor
99,Raureif::N,бәс,gebre
100,Raureif::N,сыкы,gebre
101,Regenbogen::N,салават күпере,arc iris
102,Donner::N,күкрәү,tro
103,Strömung::N,агыш'агым,corrent
104,Tropfen::N,тамчы,gota
105,Schaum::N,күбек,escuma
106,Schmutz::N,пычрак,brutícia
107,See::N,күл,llac
108,Sumpf::N,саз,pantà
109,Moor::N,торфлык,pantà
110,Wiese::N,болын,prat
111,Wiese::N,болын,prada
112,Wald::N,урман,bosc
113,Hügel::N,калку,puig
114,Hügel::N,калку,pujol
115,Anhöhe::N,үр,turó
116,Berg::N,тау,muntanya
117,Gipfel::N,оч,cim
118,Höhle::N,мәгарә,cova
119,Abhang::N,кабырга,coster
120,Quelle::N,чишмә,font
121,Bach::N,елга,riera
122,Fluss::N,дәрья,riu
123,Ufer::N,су кырые,riba
124,Küste::N,яр буе,costa
125,Festland::N,коры җир,terra ferma
126,Meer::N,диңгез,mar
127,Bucht::N,бухта,cala
128,Bucht::N,бухта,badia
129,Bucht::N,култык,cala
130,Bucht::N,култык,badia
131,Insel::N,атау,illa
132,Insel::N,утрау,illa
133,Blume::N,чәчкә,flor
134,Gras::N,үлән,herba
135,Wurzel::N,тамыр,rel
136,Wurzel::N,тамыр,arrel
137,Baum::N,агач,arbre
138,Stamm::N,кәүсә,tronc
139,Rinde::N,кабык,escorça
140,Ast::N,ботак,branca
141,Zweig::N,ботак,ram
142,Zweig::N,тармак,ram
143,Blatt::N,яфрак,fulla
144,Birke::N,каен,bedoll
145,Kiefer[Baum]::N,нарат,pi
146,Weide[Baum]::N,тал,salze
147,Tanne::N,чыршы,avet
148,Horn::N,мөгез,corn
149,Horn::N,мөгез,banya
150,Feder::N,йон,ploma
151,Fell::N,тире,pell
152,Flügel::N,канат,ala
153,Klaue::N,тырнак,urpa
154,Kralle::N,тырнак,grapa
155,Schwanz::N,койрык,cua
156,Ei::N,күкәй,ou
157,Ei::N,йомырка,ou
158,Nest::N,оя,niu
159,Bau::N,өн,cau
160,Tier::N,хайван,animāl
161,Herde::N,көтү,ramat
162,Kuh::N,сыер,vaca
163,Bulle::N,үгез,toro
164,Pferd::N,ат,cavāll
165,Schaf::N,сарык,be
166,Schaf::N,сарык,ovella
167,Schwein::N,дуңгыз,bacó
168,Hund::N,эт,ca
169,Hund::N,эт,gos
170,Katze::N,песи,gat
171,Bär::N,аю,ós
172,Eichhörnchen::N,тиен,esquirol
173,Elch::N,поши,ant
174,Fuchs::N,төлке,guilla
175,Hase::N,куян,llebre
176,Maus::N,тычкан,ratolí
177,Wolf::N,бүре,llop
178,Vogel::N,кош,au
179,Vogel::N,кош,ocēll
180,Schwarm::N,көтү,bandada
181,Huhn::N,тавык,gallina
182,Hahn::N,әтәч,gall
183,Gans::N,каз,oca
184,Adler::N,каракош,àguila
185,Ente::N,үрдәк,ànec
186,Eule::N,ябалак,òliba
187,Eule::N,ябалак,mussol
188,Kranich::N,торна,grua
189,Krähe::N,карга,cornella
190,Kuckuck::N,күке,cucut
191,Kuckuck::N,кәккүк,cucut
192,Schwan::N,аккош,cigne
193,Fisch::N,балык,peix
194,Barsch::N,алабуга,perca
195,Hecht::N,чуртан,lluç
196,Schlange[Tier]::N,елан,serp
197,Wurm::N,корт,cuc
198,Spinne::N,үрмәкүч,aranya
199,Ameise::N,кырмыска,formiga
200,Laus::N,бет,poll
201,Mücke::N,черки,mosquit
202,Mücke::N,озынборын,mosquit
203,Fliege::N,чебен,mosca
204,Schmetterling::N,күбәләк,papallona
205,Beere::N,җиләк,baia
206,Apfel::N,алма,poma
207,Pilz::N,гөмбә,bolet
208,Zwiebel::N,суган,ceba
209,Zwiebel::N,суганбаш,ceba
210,Saat::N,орлык,sembra
211,Korn::N,иген,gra
212,Korn::N,орлык,gra
213,Heu::N,печән,fenc
214,Schale::N,кабык,closca
215,Grube::N,баз,sot
216,Grube::N,баз,clot
217,Grube::N,чокыр,sot
218,Grube::N,чокыр,clot
219,Falle::N,тозак,trampa
220,Falle::N,капкын,trampa
221,Schlinge::N,элмәк,baga
222,Spur::N,эз,traça
223,Asche::N,көл,cendra
224,Dreck::N,пычрак,llot
225,Eisen::N,тимер,ferro
226,Gold::N,алтын,or
227,Silber::N,көмеш,plata
228,Kohle::N,күмер,carbó
229,Glas::N,пыяла,vidre
230,Lehm::N,балчык,fang
231,Lehm::N,балчык,argila
232,Sand::N,ком,arena
233,Mensch::N,адәм,humà
234,Mensch::N,адәм,persona
235,Mensch::N,инсан,humà
236,Mensch::N,инсан,persona
237,Mann::N,ир,home
238,Frau::N,хатын,dona
239,Kind::N,бала,nen
240,Junge::N,малай,noi
241,Mädchen::N,кыз,noia
242,Familie::N,гаилә,família
243,Großvater::N,бабай,avi
244,Großmutter::N,әби,àvia
245,Eltern::N,ата-ана,pares
246,Vater::N,ата,pare
247,Mutter::N,ана,mare
248,Sohn::N,ул,fill
249,Tochter::N,кыз,filla
250,Bruder::N,кардәш,germà
251,Schwester::N,апа,germana
252,Schwester::N,сеңел,germana
253,Onkel::N,дәдә,oncle
254,Onkel::N,дәдәй,oncle
255,Tante::N,түти,tia
256,Tante::N,тәтәй,tia
257,Ehemann::N,ир,espòs
258,Ehefrau::N,хатын,muller
259,Freude::N,сөенеч,goig
260,Freude::N,сөенеч,alegria
261,Gelächter::N,көлү,riallada
262,Gelächter::N,көлеш,riallada
263,Glück::N,бәхет,felicitat
264,Kummer::N,хәсрәт,pena
265,Wunsch::N,теләк,desig
266,Lust::N,теләк,ganes
267,Lust::N,теләү,ganes
268,Geist::N,рух,ment
269,Geist::N,рух,esperit
270,Gedanke::N,уй,pensament
271,Gedanke::N,фикер,pensament
272,Gedächtnis::N,хәтер,memòria
273,Verstand::N,акыл,raó
274,Verstand::N,акыл,seny
275,Sinn::N,мәгънә,solta
276,Sinn::N,мәгънә,sentit
277,Grund::N,сәбәп,raó
278,Grund::N,сәбәп,causa
279,Wahrheit::N,хак,veritāt
280,Gespräch::N,әңгәмә,conversa
281,Märchen::N,әкият,conte
282,Erzählung::N,хикәя,narració
283,Nachricht::N,хәбәр,missatge
284,Neuigkeit::N,яңалык,novetat
285,Name::N,исем,nom
286,Rätsel::N,табышмак,endevinalla
287,Rede::N,нотык,discurs
288,Sprache::N,тел,llēngua
289,Stimme::N,тавыш,veu
290,Wort::N,сүз,mot
291,Wort::N,сүз,paraula
292,Zeichen::N,ишарә,signe
293,Zeichen::N,ишарә,senyal
294,Ruf::N,дәшү,crida
295,Lärm::N,шау,sorōll
296,Laut::N,аваз,so
297,Ton::N,шалтырату,to
298,Lied::N,җыр,cançó
299,Ruhe::N,тынлык,calma
300,Ruhe::N,тынлык,silenci
301,Leute::N,халык,gent
302,Volk::N,халык,poble
303,Arbeit::N,эш,labor
304,Arbeit::N,эш,treball
305,Arbeit::N,хезмәт,labor
306,Arbeit::N,хезмәт,treball
307,Gast::N,кунак,hoste
308,Geschenk::N,бүләк,regal
309,Geschenk::N,бүләк,obsequi
310,Spiel::N,уен,joc
311,Gesellschaft::N,җәмгыять,companyia
312,Hilfe::N,ярдәм,ajut
313,Hilfe::N,булышлык,ajut
314,Freund::N,дус,amīc
315,Kamerad::N,иптәш,company
316,Kamerad::N,иптәш,camarada
317,Angelegenheit::N,эш,afer
318,Angelegenheit::N,эш,assumpte
319,Anzahl::N,микъдар,nombre
320,Anzahl::N,микъдар,quantitat
321,Art::N,төр,tipus
322,Art::N,төр,classe
323,Stück::N,кисәк,peça
324,Teil::N,өлеш,part
325,Hälfte::N,ярым,meitat
326,Kreis::N,түгәрәк,cercle
327,Kreuz::N,хач,creu
328,Kreuz::N,тәре,creu
329,Linie::N,сызык,línia
330,Strich::N,сызык,traç
331,Strich::N,сызык,ratlla
332,Abstand::N,ара,distància
333,Entfernung::N,ераклык,distància
334,Gegend::N,урын,regió
335,Gegend::N,урын,contrada
336,Platz::N,бушлык,cabuda
337,Ort::N,урын,lloc
338,Seite::N,як,banda
339,Seite::N,як,costāt
340,Mitte::N,урта,mig
341,Mitte::N,урта,centre
342,Gegenstand::N,нәрсә,objecte
343,Sache::N,нәрсә,cosa
344,Rand::N,чит,vora
345,Rand::N,чит,marge
346,Kante::N,кырый,caire
347,Kante::N,кырый,cantell
348,Ecke::N,почмак,cantonada
349,Spitze::N,оч,punta
350,Ende::N,азак,cap
351,Loch::N,тишек,forāt
352,Winkel::N,почмак,racó
353,Muster::N,парча,dibuix
354,Muster::N,парча,disseny
355,Größe::N,зурлык,grandària
356,Länge::N,озынлык,longitud
357,Höhe::N,биеклек,altura
358,Höhe::N,биеклек,altitud
359,Gewicht::N,авырлык,pes
360,Menge::N,микъдар,quantitat
361,Haufen::N,өем,pila
362,Reihe::N,рәт,fila
363,Boot::N,каек,bot
364,Boot::N,каек,barca
365,Boot::N,көймә,bot
366,Boot::N,көймә,barca
367,Ruder::N,ишкәк,rem
368,Schlitten::N,чана,trineu
369,Ski::N,чаңгы,esquí
370,Lagerfeuer::N,костёр,foc de campament
371,Last::N,йөк,càrrega
372,Gang::N,йөреш,marxa
373,Schritt::N,адым,pas
374,Norden::N,төньяк,nord
375,Süden::N,көньяк,sud
376,Westen::N,көнбатыш,oest
377,Westen::N,көнбатыш,occident
378,Osten::N,шәрык,est
379,Osten::N,шәрык,orient
380,Osten::N,көнчыгыш,est
381,Osten::N,көнчыгыш,orient
382,Holz::N,агач,fusta
383,Brett::N,такта,taula
384,Platte::N,плитә,placa
385,Stütze::N,таяу,suport
386,Stange::N,колга,vara
387,Stock::N,таяк,pal
388,Stab::N,таяк,bastó
389,Rohr::N,торба,tub
390,Haus::N,өй,casa
391,Haus::N,йорт,casa
392,Heim::N,гаилә,llar
393,Heim::N,нәсел,llar
394,Ofen::N,мич,estufa
395,Fußboden::N,идән,terra
396,Tisch::N,өстәл,taula
397,Stuhl::N,утыргыч,cadira
398,Wiege::N,бишек,bressol
399,Bett::N,ятак,llit
400,Bett::N,урын-җир,llit
401,Regal::N,киштә,prestatgeria
402,Regal::N,шүрлек,prestatgeria
403,Kiste::N,әрҗә,caixa
404,Fenster::N,тәрәзә,finestra
405,Tür::N,ишек,porta
406,Tor::N,капка,portal
407,Zaun::N,койма,tanca
408,Dach::N,түбә,teulada
409,Leiter::N,баскыч,escala
410,Leiter::N,баскыч,escala de mà
411,Besen::N,себерке,escombra
412,Spaten::N,көрәк,pala
413,Schaufel::N,көрәк,pala
414,Gabel::N,чәннечке,forquilla
415,Löffel::N,кашык,cullera
416,Messer::N,пычак,coltell
417,Nagel::N,кадак,clau
418,Netz::N,челтәр,filat
419,Haken::N,ыргак,ganxo
420,Griff::N,тотка,puny
421,Griff::N,тотка,mànec
422,Schloss::N,йозак,pany
423,Bild::N,рәсем,imatge
424,Bild::N,картина,imatge
425,Figur::N,сын,figura
426,Figur::N,фигура,figura
427,Puppe::N,курчак,nina
428,Beutel::N,луза,bossa
429,Bündel::N,бәйләм,feix
430,Bündel::N,бәйләм,paquet
431,Tasche::N,букча,bossa
432,Eimer::N,чиләк,galleda
433,Deckel::N,капкач,tapa
434,Deckel::N,капкач,tapadora
435,Geschirr::N,савыт-саба,vaixella
436,Geschirr::N,кашык-аяк,vaixella
437,Sack::N,капчык,sac
438,Sack::N,капчык,saca
439,Tasse::N,чынаяк,tassa
440,Topf::N,чүлмәк,pot
441,Topf::N,чүлмәк,olla
442,Kessel::N,казан,caldera
443,Essen::N,ашау,àpat
444,Essen::N,ашау,menjada
445,Nahrung::N,азык,aliment
446,Nahrung::N,тәгам,aliment
447,Nahrung::N,ашамлык,aliment
448,Speise::N,ризык,plat
449,Fleisch::N,ит,carn
450,Getreide::N,ашлык,cereals
451,Brei::N,ботка,puré
452,Brot::N,ипи,pa
453,Brot::N,икмәк,pa
454,Scheibe::N,телем,tall
455,Scheibe::N,телем,llesca
456,Fett::N,май,greix
457,Butter::N,май,mantega
458,Öl::N,май,oli
459,Salz::N,тоз,sal
460,Suppe::N,шулпа,sopa
461,Honig::N,бал,mel
462,Milch::N,сөт,llet
463,Tee::N,чәй,te
464,Leder::N,күн,cuir
465,Wolle::N,йон,llana
466,Stoff::N,тукыма,tela
467,Nadel::N,энә,agulla
468,Faden::N,җеп,fil
469,Knopf::N,төймә,botó
470,Knoten::N,төен,nus
471,Farbe::N,буяу,pintura
472,Kleidung::N,кием,roba
473,Kleidung::N,кием,vestits
474,Hemd::N,күлмәк,camisa
475,Kragen::N,яка,coll
476,Ärmel::N,җиң,màniga
477,Hose::N,чалбар,pantalōns
478,Gürtel::N,билбау,cinturó
479,Mütze::N,бүрек,gorra
480,Schuh::N,башмак,sabata
481,Stiefel::N,итек,bota
482,Ring::N,балдак,anell
483,Band::N,тасма,veta
484,Band::N,тасма,cinta
485,Kamm::N,тарак,pinta
486,Spiegel::N,көзге,mirāll
487,Riemen::N,каеш,corretja
488,Schnur::N,бау,corda
489,Leine::N,тезген,corretja
490,Decke::N,юрган,manta
491,Decke::N,юрган,flassada
492,Kissen::N,мендәр,coixí
493,Tuch::N,яулык,mocador
494,Handtuch::N,сөлгә,tovallola
495,Kraft::N,егәр,força
496,Kraft::N,дәрман,força
497,Stärke::N,көч,vigor
498,Stärke::N,дәрман,vigor
499,Gesundheit::N,саулык,salut
500,Krankheit::N,чир,malaltia
501,Krankheit::N,хаста,malaltia
502,Krankheit::N,сырхау,malaltia
503,Schmerz::N,авырту,dolor
504,Wunde::N,яра,ferida
505,Wunde::N,җәрәхәт,ferida
506,Fieber::N,бизгәк,febre
507,Arznei::N,дару,medicament
508,Brücke::N,күпер,pont
509,Brunnen::N,кое,pou
510,Weide::N,утлавык,pastura
511,Pfad::N,сукмак,senda
512,Pfad::N,сукмак,sender
513,Weg::N,юл,camí
514,Straße::N,урам,carretera
515,Dorf::N,авыл,poble
516,Stadt::N,шәһәр,ciutāt
517,Brief::N,хат,carta
518,Buch::N,китап,llibre
519,Buchstabe::N,хәреф,lletra
520,Zeitung::N,газет,diāri
521,Zeitung::N,газета,diāri
522,Leben::N,гомер,vida
523,Leben::N,тормыш,vida
524,Leben::N,тереклек,vida
525,Tod::N,үлем,mort
526,Grab::N,гүр,tomba
527,Grab::N,кабер,tomba
528,Kirche::N,чиркәү,església
529,Sünde::N,язык,pecat
530,Sünde::N,гөнаһ,pecat
531,Gott::N,алла,déu
532,Gott::N,ходай,déu
533,Arbeiter::N,эшче,obrer
534,Chef::N,башлык,cap
535,Meister::N,оста,mestre
536,Arzt::N,врач,metge
537,Arzt::N,табиб,metge
538,Lehrer::N,укытучы,mestre
539,Lehrer::N,мөгаллим,mestre
540,Geld::N,акча,dinērs
541,Geschäft::N,эш,negoci
542,Laden::N,кибет,tenda
543,Laden::N,кибет,botiga
544,Laden::N,магазин,tenda
545,Laden::N,магазин,botiga
546,Preis::N,бәя,preu
547,Preis::N,бәһа,preu
548,Ware::N,товар,mercaderia
549,Nutzen::N,файда,profit
550,Reichtum::N,байлык,riquesa
551,Welt::N,дөнья,món
552,Land::N,ил,país
553,Staat::N,дәүләт,estat
554,König::N,патша,rei
555,Macht::N,хакимият,poder
556,Macht::N,хакимият,potència
557,Grenze::N,чик,frontera
558,Krieg::N,сугыш,guerra
559,Feind::N,дошман,enemic
560,Gewalt::N,көчләү,violència
561,Kampf::N,көрәш,lluita
562,Bogen[Waffe]::N,җәя,arc
563,Pfeil::N,ук,fletxa
564,Gewehr::N,мылтык,fusell
565,Gewehr::N,мылтык,escopeta
566,Fehler::N,хата,falta
567,Lüge::N,ялган,mentida
568,Schaden::N,зыян,dany
569,Schaden::N,зарар,dany
570,Unglück::N,бәла,desgràcia
571,Schuld::N,гаеп,culpa
572,Alter::N,яшь,edat
573,Schluss::N,ахыр,fi
574,Schluss::N,ахыр,final
575,Zeit::N,заман,temps
576,Tag::N,көн,dia
577,Morgen::N,иртә,matí
578,Mittag::N,өйлә,migdia
579,Abend::N,кич,vespre
580,Nacht::N,төн,nit
581,Woche::N,атна,setmana
582,Monat::N,ай,mes
583,Jahr::N,ел,any
584,Frühling::N,яз,primavera
585,Sommer::N,җәй,estīu
586,Herbst::N,көз,tardor
587,Winter::N,кыш,hivērn
588,Januar::N,гыйнвар,gener
589,Februar::N,февраль,febrer
590,März::N,март,març
591,April::N,апрель,abril
592,Mai::N,май,maig
593,Juni::N,июнь,juny
594,Juli::N,июль,juliol
595,August::N,август,agost
596,September::N,сентябрь,setembre
597,Oktober::N,октябрь,octubre
598,November::N,ноябрь,novembre
599,Dezember::N,декабрь,desembre
600,Montag::N,дүшәмбе,dilluns
601,Dienstag::N,сишәмбе,dimarts
602,Mittwoch::N,чәршәмбе,dimecres
603,Donnerstag::N,атнакич,dijous
604,Donnerstag::N,пәнҗешәмбе,dijous
605,Freitag::N,җомга,divendres
606,Samstag::N,шимбә,dissabte
607,Sonntag::N,якшәмбе,diumenge
608,groß::A,зур,gros
609,klein::A,кечкенә,petīt
610,lang::A,озын,llarg
611,kurz::A,кыска,curt
612,breit::A,киң,ample
613,schmal::A,кысык,estret
614,dicht::A,куе,dens
615,dick[Gegenstand]::A,калын,gruixūt
616,dünn::A,нечкә,prim
617,fein::A,нәзакәтле,fi
618,fest::A,нык,ferm
619,fest::A,нык,sòlid
620,flach::A,яссы,pla
621,flach::A,ялпак,pla
622,glatt::A,шома,llis
623,hart::A,каты,dur
624,weich::A,йомшак,tou
625,rund::A,түгәрәк,rodó
626,spitz::A,очлы,punxegut
627,scharf::A,үткен,agut
628,stumpf::A,үтмәс,rom
629,stumpf::A,үтмәс,esmussat
630,schwer::A,салмак,pesāt
631,schön::A,гүзәл,bonīc
632,heiß::A,эссе,calēnt
633,warm::A,җылы,càlid
634,kalt::A,суык,fred
635,kalt::A,салкын,fred
636,kühl::A,салкынча,fresc
637,frisch::A,салкынча,fresc
638,feucht::A,юеш,humit
639,nass::A,дымлы,mullat
640,trocken::A,коры,sec
641,voll::A,тулы,ple
642,leer::A,буш,buit
643,offen::A,ачык,obert
644,geschlossen::A,йомык,tancat
645,sauber::A,пакь,net
646,sauber::A,чиста,net
647,schmutzig::A,керле,brut
648,schmutzig::A,пычрак,brut
649,roh::A,чи,cru
650,reif::A,өлгергән,madur
651,lecker::A,тәмле,deliciós
652,süß::A,татлы,dolç
653,bitter::A,ачы,amarg
654,sauer::A,әче,agre
655,hell::A,якты,clar
656,dunkel::A,кара,fosc
657,schwarz::A,кара,negre
658,weiß::A,ак,blanc
659,rot::A,кызыл,vermēll
660,gelb::A,сары,groc
661,blau::A,күк,blau
662,grün::A,яшел,verd
663,grau::A,соры,gris
664,bunt::A,чуар,multicolor
665,billig::A,арзан,barat
666,teuer::A,хаклы,car
667,wertvoll::A,кыйммәтле,preciós
668,blind::A,сукыр,cec
669,blind::A,күзсез,cec
670,taub::A,чукрак,sord
671,taub::A,саңгырау,sord
672,kräftig::A,егәрле,fort
673,kräftig::A,егәрле,vigorós
674,stark::A,нык,fort
675,stark::A,базык,fort
676,schwach::A,зәгыйфь,feble
677,fett::A,симез,gras
678,schlank::A,нәзек,esvelt
679,hübsch::A,чибәр,maco
680,böse::A,усал,dolent
681,dumm::A,акылсыз,ximple
682,dumm::A,акылсыз,estúpid
683,faul::A,ялкау,gandūl
684,faul::A,ялкау,mandrós
685,faul::A,иренчәк,gandūl
686,faul::A,иренчәк,mandrós
687,fleißig::A,тырыш,diligēnt
688,fleißig::A,тырышучан,diligēnt
689,geizig::A,саран,avar
690,klug::A,акыллы,intel·ligent
691,geschickt::A,маһир,hàbil
692,lieb::A,сөекле,amat
693,lieb::A,сөекле,estimat
694,lustig::A,күңелле,alegre
695,sanft::A,басынкы,suau
696,hungrig::A,ач,afamat
697,krank::A,чирле,malālt
698,krank::A,сырхау,malālt
699,nackt::A,шәрә,nu
700,traurig::A,ямансу,trist
701,lebendig::A,тере,viu
702,gut::A,яхшы,bo
703,schlecht::A,начар,dolēnt
704,richtig::A,дөрес,just
705,richtig::A,дөрес,correcte
706,schlimm::A,әшәкә,greu
707,wahr::A,чып-чын,vertader
708,wahr::A,чып-чын,veritable
709,alt::A,иске,vell
710,neu::A,яңа,nou
711,ehemalig::A,элекке,antic
712,alt[Lebewesen]::A,карт,vell
713,jung::A,яшь,jove
714,arm::A,фәкыйрь,pobre
715,reich::A,бай,ric
716,bekannt::A,таныш,conegut
717,berühmt::A,атаклы,famós
718,fremd::A,ят,estrany
719,verschieden::A,төрле,diferent
720,nah::A,якын,pròxim
721,fern::A,ерак,llunyà
722,fern::A,ерак,distant
723,linker::A,сул,esquerre
724,rechter::A,уң,dret
725,anderer::A,бүтән,altre
726,erster::A,беренче,primer
727,zweiter::A,икенче,segon
728,dritter::A,өченче,tercer
729,letzter::A,ахыргы,últim
730,allein::ADV,ялгыз,sol
731,auf einmal::ADV,бердән,d'una vegada
732,zusammen::ADV,бергә,junt
733,lange::ADV,озак,molt de temps
734,plötzlich::ADV,искәрмәстән,de cop
735,plötzlich::ADV,искәрмәстән,de sobte
736,sofort::ADV,хәзер,de seguida
737,später::ADV,соңрак,més tard
738,jetzt::ADV,хәзер,ara
739,heute::ADV,бүген,avūi
740,morgen::ADV,иртәгә,demà
741,bald::ADV,тиздән,aviāt
742,dann::ADV,аннары,després
743,gestern::ADV,кичә,ahir
744,einst::ADV,берчак,anteriorment
745,damals::ADV,ул вакытта,llavōrs
746,damals::ADV,ул вакытта,aleshores
747,damals::ADV,ул чакта,llavōrs
748,damals::ADV,ул чакта,aleshores
749,danach::ADV,да,després
750,vorher::ADV,элек,abāns
751,zuerst::ADV,башта,primer
752,einmal::ADV,бер,una vegada
753,einmal::ADV,бер мәртәбә,una vegada
754,manchmal::ADV,кайчакта,de vegades
755,oft::ADV,еш,sovint
756,immer::ADV,һәркайчан,sempre
757,niemals::ADV,hичбер вакыт,no ... mai
758,hier::ADV,монда,aquí
759,hier::ADV,биредә,aquí
760,hierhin::ADV,монда,per aquí
761,von hier::ADV,моннан,des d'aquí
762,dort::ADV,анда,allí
763,dorthin::ADV,тегеләй,hi
764,geradeaus::ADV,турыдан-туры,tot dret
765,vorwärts::ADV,алга,endavānt
766,rückwärts::ADV,кире,endarrera
767,zurück::ADV,кире,darrere
768,unten::ADV,түбәндә,a baix
769,hinab::ADV,аска,cap avall
770,oben::ADV,өстә,dalt
771,oben::ADV,югарыда,dalt
772,hinauf::ADV,өскә,cap amunt
773,überall::ADV,hәркайда,pertot
774,überall::ADV,hәркайда,per tot arreu
775,nicht::ADV,түгел,no
776,ein wenig::ADV,бераз,una mica
777,kaum::ADV,көчкә,a penes
778,sehr::ADV,бик,molt
779,so::ADV,алай,així
780,noch::ADV,янә,encara
781,noch::ADV,тагын,encara
782,nur::ADV,фәкать,només
783,schon::ADV,инде,ja
784,wieder::ADV,янә,de nou
785,wieder::ADV,тагын,de nou
786,vergebens::ADV,юкка,en va
787,vor::PRP,алдыннан,davānt
788,vor::PRP,алдыннан,enfront de
789,hinter::PRP,арттан,darrera
790,unter::PRP,астында,sota
791,durch::PRP,аша,per
792,neben::PRP,тирәсендә,al costāt de
793,zwischen::PRP,арасында,entre
794,wegen::PRP,сәбәпле,a causa de
795,dies::PRN,бу,aquest
796,das::PRN,ул,això
797,alles::PRN,һәммә,tot
798,ich::PRN,мин,jo
799,du::PRN,син,tu
800,er::PRN,ул,ell
801,wir::PRN,без,nosaltres
802,ihr::PRN,сез,vosaltres
803,sie::PRN,ул,ells
804,sie::PRN,ул,elles
805,was::FPRN,ни,què
806,was::FPRN,нәрсә,què
807,wer::FPRN,кем,qui
808,wo::FADV,кайда,on
809,wohin::FADV,кая,cap a on
810,wie::FADV,ничек,com
811,warum::FADV,нигә,per què
812,wieviel::FNUM,ничә,quant
813,eins::NUM,бер,u
814,zwei::NUM,ике,dos
815,drei::NUM,өч,tres
816,vier::NUM,дүрт,quatre
817,fünf::NUM,биш,cinc
818,sechs::NUM,алты,sis
819,sieben::NUM,җиде,set
820,acht::NUM,сигез,vuit
821,neun::NUM,тугыз,nou
822,zehn::NUM,ун,deu
823,elf::NUM,унбер,onze
824,zwölf::NUM,унике,dotze
825,zwanzig::NUM,егерме,vint
826,dreißig::NUM,утыз,trenta
827,vierzig::NUM,кырык,quaranta
