,Concept_ID,sah,zh
0,Auge::N,харах,眼睛
1,Ohr::N,кулгаах,耳朵
2,Nase::N,мурун,鼻子
3,Mund::N,айах,嘴
4,Zahn::N,тиис,牙齿
5,Zunge::N,тыл,舌头
6,Lippe::N,уос,嘴唇
7,Wange::N,иэдэс,面颊
8,Gesicht::N,сирэй,脸
9,Stirn::N,сүүс,额
10,Haar::N,баттах,头发
11,Schnurrbart::N,уос бытыга,髭须
12,Bart::N,сэҥийэ бытыга,胡子
13,Kinn::N,сэҥийэ,下巴
14,Kiefer[Anatomie]::N,сыҥаах,颌
15,Kehle::N,тамах,嗓子
16,Kehle::N,күөмэй,嗓子
17,Hals::N,моой,颈
18,Genick::N,кэтэх,后颈
19,Kopf::N,бас,头
20,Rücken::N,көҕүс,背
21,Bauch::N,ис,肚子
22,Nabel::N,киин,肚脐
23,Busen::N,эмиий,胸脯
24,Brust::N,түөс,胸
25,Schulter::N,сарын,肩膀
26,Arm::N,илии,臂膀
27,Ellenbogen::N,тоҕонох,肘
28,Hand::N,илии,手
29,Handfläche::N,ытыс,手掌
30,Finger::N,тарбах,手指
31,Fingernagel::N,тыҥырах,指甲
32,Nagel[Anatomie]::N,тыҥырах,指甲
33,Zeh::N,тарбах,脚趾
34,Fuß::N,уллуҥах,脚
35,Ferse::N,тилэх,后跟
36,Knie::N,тобук,膝
37,Knie::N,дьилбэк,膝
38,Oberschenkel::N,уллук,大腿
39,Oberschenkel::N,өттүк,大腿
40,Bein::N,атах,腿
41,Körper::N,бэйэ,身体
42,Haut::N,тирии,皮肤
43,Blut::N,хаан,血
44,Ader::N,вена,血管
45,Ader::N,күөх_тымыр,血管
46,Sehne::N,иҥиир,腱
47,Knochen::N,уҥуох,骨
48,Knochen::N,уҥгуох,骨
49,Gehirn::N,мэйии,脑
50,Herz::N,сүрэх,心
51,Magen::N,куртах,胃
52,Leber::N,быар,肝
53,Atem::N,тыын,呼吸
54,Hunger::N,аас,饿
55,Träne::N,харах уута,眼泪
56,Geschmack::N,амтан,味道
57,Geruch::N,сыт,气味
58,Schlaf::N,утуйуу,睡眠
59,Traum::N,түүл,梦
60,Himmel::N,халлаан,天空
61,Sonne::N,күн,太阳
62,Mond::N,ый,月亮
63,Stern::N,сулус,星
64,Luft::N,салгын,空气
65,Wind::N,тыал,风
66,Welle::N,долгун,波
67,Welle::N,балхаан,波
68,Wasser::N,уу,水
69,Stein::N,таас,石头
70,Boden::N,сир,地面
71,Erde::N,буор,地
72,Staub::N,быыл,灰尘
73,Rauch::N,буруо,烟
74,Funke::N,кыым,火花
75,Feuer::N,уот,火
76,Licht::N,уот,光
77,Schatten::N,күлүк,影子
78,Wetter::N,күн-дьыл,天气
79,Nebel::N,туман,雾
80,Wolke::N,былыт,云
81,Regen::N,самыыр,雨
82,Schnee::N,хаар,雪
83,Eis::N,муус,冰
84,Frost::N,тымныы,霜冻
85,Kälte::N,тымныы,寒冷
86,Hitze::N,куйаас,炎热
87,Raureif::N,кырыа,霜
88,Regenbogen::N,кустук,虹
89,Donner::N,этиҥ,雷
90,Strömung::N,сүүрүк,水流
91,Tropfen::N,таммах,滴
92,Tropfen::N,хааппыла,滴
93,Schaum::N,күүгэн,泡沫
94,Schmutz::N,кир,赃物
95,See::N,күөл,湖
96,Sumpf::N,бадараан,沼泽
97,Moor::N,дьэбэрэ,沼泽
98,Wiese::N,ходуһа,草地
99,Wald::N,ойуур,森林
100,Hügel::N,булгунньах,丘陵
101,Anhöhe::N,үрдэл,山丘
102,Berg::N,хайа,山
103,Gipfel::N,чыпчаал,峰
104,Höhle::N,хайа_хаспаҕа,洞穴
105,Höhle::N,көҥүс,洞穴
106,Abhang::N,эниэ,斜坡
107,Quelle::N,дьүүктэ,泉
108,Bach::N,үрүйэ,溪
109,Fluss::N,өрүс,河流
110,Ufer::N,биэрэк,岸
111,Küste::N,кытыл,海岸
112,Festland::N,кураанах сир,大陆
113,Meer::N,муора,海
114,Bucht::N,хомо,海湾
115,Bucht::N,бухта,海湾
116,Insel::N,арыы,岛
117,Blume::N,сибэкки,花
118,Gras::N,от,草
119,Wurzel::N,силис,根
120,Baum::N,мас,树
121,Stamm::N,умнас,树干
122,Rinde::N,хатырык,树皮
123,Ast::N,мутук,树枝
124,Zweig::N,лабаа,树枝
125,Blatt::N,сэбирдэх,叶子
126,Birke::N,хатыҥ,桦木
127,Kiefer[Baum]::N,бэс,松树
128,Weide[Baum]::N,үөт,柳树
129,Weide[Baum]::N,талах,柳树
