,Concept_ID,pt,uk
0,Auge::N,olho,око
1,Ohr::N,orelha,вухо
2,Nase::N,nariz,ніс
3,Mund::N,boca,рот
4,Zahn::N,dente,зуб
5,Zunge::N,língua,язик
6,Lippe::N,lábio,губа
7,Wange::N,face,щока
8,Gesicht::N,cara,обличчя
9,Gesicht::N,rosto,обличчя
10,Stirn::N,testa,лоб
11,Haar::N,cabelo,волосся
12,Schnurrbart::N,bigode,вуса
13,Bart::N,barba,борода
14,Kinn::N,queixo,підборіддя
15,Kiefer[Anatomie]::N,maxila,щелепа
16,Kiefer[Anatomie]::N,mandíbula,щелепа
17,Kehle::N,garganta,горло
18,Hals::N,colo,шия
19,Hals::N,pescoço,шия
20,Genick::N,nuca,потилиця
21,Kopf::N,cabeça,голова
22,Rücken::N,dorso,спина
23,Rücken::N,costas,спина
24,Bauch::N,ventre,живіт
25,Bauch::N,barriga,живіт
26,Nabel::N,umbigo,пупок
27,Busen::N,seio,груди
28,Brust::N,peito,груди
29,Schulter::N,ombro,плече
30,Arm::N,braço,рука
31,Ellenbogen::N,cotovelo,лікоть
32,Hand::N,mão,рука
33,Handfläche::N,palma,долоня
34,Handfläche::N,palma da mão,долоня
35,Finger::N,dedo,палець
36,Fingernagel::N,unha,ніготь
37,Nagel[Anatomie]::N,unha,ніготь
38,Zeh::N,dedo do pé,палець на нозі
39,Fuß::N,pé,нога
40,Ferse::N,calcanhar,п’ятка
41,Knie::N,joelho,коліно
42,Oberschenkel::N,coxa,стегно
43,Bein::N,perna,нога
44,Körper::N,corpo,тіло
45,Haut::N,pele,шкіра
46,Blut::N,sangue,кров
47,Ader::N,veia,вена
48,Sehne::N,tendão,сухожилля
49,Knochen::N,osso,кістка
50,Gehirn::N,cérebro,мозок
51,Herz::N,coração,серце
52,Magen::N,estômago,шлунок
53,Leber::N,fígado,печінка
54,Atem::N,fôlego,дихання
55,Hunger::N,fome,голод
56,Träne::N,lágrima,сльоза
57,Geschmack::N,gosto,смак
58,Geruch::N,odor,запах
59,Geruch::N,cheiro,запах
60,Schlaf::N,sono,сон
61,Schlaf::N,sono,сплячка
62,Traum::N,sonho,сон
63,Himmel::N,céu,небо
64,Sonne::N,sol,сонце
65,Mond::N,lua,місяць
66,Stern::N,estrela,зірка
67,Luft::N,ar,повітря
68,Wind::N,vento,вітер
69,Welle::N,onda,хвиля
70,Wasser::N,água,вода
71,Stein::N,pedra,камінь
72,Boden::N,solo,ґрунт
73,Erde::N,terra,земля
74,Staub::N,pó,пил
75,Rauch::N,fumo,дим
76,Funke::N,faísca,іскра
77,Funke::N,centelha,іскра
78,Feuer::N,fogo,вогонь
79,Licht::N,luz,світло
80,Schatten::N,sombra,тінь
81,Wetter::N,tempo,погода
82,Nebel::N,nevoeiro,туман
83,Wolke::N,nuvem,хмара
84,Regen::N,chuva,дощ
85,Schnee::N,neve,сніг
86,Eis::N,gelo,лід
87,Frost::N,gelo,мороз
88,Frost::N,geada,мороз
89,Kälte::N,frio,холод
90,Hitze::N,ardor,жар
91,Raureif::N,geada,іній
92,Regenbogen::N,arco-iris,райдуга
93,Donner::N,trovão,грім
94,Strömung::N,corrente,струмина
95,Tropfen::N,gota,крапля
96,Schaum::N,espuma,піна
97,Schmutz::N,sujidade,бруд
98,Schmutz::N,imundície,бруд
99,See::N,lago,озеро
100,Sumpf::N,charco,драговина
101,Sumpf::N,pântano,драговина
102,Moor::N,pântano,болото
103,Wiese::N,prado,луг
104,Wiese::N,prado,лука
105,Wald::N,bosque,ліс
106,Wald::N,floresta,ліс
107,Hügel::N,colina,горб
108,Anhöhe::N,alto,височина
109,Anhöhe::N,outeiro,височина
110,Berg::N,monte,гора
111,Berg::N,montanha,гора
112,Gipfel::N,pico,вершина
113,Höhle::N,caverna,печера
114,Abhang::N,encosta,схил
115,Quelle::N,fonte,джерело
116,Bach::N,regato,струмок
117,Bach::N,ribeiro,струмок
118,Fluss::N,rio,річка
119,Ufer::N,beira,берег
120,Küste::N,costa,узбережжя
121,Festland::N,terra firme,суша
122,Meer::N,mar,море
123,Bucht::N,baía,бухта
124,Bucht::N,baía,затока
125,Insel::N,ilha,острів
126,Blume::N,flor,квітка
127,Gras::N,erva,трава
128,Wurzel::N,raiz,корінь
129,Baum::N,árvore,дерево
130,Stamm::N,tronco,стовбур
131,Rinde::N,casca,кора
132,Ast::N,ramo,гілка
133,Zweig::N,galho,галузь
134,Blatt::N,folha,лист
135,Birke::N,bétula,береза
136,Kiefer[Baum]::N,pinheiro,сосна
137,Weide[Baum]::N,salgueiro,верба
138,Tanne::N,abeto,ялиця
139,Horn::N,corno,ріг
140,Horn::N,chifre,ріг
141,Feder::N,pena,перо
142,Fell::N,pele,хутро
143,Flügel::N,asa,крило
144,Klaue::N,pata,кіготь
145,Kralle::N,unha,лапа
146,Kralle::N,garra,лапа
147,Schwanz::N,rabo,хвіст
148,Schwanz::N,cauda,хвіст
149,Ei::N,ovo,яйце
150,Nest::N,ninho,гніздо
151,Bau::N,toca,лігво
152,Bau::N,covil,лігво
153,Tier::N,animal,тварина
154,Herde::N,rebanho,стадо
155,Kuh::N,vaca,корова
156,Bulle::N,touro,бик
157,Bulle::N,touro,бугай
158,Pferd::N,cavalo,кінь
159,Schaf::N,ovelha,вівця
160,Schwein::N,porco,свиня
161,Hund::N,cão,собака
162,Katze::N,gata,кішка
163,Bär::N,urso,ведмідь
164,Eichhörnchen::N,esquilo,білка
165,Elch::N,alce,лось
166,Fuchs::N,raposa,лисиця
167,Hase::N,lebre,заєць
168,Maus::N,rato,миша
169,Wolf::N,lobo,вовк
170,Vogel::N,ave,птах
171,Vogel::N,pássaro,птах
172,Schwarm::N,bando,зграя
173,Schwarm::N,enxame,зграя
174,Huhn::N,galinha,курка
175,Hahn::N,galo,півень
176,Gans::N,ganso,гуска
177,Adler::N,águia,орел
178,Ente::N,pata,качка
179,Eule::N,mocho,сова
180,Eule::N,coruja,сова
181,Kranich::N,grou,журавель
182,Krähe::N,gralha,ворона
183,Kuckuck::N,cuco,зозуля
184,Schwan::N,cisne,лебідь
185,Fisch::N,peixe,риба
186,Barsch::N,perca,окунь
187,Hecht::N,lúcio,щука
188,Schlange[Tier]::N,serpente,змія
189,Wurm::N,verme,черв’як
190,Spinne::N,aranha,павук
191,Ameise::N,formiga,мурашка
192,Laus::N,piolho,воша
193,Mücke::N,mosquito,комар
194,Fliege::N,mosca,муха
195,Schmetterling::N,borboleta,метелик
196,Beere::N,bago,ягода
197,Apfel::N,maçã,яблуко
198,Pilz::N,fungo,гриб
199,Pilz::N,cogumelo,гриб
200,Zwiebel::N,cebola,цибуля
201,Saat::N,sementeira,сім’я
202,Korn::N,grão,зерно
203,Heu::N,feno,сіно
204,Schale::N,casca,шкірка
205,Grube::N,cova,яма
206,Grube::N,fossa,яма
207,Falle::N,armadilha,пастка
208,Schlinge::N,laço,петля
209,Spur::N,pista,слід
210,Spur::N,vestígio,слід
211,Asche::N,cinza,зола
212,Asche::N,cinza,попіл
213,Dreck::N,sujidade,бруд
214,Eisen::N,ferro,залізо
215,Gold::N,ouro,золото
216,Silber::N,prata,срібло
217,Kohle::N,carvão,вугілля
218,Glas::N,vidro,скло
219,Lehm::N,barro,глина
220,Lehm::N,argila,глина
221,Sand::N,areia,пісок
222,Mensch::N,homem,людина
223,Mensch::N,pessoa,людина
224,Mann::N,homem,чоловік
225,Frau::N,mulher,жінка
226,Kind::N,filho,дитина
227,Kind::N,criança,дитина
228,Junge::N,rapaz,хлопець
229,Junge::N,menino,хлопець
230,Mädchen::N,menina,дівчина
231,Mädchen::N,rapariga,дівчина
232,Familie::N,família,сім’я
233,Familie::N,família,родина
234,Großvater::N,avô,дідусь
235,Großmutter::N,avó,бабуся
236,Eltern::N,pais,батьки
237,Vater::N,pai,батько
238,Mutter::N,mãe,мати
239,Sohn::N,filho,син
240,Tochter::N,filha,дочка
241,Bruder::N,irmão,брат
242,Schwester::N,irmã,сестра
243,Onkel::N,tio,дядько
244,Tante::N,tia,тітка
245,Ehemann::N,esposo,чоловік
246,Ehefrau::N,esposa,жінка
247,Ehefrau::N,esposa,дружина
248,Freude::N,prazer,радощі
249,Freude::N,alegria,радощі
250,Gelächter::N,risada,сміх
251,Gelächter::N,gargalhada,сміх
252,Glück::N,felicidade,щастя
253,Kummer::N,aflição,горе
254,Kummer::N,desgosto,горе
255,Wunsch::N,desejo,бажання
256,Lust::N,vontade,бажання
257,Geist::N,mente,дух
258,Geist::N,espírito,дух
259,Gedanke::N,ideia,думка
260,Gedanke::N,pensamento,думка
261,Gedächtnis::N,memória,пам’ять
262,Verstand::N,razão,розум
263,Verstand::N,inteligência,розум
264,Sinn::N,sentido,зміст
265,Sinn::N,sentido,значення
266,Sinn::N,significado,зміст
267,Sinn::N,significado,значення
268,Grund::N,causa,причина
269,Grund::N,motivo,причина
270,Wahrheit::N,verdade,правда
271,Gespräch::N,conversa,розмова
272,Gespräch::N,conversação,розмова
273,Märchen::N,conto,байка
274,Erzählung::N,conto,повість
275,Erzählung::N,conto,оповідання
276,Erzählung::N,narrativa,повість
277,Erzählung::N,narrativa,оповідання
278,Nachricht::N,mensagem,повідомлення
279,Neuigkeit::N,notícia,новина
280,Neuigkeit::N,novidade,новина
281,Name::N,nome,ім’я
282,Rätsel::N,adivinha,загадка
283,Rede::N,oração,промова
284,Rede::N,discurso,промова
285,Sprache::N,língua,мова
286,Stimme::N,voz,голос
287,Wort::N,palavra,слово
288,Zeichen::N,marca,знак
289,Ruf::N,grito,оклик
290,Ruf::N,chamada,оклик
291,Lärm::N,ruído,шум
292,Lärm::N,barulho,шум
293,Laut::N,som,звук
294,Ton::N,tom,тон
295,Lied::N,canção,пісня
296,Ruhe::N,calma,спокій
297,Ruhe::N,silêncio,спокій
298,Leute::N,gente,люди
299,Leute::N,pessoas,люди
300,Volk::N,povo,народ
301,Volk::N,nação,народ
302,Arbeit::N,trabalho,робота
303,Gast::N,hóspede,гість
304,Gast::N,convidado,гість
305,Geschenk::N,prenda,подарунок
306,Geschenk::N,presente,подарунок
307,Spiel::N,jogo,гра
308,Gesellschaft::N,companhia,товариство
309,Hilfe::N,ajuda,допомога
310,Hilfe::N,socorro,допомога
311,Freund::N,amigo,друг
312,Freund::N,amigo,приятель
313,Kamerad::N,camarada,товариш
314,Angelegenheit::N,assunto,справа
315,Anzahl::N,número,число
316,Anzahl::N,quantidade,число
317,Art::N,tipo,рід
318,Art::N,espécie,рід
319,Stück::N,pedaço,кусок
320,Teil::N,peça,частина
321,Teil::N,parte,частина
322,Hälfte::N,metade,половина
323,Kreis::N,círculo,круг
324,Kreis::N,círculo,коло
325,Kreuz::N,cruz,хрест
326,Linie::N,linha,лінія
327,Strich::N,traço,штрих
328,Abstand::N,distância,проміжок
329,Entfernung::N,distância,відстань
330,Gegend::N,área,місцевість
331,Gegend::N,região,місцевість
332,Platz::N,lugar,площа
333,Ort::N,sítio,місце
334,Seite::N,lado,сторона
335,Mitte::N,meio,середина
336,Gegenstand::N,objecto,предмет
337,Sache::N,coisa,річ
338,Rand::N,bordo,край
339,Rand::N,margem,край
340,Kante::N,borda,ребро
341,Kante::N,aresta,ребро
342,Ecke::N,esquina,ріг
343,Spitze::N,ponta,кінчик
344,Ende::N,cabo,кінець
345,Ende::N,extremo,кінець
346,Loch::N,furo,діра
347,Loch::N,buraco,діра
348,Winkel::N,canto,куток
349,Winkel::N,ângulo,куток
350,Muster::N,padrão,узор
351,Muster::N,desenho,узор
352,Größe::N,tamanho,розмір
353,Länge::N,comprimento,довжина
354,Höhe::N,altura,висота
355,Höhe::N,altitude,висота
356,Gewicht::N,peso,вага
357,Menge::N,quantidade,кількість
