,Concept_ID,ro,sv
0,Auge::N,ochi,öga
1,Ohr::N,ureche,öra
2,Nase::N,nas,näsa
3,Mund::N,gură,mun
4,Zahn::N,dinte,tand
5,Zunge::N,limbă,tunga
6,Lippe::N,buză,läpp
7,Wange::N,bucă,kind
8,Wange::N,obraz,kind
9,Gesicht::N,față,syn
10,Gesicht::N,față,ansikte
11,Gesicht::N,figură,syn
12,Gesicht::N,figură,ansikte
13,Stirn::N,frunte,panna
14,Haar::N,păr,hår
15,Schnurrbart::N,mustață,mustasch
16,Bart::N,barbă,skägg
17,Kinn::N,bărbie,haka
18,Kiefer[Anatomie]::N,falcă,käke
19,Kehle::N,beregată,strupe
20,Hals::N,gât,hals
21,Genick::N,ceafă,nacke
22,Kopf::N,cap,huvud
23,Rücken::N,dos,rygg
24,Rücken::N,spate,rygg
25,Rücken::N,spinare,rygg
26,Bauch::N,burtă,buk
27,Bauch::N,burtă,mage
28,Bauch::N,pântece,buk
29,Bauch::N,pântece,mage
30,Nabel::N,buric,navel
31,Busen::N,sân,barm
32,Brust::N,piept,bröst
33,Schulter::N,umăr,skuldra
34,Schulter::N,spate,skuldra
35,Arm::N,braț,arm
36,Ellenbogen::N,cot,armbåge
37,Hand::N,mână,hand
38,Handfläche::N,palmă,handflata
39,Finger::N,deget,finger
40,Fingernagel::N,unghie,fingernagel
41,Nagel[Anatomie]::N,unghie,nagel
42,Zeh::N,deget de la picior,tå
43,Fuß::N,picior,fot
44,Ferse::N,călcâi,häl
45,Knie::N,genunchi,knä
46,Oberschenkel::N,coapsă,lår
47,Bein::N,picior,ben
48,Körper::N,corp,kropp
49,Haut::N,piele,hud
50,Haut::N,piele,skinn
51,Blut::N,sânge,blod
52,Ader::N,vână,åder
53,Ader::N,arteră,åder
54,Sehne::N,tendon,sena
55,Knochen::N,os,ben
56,Gehirn::N,creier,hjärna
57,Herz::N,inimă,hjärta
58,Magen::N,stomac,mage
59,Leber::N,ficat,lever
60,Atem::N,răsuflare,anda
61,Atem::N,răsuflare,andedräkt
62,Atem::N,respirație,anda
63,Atem::N,respirație,andedräkt
64,Hunger::N,foame,svält
65,Hunger::N,foame,hunger
66,Träne::N,lacrimă,tår
67,Geschmack::N,gust,smak
68,Geruch::N,miros,lukt
69,Schlaf::N,somn,sömn
70,Traum::N,vis,dröm
71,Himmel::N,cer,himmel
72,Sonne::N,soare,sol
73,Mond::N,lună,måne
74,Stern::N,stea,stjärna
75,Luft::N,aer,luft
76,Wind::N,vânt,vind
77,Welle::N,val,våg
78,Welle::N,val,bölja
79,Welle::N,undă,våg
80,Welle::N,undă,bölja
81,Wasser::N,apă,vatten
82,Stein::N,piatră,sten
83,Boden::N,sol,mark
84,Boden::N,pământ,mark
85,Erde::N,pământ,jord
86,Staub::N,praf,damm
87,Rauch::N,fum,rök
88,Funke::N,scânteie,gnista
89,Feuer::N,foc,eld
90,Licht::N,lumină,ljus
91,Schatten::N,umbră,skugga
92,Wetter::N,timp,väder
93,Wetter::N,vreme,väder
94,Nebel::N,ceață,dimma
95,Nebel::N,ceață,töcken
96,Nebel::N,negură,dimma
97,Nebel::N,negură,töcken
98,Wolke::N,nor,sky
99,Wolke::N,nor,moln
100,Regen::N,ploaie,regn
101,Schnee::N,zăpadă,snö
102,Eis::N,gheață,is
103,Frost::N,ger,frost
104,Kälte::N,frig,köld
105,Hitze::N,arșiță,hetta
106,Hitze::N,căldură,hetta
107,Raureif::N,chiciură,rimfrost
108,Regenbogen::N,curcubeu,regnbåge
109,Donner::N,tunet,åska
110,Donner::N,tunet,dunder
111,Strömung::N,curent,strömning
112,Tropfen::N,picătură,dropper
113,Schaum::N,spumă,skum
114,Schmutz::N,murdărie,lort
115,Schmutz::N,murdărie,smuts
116,See::N,lac,sjö
117,Sumpf::N,mlaștină,träsk
118,Moor::N,bărăgan,myr
119,Moor::N,bărăgan,mosse
120,Wiese::N,fânaț,äng
121,Wiese::N,livadă,äng
122,Wald::N,codru,skog
123,Wald::N,pădure,skog
124,Hügel::N,deal,höjd
125,Hügel::N,deal,kulle
126,Hügel::N,movilă,höjd
127,Hügel::N,movilă,kulle
128,Anhöhe::N,deal,höjd
129,Anhöhe::N,deal,backe
130,Anhöhe::N,ridicătură,höjd
131,Anhöhe::N,ridicătură,backe
132,Berg::N,munte,berg
133,Berg::N,munte,fjäll
