,Concept_ID,uk,uz
0,Auge::N,око,ko'z
1,Ohr::N,вухо,quloq
2,Nase::N,ніс,burun
3,Mund::N,рот,og'iz
4,Zahn::N,зуб,tish
5,Zunge::N,язик,til
6,Lippe::N,губа,dudoq
7,Wange::N,щока,bet
8,Gesicht::N,обличчя,yuz
9,Stirn::N,лоб,manglay
10,Haar::N,волосся,soch
11,Schnurrbart::N,вуса,mo'ylov
12,Bart::N,борода,soqol
13,Kinn::N,підборіддя,ängak
14,Kiefer[Anatomie]::N,щелепа,iyak
15,Kehle::N,горло,bo'g'iz
16,Hals::N,шия,bo'yin
17,Genick::N,потилиця,gardan
18,Kopf::N,голова,bosh
19,Rücken::N,спина,orqa
20,Bauch::N,живіт,qorin
21,Nabel::N,пупок,kindik
22,Busen::N,груди,ämchak
23,Brust::N,груди,ko'krak
24,Schulter::N,плече,elka
25,Arm::N,рука,bilak
26,Ellenbogen::N,лікоть,tirsak
27,Hand::N,рука,qo'l
28,Handfläche::N,долоня,kaft
29,Finger::N,палець,barmoq
30,Fingernagel::N,ніготь,tirnoq
31,Nagel[Anatomie]::N,ніготь,tirnoq
32,Zeh::N,палець на нозі,oyoq barmog'i
33,Fuß::N,нога,oyoq
34,Ferse::N,п’ятка,tovon
35,Knie::N,коліно,tiz
36,Oberschenkel::N,стегно,son
37,Bein::N,нога,oyoq
38,Körper::N,тіло,badna
39,Haut::N,шкіра,teri
40,Blut::N,кров,qon
41,Ader::N,вена,qon tomir
42,Sehne::N,сухожилля,tomir
43,Knochen::N,кістка,suyak
44,Gehirn::N,мозок,miya
45,Herz::N,серце,qalb
46,Magen::N,шлунок,oshqozon
47,Leber::N,печінка,bag'ir
48,Atem::N,дихання,dam
49,Hunger::N,голод,ochlik
50,Träne::N,сльоза,yosh
51,Geschmack::N,смак,tam
52,Geruch::N,запах,jid
53,Schlaf::N,сон,uyqu
54,Schlaf::N,сплячка,uyqu
55,Traum::N,сон,tush
56,Himmel::N,небо,osmon
57,Sonne::N,сонце,quyosh
58,Mond::N,місяць,oy
59,Stern::N,зірка,yulduz
60,Luft::N,повітря,havo
61,Wind::N,вітер,el
62,Welle::N,хвиля,to'lqin
63,Wasser::N,вода,suv
64,Stein::N,камінь,tosh
65,Boden::N,ґрунт,tuproq
66,Erde::N,земля,er
67,Staub::N,пил,chang
68,Rauch::N,дим,tutun
69,Funke::N,іскра,yalt
70,Feuer::N,вогонь,o't
71,Licht::N,світло,yorug'
72,Schatten::N,тінь,soya
73,Wetter::N,погода,havo
74,Nebel::N,туман,tuman
75,Wolke::N,хмара,bulut
76,Regen::N,дощ,yomg'ir
77,Schnee::N,сніг,qor
78,Eis::N,лід,muz
79,Frost::N,мороз,ajoz
80,Kälte::N,холод,ajoz
81,Hitze::N,жар,issiq
82,Raureif::N,іній,qirov
83,Regenbogen::N,райдуга,kamalak
84,Donner::N,грім,guldur
85,Strömung::N,струмина,oqim
86,Tropfen::N,крапля,tomchi
87,Schaum::N,піна,ko'pik
88,Schmutz::N,бруд,gard
89,See::N,озеро,ko'l
90,Sumpf::N,драговина,botqoq
91,Moor::N,болото,qir-adir
92,Wiese::N,луг,o'tzor
93,Wiese::N,лука,o'tzor
94,Wald::N,ліс,o'rmon
95,Hügel::N,горб,tepa
96,Anhöhe::N,височина,adir
97,Berg::N,гора,tog'
98,Gipfel::N,вершина,cho'qqi
99,Höhle::N,печера,kavak
100,Abhang::N,схил,to'sh
101,Quelle::N,джерело,buloq
102,Bach::N,струмок,o'zan
103,Fluss::N,річка,daryo
104,Ufer::N,берег,sohil
105,Küste::N,узбережжя,qirg'oq
106,Festland::N,суша,materik
107,Meer::N,море,dengiz
108,Bucht::N,бухта,qo'ltiq
109,Bucht::N,затока,qo'ltiq
110,Insel::N,острів,orol
111,Blume::N,квітка,gul
112,Gras::N,трава,sabza
113,Wurzel::N,корінь,tub
114,Wurzel::N,корінь,tomir
115,Baum::N,дерево,daraxt
116,Stamm::N,стовбур,o'simta
117,Rinde::N,кора,qobiq
118,Ast::N,гілка,shox
119,Zweig::N,галузь,butoq
120,Blatt::N,лист,barg
121,Birke::N,береза,qayin
122,Kiefer[Baum]::N,сосна,qarag'ay
123,Weide[Baum]::N,верба,shum
124,Tanne::N,ялиця,archa
125,Horn::N,ріг,mugiz
126,Feder::N,перо,par
127,Fell::N,хутро,mo'yna
128,Flügel::N,крило,qanot
129,Klaue::N,кіготь,tirnoq
130,Kralle::N,лапа,tirnoq
131,Schwanz::N,хвіст,quyruq
132,Ei::N,яйце,tuxum
133,Nest::N,гніздо,oshyon
134,Bau::N,лігво,o'pqon
135,Tier::N,тварина,hayvon
136,Herde::N,стадо,gala
137,Kuh::N,корова,inak
138,Bulle::N,бик,ho'kiz
139,Bulle::N,бугай,ho'kiz
140,Pferd::N,кінь,ot
141,Schaf::N,вівця,qo'y
142,Schwein::N,свиня,cho'chqa
143,Hund::N,собака,it
144,Katze::N,кішка,mushuk
145,Bär::N,ведмідь,ayiq
146,Eichhörnchen::N,білка,tiyin
147,Elch::N,лось,los
148,Fuchs::N,лисиця,tulki
149,Hase::N,заєць,kuyon
150,Maus::N,миша,sichqon
151,Wolf::N,вовк,bo'ri
152,Vogel::N,птах,qush
153,Schwarm::N,зграя,to'da
154,Huhn::N,курка,tovuq
155,Hahn::N,півень,xo'roz
156,Gans::N,гуска,g'oz
157,Adler::N,орел,burgut
158,Ente::N,качка,o'rdak
159,Eule::N,сова,boyo'g'li
160,Kranich::N,журавель,turna
161,Krähe::N,ворона,qarg'a
162,Kuckuck::N,зозуля,kakku
163,Schwan::N,лебідь,oqkush
164,Fisch::N,риба,baliq
165,Barsch::N,окунь,olabug'a
166,Hecht::N,щука,cho'rtan
167,Schlange[Tier]::N,змія,ilon
168,Wurm::N,черв’як,qurt
169,Spinne::N,павук,o'rgimchak
170,Ameise::N,мурашка,chumoli
171,Laus::N,воша,bit
172,Mücke::N,комар,chivin
173,Fliege::N,муха,pashsha
174,Schmetterling::N,метелик,kapalak
175,Beere::N,ягода,meva
176,Apfel::N,яблуко,olma
177,Pilz::N,гриб,qo'ziqorin
178,Zwiebel::N,цибуля,piyoz
179,Saat::N,сім’я,äkin
180,Korn::N,зерно,zarra
181,Heu::N,сіно,xashak
182,Schale::N,шкірка,po'choq
183,Grube::N,яма,co'ra
184,Falle::N,пастка,qopqon
185,Schlinge::N,петля,sirtmoq
186,Spur::N,слід,iz
187,Asche::N,зола,kul
188,Asche::N,попіл,kul
189,Dreck::N,бруд,kir
190,Eisen::N,залізо,temir
191,Gold::N,золото,tilla
192,Silber::N,срібло,kumush
193,Kohle::N,вугілля,ko'mir
194,Glas::N,скло,oyna
195,Lehm::N,глина,loy
196,Sand::N,пісок,qum
197,Mensch::N,людина,odam
198,Mann::N,чоловік,ärkak
199,Frau::N,жінка,ayol
200,Kind::N,дитина,bola
201,Kind::N,дитина,kichkintoy
202,Junge::N,хлопець,bola
203,Mädchen::N,дівчина,qiz
204,Familie::N,сім’я,oila
205,Familie::N,родина,oila
206,Großvater::N,дідусь,buva
207,Großvater::N,дідусь,katta ota
208,Großmutter::N,бабуся,buvi
209,Großmutter::N,бабуся,katta oyi
210,Eltern::N,батьки,ota-ona
211,Vater::N,батько,ota
212,Mutter::N,мати,ona
213,Sohn::N,син,o'g'il
214,Tochter::N,дочка,qiz
215,Bruder::N,брат,og'a
216,Bruder::N,брат,uka
217,Schwester::N,сестра,opa
218,Schwester::N,сестра,singil
219,Onkel::N,дядько,amaki
220,Tante::N,тітка,amma
221,Tante::N,тітка,xola
222,Ehemann::N,чоловік,är
223,Ehefrau::N,жінка,rafiqa
224,Ehefrau::N,дружина,rafiqa
225,Freude::N,радощі,ayish
226,Gelächter::N,сміх,kulgi
227,Glück::N,щастя,saodat
228,Kummer::N,горе,g'am
229,Wunsch::N,бажання,orzu
230,Lust::N,бажання,rag'bat
231,Geist::N,дух,ruh
232,Gedanke::N,думка,fikr
233,Gedächtnis::N,пам’ять,äs
234,Verstand::N,розум,aql
235,Sinn::N,зміст,ma'ni
236,Sinn::N,значення,ma'ni
237,Grund::N,причина,sabab
238,Wahrheit::N,правда,haq
239,Gespräch::N,розмова,gap
240,Märchen::N,байка,ärtak
241,Erzählung::N,повість,rivoyat
242,Erzählung::N,оповідання,rivoyat
243,Nachricht::N,повідомлення,xabar
244,Neuigkeit::N,новина,yangilik
245,Name::N,ім’я,ot
246,Rätsel::N,загадка,topishmoq
247,Rede::N,промова,nutq
248,Sprache::N,мова,til
249,Stimme::N,голос,ovoz
250,Wort::N,слово,so'z
251,Zeichen::N,знак,alomat
252,Ruf::N,оклик,chaqiriq
253,Lärm::N,шум,taraq
254,Laut::N,звук,tovush
255,Ton::N,тон,un
256,Lied::N,пісня,ashula
257,Ruhe::N,спокій,tinchlik
258,Leute::N,люди,xaloyiq
259,Volk::N,народ,xalq
260,Arbeit::N,робота,ish
261,Gast::N,гість,mehmon
262,Geschenk::N,подарунок,hadya
263,Spiel::N,гра,o'yin
264,Gesellschaft::N,товариство,jamiyat
265,Hilfe::N,допомога,yordam
266,Freund::N,друг,do'st
267,Freund::N,приятель,do'st
268,Kamerad::N,товариш,yo'ldosh
269,Angelegenheit::N,справа,daxl
270,Anzahl::N,число,son
271,Art::N,рід,tur
272,Stück::N,кусок,parcha
273,Teil::N,частина,bo'lak
274,Hälfte::N,половина,yarim
275,Kreis::N,круг,aylana
276,Kreis::N,коло,aylana
277,Kreuz::N,хрест,xoch
278,Linie::N,лінія,liniya
279,Strich::N,штрих,chiziq
280,Abstand::N,проміжок,oralik
281,Entfernung::N,відстань,uzoqlik
282,Gegend::N,місцевість,yer
283,Platz::N,площа,oralig
284,Ort::N,місце,joy
285,Seite::N,сторона,yon
286,Mitte::N,середина,o'rta
287,Gegenstand::N,предмет,ashyo
288,Sache::N,річ,buyum
289,Rand::N,край,chek
290,Kante::N,ребро,tig'
291,Ecke::N,ріг,burchak
292,Spitze::N,кінчик,uch
293,Ende::N,кінець,oxir
294,Loch::N,діра,teshik
295,Winkel::N,куток,go'sha
296,Muster::N,узор,nusha
297,Größe::N,розмір,kattalik
298,Länge::N,довжина,uzunlik
299,Höhe::N,висота,yuksaklik
300,Gewicht::N,вага,solmoq
301,Menge::N,кількість,miqdor
302,Haufen::N,купа,uyum
303,Reihe::N,ряд,saf
304,Boot::N,човен,qayiq
305,Ruder::N,весло,äshkak
306,Schlitten::N,сани,chana
307,Ski::N,лижа,chang'i
308,Lagerfeuer::N,вогнище,gulxan
309,Last::N,тягар,yuk
310,Last::N,вантаж,yuk
311,Gang::N,хід,yurish
312,Schritt::N,крок,qadam
313,Norden::N,північ,shimol
314,Süden::N,південь,janub
315,Westen::N,захід,g'arb
316,Osten::N,схід,sharq
317,Holz::N,дрова,yog'och
318,Brett::N,дошка,taxta
319,Platte::N,плита,tabaqa
320,Stütze::N,підпірка,tayanchi
321,Stange::N,жердина,qo'noq
322,Stock::N,палиця,tayoq
323,Stab::N,палиця,gavron
324,Rohr::N,труба,tarnov
325,Haus::N,дім,uy
326,Haus::N,хата,uy
327,Heim::N,житло,makon
328,Ofen::N,піч,pechka
329,Fußboden::N,підлога,pol
330,Tisch::N,стіл,mosa
331,Stuhl::N,стілець,o'rindiq
332,Wiege::N,колиска,beshik
333,Bett::N,ліжко,yotoq
334,Bett::N,постіль,yotoq
335,Regal::N,полиця,tokcha
336,Kiste::N,ящик,sandiq
337,Fenster::N,вікно,deraza
338,Tür::N,двері,äshik
339,Tor::N,ворота,darvoza
340,Zaun::N,паркан,panjara
341,Zaun::N,огорожа,panjara
342,Dach::N,дах,tom
343,Leiter::N,драбина,narvon
344,Besen::N,мітла,supurgi
345,Spaten::N,заступ,bel
346,Schaufel::N,совок,kurak
347,Schaufel::N,лопата,kurak
348,Gabel::N,виделка,bilka
349,Löffel::N,ложка,qoshiq
350,Messer::N,ніж,pichoq
351,Nagel::N,цвях,mix
352,Netz::N,сіть,to'r
353,Haken::N,крюк,ilgak
354,Griff::N,ручка,sop
355,Griff::N,ручка,tutqich
356,Griff::N,держак,sop
357,Griff::N,держак,tutqich
358,Schloss::N,замок,qulf
359,Bild::N,картина,rasm
360,Figur::N,фігура,shakl
361,Puppe::N,лялька,ko'g'irchoq
362,Beutel::N,мішечок,to'rva
363,Beutel::N,торбинка,to'rva
364,Bündel::N,в’язка,bog'lam
365,Tasche::N,сумка,kissa
366,Eimer::N,відро,chelak
367,Deckel::N,кришка,qopqoq
368,Geschirr::N,посуд,idish
369,Sack::N,мішок,qop
370,Tasse::N,чашка,piyola
371,Topf::N,горщик,tuvak
372,Kessel::N,котел,qozon
373,Essen::N,їжа,tomoq
374,Nahrung::N,харч,emak
375,Speise::N,страва,taom
376,Fleisch::N,м’ясо,go'sht
377,Getreide::N,хліб,g'alla
378,Getreide::N,збіжжя,g'alla
379,Brei::N,каша,bo'tqa
380,Brot::N,хліб,non
381,Scheibe::N,скибочка,disk
382,Fett::N,жир,moy
383,Butter::N,масло,yog'
384,Öl::N,олія,moy
385,Salz::N,сіль,tuz
386,Suppe::N,суп,sho'rva
387,Honig::N,мед,asal
388,Milch::N,молоко,sut
389,Tee::N,чай,choy
390,Leder::N,шкіра,charm
391,Wolle::N,шерсть,jun
392,Stoff::N,тканина,mato
393,Nadel::N,голка,igna
394,Faden::N,нитка,ip
395,Knopf::N,ґудзик,tugma
396,Knoten::N,вузол,tugun
397,Farbe::N,фарба,bo'yok
398,Kleidung::N,одяг,kiyim
399,Kleidung::N,убрання,kiyim
400,Hemd::N,сорочка,ko'ylak
401,Kragen::N,комір,yoqa
402,Ärmel::N,рукав,yeng
403,Hose::N,брюки,shim
404,Gürtel::N,пояс,tasma
405,Mütze::N,шапка,shapka
406,Schuh::N,ботинок,but
407,Stiefel::N,чобіт,botinka
408,Ring::N,кільце,yuzuk
409,Band::N,стрічка,rishta
410,Kamm::N,гребінець,taroq
411,Spiegel::N,дзеркало,ko'zgu
412,Riemen::N,ремінь,qayish
413,Schnur::N,вірьовка,bog'ich
414,Leine::N,шворка,etak
415,Decke::N,ковдра,odyol
416,Kissen::N,подушка,yostiq
417,Tuch::N,хустка,gazlama
418,Handtuch::N,рушник,sochiq
419,Kraft::N,сила,kuch
420,Stärke::N,сила,quvvat
421,Gesundheit::N,здоров’я,sog'lik
422,Krankheit::N,хвороба,kasallik
423,Schmerz::N,біль,og'riq
424,Wunde::N,рана,yara
425,Fieber::N,гарячка,bezgak
426,Arznei::N,ліки,dori
