,Concept_ID,de,lt
0,Auge::N,Auge,akis
1,Ohr::N,Ohr,ausis
2,Nase::N,Nase,nosis
3,Mund::N,Mund,burna
4,Zahn::N,Zahn,dantis
5,Zunge::N,Zunge,liežuvis
6,Lippe::N,Lippe,lūpa
7,Wange::N,Wange,žandas
8,Wange::N,Wange,skruostas
9,Gesicht::N,Gesicht,veidas
10,Stirn::N,Stirn,kakta
11,Haar::N,Haar,plaukai
12,Schnurrbart::N,Schnurrbart,ūsai
13,Bart::N,Bart,barzda
14,Kinn::N,Kinn,smakras
15,Kiefer[Anatomie]::N,Kiefer,žandikaulis
16,Kehle::N,Kehle,gerklė
17,Hals::N,Hals,kaklas
18,Genick::N,Genick,sprandas
19,Kopf::N,Kopf,galva
20,Rücken::N,Rücken,nugara
21,Bauch::N,Bauch,pilvas
22,Nabel::N,Nabel,bamba
23,Busen::N,Busen,krūtinė
24,Brust::N,Brust,krūtis
25,Schulter::N,Schulter,petys
26,Arm::N,Arm,ranka
27,Ellenbogen::N,Ellenbogen,alkūnė
28,Hand::N,Hand,ranka
29,Hand::N,Hand,plaštaka
30,Handfläche::N,Handfläche,delnas
31,Handfläche::N,Handfläche,plaštaka
32,Finger::N,Finger,pirštas
33,Fingernagel::N,Fingernagel,nagas
34,Nagel[Anatomie]::N,Nagel,nagas
35,Zeh::N,Zeh,pirštas
36,Fuß::N,Fuß,pėda
37,Ferse::N,Ferse,kulnas
38,Knie::N,Knie,kelis
39,Oberschenkel::N,Oberschenkel,kulšis
40,Oberschenkel::N,Oberschenkel,šlaunis
41,Bein::N,Bein,koja
42,Körper::N,Körper,kūnas
43,Haut::N,Haut,oda
44,Blut::N,Blut,kraujas
45,Ader::N,Ader,kraujagyslė
46,Sehne::N,Sehne,sausgyslė
47,Knochen::N,Knochen,kaulas
48,Gehirn::N,Gehirn,smegenys
49,Herz::N,Herz,širdis
50,Magen::N,Magen,skrandis
51,Leber::N,Leber,kepenys
52,Atem::N,Atem,kvapas
53,Hunger::N,Hunger,badas
54,Hunger::N,Hunger,alkis
55,Träne::N,Träne,ašara
56,Geschmack::N,Geschmack,skonis
57,Geruch::N,Geruch,kvapas
58,Schlaf::N,Schlaf,miegas
59,Traum::N,Traum,sapnas
60,Himmel::N,Himmel,dangus
61,Sonne::N,Sonne,saulė
62,Mond::N,Mond,mėnulis
63,Stern::N,Stern,žvaigždė
64,Luft::N,Luft,oras
65,Wind::N,Wind,vėjas
66,Welle::N,Welle,banga
67,Welle::N,Welle,vilnis
68,Wasser::N,Wasser,vanduo
69,Stein::N,Stein,akmuo
70,Boden::N,Boden,žemė
71,Boden::N,Boden,dugnas
72,Erde::N,Erde,žemė
73,Staub::N,Staub,dulkės
74,Rauch::N,Rauch,dūmai
75,Funke::N,Funke,kibirkštis
76,Feuer::N,Feuer,ugnis
77,Licht::N,Licht,šviesa
78,Schatten::N,Schatten,paūksmė
79,Wetter::N,Wetter,oras
80,Nebel::N,Nebel,migla
81,Nebel::N,Nebel,rūkas
82,Wolke::N,Wolke,debesis
83,Regen::N,Regen,lietus
84,Schnee::N,Schnee,sniegas
85,Eis::N,Eis,ledas
86,Frost::N,Frost,šalna
87,Kälte::N,Kälte,šaltis
88,Hitze::N,Hitze,karštis
89,Raureif::N,Raureif,šerkšnas
90,Regenbogen::N,Regenbogen,vaivorykštė
91,Donner::N,Donner,perkūnas
92,Donner::N,Donner,griaustinis
93,Strömung::N,Strömung,tėkmė
94,Tropfen::N,Tropfen,lašas
95,Schaum::N,Schaum,putos
96,Schmutz::N,Schmutz,purvas
97,See::N,See,ežeras
98,Sumpf::N,Sumpf,klampynė
99,Sumpf::N,Sumpf,liūnas
100,Moor::N,Moor,pelkė
101,Wiese::N,Wiese,pieva
102,Wald::N,Wald,miškas
103,Hügel::N,Hügel,kalva
104,Anhöhe::N,Anhöhe,kauburys
105,Berg::N,Berg,kalnas
106,Gipfel::N,Gipfel,viršūnė
107,Höhle::N,Höhle,ola
108,Abhang::N,Abhang,šlaitas
109,Abhang::N,Abhang,nuokalnė
110,Quelle::N,Quelle,versmė
111,Quelle::N,Quelle,šaltinis
112,Bach::N,Bach,upelis
113,Fluss::N,Fluss,upė
114,Ufer::N,Ufer,krantas
115,Küste::N,Küste,pajūris
116,Festland::N,Festland,sausuma
117,Meer::N,Meer,jūra
118,Bucht::N,Bucht,įlanka
119,Bucht::N,Bucht,užutekis
120,Insel::N,Insel,sala
121,Blume::N,Blume,gėlė
122,Gras::N,Gras,žolė
123,Wurzel::N,Wurzel,šaknis
124,Baum::N,Baum,medis
125,Stamm::N,Stamm,kamienas
126,Rinde::N,Rinde,žievė
127,Ast::N,Ast,šaka
128,Zweig::N,Zweig,šakelė
129,Blatt::N,Blatt,lapas
130,Birke::N,Birke,beržas
131,Kiefer[Baum]::N,Kiefer,pušis
132,Weide[Baum]::N,Weide,karklas
133,Tanne::N,Tanne,eglė
134,Tanne::N,Tanne,kėnis
135,Horn::N,Horn,ragas
136,Feder::N,Feder,plunksna
137,Fell::N,Fell,kailis
138,Flügel::N,Flügel,sparnas
139,Klaue::N,Klaue,kanopa
140,Kralle::N,Kralle,nagas
141,Schwanz::N,Schwanz,uodega
142,Ei::N,Ei,kiaušinis
143,Nest::N,Nest,gūžta
144,Nest::N,Nest,lizdas
145,Bau::N,Bau,ola
146,Tier::N,Tier,gyvūnas
147,Herde::N,Herde,banda
148,Herde::N,Herde,kaimenė
149,Kuh::N,Kuh,karvė
150,Bulle::N,Bulle,bulius
151,Pferd::N,Pferd,arklys
152,Schaf::N,Schaf,avis
153,Schwein::N,Schwein,kiaulė
154,Hund::N,Hund,šuo
155,Katze::N,Katze,katė
156,Bär::N,Bär,lokys
157,Eichhörnchen::N,Eichhörnchen,voveraitė
158,Elch::N,Elch,briedis
159,Fuchs::N,Fuchs,lapė
160,Hase::N,Hase,kiškas
161,Maus::N,Maus,pelė
162,Wolf::N,Wolf,vilkas
163,Vogel::N,Vogel,paukštis
164,Schwarm::N,Schwarm,spiečius
165,Huhn::N,Huhn,višta
166,Hahn::N,Hahn,gaidys
167,Gans::N,Gans,žąsis
168,Adler::N,Adler,erelis
169,Ente::N,Ente,antis
170,Eule::N,Eule,pelėda
171,Kranich::N,Kranich,gervė
172,Krähe::N,Krähe,varna
173,Kuckuck::N,Kuckuck,gegužė
174,Schwan::N,Schwan,gulbė
175,Fisch::N,Fisch,žuvis
176,Barsch::N,Barsch,ešerys
177,Hecht::N,Hecht,lydeka
178,Schlange[Tier]::N,Schlange,gyvatė
179,Wurm::N,Wurm,kirmėlė
180,Spinne::N,Spinne,voras
181,Ameise::N,Ameise,skruzdė
182,Laus::N,Laus,utėlė
