,Concept_ID,av,bg
0,Ohr::N,гӏин,ухо
1,Nase::N,мегӏер,нос
2,Mund::N,кӏал,уста
3,Zahn::N,гӏус,зъб
4,Zunge::N,мацӏ,език
5,Lippe::N,кӏветӏ,устна
6,Wange::N,гӏоно,буза
7,Gesicht::N,гьумер,лице
8,Gesicht::N,гьумер,образ
9,Stirn::N,нодо,чело
10,Haar::N,рас,коса
11,Haar::N,рас,косъм
12,Schnurrbart::N,михъ,мустаци
13,Bart::N,мегеж,брада
14,Kinn::N,нилъу,брада
15,Kinn::N,нилъу,брадичка
16,Kiefer[Anatomie]::N,чанагъ,челюст
17,Kehle::N,щекъер,гърло
18,Hals::N,габур,врат
19,Genick::N,гъванща,тил
20,Kopf::N,бетӏер,глава
21,Rücken::N,мугъ,гръб
22,Bauch::N,чехь,корем
23,Nabel::N,цӏину,пъп
24,Busen::N,керен,бозка
25,Brust::N,керен,гръд
26,Schulter::N,гъажазубетӏер,рамо
27,Schulter::N,гъажазубетӏер,плещи
28,Arm::N,гъеж,ръка
29,Ellenbogen::N,гӏункӏрукь,лакът
30,Hand::N,квер,ръка
31,Hand::N,квер,китка
32,Handfläche::N,огъохъат,длан
33,Handfläche::N,жанисахъат,длан
34,Finger::N,килищ,пръст
35,Fingernagel::N,малъ,нокът
36,Nagel[Anatomie]::N,малъ,нокът
37,Zeh::N,килищ,пръст на крак
38,Fuß::N,хӏетӏ,крак
39,Fuß::N,хӏетӏ,нога
40,Fuß::N,хӏетӏе,крак
41,Fuß::N,хӏетӏе,нога
42,Ferse::N,эгъе,пета
43,Knie::N,наку,коляно
44,Oberschenkel::N,мачӏ,бедро
45,Bein::N,бох,крак
46,Bein::N,бох,нога
47,Körper::N,къаркъала,тяло
48,Haut::N,тӏом,кожа
49,Blut::N,би,кръв
50,Ader::N,бидурихь,вена
51,Ader::N,бидурихь,артерия
52,Knochen::N,ракьа,кост
53,Gehirn::N,гӏадалнах,мозък
54,Herz::N,ракӏ,сърце
55,Magen::N,кванирукъ,стомах
56,Leber::N,тӏул,черен дроб
57,Atem::N,хӏухь,дишане
58,Hunger::N,ракъи,глад
59,Träne::N,магӏу,сълза
60,Geschmack::N,тату,вкус
61,Geruch::N,махӏ,миризма
62,Schlaf::N,макьу,сън
63,Traum::N,макьу,сън
64,Himmel::N,зоб,небе
65,Sonne::N,бакъ,слънце
66,Mond::N,моцӏ,луна
67,Mond::N,моцӏ,месец
68,Stern::N,цӏва,звезда
69,Luft::N,гьава,въздух
70,Wind::N,гьури,вятър
71,Welle::N,карачел,вълна
72,Wasser::N,лъим,вода
73,Stein::N,гьецӏо,камък
74,Boden::N,ракь,земя
75,Boden::N,ракь,почва
76,Erde::N,ракь,земя
77,Erde::N,ракь,почва
78,Erde::N,дуниял,земя
79,Erde::N,дуниял,почва
80,Staub::N,хӏур,прах
81,Rauch::N,кӏкӏуй,дим
82,Rauch::N,кӏкӏуй,пушек
83,Feuer::N,цӏа,огън
84,Licht::N,канлъи,светлина
85,Schatten::N,рагӏад,сянка
86,Wetter::N,гьава-бакъ,време
87,Nebel::N,гӏодобнакӏкӏ,мъгла
88,Wolke::N,накӏкӏ,облак
89,Regen::N,цӏад,дъжд
90,Schnee::N,гӏазу,сняг
91,Eis::N,цӏер,лед
92,Frost::N,замгьари,мраз
93,Kälte::N,квач,студ
94,Hitze::N,багӏари,жега
95,Hitze::N,багӏари,горещина
96,Raureif::N,мартӏ,скреж
97,Raureif::N,мартӏ,слана
98,Regenbogen::N,нур,дъга
99,Regenbogen::N,чамбара,дъга
100,Donner::N,гъугъай,гръм
101,Donner::N,гъугъади,гръм
102,Strömung::N,чвахи,течение
103,Tropfen::N,резел,капка
104,Tropfen::N,тӏинкӏ,капка
105,Tropfen::N,къатӏра,капка
106,Tropfen::N,тӏенкӏел,капка
107,Schaum::N,полоп,пяна
108,Schmutz::N,чороклъи,кал
109,Schmutz::N,чороклъи,мръсотия
110,See::N,хӏор,езеро
111,Sumpf::N,хьуцӏ,блато
112,Wiese::N,мегъ,ливада
113,Wiese::N,гӏурдаллъи,ливада
114,Wald::N,рохь,гора
115,Hügel::N,гохӏ,рид
116,Hügel::N,гохӏ,хълм
117,Anhöhe::N,сийитма,могила
118,Anhöhe::N,сийитма,възвишение
119,Berg::N,мегӏер,планина
120,Gipfel::N,тӏогь,връх
121,Höhle::N,нохъо,пещера
122,Abhang::N,лабаллъи,склон
123,Abhang::N,лабаллъи,стръмнина
124,Quelle::N,ицц,извор
125,Bach::N,лъар,поток
126,Fluss::N,гӏор,река
127,Ufer::N,рагӏал,бряг
128,Küste::N,рагӏал,бряг
129,Küste::N,рагӏал,крайбрежие
130,Festland::N,ракь,суша
131,Festland::N,ракъдаллъи,суша
132,Meer::N,ралъад,море
133,Bucht::N,кӏветӏ,залив
134,Insel::N,чӏинкӏиллъи,остров
135,Blume::N,тӏегь,цвете
136,Gras::N,хер,трева
137,Wurzel::N,кьибил,корен
138,Baum::N,гъветӏ,дърво
139,Stamm::N,рохти,стъбло
140,Rinde::N,макъар,кора
141,Ast::N,ноцӏ,клон
142,Zweig::N,гӏаркьел,клон
143,Blatt::N,тӏамах,лист
144,Birke::N,мах,бреза
145,Birke::N,махигъветӏ,бреза
146,Kiefer[Baum]::N,накӏкӏигъветӏ,бор
147,Weide[Baum]::N,рицӏцӏ,върба
148,Weide[Baum]::N,рицӏцӏигъветӏ,върба
149,Tanne::N,ёлка,ела
150,Horn::N,лълъар,рог
151,Feder::N,хӏули,перо
152,Fell::N,тӏом,кожа
153,Fell::N,цӏоко,кожа
154,Flügel::N,кваркьи,крило
155,Klaue::N,галъ,нокът
156,Kralle::N,квачӏ,нокът
157,Kralle::N,катиквачӏ,нокът
158,Schwanz::N,рачӏ,опашка
159,Ei::N,хоно,яйце
160,Nest::N,бусен,гнездо
161,Bau::N,каратӏ,дупка
162,Tier::N,хӏайван,животно
163,Herde::N,рехъен,стадо
164,Herde::N,рехъед,стадо
165,Kuh::N,гӏака,крава
166,Bulle::N,оц,бик
167,Pferd::N,чу,кон
168,Schaf::N,чахъу,овца
169,Schwein::N,болъон,свиня
170,Hund::N,гьой,куче
