,Concept_ID,kk,lt
0,Auge::N,көз,akis
1,Ohr::N,құлақ,ausis
2,Nase::N,мұрын,nosis
3,Mund::N,ауыз,burna
4,Zahn::N,тіс,dantis
5,Zunge::N,тіл,liežuvis
6,Lippe::N,ерін,lūpa
7,Wange::N,ұрт,žandas
8,Wange::N,ұрт,skruostas
9,Gesicht::N,бет-аузы,veidas
10,Stirn::N,маңдай,kakta
11,Haar::N,қыл,plaukai
12,Schnurrbart::N,мұрт,ūsai
13,Bart::N,сақал,barzda
14,Kinn::N,иек,smakras
15,Kiefer[Anatomie]::N,жақ,žandikaulis
16,Kehle::N,алқым,gerklė
17,Hals::N,мойын,kaklas
18,Genick::N,желке,sprandas
19,Kopf::N,кәллә,galva
20,Rücken::N,арқа,nugara
21,Bauch::N,қарын,pilvas
22,Nabel::N,кіндік,bamba
23,Busen::N,омырау,krūtinė
24,Brust::N,кеуде,krūtis
25,Schulter::N,иық,petys
26,Arm::N,қол,ranka
27,Ellenbogen::N,шынтақ,alkūnė
28,Hand::N,қол,ranka
29,Hand::N,қол,plaštaka
30,Handfläche::N,алақан,delnas
31,Handfläche::N,алақан,plaštaka
32,Finger::N,саусақ,pirštas
33,Fingernagel::N,тырнақ,nagas
34,Nagel[Anatomie]::N,тырнақ,nagas
35,Zeh::N,тырнақ,pirštas
36,Zeh::N,тұяқ,pirštas
37,Fuß::N,аяқ-басы,pėda
38,Ferse::N,өкше,kulnas
39,Ferse::N,өкшелік,kulnas
40,Knie::N,тізе,kelis
41,Oberschenkel::N,жамбас,kulšis
42,Oberschenkel::N,жамбас,šlaunis
43,Bein::N,аяқ,koja
44,Körper::N,дене,kūnas
45,Haut::N,тері,oda
46,Blut::N,қан,kraujas
47,Ader::N,көктамыр,kraujagyslė
48,Ader::N,күретамыр,kraujagyslė
49,Sehne::N,сіңір,sausgyslė
50,Knochen::N,жілік,kaulas
51,Gehirn::N,ми,smegenys
52,Herz::N,жүрек,širdis
53,Magen::N,асқазан,skrandis
54,Leber::N,бауыр,kepenys
55,Atem::N,леп,kvapas
56,Hunger::N,ашаршылық,badas
57,Hunger::N,ашаршылық,alkis
58,Träne::N,жас,ašara
59,Geschmack::N,дәм,skonis
60,Geschmack::N,татым,skonis
61,Geschmack::N,талғам,skonis
62,Geruch::N,иіс,kvapas
63,Schlaf::N,ұйқы,miegas
64,Schlaf::N,ұйықтау,miegas
65,Traum::N,түс,sapnas
66,Himmel::N,аспан,dangus
67,Himmel::N,көқ,dangus
68,Himmel::N,таңдай,dangus
69,Sonne::N,күн,saulė
70,Mond::N,ай,mėnulis
71,Stern::N,жұлдыз,žvaigždė
72,Luft::N,әуе,oras
73,Wind::N,жел,vėjas
74,Welle::N,толқын,banga
75,Welle::N,толқын,vilnis
76,Wasser::N,су,vanduo
77,Stein::N,тас,akmuo
78,Boden::N,қыртыс,žemė
79,Boden::N,қыртыс,dugnas
80,Erde::N,топырақ,žemė
81,Staub::N,шаң,dulkės
82,Rauch::N,түтін,dūmai
83,Funke::N,ұшқын,kibirkštis
84,Feuer::N,алау,ugnis
85,Licht::N,шұғыла,šviesa
86,Schatten::N,көлеңке,paūksmė
87,Wetter::N,ауа райы,oras
88,Nebel::N,тұман,migla
89,Nebel::N,тұман,rūkas
90,Wolke::N,бұлт,debesis
91,Regen::N,жаңбыр,lietus
92,Schnee::N,қар,sniegas
93,Eis::N,мұз,ledas
94,Frost::N,суық,šalna
95,Kälte::N,ызғар,šaltis
96,Kälte::N,суықтық,šaltis
97,Hitze::N,аптап,karštis
98,Raureif::N,қырау,šerkšnas
99,Regenbogen::N,кемпірқосақ,vaivorykštė
100,Donner::N,күн күркіреу,perkūnas
101,Donner::N,күн күркіреу,griaustinis
102,Strömung::N,ағын,tėkmė
103,Tropfen::N,тамшы,lašas
104,Schaum::N,көбік,putos
105,Schmutz::N,кір,purvas
