,Concept_ID,pt,ku
0,Auge::N,olho,çav
1,Ohr::N,orelha,guh
2,Nase::N,nariz,bêvil
3,Mund::N,boca,dev
4,Zahn::N,dente,didan
5,Zunge::N,língua,ziman
6,Lippe::N,lábio,lêv
7,Wange::N,face,dêm
8,Wange::N,face,hinarik
9,Gesicht::N,cara,rû
10,Gesicht::N,rosto,rû
11,Stirn::N,testa,enî
12,Haar::N,cabelo,por
13,Schnurrbart::N,bigode,simbêl
14,Bart::N,barba,rih
15,Kinn::N,queixo,zenî
16,Kiefer[Anatomie]::N,maxila,arguşk
17,Kiefer[Anatomie]::N,mandíbula,arguşk
18,Kehle::N,garganta,qirik
19,Hals::N,colo,stû
20,Hals::N,colo,qirik
21,Hals::N,pescoço,stû
22,Hals::N,pescoço,qirik
23,Genick::N,nuca,stû
24,Kopf::N,cabeça,serî
25,Rücken::N,dorso,pişt
26,Rücken::N,costas,pişt
27,Bauch::N,ventre,ûr
28,Bauch::N,ventre,zik
29,Bauch::N,barriga,ûr
30,Bauch::N,barriga,zik
31,Nabel::N,umbigo,navik
32,Busen::N,seio,sîng
33,Brust::N,peito,sîng
34,Schulter::N,ombro,mil
35,Arm::N,braço,çepil
36,Ellenbogen::N,cotovelo,enîşk
37,Hand::N,mão,dest
38,Handfläche::N,palma,kefadest
39,Handfläche::N,palma da mão,kefadest
40,Finger::N,dedo,tilî
41,Fingernagel::N,unha,neynuk
42,Nagel[Anatomie]::N,unha,bizmar
43,Zeh::N,dedo do pé,tilî linga
44,Fuß::N,pé,ling
45,Ferse::N,calcanhar,pahnî
46,Knie::N,joelho,kabok
47,Oberschenkel::N,coxa,rahn
48,Bein::N,perna,çip
49,Körper::N,corpo,laş
50,Körper::N,corpo,gowde
51,Haut::N,pele,çerm
52,Blut::N,sangue,xwîn
53,Ader::N,veia,reh
54,Sehne::N,tendão,reh
55,Knochen::N,osso,hestî
56,Gehirn::N,cérebro,mêjî
57,Herz::N,coração,dil
58,Magen::N,estômago,navêş
59,Leber::N,fígado,kezeb
60,Atem::N,fôlego,hilm
61,Hunger::N,fome,birçîtî
62,Träne::N,lágrima,hêstir
63,Geschmack::N,gosto,tam
64,Geruch::N,odor,bêhn
65,Geruch::N,cheiro,bêhn
66,Schlaf::N,sono,xew
67,Traum::N,sonho,xewn
68,Himmel::N,céu,ezman
69,Sonne::N,sol,roj
70,Mond::N,lua,heyv
71,Stern::N,estrela,stêrk
72,Luft::N,ar,ba
73,Wind::N,vento,ba
74,Welle::N,onda,şewl
75,Wasser::N,água,av
76,Stein::N,pedra,kevir
77,Boden::N,solo,herd
78,Erde::N,terra,ax
79,Staub::N,pó,toz
80,Rauch::N,fumo,dû
81,Funke::N,faísca,çirûşk
82,Funke::N,centelha,çirûşk
83,Feuer::N,fogo,agir
84,Licht::N,luz,ronahî
85,Schatten::N,sombra,sî
86,Wetter::N,tempo,hewa
87,Nebel::N,nevoeiro,mij
88,Wolke::N,nuvem,ewr
89,Regen::N,chuva,baran
90,Schnee::N,neve,berf
91,Eis::N,gelo,qeşa
92,Frost::N,gelo,xûsik
93,Frost::N,geada,xûsik
94,Kälte::N,frio,serma
95,Hitze::N,ardor,germayî
96,Raureif::N,geada,şext
97,Regenbogen::N,arco-iris,heftreng
98,Donner::N,trovão,gire-gir
99,Strömung::N,corrente,şewl
100,Tropfen::N,gota,dilop
101,Schaum::N,espuma,kef
102,Schmutz::N,sujidade,gemar
103,Schmutz::N,imundície,gemar
104,See::N,lago,gol
105,Sumpf::N,charco,hezek
106,Sumpf::N,pântano,hezek
107,Moor::N,pântano,mafêl
108,Wiese::N,prado,sûrik
109,Wald::N,bosque,çiya
110,Wald::N,bosque,daristan
111,Wald::N,floresta,çiya
112,Wald::N,floresta,daristan
113,Hügel::N,colina,gir
114,Anhöhe::N,alto,sere gir
115,Anhöhe::N,outeiro,sere gir
116,Berg::N,monte,kaş
117,Berg::N,montanha,kaş
118,Gipfel::N,pico,sere gir
119,Höhle::N,caverna,şikeft
120,Abhang::N,encosta,kaş
121,Quelle::N,fonte,kanî
122,Bach::N,regato,çem
123,Bach::N,ribeiro,çem
124,Fluss::N,rio,çem
125,Fluss::N,rio,rûbar
126,Ufer::N,beira,kevî
127,Küste::N,costa,berav
128,Festland::N,terra firme,bejahî
129,Meer::N,mar,behr
130,Bucht::N,baía,derav
131,Insel::N,ilha,girav
132,Blume::N,flor,kulînk
133,Gras::N,erva,giha
134,Wurzel::N,raiz,reh
135,Baum::N,árvore,dar
136,Stamm::N,tronco,bavik
137,Rinde::N,casca,qaqil
138,Ast::N,ramo,gulî
139,Zweig::N,galho,şax
140,Blatt::N,folha,pel
141,Birke::N,bétula,dara sipî
142,Kiefer[Baum]::N,pinheiro,dara bî
143,Weide[Baum]::N,salgueiro,dara belalûk
144,Tanne::N,abeto,merx
145,Horn::N,corno,strô
146,Horn::N,chifre,strô
147,Feder::N,pena,pîrtîk
148,Fell::N,pele,heyar
149,Flügel::N,asa,per
150,Klaue::N,pata,napîk
151,Kralle::N,unha,dinik
152,Kralle::N,unha,dirnax
153,Kralle::N,garra,dinik
154,Kralle::N,garra,dirnax
155,Schwanz::N,rabo,dûv
156,Schwanz::N,cauda,dûv
157,Ei::N,ovo,hêk
158,Nest::N,ninho,hêlîn
159,Bau::N,toca,avahî
160,Bau::N,covil,avahî
161,Tier::N,animal,heywan
162,Herde::N,rebanho,hoz
163,Kuh::N,vaca,çêlek
164,Bulle::N,touro,ga
165,Pferd::N,cavalo,hesp
166,Schaf::N,ovelha,mîh
167,Schwein::N,porco,beraz
168,Hund::N,cão,seh
169,Katze::N,gata,pişîk
170,Bär::N,urso,hirç
171,Eichhörnchen::N,esquilo,pilûr
172,Elch::N,alce,pazkovî
173,Fuchs::N,raposa,rovî
174,Hase::N,lebre,kîroşk
175,Maus::N,rato,mişk
176,Wolf::N,lobo,gur
177,Vogel::N,ave,çûk
178,Vogel::N,pássaro,çûk
179,Schwarm::N,bando,lufik
180,Schwarm::N,enxame,lufik
181,Huhn::N,galinha,mirîşk
182,Hahn::N,galo,dîk
183,Gans::N,ganso,qaz
184,Adler::N,águia,eylo
185,Ente::N,pata,werdek
186,Eule::N,mocho,bûm
187,Eule::N,mocho,kund
188,Eule::N,coruja,bûm
189,Eule::N,coruja,kund
190,Kranich::N,grou,quling
191,Krähe::N,gralha,qijik
192,Kuckuck::N,cuco,pepûk
193,Schwan::N,cisne,qû
194,Fisch::N,peixe,masî
195,Barsch::N,perca,okûn
196,Hecht::N,lúcio,mesîyê lûf
197,Schlange[Tier]::N,serpente,mar
198,Wurm::N,verme,kurm
199,Spinne::N,aranha,pîrê
200,Ameise::N,formiga,mîro
201,Ameise::N,formiga,gêrîk
202,Laus::N,piolho,spi
203,Mücke::N,mosquito,mêş
204,Fliege::N,mosca,mêş
205,Schmetterling::N,borboleta,perperîk
206,Beere::N,bago,hirç
207,Apfel::N,maçã,sêv
208,Pilz::N,fungo,bîrov
209,Pilz::N,cogumelo,bîrov
210,Zwiebel::N,cebola,pîvaz
211,Saat::N,sementeira,tov
212,Korn::N,grão,dexl
213,Heu::N,feno,sap
214,Schale::N,casca,qaşik
215,Grube::N,cova,çahl
216,Grube::N,fossa,çahl
217,Falle::N,armadilha,dafik
218,Schlinge::N,laço,dahf
219,Spur::N,pista,rêç
220,Spur::N,vestígio,rêç
221,Asche::N,cinza,xweli
222,Dreck::N,sujidade,gemarî
223,Eisen::N,ferro,hesing
224,Gold::N,ouro,zêr
225,Silber::N,prata,zîv
226,Kohle::N,carvão,komir
227,Glas::N,vidro,qedeh
228,Lehm::N,barro,kelpîç
229,Lehm::N,argila,kelpîç
230,Sand::N,areia,qûm
231,Mensch::N,homem,mirov
232,Mensch::N,pessoa,mirov
233,Mann::N,homem,mêr
234,Frau::N,mulher,jin
235,Kind::N,filho,zarok
236,Kind::N,criança,zarok
237,Junge::N,rapaz,kur
238,Junge::N,menino,kur
239,Mädchen::N,menina,keç
240,Mädchen::N,menina,keçik
241,Mädchen::N,rapariga,keç
242,Mädchen::N,rapariga,keçik
243,Familie::N,família,malbat
244,Großvater::N,avô,bapîr
245,Großmutter::N,avó,pîrik
246,Eltern::N,pais,bavudê
247,Vater::N,pai,bav
248,Mutter::N,mãe,dê
249,Mutter::N,mãe,dayik
250,Sohn::N,filho,kur
251,Tochter::N,filha,keç
252,Bruder::N,irmão,bira
253,Schwester::N,irmã,xweh
254,Onkel::N,tio,am
255,Onkel::N,tio,xal
256,Tante::N,tia,metik
257,Tante::N,tia,xaltîk
258,Ehemann::N,esposo,mêr
259,Ehefrau::N,esposa,kulfet
260,Freude::N,prazer,kêfxweşî
261,Freude::N,alegria,kêfxweşî
262,Gelächter::N,risada,pîrqînî
263,Gelächter::N,gargalhada,pîrqînî
264,Glück::N,felicidade,bext
265,Kummer::N,aflição,derd
266,Kummer::N,desgosto,derd
267,Wunsch::N,desejo,daxwaz
268,Wunsch::N,desejo,xwestek
269,Lust::N,vontade,şewq
270,Geist::N,mente,aqil
271,Geist::N,espírito,aqil
272,Gedanke::N,ideia,fikir
273,Gedanke::N,pensamento,fikir
274,Gedächtnis::N,memória,aqil
275,Verstand::N,razão,fêm
276,Verstand::N,inteligência,fêm
277,Sinn::N,sentido,aqil
278,Sinn::N,significado,aqil
279,Grund::N,causa,asas
280,Grund::N,motivo,asas
281,Wahrheit::N,verdade,rastî
282,Gespräch::N,conversa,guftûgo
283,Gespräch::N,conversação,guftûgo
284,Märchen::N,conto,çirok
285,Erzählung::N,conto,çirok
286,Erzählung::N,conto,vegotin
287,Erzählung::N,narrativa,çirok
288,Erzählung::N,narrativa,vegotin
289,Nachricht::N,mensagem,nûçe
290,Neuigkeit::N,notícia,hewal
291,Neuigkeit::N,novidade,hewal
292,Name::N,nome,nav
293,Name::N,nome,paşnav
294,Rätsel::N,adivinha,tiştonek
295,Rede::N,oração,gotar
296,Rede::N,oração,axavtin
297,Rede::N,discurso,gotar
298,Rede::N,discurso,axavtin
299,Sprache::N,língua,ziman
300,Stimme::N,voz,pejn
301,Wort::N,palavra,gotin
302,Zeichen::N,marca,şanek
303,Ruf::N,grito,hawar
304,Ruf::N,chamada,hawar
305,Lärm::N,ruído,xarbalix
306,Lärm::N,barulho,xarbalix
307,Laut::N,som,deng
308,Laut::N,som,hês
309,Ton::N,tom,awaz
310,Lied::N,canção,sitran
311,Ruhe::N,calma,rihetî
312,Ruhe::N,silêncio,rihetî
313,Leute::N,gente,xelk
314,Leute::N,pessoas,xelk
315,Volk::N,povo,xelk
316,Volk::N,nação,xelk
317,Arbeit::N,trabalho,xebat
318,Gast::N,hóspede,mêvan
319,Gast::N,convidado,mêvan
320,Geschenk::N,prenda,diyarî
321,Geschenk::N,presente,diyarî
322,Spiel::N,jogo,lîstik
323,Gesellschaft::N,companhia,komal
