,Concept_ID,cy,hr
0,Auge::N,llygad,oko
1,Ohr::N,clust,uho
2,Nase::N,trwyn,nos
3,Mund::N,ceg,usta
4,Zahn::N,dant,zub
5,Zunge::N,tafod,jezik
6,Lippe::N,gwefus,usna
7,Wange::N,boch,obraz
8,Gesicht::N,wyneb,lice
9,Stirn::N,talcen,čelo
10,Haar::N,blew,kosa
11,Schnurrbart::N,mwstas,brkovi
12,Bart::N,barf,brada
13,Kinn::N,gên,brada
14,Kinn::N,gên,podbradak
15,Kiefer[Anatomie]::N,gên,čeljust
16,Kehle::N,gwddf,grlo
17,Hals::N,gwddf,vrat
18,Genick::N,gwar,zatiljak
19,Genick::N,gwegil,zatiljak
20,Kopf::N,pen,glava
21,Rücken::N,cefn,leđa
22,Rücken::N,cefn,hrbat
23,Bauch::N,bol,trbuh
24,Nabel::N,bogail,pupak
25,Busen::N,bron,sisa
26,Busen::N,bron,njedra
27,Brust::N,brest,prsa
28,Schulter::N,ysgwydd,rame
29,Schulter::N,ysgwydd,pleći
30,Arm::N,braich,ruka
31,Ellenbogen::N,penelin,lakat
32,Hand::N,llaw,ruka
33,Handfläche::N,palf,dlan
34,Finger::N,bys,prst
35,Fingernagel::N,ewin,nokat
36,Nagel[Anatomie]::N,ewin,nokat
37,Zeh::N,bys troed,nozni prst
38,Fuß::N,troed,noga
39,Fuß::N,troed,stopalo
40,Ferse::N,sawdl,peta
41,Knie::N,glin,koljeno
42,Oberschenkel::N,clun,bedro
43,Bein::N,coes,noga
44,Körper::N,corff,tijelo
45,Haut::N,croen,put
46,Haut::N,croen,koža
47,Blut::N,gwaed,krv
48,Ader::N,gwythïen,žila
49,Sehne::N,gewyn,tetiva
50,Knochen::N,asgwrn,kost
51,Gehirn::N,ymennydd,
52,Herz::N,calon,srce
53,Magen::N,cylla,stomak
54,Magen::N,cylla,želudac
55,Magen::N,stumog,stomak
56,Magen::N,stumog,želudac
57,Leber::N,iau,jetra
58,Atem::N,anadl,dah
59,Hunger::N,newyn,glad
60,Träne::N,deigryn,suza
61,Geschmack::N,cyflas,ukus
62,Geruch::N,aroglau,njuh
63,Geruch::N,aroglau,miris
64,Schlaf::N,cwsg,san
65,Traum::N,breuddwyd,san
66,Himmel::N,awyr,nebo
67,Sonne::N,haul,sunce
68,Mond::N,lleuad,mjesec
69,Stern::N,seren,zvijezda
70,Luft::N,awyr,zrak
71,Wind::N,gwynt,vjetar
72,Welle::N,ton,val
73,Welle::N,ton,talas
74,Wasser::N,dŵr,voda
75,Stein::N,carreg,kamen
76,Boden::N,llawr,tlo
77,Boden::N,llawr,zemlja
