,Concept_ID,ro,nl
0,Auge::N,ochi,oog
1,Ohr::N,ureche,oor
2,Nase::N,nas,neus
3,Mund::N,gură,mond
4,Zahn::N,dinte,tand
5,Zunge::N,limbă,tong
6,Lippe::N,buză,lip
7,Wange::N,bucă,wang
8,Wange::N,obraz,wang
9,Gesicht::N,față,gelaat
10,Gesicht::N,față,gezicht
11,Gesicht::N,figură,gelaat
12,Gesicht::N,figură,gezicht
13,Stirn::N,frunte,voorhoofd
14,Haar::N,păr,haar
15,Schnurrbart::N,mustață,snor
16,Bart::N,barbă,baard
17,Kinn::N,bărbie,kin
18,Kiefer[Anatomie]::N,falcă,kaak
19,Kehle::N,beregată,keel
20,Kehle::N,beregată,strot
21,Hals::N,gât,hals
22,Genick::N,ceafă,nek
23,Kopf::N,cap,hoofd
24,Rücken::N,dos,rug
25,Rücken::N,spate,rug
26,Rücken::N,spinare,rug
27,Bauch::N,burtă,buik
28,Bauch::N,pântece,buik
29,Nabel::N,buric,navel
30,Busen::N,sân,boezem
31,Brust::N,piept,borst
32,Schulter::N,umăr,schouder
33,Schulter::N,spate,schouder
34,Arm::N,braț,arm
35,Ellenbogen::N,cot,elleboog
36,Hand::N,mână,hand
37,Handfläche::N,palmă,handpalm
38,Finger::N,deget,vinger
39,Fingernagel::N,unghie,nagel
40,Nagel[Anatomie]::N,unghie,nagel
41,Zeh::N,deget de la picior,teen
42,Fuß::N,picior,voet
43,Ferse::N,călcâi,hak
44,Ferse::N,călcâi,hiel
45,Knie::N,genunchi,knie
46,Oberschenkel::N,coapsă,dij
47,Bein::N,picior,been
48,Körper::N,corp,lichaam
49,Haut::N,piele,huid
50,Blut::N,sânge,bloed
51,Ader::N,vână,ader
52,Ader::N,arteră,ader
53,Sehne::N,tendon,pees
54,Knochen::N,os,bot
55,Knochen::N,os,been
56,Knochen::N,os,knook
57,Gehirn::N,creier,hersenen
58,Herz::N,inimă,hart
59,Magen::N,stomac,maag
60,Leber::N,ficat,lever
61,Atem::N,răsuflare,adem
62,Atem::N,respirație,adem
63,Hunger::N,foame,honger
64,Träne::N,lacrimă,traan
65,Geschmack::N,gust,smaak
66,Geruch::N,miros,geur
67,Schlaf::N,somn,slaap
68,Traum::N,vis,droom
69,Himmel::N,cer,hemel
70,Sonne::N,soare,zon
71,Mond::N,lună,maan
72,Stern::N,stea,ster
73,Luft::N,aer,lucht
74,Wind::N,vânt,wind
75,Welle::N,val,golf
76,Welle::N,undă,golf
77,Wasser::N,apă,water
78,Stein::N,piatră,steen
79,Boden::N,sol,grond
80,Boden::N,pământ,grond
81,Erde::N,pământ,aarde
82,Staub::N,praf,stof
83,Rauch::N,fum,rook
84,Funke::N,scânteie,vonk
85,Feuer::N,foc,vuur
86,Licht::N,lumină,licht
87,Schatten::N,umbră,schaduw
88,Wetter::N,timp,weer
89,Wetter::N,vreme,weer
90,Nebel::N,ceață,mist
91,Nebel::N,ceață,nevel
92,Nebel::N,negură,mist
93,Nebel::N,negură,nevel
94,Wolke::N,nor,wolk
95,Regen::N,ploaie,regen
96,Schnee::N,zăpadă,sneeuw
97,Eis::N,gheață,ijs
98,Frost::N,ger,vorst
99,Kälte::N,frig,kou
100,Kälte::N,frig,koude
101,Hitze::N,arșiță,hitte
102,Hitze::N,căldură,hitte
103,Raureif::N,chiciură,rijp
104,Regenbogen::N,curcubeu,regenboog
105,Donner::N,tunet,donder
106,Strömung::N,curent,stroming
107,Tropfen::N,picătură,druppel
108,Schaum::N,spumă,schuim
109,Schmutz::N,murdărie,vuil
110,See::N,lac,meer
111,Sumpf::N,mlaștină,moeras
112,Moor::N,bărăgan,veen
113,Wiese::N,fânaț,wei
114,Wiese::N,fânaț,weide
115,Wiese::N,livadă,wei
116,Wiese::N,livadă,weide
117,Wald::N,codru,bos
118,Wald::N,pădure,bos
119,Hügel::N,deal,heuvel
120,Hügel::N,movilă,heuvel
121,Anhöhe::N,deal,hoogte
122,Anhöhe::N,ridicătură,hoogte
123,Berg::N,munte,berg
124,Gipfel::N,pisc,top
125,Höhle::N,peșteră,hol
126,Abhang::N,pantă,helling
127,Abhang::N,versant,helling
128,Quelle::N,izvor,bron
