,Concept_ID,mrj,lt
0,Auge::N,сӹнзӓ,akis
1,Ohr::N,пӹлӹш,ausis
2,Nase::N,нер,nosis
3,Mund::N,ышма,burna
4,Zahn::N,пӱ,dantis
5,Zunge::N,йӹлмӹ,liežuvis
6,Lippe::N,тӹрвӹ,lūpa
7,Wange::N,шӹргӹ,žandas
8,Wange::N,шӹргӹ,skruostas
9,Gesicht::N,лицӓ,veidas
10,Stirn::N,лепкӓ,kakta
11,Haar::N,ӱп,plaukai
12,Schnurrbart::N,öрш,ūsai
13,Bart::N,пандаш,barzda
14,Kinn::N,онгылаш,smakras
15,Kiefer[Anatomie]::N,пӱ арата,žandikaulis
16,Kehle::N,логер,gerklė
17,Hals::N,шӱ,kaklas
18,Genick::N,ланга,sprandas
19,Kopf::N,вуй,galva
20,Rücken::N,туп,nugara
21,Bauch::N,мӹшкӹр,pilvas
22,Nabel::N,кӹлӹмдӹ,bamba
23,Busen::N,цӹзӹ,krūtinė
24,Brust::N,мел,krūtis
25,Schulter::N,ӹнгӹжӓ,petys
26,Arm::N,кид,ranka
27,Ellenbogen::N,кӹнервуй,alkūnė
28,Hand::N,лапа,ranka
29,Hand::N,лапа,plaštaka
30,Handfläche::N,кид лапа,delnas
31,Handfläche::N,кид лапа,plaštaka
32,Finger::N,парня,pirštas
33,Fingernagel::N,кӹч,nagas
34,Nagel[Anatomie]::N,кӹч,nagas
35,Zeh::N,парня,pirštas
36,Fuß::N,ял лапа,pėda
37,Ferse::N,ялгавал,kulnas
38,Ferse::N,ял кавал,kulnas
39,Knie::N,пылвуй,kelis
40,Oberschenkel::N,ӓрдӹ,kulšis
41,Oberschenkel::N,ӓрдӹ,šlaunis
42,Bein::N,ял,koja
43,Körper::N,монгыр,kūnas
44,Haut::N,кавашты,oda
45,Blut::N,вӹр,kraujas
46,Ader::N,вӹршӓр,kraujagyslė
47,Sehne::N,кукшышӱн,sausgyslė
48,Knochen::N,лу,kaulas
49,Gehirn::N,вим,smegenys
50,Herz::N,шӱм,širdis
51,Magen::N,шӱм,skrandis
52,Leber::N,мокш,kepenys
53,Atem::N,шӱлӹш,kvapas
54,Hunger::N,шужымаш,badas
55,Hunger::N,шужымаш,alkis
56,Träne::N,сӹнзӓвӹд,ašara
57,Geschmack::N,тот,skonis
58,Geruch::N,пыш,kvapas
59,Schlaf::N,ом,miegas
60,Traum::N,ом,sapnas
61,Himmel::N,пӹлгом,dangus
62,Sonne::N,кечӹ,saulė
63,Mond::N,тӹлзӹ,mėnulis
64,Stern::N,шӹдӹр,žvaigždė
65,Luft::N,юж,oras
66,Luft::N,воздух,oras
67,Wind::N,мардеж,vėjas
68,Welle::N,ко,banga
69,Welle::N,ко,vilnis
70,Welle::N,коэ,banga
71,Welle::N,коэ,vilnis
72,Wasser::N,вӹд,vanduo
73,Stein::N,кӱ,akmuo
74,Boden::N,рок,žemė
75,Boden::N,рок,dugnas
76,Erde::N,свет,žemė
77,Staub::N,пырак,dulkės
78,Rauch::N,шӹкш,dūmai
79,Funke::N,ип,kibirkštis
80,Funke::N,тылип,kibirkštis
81,Feuer::N,тыл,ugnis
82,Licht::N,соты,šviesa
83,Licht::N,валгыды,šviesa
84,Schatten::N,ӹмӹл,paūksmė
85,Wetter::N,игечӹ,oras
86,Nebel::N,тӹтӹрӓ,migla
87,Nebel::N,тӹтӹрӓ,rūkas
88,Wolke::N,пӹл,debesis
89,Regen::N,юр,lietus
90,Schnee::N,лым,sniegas
91,Eis::N,и,ledas
92,Frost::N,ӱштӹ,šalna
93,Kälte::N,ӱштӹ,šaltis
94,Hitze::N,шокшы,karštis
95,Raureif::N,пöрш,šerkšnas
96,Regenbogen::N,шанавӹл,vaivorykštė
97,Donner::N,хӹдӹртӹш,perkūnas
98,Donner::N,хӹдӹртӹш,griaustinis
99,Strömung::N,йогы,tėkmė
100,Tropfen::N,капльы,lašas
101,Tropfen::N,капльык,lašas
102,Schaum::N,шонг,putos
103,Schmutz::N,лявӹрӓ,purvas
104,See::N,йӓр,ežeras
105,Sumpf::N,лӱкӹ,klampynė
106,Sumpf::N,лӱкӹ,liūnas
107,Moor::N,куп,pelkė
108,Wiese::N,алык,pieva
109,Wald::N,шӹргӹ,miškas
110,Hügel::N,пӱгӹрикӓ,kalva
111,Anhöhe::N,кӱкшикӓ,kauburys
112,Berg::N,кырык,kalnas
113,Gipfel::N,неркӓ,viršūnė
114,Höhle::N,ы́раж,ola
115,Abhang::N,полом,šlaitas
116,Abhang::N,полом,nuokalnė
117,Quelle::N,вӹдсӹнзӓ,versmė
118,Quelle::N,вӹдсӹнзӓ,šaltinis
119,Bach::N,ӓнгӹр,upelis
120,Fluss::N,вӹд,upė
121,Ufer::N,сир,krantas
122,Küste::N,сир,pajūris
123,Festland::N,мӱлӓндӹ,sausuma
124,Meer::N,тангыж,jūra
125,Bucht::N,вӹдъял,įlanka
126,Bucht::N,вӹдъял,užutekis
127,Insel::N,острок,sala
128,Blume::N,пеледӹш,gėlė
129,Gras::N,шуды,žolė
130,Wurzel::N,важ,šaknis
131,Baum::N,пушӓнгӹ,medis
132,Stamm::N,пушӓнгӹ тӹнг,kamienas
133,Rinde::N,каргыж,žievė
134,Ast::N,укш,šaka
135,Zweig::N,укш,šakelė
136,Blatt::N,листӹ,lapas
137,Birke::N,куги,beržas
138,Kiefer[Baum]::N,йӓктӹ,pušis
139,Weide[Baum]::N,уа,karklas
140,Tanne::N,кож,eglė
141,Tanne::N,кож,kėnis
142,Horn::N,шур,ragas
143,Feder::N,пын,plunksna
144,Fell::N,кавашты,kailis
145,Flügel::N,шылдыр,sparnas
146,Klaue::N,кӹч,kanopa
147,Kralle::N,лапа,nagas
148,Schwanz::N,пач,uodega
149,Ei::N,мыны,kiaušinis
150,Nest::N,пӹжӓш,gūžta
151,Nest::N,пӹжӓш,lizdas
152,Bau::N,ыраж,ola
153,Tier::N,во́льык,gyvūnas
154,Herde::N,кӹтö,banda
155,Herde::N,кӹтö,kaimenė
156,Kuh::N,ышкал,karvė
157,Bulle::N,ӱшкӱж,bulius
158,Pferd::N,имни,arklys
159,Schaf::N,шарык,avis
160,Schwein::N,сасна,kiaulė
161,Hund::N,пи,šuo
162,Katze::N,коти,katė
163,Bär::N,мöскӓ,lokys
164,Eichhörnchen::N,ур,voveraitė
165,Elch::N,шарды,briedis
166,Fuchs::N,рӹвӹж,lapė
167,Hase::N,морен,kiškas
168,Maus::N,каля,pelė
169,Wolf::N,пирӹ,vilkas
170,Vogel::N,кек,paukštis
171,Schwarm::N,цуца,spiečius
172,Huhn::N,цӹвӹ,višta
173,Hahn::N,ӓптӓн,gaidys
174,Gans::N,комбы,žąsis
175,Adler::N,кучкыж,erelis
176,Ente::N,лыды,antis
177,Eule::N,тымана,pelėda
178,Kranich::N,тырня,gervė
179,Kranich::N,тыртня,gervė
180,Krähe::N,лудыгарак,varna
181,Kuckuck::N,куку,gegužė
182,Schwan::N,йӱксӹ,gulbė
183,Fisch::N,кол,žuvis
184,Barsch::N,алангы,ešerys
185,Hecht::N,нуж,lydeka
186,Hecht::N,нужгол,lydeka
187,Schlange[Tier]::N,кӹшкы,gyvatė
188,Wurm::N,шукш,kirmėlė
189,Spinne::N,ӓнгӹремшӹ,voras
190,Ameise::N,кыткы,skruzdė
191,Laus::N,ти,utėlė
192,Mücke::N,кужнер,uodas
193,Mücke::N,кужынер,uodas
194,Fliege::N,шӹнгӓ,musė
195,Schmetterling::N,лӹпӹ,drugys
196,Schmetterling::N,лӹпӹ,peteliškė
197,Beere::N,мöр,uoga
198,Apfel::N,олма,obuolys
199,Pilz::N,понгы,grybas
200,Zwiebel::N,охыра,svogūnas
201,Saat::N,нӱшмӹ,sėkla
202,Saat::N,нӱшмӱ,sėkla
203,Korn::N,пӹрцӹ,grūdai
204,Heu::N,шуды,šienas
205,Schale::N,аваха,žievelė
206,Schale::N,карлангы,žievelė
207,Grube::N,йӓм,duobė
208,Falle::N,лӱдӹ,pinklės
209,Falle::N,лӱдӹ,žabangai
210,Falle::N,лӱдӹш,pinklės
211,Falle::N,лӱдӹш,žabangai
212,Schlinge::N,онгы,kilpa
213,Spur::N,кишӓ,vėžė
214,Spur::N,кишӓ,pėdos
215,Spur::N,кишӓ,pėdsakas
216,Asche::N,ломых,pelenai
217,Asche::N,ломпыж,pelenai
218,Dreck::N,лявӹрӓ,purvas
219,Eisen::N,кӹртни,geležis
220,Gold::N,шöртни,auksas
221,Gold::N,шöртньӹ,auksas
222,Silber::N,ши,sidabras
223,Kohle::N,шӱ,anglis
224,Glas::N,охоница,stiklas
225,Lehm::N,шун,molis
226,Sand::N,ошма,smėlis
227,Mensch::N,эдем,žmogus
228,Mann::N,пӱэргӹ,vyras
229,Mann::N,пӱэргӹ,vyriškis
230,Frau::N,ӹдӹрӓмӓш,moteris
231,Kind::N,ӓзӓ,vaikas
232,Kind::N,шачшы,vaikas
233,Junge::N,рвезӹ,vaikinas
234,Junge::N,рвезӹ,berniukas
235,Junge::N,ӹрвезӹ,vaikinas
236,Junge::N,ӹрвезӹ,berniukas
237,Mädchen::N,ӹдӹрӓш,mergytė
238,Mädchen::N,ӹдӹрӓш,mergaitė
239,Familie::N,йиш,šeima
240,Familie::N,семня,šeima
241,Großvater::N,тьоти,senelis
242,Großmutter::N,папа,senelė
243,Eltern::N,ӓтя-ӓвӓ,tėvai
244,Vater::N,ӓтя,tėvas
245,Mutter::N,ӓвӓ,motina
246,Sohn::N,эргӹ,sūnus
247,Tochter::N,ӹдӹр,duktė
248,Bruder::N,ӹза,brolis
249,Schwester::N,ӓкӓ,sesuo
250,Onkel::N,кугуза,dėdė
251,Tante::N,куака,teta
252,Ehemann::N,мары,vyras
253,Ehefrau::N,вӓтӹ,žmona
254,Freude::N,ӹвӹртӹмӓш,džiaugsmas
255,Gelächter::N,ваштылмаш,juokas
256,Glück::N,пиӓл,laimė
257,Kummer::N,ясы,vargas
258,Kummer::N,ясы,rūpestis
259,Wunsch::N,охата,troškimas
260,Wunsch::N,охата,pageidavimas
261,Wunsch::N,шанымаш,troškimas
262,Wunsch::N,шанымаш,pageidavimas
263,Lust::N,шӓр,noras
264,Lust::N,шӓр,geidulys
265,Lust::N,охата,noras
266,Lust::N,охата,geidulys
267,Lust::N,шанымаш,noras
268,Lust::N,шанымаш,geidulys
269,Geist::N,тух,dvasia
270,Gedanke::N,шанымаш,mintis
271,Gedächtnis::N,ӓш,atmintis
272,Verstand::N,ыш,protas
273,Sinn::N,кын,prasmė
274,Grund::N,вир,priežastis
275,Wahrheit::N,тöр,tiesa
276,Wahrheit::N,тöр,teisybė
277,Gespräch::N,хытырымаш,pokalbis
278,Märchen::N,ямак,pasaka
279,Erzählung::N,шайыштмаш,apsakymas
280,Erzählung::N,шайыштмаш,pasakojimas
281,Nachricht::N,увертӓрӹмӓш,žinia
282,Neuigkeit::N,увер,naujiena
283,Name::N,лӹм,vardas
284,Rätsel::N,тышты,mįslė
285,Rede::N,шая,kalba
286,Rede::N,шамак,kalba
287,Sprache::N,йӹлмӹ,kalba
288,Stimme::N,юк,balsas
289,Wort::N,шамак,žodis
290,Zeichen::N,палӹ,žymė
291,Zeichen::N,палӹ,ženklas
292,Ruf::N,сӹгӹрӹмӓш,šauksmas
293,Lärm::N,юкланымащ,triukšmas
294,Laut::N,юк,garsas
295,Ton::N,юк,tonas
296,Ton::N,юк,garsas
297,Lied::N,мыры,daina
298,Lied::N,мыры,giesmė
299,Ruhe::N,тыр,ramybė
300,Ruhe::N,тыр,ramumas
301,Leute::N,эдемвлӓ,žmonės
302,Volk::N,халык,tauta
303,Arbeit::N,пӓшӓ,darbas
304,Arbeit::N,пӓшӓ,triūsas
305,Gast::N,хына,svečias
306,Geschenk::N,подарка,dovana
307,Spiel::N,мадыш,žaismas
308,Spiel::N,мадыш,žaidimas
309,Gesellschaft::N,йӓл,draugija
310,Gesellschaft::N,йӓл,kompanija
311,Gesellschaft::N,йӓлвлӓ,draugija
312,Gesellschaft::N,йӓлвлӓ,kompanija
313,Hilfe::N,палшык,pagalba
314,Freund::N,тӓнг,draugas
315,Freund::N,тӓнг,bičiulis
316,Kamerad::N,тос,draugas
317,Angelegenheit::N,дела,dalykas
318,Angelegenheit::N,дела,reikalas
319,Angelegenheit::N,йела,dalykas
320,Angelegenheit::N,йела,reikalas
321,Angelegenheit::N,йыла,dalykas
322,Angelegenheit::N,йыла,reikalas
323,Angelegenheit::N,пӓшӓ,dalykas
324,Angelegenheit::N,пӓшӓ,reikalas
325,Anzahl::N,шот,kiekis
326,Anzahl::N,шот,skaičius
327,Art::N,цӹре,rūšis
328,Stück::N,лаштык,gabalas
329,Teil::N,пай,dalis
330,Teil::N,часть,dalis
331,Hälfte::N,пел,pusė
332,Kreis::N,тӹртӹш,ratas
333,Kreis::N,тӹртӹш,apskritis
334,Kreis::N,тӹртӹш,apskritimas
335,Kreuz::N,крестӹ,kryžius
336,Abstand::N,ло,atstumas
337,Entfernung::N,ло,atstumas
338,Gegend::N,вӓр,vietovė
339,Platz::N,вӓр,vieta
340,Ort::N,вӓр,vieta
341,Ort::N,вӓр,vietovė
342,Seite::N,öрдӹж,pusė
343,Seite::N,öрдӹж,šonas
344,Mitte::N,ло,vidurys
345,Gegenstand::N,хӓдӹр,dalykas
346,Sache::N,хӓдӹр,daiktas
347,Rand::N,шöр,kraštas
348,Rand::N,шöр,pakraštys
349,Kante::N,шöр,kraštas
350,Ecke::N,лык,kertė
351,Ecke::N,лык,kampas
352,Spitze::N,вуй,priekis
353,Spitze::N,вуй,priešakys
354,Ende::N,вуй,galas
355,Ende::N,мычаш,galas
356,Loch::N,ыраж,skylė
357,Winkel::N,лык,kampas
358,Winkel::N,лык,kampelis
359,Muster::N,тӹрлец,raštas
360,Größe::N,кӱкшӹц,dydis
361,Größe::N,кӱкшӹц,didumas
362,Länge::N,кыт,ilgis
363,Länge::N,кыт,ilgumas
364,Höhe::N,кӱкшӹц,aukštis
365,Höhe::N,кӱкшӹц,aukštuma
366,Gewicht::N,нелӹц,svoris
367,Gewicht::N,нелӹц,svarstis
368,Menge::N,шот,kiekis
369,Menge::N,шот,daugybė
370,Haufen::N,ара,krūva
371,Haufen::N,ара,šūsnis
372,Reihe::N,ряд,greta
373,Boot::N,пыш,valtis
374,Boot::N,пыш,laivelis
375,Ruder::N,вешлӓ,irklas
376,Schlitten::N,тир,rogės
377,Schlitten::N,тир,rogutės
378,Ski::N,ечӹ,slidė
379,Lagerfeuer::N,тыл,laužas
380,Last::N,нелӹц,našta
381,Last::N,нелӹц,nešulys
382,Gang::N,ход,eisena
383,Schritt::N,ашкыл,žingsnis
384,Norden::N,йыдпелвел,šiaurė
385,Norden::N,йыдпелвел,žiemiai
386,Süden::N,кечӹвӓлвел,pietūs
387,Westen::N,кечӹ шӹцмӹ,vakarai
388,Osten::N,ирвел,rytai
389,Osten::N,кечӹ лӱлтмӹ,rytai
390,Holz::N,пушӓнгӹ,mediena
391,Brett::N,ханга,lenta
392,Platte::N,плитӓ,plokštė
393,Stütze::N,цӓрӓк,atrama
394,Stütze::N,цӓрӓк,atspara
395,Stange::N,равы,lazda
396,Stange::N,равы,kartis
397,Stange::N,намаш,lazda
398,Stange::N,намаш,kartis
399,Stock::N,панды,lazda
400,Stab::N,равы,kartis
401,Rohr::N,пыч,vamzdis
402,Haus::N,пöрт,namas
403,Heim::N,пöрт,namai
404,Ofen::N,камака,krosnis
405,Fußboden::N,седӹрӓ,grindys
406,Tisch::N,стöл,stalas
407,Stuhl::N,пöкен,kėdė
408,Wiege::N,шипкӓ,lopšys
409,Bett::N,койка,lova
410,Bett::N,койка,patalai
411,Bett::N,кравать,lova
412,Bett::N,кравать,patalai
413,Regal::N,полицӓ,lentyna
414,Kiste::N,шӱ́ндӹк,dėžė
415,Fenster::N,окня,langas
416,Tür::N,амаса,durys
417,Tor::N,хапка,vartai
418,Zaun::N,забор,tvora
419,Dach::N,левӓш,stogas
420,Leiter::N,ташкалтыш,kopėčios
421,Besen::N,сало,šluota
422,Besen::N,салко,šluota
423,Spaten::N,кольмы,lopeta
424,Spaten::N,кольмы,kastuvas
425,Schaufel::N,лоток,semtuvas
426,Gabel::N,ви́лка,šakutė
427,Löffel::N,савала,šaukštas
428,Messer::N,кӹзӹ,peilis
429,Nagel::N,пыда,vinis
430,Netz::N,вӓпш,tinklas
431,Haken::N,крӱк,vagis
432,Haken::N,крӱк,kablys
433,Haken::N,кагак,vagis
434,Haken::N,кагак,kablys
435,Griff::N,кычем,kotas
436,Griff::N,кычем,rankena
437,Schloss::N,замок,spyna
438,Schloss::N,замок,užraktas
439,Schloss::N,сыравач,spyna
440,Schloss::N,сыравач,užraktas
441,Bild::N,картин,paveikslas
442,Figur::N,кӓн,figūra
443,Puppe::N,поханя,lėlė
444,Beutel::N,мешӓк,krepšys
445,Beutel::N,мешӓк,maišelis
446,Bündel::N,топ,ryšulys
447,Bündel::N,пидӹш,ryšulys
448,Bündel::N,кӹлдӹш,ryšulys
449,Tasche::N,сумкы,krepšelis
450,Eimer::N,ведӹрӓ,kibiras
451,Deckel::N,комдыш,dangtis
452,Geschirr::N,ӓтӹ,indai
453,Sack::N,мешӓк,maišas
454,Tasse::N,цӓшкӓ,puodukas
455,Topf::N,ми́ска,puodas
456,Kessel::N,пад,katilas
457,Essen::N,качкыш,valgis
458,Essen::N,качкыш-йӱш,valgis
459,Nahrung::N,качкыш,penas
460,Nahrung::N,качкыш,maistas
461,Nahrung::N,качкыш-йӱш,penas
462,Nahrung::N,качкыш-йӱш,maistas
463,Speise::N,няня,patiekalas
464,Fleisch::N,пай,mėsa
465,Getreide::N,киндӹ,javai
466,Brei::N,шӹрӓш,košė
467,Brot::N,сыкыр,duona
468,Scheibe::N,ламыт,riekė
469,Scheibe::N,лаштык,riekė
470,Fett::N,кая,taukai
471,Fett::N,кая,riebalai
472,Butter::N,ӱ,sviestas
473,Öl::N,ӱ,aliejus
474,Salz::N,санзал,druska
475,Suppe::N,лем,sriuba
476,Honig::N,мӱ,medus
477,Milch::N,шӹшер,pienas
478,Tee::N,чӓй,arbata
479,Leder::N,шарга,oda
480,Leder::N,кавашты,oda
481,Wolle::N,миж,vilna
482,Stoff::N,матер,audeklas
483,Stoff::N,матери,audeklas
484,Nadel::N,им,adata
485,Faden::N,шӹртӹ,gija
486,Faden::N,шӹртӹ,siūlas
487,Knopf::N,полдыш,saga
488,Knoten::N,пӱкшем,mazgas
489,Farbe::N,чиӓ,dažai
490,Farbe::N,крӓскӓ,dažai
491,Kleidung::N,выргем,rūbai
492,Kleidung::N,выргем,drabužiai
493,Hemd::N,тыгыр,marškiniai
494,Kragen::N,шӱ,apykaklė
495,Ärmel::N,шокш,rankovė
496,Hose::N,ялаш,kelnės
497,Gürtel::N,ӹштӹ,juosta
498,Gürtel::N,ӹштӹ,diržas
499,Mütze::N,упш,kepurė
500,Schuh::N,ту́фльы,batas
501,Stiefel::N,кем,auliniai batai
502,Ring::N,шӓргӓш,žiedas
503,Band::N,лемтӓ,kaspinas
504,Kamm::N,шерге,šukos
505,Spiegel::N,тӹгӹр,veidrodis
506,Riemen::N,прӓжӓ,diržas
507,Schnur::N,кӓндӹра,virvė
508,Leine::N,керем,pavadėlis
509,Decke::N,одеял,antklodė
510,Kissen::N,кӹпцӹк,pagalvė
511,Kissen::N,кӹпцӹк,priegalvis
512,Tuch::N,савыц,skarelė
513,Handtuch::N,шӹргӹсавыц,rankšluostis
514,Handtuch::N,шӹргӹмсавыц,rankšluostis
515,Kraft::N,ви,jėga
516,Stärke::N,ви,stiprumas
517,Gesundheit::N,шу,sveikata
518,Gesundheit::N,шулык,sveikata
519,Krankheit::N,мыж,liga
520,Schmerz::N,карштыш,skausmas
521,Wunde::N,шушыр,žaizda
522,Fieber::N,ӱштӹмыж,karštis
523,Arznei::N,лекӓрцӹ,vaistas
524,Brücke::N,кӹвер,tiltas
525,Brunnen::N,вӹдсӹнзӓ,šulinys
526,Weide::N,ныр,ganykla
527,Weide::N,ныр,gluosnis
528,Pfad::N,ялгорны,takas
529,Weg::N,корны,kelias
530,Straße::N,корны,gatvė
531,Dorf::N,сола,kaimas
532,Dorf::N,сола,sodžius
533,Stadt::N,города,miestas
534,Brief::N,сирмӓш,laiškas
535,Buch::N,книгӓ,knyga
536,Buchstabe::N,буква́,raidė
537,Zeitung::N,газет,laikraštis
538,Zeitung::N,кайзет,laikraštis
539,Leben::N,житя,gyvybė
540,Leben::N,житя,gyvenimas
541,Tod::N,смöрт,mirtis
542,Grab::N,шӹгер,kapas
543,Grab::N,мыгилӓ,kapas
544,Grab::N,шӹгерлӓ,kapas
545,Kirche::N,церкӹ,bažnyčia
546,Sünde::N,сулык,nuodėmė
547,Sünde::N,сулык,nusidėjimas
548,Gott::N,йымы,dievas
549,Arbeiter::N,пӓшӓзӹ,darbininkas
550,Chef::N,вуй,šefas
551,Chef::N,вуй,vadovas
552,Chef::N,вуй,viršininkas
553,Meister::N,мастар,meistras
554,Arzt::N,доктор,gydytojas
555,Lehrer::N,тымдышы,mokytojas
556,Geld::N,окса,pinigai
557,Geschäft::N,торге́йӹмӓш,biznis
558,Laden::N,лапка,krautuvė
559,Laden::N,лапка,parduotuvė
560,Laden::N,магазин,krautuvė
561,Laden::N,магазин,parduotuvė
562,Preis::N,ӓк,kaina
563,Ware::N,товар,prekė
564,Nutzen::N,пайда,nauda
565,Nutzen::N,пайда,pelnas
566,Reichtum::N,перке,turtas
567,Welt::N,сӓндӓлӹк,pasaulis
568,Welt::N,свет,pasaulis
569,Land::N,сӓндӓлӹк,žemė
570,Land::N,сӓндӓлӹк,šalis
571,Staat::N,кугижӓншӹ,valstija
572,König::N,король,karalius
573,Macht::N,власть,galia
574,Macht::N,власть,valdžia
575,Grenze::N,пӹсмӓн,riba
576,Grenze::N,пӹсмӓн,siena
577,Krieg::N,вырсы,karas
578,Feind::N,тышман,priešas
579,Gewalt::N,ви,jėga
580,Gewalt::N,ви,smurtas
581,Gewalt::N,ви,prievarta
582,Kampf::N,кредӓлмӓш,kova
583,Bogen[Waffe]::N,янгеж,lankas
584,Pfeil::N,пикш,strėlė
585,Gewehr::N,пичӓл,šautuvas
586,Fehler::N,самынь,klaida
587,Lüge::N,шая,melas
588,Schaden::N,вре́дӓ,nuostolis
589,Schaden::N,вре́дӓ,apgadinimas
590,Unglück::N,пёда,nelaimė
591,Unglück::N,тымаша,nelaimė
592,Schuld::N,вуйнамат,kaltė
593,Alter::N,иӓш,amžius
594,Alter::N,игечӹ,amžius
595,Schluss::N,пӹтӓртӹш,pabaiga
596,Zeit::N,веремӓ,laikas
597,Tag::N,кечӹ,diena
598,Morgen::N,ир,rytas
599,Morgen::N,ирок,rytas
600,Mittag::N,кечӹвӓл,vidurdienis
601,Abend::N,вады,vakaras
602,Nacht::N,йыд,naktis
603,Woche::N,ӓрня,savaitė
604,Monat::N,тӹ́лзӹ,mėnuo
605,Jahr::N,год,metai
