,Concept_ID,ro,av
0,Auge::N,ochi,
1,Ohr::N,ureche,гӏин
2,Nase::N,nas,мегӏер
3,Mund::N,gură,кӏал
4,Zahn::N,dinte,гӏус
5,Zunge::N,limbă,мацӏ
6,Lippe::N,buză,кӏветӏ
7,Wange::N,bucă,гӏоно
8,Wange::N,obraz,гӏоно
9,Gesicht::N,față,гьумер
10,Gesicht::N,figură,гьумер
11,Stirn::N,frunte,нодо
12,Haar::N,păr,рас
13,Schnurrbart::N,mustață,михъ
14,Bart::N,barbă,мегеж
15,Kinn::N,bărbie,нилъу
16,Kiefer[Anatomie]::N,falcă,чанагъ
17,Kehle::N,beregată,щекъер
18,Hals::N,gât,габур
19,Genick::N,ceafă,гъванща
20,Kopf::N,cap,бетӏер
21,Rücken::N,dos,мугъ
22,Rücken::N,spate,мугъ
23,Rücken::N,spinare,мугъ
24,Bauch::N,burtă,чехь
25,Bauch::N,pântece,чехь
26,Nabel::N,buric,цӏину
27,Busen::N,sân,керен
28,Brust::N,piept,керен
29,Schulter::N,umăr,гъажазубетӏер
30,Schulter::N,spate,гъажазубетӏер
31,Arm::N,braț,гъеж
32,Ellenbogen::N,cot,гӏункӏрукь
33,Hand::N,mână,квер
34,Handfläche::N,palmă,огъохъат
35,Handfläche::N,palmă,жанисахъат
36,Finger::N,deget,килищ
37,Fingernagel::N,unghie,малъ
38,Nagel[Anatomie]::N,unghie,малъ
39,Zeh::N,deget de la picior,килищ
40,Fuß::N,picior,хӏетӏ
41,Fuß::N,picior,хӏетӏе
42,Ferse::N,călcâi,эгъе
43,Knie::N,genunchi,наку
44,Oberschenkel::N,coapsă,мачӏ
45,Bein::N,picior,бох
46,Körper::N,corp,къаркъала
47,Haut::N,piele,тӏом
48,Blut::N,sânge,би
49,Ader::N,vână,бидурихь
50,Ader::N,arteră,бидурихь
51,Sehne::N,tendon,
52,Knochen::N,os,ракьа
53,Gehirn::N,creier,гӏадалнах
54,Herz::N,inimă,ракӏ
55,Magen::N,stomac,кванирукъ
56,Leber::N,ficat,тӏул
57,Atem::N,răsuflare,хӏухь
58,Atem::N,respirație,хӏухь
