,Concept_ID,ba,lbe
0,Auge::N,күҙ,я
1,Ohr::N,ҡолаҡ,вичӏи
2,Nase::N,танау,май
3,Mund::N,ауыҙ,кьацӏ
4,Zahn::N,теш,ккарччи
5,Zunge::N,тел,маз
6,Lippe::N,ирен,мурччи
7,Wange::N,яцаҡтар,чӏав
8,Gesicht::N,бит,лажин
9,Stirn::N,маңлай,ненттабакӏ
10,Haar::N,сәс,чӏара
11,Schnurrbart::N,мылтыҡ,ссирссилтту
12,Bart::N,һаҡал,чӏири
13,Kinn::N,эйэк,лунттубакӏ
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,ххинчулул
15,Kehle::N,тамаҡ,кьакьари
16,Hals::N,муйын,ссурссу
17,Genick::N,соңҡа,махъабакӏ
18,Kopf::N,баш,бакӏ
19,Rücken::N,арҡа,ттиликӏ
20,Bauch::N,ҡорһаҡ,лякьа
21,Nabel::N,кендек,цӏумуккутӏ
22,Busen::N,күкрәк,ккукку
23,Brust::N,түш,хъазам
24,Schulter::N,яурын,хъачӏ
25,Arm::N,ҡул,ка
26,Ellenbogen::N,терһәк,ссюрхъ
27,Hand::N,ҡул,бартка
28,Hand::N,ҡул суғы,бартка
29,Handfläche::N,ус төбө,хъат
30,Handfläche::N,ус төбө,битӏянхъ
31,Finger::N,бармаҡ,кӏисса
32,Fingernagel::N,тырнаҡ,михь
33,Nagel[Anatomie]::N,тырнаҡ,михь
34,Zeh::N,бармаҡ,кӏисса
35,Fuß::N,табан,чӏанччан
36,Ferse::N,үксә,никъа
37,Knie::N,тубыҡ,ник
38,Oberschenkel::N,сандыр,жира
39,Bein::N,аяҡ,ччан
40,Körper::N,тән,чурх
41,Haut::N,тире,бурчу
42,Blut::N,ҡан,оь
43,Ader::N,тамыр,тунну
44,Sehne::N,һеңер,хьхьа
45,Sehne::N,тарамыш,хьхьа
46,Knochen::N,һойәк,ттаркӏ
47,Gehirn::N,мейе,ня
48,Herz::N,йорәк,дакӏ
49,Herz::N,йорәк,къюкӏ
50,Magen::N,ашҡаҙан,лякьа
51,Leber::N,бауыр,
52,Atem::N,һулыш,ссихӏ ласаву
53,Atem::N,һулыш,ссихӏ бигьаву
54,Hunger::N,аслыҡ,ккаши
55,Träne::N,күҙ иәше,макь
56,Geschmack::N,тәм,тӏин
57,Geschmack::N,тәм,тӏааьн
58,Geruch::N,еҫ,кьанкь
59,Schlaf::N,йоҡлау,шану
60,Traum::N,төш,макӏру
61,Himmel::N,күк,ссав
62,Sonne::N,ҡояш,баргъ
63,Mond::N,ай,барз
64,Stern::N,йондоҙ,цӏуку
65,Luft::N,һауа,гьава
66,Wind::N,ел,марч
67,Welle::N,тулҡын,щатӏи
68,Wasser::N,һыу,щин
69,Stein::N,таш,чару
70,Boden::N,тупраҡ,аьрщи
71,Erde::N,балсҡ,аьрщи
72,Staub::N,туҙан,ххит
73,Rauch::N,төтөн,пуркӏу
74,Funke::N,осҡон,пиягь
75,Feuer::N,ут,цӏу
76,Licht::N,яҡтылыҡ,чани
77,Schatten::N,күләгә,ххют
78,Wetter::N,һауа торошо,гьава
79,Nebel::N,төман,шархь ттурлу
80,Wolke::N,болот,ттурлу
81,Regen::N,ямғыр,гъарал
82,Schnee::N,ҡар,марххала
83,Eis::N,боҙ,микӏ
84,Frost::N,һалҡын,дяркъу
85,Frost::N,һалҡын,замгьар
86,Kälte::N,һыуыҡ,дяркъу
87,Hitze::N,томра,кӏиришиву
88,Hitze::N,эҫелек,кӏиришиву
89,Raureif::N,ҡырау,сил
90,Raureif::N,ҡырау,бурса
91,Regenbogen::N,йәйғор,ссурул ккуртта
92,Donner::N,күк күкрәү,къув
93,Strömung::N,ағым,экьинанаву
94,Tropfen::N,тамсы,кӏунтӏ
95,Schaum::N,күбек,хьама
96,Schmutz::N,батҡаҡ,кьяркьи
97,See::N,күл,бяр
98,Sumpf::N,һаҙлык,кунцӏа
99,Moor::N,һаҙ,
100,Wiese::N,болон,кьан
101,Wald::N,урман,вацӏа
102,Hügel::N,түбә,бакӏу
103,Anhöhe::N,түбә,
104,Anhöhe::N,ҡалҡыулыҡ,
105,Berg::N,тау,зунтту
106,Gipfel::N,түбә,мицӏ
107,Höhle::N,мәмерйә,нух
108,Abhang::N,ипкен,сун
109,Quelle::N,шишмә,дайдихьу
110,Quelle::N,шишмә,бакӏ
111,Bach::N,шишмә,чӏрир нех
112,Fluss::N,йылға,нех
113,Ufer::N,яр,зума
114,Küste::N,яр буйы,зумаинхалу
115,Küste::N,яр буйы,зуманицӏалу
116,Festland::N,ҡоро ер,кьири
117,Meer::N,диңгез,хьхьири
118,Bucht::N,бухта,
119,Insel::N,үтрау,жазира
120,Blume::N,сәскә,тӏутӏи
121,Gras::N,үлән,уртту
122,Wurzel::N,тамыр,мархха
123,Baum::N,ағас,мурхь
124,Stamm::N,олон,ттарцӏ
125,Stamm::N,көбәк,ттарцӏ
126,Rinde::N,ҡабыҡ,ккамара
127,Ast::N,ботаҡ,матӏи
128,Zweig::N,ботаҡ,къяртта
129,Zweig::N,тармаҡ,къяртта
130,Blatt::N,япраҡ,чӏапӏи
131,Birke::N,ҡайын,кӏялахӏи
132,Birke::N,ҡайын,кӏялахӏилул мурхь
133,Kiefer[Baum]::N,ҡарғай,ттар
134,Kiefer[Baum]::N,ҡарғай,ттарлил мурхь
135,Weide[Baum]::N,тал,щавщи
136,Tanne::N,шыршы,ттарлил мурхь
137,Horn::N,мөғөҙ,хъи
138,Feder::N,ҡауырһын,лелуххул тӏиму
139,Fell::N,тире,бурчу
140,Flügel::N,ҡанат,хъа
141,Flügel::N,ҡанат,ххурупӏайрал тӏиму
142,Klaue::N,тырнаҡ,михь
143,Kralle::N,аяҡ,ххяппа
144,Schwanz::N,ҡойроҡ,магъ
145,Ei::N,йомортҡа,ккунук
146,Nest::N,оя,кюру
147,Bau::N,оң,цукъуккутӏ
148,Tier::N,жайуан,хӏайван
149,Tier::N,йыртҡыс,хӏайван
150,Herde::N,көтөү,газу
151,Kuh::N,һыйыр,оьл
152,Bulle::N,үгеҙ,ниц
153,Pferd::N,ат,чу
154,Schaf::N,һарыҡ,тта
155,Schwein::N,сусҡа,дунгъуз
156,Hund::N,эт,ккаччи
157,Katze::N,бесәй,ччиту
158,Bär::N,айыу,цуша
159,Eichhörnchen::N,тейен,бюрхттукку
160,Elch::N,мышы,ниц-бюрин
161,Fuchs::N,төлкө,цулчӏа
162,Fuchs::N,төлкө,куча цулчӏа
163,Hase::N,ҡуян,бюрх
164,Maus::N,сысҡан,кӏулу
165,Wolf::N,бүре,барцӏ
166,Vogel::N,ҡош,лелуххи
167,Schwarm::N,көтөү,гьухъала
168,Huhn::N,тауыҡ,аьнакӏи
169,Hahn::N,әтәс,ажари
170,Gans::N,ҡаҙ,къаз
171,Adler::N,бөркөт,барзу
172,Ente::N,өйрәк,урдак
173,Eule::N,өкө,ису
174,Eule::N,өкө,ччиккумяв
175,Eule::N,ябалаҡ,ису
176,Eule::N,ябалаҡ,ччиккумяв
177,Kranich::N,торна,кьурукь
178,Krähe::N,ҡарға,хъатӏу
179,Kuckuck::N,кәкүк,ччикку
180,Schwan::N,аҡҡош,урттил къаз
181,Fisch::N,балыҡ,чавахъ
182,Barsch::N,алабуға,
183,Hecht::N,суртан,
184,Schlange[Tier]::N,йылан,шатта
185,Wurm::N,селяүсен,кьюнукьай шатта
186,Spinne::N,үрмәксе,ххялцу
187,Ameise::N,ҡырмыҫҡа,митӏикьукьу
188,Laus::N,бет,
189,Mücke::N,серәкәй,мичӏак
190,Fliege::N,себен,зимиз
191,Schmetterling::N,күбәләк,чӏимучӏали
192,Beere::N,еләк,хӏаллил ахъулсса
193,Apfel::N,алма,гьивч
194,Pilz::N,бәшмәк,ттуккул иис
195,Zwiebel::N,һуган,лаччул чсмусул бакӏ
196,Saat::N,орлоҡ,гьанна
197,Korn::N,иген,къама
198,Heu::N,бесән,ххулув
199,Schale::N,ҡабыҡ,ккиртту
200,Grube::N,соҡор,кӏаланг
201,Falle::N,тоҙак,къатӏа
202,Falle::N,ҡапҡан,къатӏа
203,Schlinge::N,тоҙак,хӏатӏ
204,Spur::N,әҫер,ша
205,Asche::N,көл,лах
206,Dreck::N,батҡаҡ,кьяркьи
207,Dreck::N,батҡаҡ,венп
208,Eisen::N,тимер,мах
209,Gold::N,алтын,муси
210,Silber::N,көмөш,арцу
211,Kohle::N,күмер,кӏалаш
212,Kohle::N,күмер,хъуручӏ
213,Glas::N,быяла,пюрун
214,Lehm::N,балсыҡ,сина аьрщи
215,Sand::N,ҡом,къун
216,Mensch::N,кеше,инсан
217,Mann::N,ир,чув
218,Mann::N,ир,адимина
219,Frau::N,ҡатын,щарсса
220,Frau::N,ҡатын,хъамитайпа
221,Kind::N,бала,чӏиви оьрчӏ
222,Junge::N,малай,оьрчӏ
223,Junge::N,малай,бурхьин оьрчӏ
224,Mädchen::N,ҡыҙ,душ
225,Mädchen::N,ҡыҙыҡай,душ
226,Familie::N,ғаилә,кулпат
227,Großvater::N,олатай,ттатта
228,Großvater::N,олатай,ниттил ппу
229,Großmutter::N,әбәй,буттал нину
230,Eltern::N,ата-әсә,нину-ппу
231,Vater::N,атай,ппу
232,Mutter::N,әсә,нину
233,Sohn::N,ул,арс
234,Tochter::N,ҡыҙ,душ
235,Bruder::N,агай,уссу
236,Schwester::N,алай,ссу
237,Schwester::N,һеңле,ссу
238,Onkel::N,ағай,буттауссу
239,Tante::N,апай,буттал ссу
240,Ehemann::N,ир,лас
241,Ehefrau::N,ҡатын,щар
242,Ehefrau::N,ҡатын,щарсса
243,Freude::N,шатлыҡ,шадшиву
244,Freude::N,шатлыҡ,ххаришиву
245,Freude::N,ҡыуаныс,шадшиву
246,Freude::N,ҡыуаныс,ххаришиву
247,Gelächter::N,көлөү,хъяхъаву
248,Glück::N,бәхет,талихӏ
249,Kummer::N,ҡайғы,дард
250,Wunsch::N,теләк,мурад
251,Lust::N,әүәҫлек,гьавас
252,Lust::N,әүәҫлек,ччаву
253,Geist::N,аң,рухӏ
254,Geist::N,рух,рухӏ
255,Gedanke::N,уй,пикри
256,Gedanke::N,фекер,пикри
257,Gedächtnis::N,хәтер,дакӏний личӏаву
258,Verstand::N,аҡыл,аькьлу
259,Sinn::N,мәғәня,мяъна
260,Grund::N,сәбәп,багьана
261,Wahrheit::N,дөрөҫлөк,тӏайламур
262,Wahrheit::N,дөрөҫлөк,хӏакьмур
263,Gespräch::N,әңгәмә,ихтилат
264,Märchen::N,әкиәт,магьа
265,Erzählung::N,хикәйә,хавар
266,Nachricht::N,хәбәр,хавар
267,Neuigkeit::N,яңылыҡ,хавар
268,Name::N,исем,цӏа
269,Rätsel::N,йомаҡ,ссигьа
270,Rede::N,телмәр,гъалгъа
271,Sprache::N,тел,маз
272,Sprache::N,телмәр,маз
273,Stimme::N,тауыш,чӏу
274,Stimme::N,тауыш,чӏукӏа
275,Wort::N,һүҙ,махъ
276,Zeichen::N,билдә,лишан
277,Ruf::N,саҡырыу,
278,Lärm::N,шаулау,чӏу
279,Laut::N,тауыш,чӏу
280,Ton::N,яңғырау,чӏу
281,Lied::N,йыр,балай
282,Ruhe::N,ял,дигьалагру
283,Ruhe::N,тыныслыҡ,дигьалагру
284,Leute::N,кешеләр,инсантал
285,Volk::N,халҡ,ил
286,Volk::N,халҡ,халкь
287,Arbeit::N,эш,заву
288,Gast::N,ҡунаҡ,хъамаличу
289,Geschenk::N,бүләк,бухчакарши
290,Geschenk::N,бүләк,лажинккакку
291,Spiel::N,уйын,тӏуркӏу
292,Gesellschaft::N,йәмғиәт,жямат
293,Gesellschaft::N,йәмғиәт,ккуран
