,Concept_ID,vep,udm
0,Auge::N,sil'm,син
1,Ohr::N,korv,пель
2,Nase::N,nena,ныр
3,Mund::N,su,ым
4,Zahn::N,pi,пинь
5,Zahn::N,hambaz,пинь
6,Zunge::N,kel',кыл
7,Lippe::N,hul',ымдур
8,Wange::N,modpolišk,бам
9,Gesicht::N,mod,ымныр
10,Stirn::N,oc,кымес
11,Haar::N,tuk,йырси
12,Haar::N,hibuz,йырси
13,Schnurrbart::N,habinod,мыйык
14,Bart::N,bard,туш
15,Kinn::N,löug,ангес
16,Kiefer[Anatomie]::N,hambazlu,ан
17,Kiefer[Anatomie]::N,hambazlu,анлы
18,Kehle::N,kurk,гульым
19,Hals::N,kagl,чырты
20,Genick::N,tagarai,йырбер
21,Kopf::N,pä,йыр
22,Rücken::N,sel'g,мыш
23,Bauch::N,vac,кӧт
24,Bauch::N,koht,кӧт
25,Nabel::N,naba,гогы
26,Busen::N,niža,ноны
27,Brust::N,rind,мӧля
28,Schulter::N,oug,пельпум
29,Arm::N,käzi,суй
30,Ellenbogen::N,künambruz,гырпум
31,Hand::N,käzi,ки
32,Hand::N,käzitera,ки
33,Handfläche::N,kämen,ки пыдэс
34,Handfläche::N,kämen,кырым пыдэс
35,Finger::N,sor'm,чиньы
36,Fingernagel::N,künz',гижы
37,Fingernagel::N,künz',гиждӥнь
38,Nagel[Anatomie]::N,künz',гижы
39,Zeh::N,barbaz,пыдчиньы
40,Fuß::N,jaug,пыд
41,Ferse::N,kand,пыдбер
42,Knie::N,komb,пыдес
43,Knie::N,pol'v,пыдес
44,Oberschenkel::N,riiže,макес
45,Bein::N,jaug,пыд
46,Körper::N,hibj,мугор
47,Körper::N,hibj,вылтыр
48,Haut::N,nahk,ку
49,Blut::N,čak,вир
50,Blut::N,veri,вир
51,Ader::N,son',вирсэр
52,Sehne::N,jände,вуж
53,Knochen::N,lu,лы
54,Gehirn::N,aivod,вим
55,Herz::N,südäin,сюлэм
56,Magen::N,südäikoht,ӝуш
57,Leber::N,maks,мус
58,Atem::N,hengaiduz,лул
59,Atem::N,hengaiduz,шокан
60,Hunger::N,näl'g,кӧтсюман
61,Träne::N,kündal',синкыли
62,Geschmack::N,magu,шӧм
63,Geruch::N,haju,зын
64,Schlaf::N,uni,вӧт
65,Traum::N,unikuva,уйвӧт
66,Himmel::N,taivaz,ин
67,Sonne::N,päiväine,шунды
68,Mond::N,kudmaine,толэзь
69,Stern::N,tähtaz,кизили
70,Luft::N,il'm,омыр
71,Wind::N,döl,тӧл
72,Wind::N,tullei,тӧл
73,Welle::N,ald,тулкым
74,Welle::N,laineh,тулкым
75,Wasser::N,vezi,ву
76,Stein::N,kivi,из
77,Boden::N,ma,музъем
78,Boden::N,pohj,музъем
79,Erde::N,ma,му
80,Staub::N,pölü,пыль
81,Rauch::N,savu,ӵын
82,Funke::N,kibin,гизьы
83,Feuer::N,lämoi,тыл
84,Licht::N,vauktuz,тыл
85,Schatten::N,pil'vez,вужер
86,Schatten::N,kuvahaine,вужер
87,Wetter::N,sä,куазь
88,Nebel::N,sumeg,бус
89,Wolke::N,pil'v,пилем
90,Regen::N,vihm,зор
91,Schnee::N,lumi,лымы
92,Eis::N,jä,йӧ
93,Frost::N,hala,кезьыт
94,Frost::N,pakaine,кезьыт
