,Concept_ID,uz,kk
0,Auge::N,ko'z,көз
1,Ohr::N,quloq,құлақ
2,Nase::N,burun,мұрын
3,Mund::N,og'iz,ауыз
4,Zahn::N,tish,тіс
5,Zunge::N,til,тіл
6,Lippe::N,dudoq,ерін
7,Wange::N,bet,ұрт
8,Gesicht::N,yuz,бет-аузы
9,Stirn::N,manglay,маңдай
10,Haar::N,soch,қыл
11,Schnurrbart::N,mo'ylov,мұрт
12,Bart::N,soqol,сақал
13,Kinn::N,ängak,иек
14,Kiefer[Anatomie]::N,iyak,жақ
15,Kehle::N,bo'g'iz,алқым
16,Hals::N,bo'yin,мойын
17,Genick::N,gardan,желке
18,Kopf::N,bosh,кәллә
19,Rücken::N,orqa,арқа
20,Bauch::N,qorin,қарын
21,Nabel::N,kindik,кіндік
22,Busen::N,ämchak,омырау
23,Brust::N,ko'krak,кеуде
24,Schulter::N,elka,иық
25,Arm::N,bilak,қол
26,Ellenbogen::N,tirsak,шынтақ
27,Hand::N,qo'l,қол
28,Handfläche::N,kaft,алақан
29,Finger::N,barmoq,саусақ
30,Fingernagel::N,tirnoq,тырнақ
31,Nagel[Anatomie]::N,tirnoq,тырнақ
32,Zeh::N,oyoq barmog'i,тырнақ
33,Zeh::N,oyoq barmog'i,тұяқ
34,Fuß::N,oyoq,аяқ-басы
35,Ferse::N,tovon,өкше
36,Ferse::N,tovon,өкшелік
37,Knie::N,tiz,тізе
38,Oberschenkel::N,son,жамбас
39,Bein::N,oyoq,аяқ
40,Körper::N,badna,дене
41,Haut::N,teri,тері
42,Blut::N,qon,қан
43,Ader::N,qon tomir,көктамыр
44,Ader::N,qon tomir,күретамыр
45,Sehne::N,tomir,сіңір
46,Knochen::N,suyak,жілік
47,Gehirn::N,miya,ми
48,Herz::N,qalb,жүрек
49,Magen::N,oshqozon,асқазан
50,Leber::N,bag'ir,бауыр
51,Atem::N,dam,леп
52,Hunger::N,ochlik,ашаршылық
53,Träne::N,yosh,жас
54,Geschmack::N,tam,дәм
55,Geschmack::N,tam,татым
56,Geschmack::N,tam,талғам
57,Geruch::N,jid,иіс
58,Schlaf::N,uyqu,ұйқы
59,Schlaf::N,uyqu,ұйықтау
60,Traum::N,tush,түс
61,Himmel::N,osmon,аспан
62,Himmel::N,osmon,көқ
63,Himmel::N,osmon,таңдай
64,Sonne::N,quyosh,күн
65,Mond::N,oy,ай
66,Stern::N,yulduz,жұлдыз
67,Luft::N,havo,әуе
68,Wind::N,el,жел
69,Welle::N,to'lqin,толқын
70,Wasser::N,suv,су
71,Stein::N,tosh,тас
72,Boden::N,tuproq,қыртыс
73,Erde::N,er,топырақ
74,Staub::N,chang,шаң
75,Rauch::N,tutun,түтін
76,Funke::N,yalt,ұшқын
77,Feuer::N,o't,алау
78,Licht::N,yorug',шұғыла
79,Schatten::N,soya,көлеңке
80,Wetter::N,havo,ауа райы
81,Nebel::N,tuman,тұман
82,Wolke::N,bulut,бұлт
83,Regen::N,yomg'ir,жаңбыр
84,Schnee::N,qor,қар
85,Eis::N,muz,мұз
86,Frost::N,ajoz,суық
87,Kälte::N,ajoz,ызғар
88,Kälte::N,ajoz,суықтық
89,Hitze::N,issiq,аптап
90,Raureif::N,qirov,қырау
91,Regenbogen::N,kamalak,кемпірқосақ
92,Donner::N,guldur,күн күркіреу
93,Strömung::N,oqim,ағын
94,Tropfen::N,tomchi,тамшы
95,Schaum::N,ko'pik,көбік
96,Schmutz::N,gard,кір
97,See::N,ko'l,көл
98,Sumpf::N,botqoq,саз
99,Moor::N,qir-adir,саз
100,Wiese::N,o'tzor,шалғын
101,Wald::N,o'rmon,орман
102,Hügel::N,tepa,төбе
103,Hügel::N,tepa,белес
104,Hügel::N,tepa,белес-белес
105,Anhöhe::N,adir,дөң
106,Anhöhe::N,adir,адыр
107,Anhöhe::N,adir,қырат
108,Berg::N,tog',тау
109,Gipfel::N,cho'qqi,төбе
110,Höhle::N,kavak,үңгір
111,Abhang::N,to'sh,бауыр
112,Quelle::N,buloq,қайнар
113,Bach::N,o'zan,жылға
114,Fluss::N,daryo,өзен
115,Ufer::N,sohil,жиек
116,Küste::N,qirg'oq,жиегі
117,Küste::N,qirg'oq,жағалау
118,Festland::N,materik,құрылық
119,Meer::N,dengiz,теңіз
120,Bucht::N,qo'ltiq,шығанақ
121,Insel::N,orol,арал
122,Blume::N,gul,гүл
123,Gras::N,sabza,от
124,Wurzel::N,tub,түбір
125,Wurzel::N,tomir,түбір
126,Baum::N,daraxt,ағаш
127,Baum::N,daraxt,дарақ
128,Stamm::N,o'simta,сояу
129,Stamm::N,o'simta,оқпан
130,Rinde::N,qobiq,қабық
131,Ast::N,shox,бұтақ
132,Zweig::N,butoq,шыбық
133,Blatt::N,barg,жапырақ
134,Birke::N,qayin,қайың
135,Kiefer[Baum]::N,qarag'ay,қарағай
136,Weide[Baum]::N,shum,тал
137,Tanne::N,archa,шырша
138,Horn::N,mugiz,мүйіз
139,Feder::N,par,қаламұш
140,Fell::N,mo'yna,тері
141,Flügel::N,qanot,қанат
142,Klaue::N,tirnoq,тырнақ
143,Kralle::N,tirnoq,аяқ
144,Schwanz::N,quyruq,құйрық
145,Ei::N,tuxum,жұмыртқа
146,Nest::N,oshyon,ұя
147,Bau::N,o'pqon,жатақ
148,Tier::N,hayvon,айуан
149,Tier::N,hayvon,жануар
150,Herde::N,gala,пада
151,Kuh::N,inak,сиыр
152,Bulle::N,ho'kiz,өгіз
153,Pferd::N,ot,жылқы
154,Schaf::N,qo'y,қой
155,Schwein::N,cho'chqa,шошқа
156,Hund::N,it,ит
157,Katze::N,mushuk,мысық
158,Bär::N,ayiq,аю
159,Eichhörnchen::N,tiyin,тиін
160,Elch::N,los,бұғы
161,Fuchs::N,tulki,түлкі
162,Hase::N,kuyon,қоян
163,Maus::N,sichqon,қаптесер
164,Wolf::N,bo'ri,бөрі
165,Wolf::N,bo'ri,қасқыр
166,Vogel::N,qush,құс
167,Schwarm::N,to'da,топ
168,Schwarm::N,to'da,үйір
169,Huhn::N,tovuq,тауық
170,Huhn::N,tovuq,мекиен
171,Hahn::N,xo'roz,әтеш
172,Hahn::N,xo'roz,қораз
173,Gans::N,g'oz,қаз
174,Adler::N,burgut,бүркіт
175,Ente::N,o'rdak,үйрек
176,Eule::N,boyo'g'li,жапалақ
177,Kranich::N,turna,тырна
178,Krähe::N,qarg'a,қарға
179,Kuckuck::N,kakku,көкек
180,Schwan::N,oqkush,аққу
181,Fisch::N,baliq,балық
182,Barsch::N,olabug'a,алабұға
183,Hecht::N,cho'rtan,шортан
184,Schlange[Tier]::N,ilon,жылан
185,Wurm::N,qurt,шұбалшаң
186,Spinne::N,o'rgimchak,өрмекші
187,Ameise::N,chumoli,қүмырска
188,Laus::N,bit,бит
189,Mücke::N,chivin,маса
190,Fliege::N,pashsha,шыбын
191,Schmetterling::N,kapalak,көбелек
192,Beere::N,meva,жидек
193,Apfel::N,olma,алма
194,Pilz::N,qo'ziqorin,қозықұйрық
195,Pilz::N,qo'ziqorin,саңыраукулақ
196,Zwiebel::N,piyoz,жуа
197,Saat::N,äkin,тұқым
198,Korn::N,zarra,дән
199,Heu::N,xashak,шөп
200,Schale::N,po'choq,қабық
201,Schale::N,po'choq,қабығы
202,Grube::N,co'ra,ор
203,Falle::N,qopqon,дұзақ
204,Falle::N,qopqon,қақпан
205,Schlinge::N,sirtmoq,ілмек
206,Spur::N,iz,із
207,Asche::N,kul,күл
208,Dreck::N,kir,былғаныш
209,Eisen::N,temir,темір
210,Gold::N,tilla,алтын
211,Silber::N,kumush,күміс
212,Kohle::N,ko'mir,көмір
213,Glas::N,oyna,шыны
214,Lehm::N,loy,балшық
215,Sand::N,qum,құм
216,Mensch::N,odam,адам
217,Mann::N,ärkak,еркек
218,Mann::N,ärkak,ер адам
219,Frau::N,ayol,бике
220,Frau::N,ayol,қатын
221,Kind::N,bola,бала
222,Kind::N,bola,перзент
223,Kind::N,kichkintoy,бала
224,Kind::N,kichkintoy,перзент
225,Junge::N,bola,бала
226,Junge::N,bola,ер бала
227,Mädchen::N,qiz,қыз
228,Familie::N,oila,жанұя
229,Großvater::N,buva,ата
230,Großvater::N,katta ota,ата
231,Großmutter::N,buvi,әже
232,Großmutter::N,buvi,әжей
233,Großmutter::N,katta oyi,әже
234,Großmutter::N,katta oyi,әжей
235,Eltern::N,ota-ona,ата-аналар
236,Vater::N,ota,әке
237,Mutter::N,ona,ана
238,Sohn::N,o'g'il,ұл
239,Tochter::N,qiz,қызым
240,Bruder::N,og'a,бауырым
241,Bruder::N,uka,бауырым
242,Schwester::N,opa,әпке
243,Schwester::N,singil,әпке
244,Onkel::N,amaki,көке
245,Tante::N,amma,тәте
246,Tante::N,xola,тәте
247,Ehemann::N,är,ер
248,Ehefrau::N,rafiqa,зайып
249,Freude::N,ayish,қуаныш
250,Freude::N,ayish,сүйініш
251,Freude::N,ayish,шат-думан
252,Freude::N,ayish,қуаныштылық
253,Gelächter::N,kulgi,күлу
254,Glück::N,saodat,бақыт
255,Glück::N,saodat,бақыттылық
256,Kummer::N,g'am,аза
257,Kummer::N,g'am,қайғы
258,Kummer::N,g'am,қасырет
259,Wunsch::N,orzu,мүдде
260,Lust::N,rag'bat,тәбет
261,Lust::N,rag'bat,ынтызар
262,Lust::N,rag'bat,құштарлық
263,Geist::N,ruh,рух
264,Gedanke::N,fikr,ой
265,Gedächtnis::N,äs,ес
266,Gedächtnis::N,äs,жады
267,Gedächtnis::N,äs,ақыл-ес
268,Verstand::N,aql,ақыл
269,Verstand::N,aql,парасат
270,Sinn::N,ma'ni,мән
271,Sinn::N,ma'ni,маныз
272,Sinn::N,ma'ni,мағына
273,Sinn::N,ma'ni,мән-мағына
274,Grund::N,sabab,себеп
275,Wahrheit::N,haq,рас
276,Gespräch::N,gap,әңгіме
277,Märchen::N,ärtak,ертеп
278,Märchen::N,ärtak,ертек
279,Erzählung::N,rivoyat,әңгіме
280,Nachricht::N,xabar,хабар
281,Neuigkeit::N,yangilik,жаңалық
282,Name::N,ot,ат
283,Name::N,ot,атау
284,Rätsel::N,topishmoq,жұмбақ
285,Rede::N,nutq,сөз
286,Sprache::N,til,тіл
287,Stimme::N,ovoz,үн
288,Stimme::N,ovoz,әуен
289,Stimme::N,ovoz,дауыс
290,Wort::N,so'z,сөз
291,Zeichen::N,alomat,ишара
292,Ruf::N,chaqiriq,айғай
293,Lärm::N,taraq,айғай-шу
294,Lärm::N,taraq,айғай-ұйғай
295,Laut::N,tovush,дыбыс
296,Laut::N,tovush,дауыс
297,Ton::N,un,әуен
298,Lied::N,ashula,ән
299,Lied::N,ashula,жыр
300,Lied::N,ashula,ән-жыр
301,Ruhe::N,tinchlik,тыныштық
302,Leute::N,xaloyiq,кісілер
303,Volk::N,xalq,халық
304,Arbeit::N,ish,еңбек
305,Gast::N,mehmon,қонақ
306,Gast::N,mehmon,мейман
307,Geschenk::N,hadya,қадия
308,Spiel::N,o'yin,ойын
309,Gesellschaft::N,jamiyat,қауым
310,Gesellschaft::N,jamiyat,жұртшылық
311,Hilfe::N,yordam,жэрдем
312,Freund::N,do'st,дос
313,Kamerad::N,yo'ldosh,дос-жар
314,Angelegenheit::N,daxl,жұмыс
315,Anzahl::N,son,сан
316,Anzahl::N,son,саны
317,Art::N,tur,түр
318,Stück::N,parcha,тілім
319,Teil::N,bo'lak,үлес
320,Teil::N,bo'lak,бөлшек
321,Hälfte::N,yarim,жарты
322,Kreis::N,aylana,шеңбер
323,Kreuz::N,xoch,крест
324,Linie::N,liniya,сызық
325,Strich::N,chiziq,сызық
326,Abstand::N,oralik,ара
327,Abstand::N,oralik,аралық
328,Entfernung::N,uzoqlik,аралық
329,Gegend::N,yer,өңір
330,Platz::N,oralig,орны
331,Ort::N,joy,орын
332,Seite::N,yon,жақ
333,Seite::N,yon,бүйір
334,Mitte::N,o'rta,ортасы
335,Gegenstand::N,ashyo,зат
336,Gegenstand::N,ashyo,нәрсе
337,Sache::N,buyum,бұйым
338,Rand::N,chek,шет
339,Rand::N,chek,шеті
340,Kante::N,tig',қыр
341,Kante::N,tig',қыры
342,Ecke::N,burchak,қыры
343,Ecke::N,burchak,бұрыш
344,Spitze::N,uch,ұшы
345,Ende::N,oxir,аяқ
346,Ende::N,oxir,соңы
347,Loch::N,teshik,тесік
348,Winkel::N,go'sha,мүйіс
349,Muster::N,nusha,мәнер
350,Größe::N,kattalik,ауқым
351,Größe::N,kattalik,көлемдік
352,Länge::N,uzunlik,бой
353,Länge::N,uzunlik,ұзындық
354,Höhe::N,yuksaklik,жоғарылық
355,Höhe::N,yuksaklik,биіктік
356,Gewicht::N,solmoq,салмақ
357,Menge::N,miqdor,мөлшер
358,Haufen::N,uyum,үйме
359,Haufen::N,uyum,үйінді
360,Reihe::N,saf,сап
361,Boot::N,qayiq,қайық
362,Ruder::N,äshkak,ескек
363,Schlitten::N,chana,шана
364,Ski::N,chang'i,шаңғы
365,Lagerfeuer::N,gulxan,алау
366,Last::N,yuk,ауырлық
367,Last::N,yuk,ауыр зат
368,Gang::N,yurish,жүріс
369,Schritt::N,qadam,адым
370,Norden::N,shimol,солтүстік
371,Norden::N,shimol,терістік
372,Süden::N,janub,оңтүстік
373,Westen::N,g'arb,батыс
374,Osten::N,sharq,күншығыс
375,Holz::N,yog'och,ағаш
376,Holz::N,yog'och,сүрек
377,Brett::N,taxta,тақта
378,Platte::N,tabaqa,тақта
379,Stütze::N,tayanchi,тіреу
380,Stange::N,qo'noq,қада
381,Stock::N,tayoq,сойыл
382,Stab::N,gavron,сырық
383,Rohr::N,tarnov,құбыр
384,Haus::N,uy,үй
385,Heim::N,makon,үйлі
386,Heim::N,makon,шаңырақ
387,Ofen::N,pechka,ошақ
388,Ofen::N,pechka,пеш
389,Fußboden::N,pol,еден
390,Tisch::N,mosa,үстел
391,Stuhl::N,o'rindiq,орындық
392,Wiege::N,beshik,бесік
393,Bett::N,yotoq,кереует
394,Regal::N,tokcha,сөре
395,Kiste::N,sandiq,жәшік
396,Fenster::N,deraza,терезе
397,Tür::N,äshik,есік
398,Tor::N,darvoza,дарбаза
399,Zaun::N,panjara,дуал
400,Dach::N,tom,шатыр
401,Leiter::N,narvon,саты
402,Leiter::N,narvon,басқыш
403,Besen::N,supurgi,сыпырғыш
404,Spaten::N,bel,күрек
405,Schaufel::N,kurak,қалақ
406,Gabel::N,bilka,аша
407,Gabel::N,bilka,шанышқы
408,Löffel::N,qoshiq,қасық
409,Messer::N,pichoq,пышақ
410,Nagel::N,mix,мық
411,Nagel::N,mix,шеге
412,Netz::N,to'r,керегекөз
413,Haken::N,ilgak,ілмек
414,Griff::N,sop,сап
415,Griff::N,sop,тұтқа
416,Griff::N,tutqich,сап
417,Griff::N,tutqich,тұтқа
418,Schloss::N,qulf,құлып
419,Schloss::N,qulf,бекіткіш
420,Bild::N,rasm,сурет
421,Figur::N,shakl,тұлға
422,Puppe::N,ko'g'irchoq,қуыршақ
423,Beutel::N,to'rva,қапшық
424,Bündel::N,bog'lam,байлам
425,Tasche::N,kissa,дорба
426,Eimer::N,chelak,шелек
427,Deckel::N,qopqoq,жапқыш
428,Geschirr::N,idish,ыдыс
429,Sack::N,qop,қап
430,Tasse::N,piyola,шыныаяқ
431,Topf::N,tuvak,кәстрөл
432,Kessel::N,qozon,қазан
433,Essen::N,tomoq,ас
434,Nahrung::N,emak,ас
435,Nahrung::N,emak,тамақ
436,Speise::N,taom,тағам
437,Fleisch::N,go'sht,ет
438,Getreide::N,g'alla,дәнді
439,Brei::N,bo'tqa,ботқа
440,Brot::N,non,күлше
441,Scheibe::N,disk,тілім
442,Fett::N,moy,май
443,Butter::N,yog',май
444,Öl::N,moy,май
445,Salz::N,tuz,тұз
446,Suppe::N,sho'rva,көже
447,Honig::N,asal,бал
448,Milch::N,sut,сүт
449,Tee::N,choy,шай
450,Leder::N,charm,көн
451,Wolle::N,jun,жүн
452,Stoff::N,mato,мата
453,Stoff::N,mato,кездеме
454,Nadel::N,igna,ине
455,Faden::N,ip,жіп
456,Knopf::N,tugma,түйме
457,Knoten::N,tugun,түйін
458,Farbe::N,bo'yok,рең
459,Kleidung::N,kiyim,киім
460,Hemd::N,ko'ylak,жейде
461,Kragen::N,yoqa,жаға
462,Ärmel::N,yeng,жең
463,Hose::N,shim,шалбар
464,Gürtel::N,tasma,белбеу
465,Mütze::N,shapka,қалпақ
466,Schuh::N,but,кебіс
467,Stiefel::N,botinka,етік
468,Ring::N,yuzuk,жүзік
469,Band::N,rishta,таспа
470,Kamm::N,taroq,тарақ
471,Spiegel::N,ko'zgu,айна
472,Riemen::N,qayish,қайыс
473,Schnur::N,bog'ich,жіп
474,Leine::N,etak,тізгін
475,Decke::N,odyol,көрпе
476,Kissen::N,yostiq,жастық
477,Tuch::N,gazlama,орамал
478,Handtuch::N,sochiq,сүлгі
479,Kraft::N,kuch,қуат
480,Kraft::N,kuch,қарқын
481,Kraft::N,kuch,әл-шама
482,Kraft::N,kuch,әл-дәрмен
483,Stärke::N,quvvat,әл
484,Stärke::N,quvvat,күш
485,Gesundheit::N,sog'lik,денсаулык
486,Krankheit::N,kasallik,ауру
487,Schmerz::N,og'riq,ауру
488,Wunde::N,yara,зақым
489,Wunde::N,yara,жарақат
490,Fieber::N,bezgak,безгек
491,Fieber::N,bezgak,қалтырау
492,Fieber::N,bezgak,қызу көтерілуі
493,Arznei::N,dori,дәрі
494,Arznei::N,dori,дәрі-дәрмек
495,Brücke::N,ko'prik,көпір
496,Brunnen::N,buloq,құдық
497,Weide::N,yaylov,өріс
498,Weide::N,yaylov,жайылым
499,Pfad::N,dorojka,жол
500,Weg::N,yo'l,жол
501,Straße::N,ko'cha,жол
502,Dorf::N,ovul,ауыл
503,Stadt::N,shahar,қала
504,Stadt::N,shahar,шаһар
505,Brief::N,maktub,хат
506,Brief::N,maktub,жазу
507,Buch::N,kitob,кітап
508,Buchstabe::N,harf,әріп
509,Buchstabe::N,harf,қаріп
510,Zeitung::N,gazet,газет
511,Leben::N,hayot,өмір
512,Leben::N,hayot,тіршілік
513,Tod::N,o'lim,опат
514,Grab::N,go'r,мола
515,Grab::N,go'r,мазар
516,Kirche::N,cherkov,шіркеу
517,Sünde::N,gunoh,күнә
518,Gott::N,olloh,алла
519,Gott::N,olloh,құдай
520,Gott::N,olloh,тәңірі
521,Gott::N,olloh,пәруардігер
522,Gott::N,olloh,жаратқан тәңірі
523,Arbeiter::N,ishchi,жүмысшы
524,Chef::N,rais,басшы
525,Chef::N,rais,жұмыс басқарушысы
526,Meister::N,usta,шебер
527,Meister::N,usta,өнерпаз
528,Arzt::N,hakim,дәрігер
529,Lehrer::N,muallim,мұғалім
530,Geld::N,pul,пұл
531,Geschäft::N,savdo,бизнес
532,Laden::N,do'kon,дүкен
533,Preis::N,baho,ақы
534,Preis::N,baho,құны
535,Preis::N,baho,нарық
536,Ware::N,mol,тауар
537,Nutzen::N,foyda,пайда
538,Reichtum::N,boylik,бақ-дәулет
539,Welt::N,olam,әлем
540,Welt::N,olam,жиһан
541,Land::N,o'lka,аймақ
542,Staat::N,davlat,мемлекет
543,König::N,qirol,патша
544,Macht::N,iqtidor,өкімет
545,Macht::N,iqtidor,қожалық
546,Grenze::N,chegara,шек
547,Krieg::N,harb,соғыс
548,Feind::N,dushman,жау
549,Feind::N,dushman,дұшпан
550,Gewalt::N,zo'rlik,зорлык
551,Gewalt::N,zo'rlik,зорлық-зомбылык
552,Kampf::N,kurash,күрес
553,Kampf::N,kurash,алыспақ
554,Bogen[Waffe]::N,yoy,саржа
555,Pfeil::N,o'q,жебе
556,Gewehr::N,vintovka,қару
557,Fehler::N,xato,әбес
558,Fehler::N,xato,қаталық
559,Lüge::N,yolg'on,өтірік
560,Schaden::N,ziyon,зиян
561,Schaden::N,ziyon,зарар
562,Unglück::N,balo,пәле
563,Unglück::N,balo,қасырет
564,Unglück::N,balo,ауыртпалық
565,Schuld::N,ayb,айыптылық
566,Alter::N,yosh,жас
567,Alter::N,yosh,жас шамасы
568,Schluss::N,tamom,ада
569,Schluss::N,tamom,бітуі
570,Zeit::N,vaqt,уақыт
571,Tag::N,kun,күн
572,Morgen::N,saboh,таң
573,Morgen::N,saboh,таңертең
574,Mittag::N,kun tushlik,талтүс
575,Abend::N,oqshom,кеш
576,Nacht::N,tun,түн
577,Woche::N,hafta,апта
578,Monat::N,oy,ай
579,Jahr::N,yil,жыл
580,Frühling::N,bahor,көктем
581,Sommer::N,yoz,жаз
582,Herbst::N,kuz,күз
583,Herbst::N,xazon,күз
584,Winter::N,qish,қыс
585,Januar::N,yanvar',каңтар
586,Februar::N,fevral',ақпан
587,März::N,mart,наурыз
588,April::N,aprel',сәуір
589,Mai::N,may,мамыр
590,Juni::N,iyun',маусым
591,Juli::N,iyul',шілде
592,August::N,avgust,сүмбіле
593,August::N,avgust,тамыз
594,September::N,sentyabr',қыркүйек
595,Oktober::N,oktyabr',ақырап
596,November::N,noyabr',қараша
597,Dezember::N,dekabr',желтоқсан
598,Montag::N,dushanba,дүйсенбі
599,Dienstag::N,seshanba,сейсенбі
600,Mittwoch::N,chorshanba,сәрсенбі
601,Donnerstag::N,payshanba,бейсенбі
602,Freitag::N,juma,жұма
603,Samstag::N,shanba,сенбі
604,Sonntag::N,yakshanba,жексембі
605,groß::A,buyuk,алпамсадай
606,klein::A,kichik,кішкене
607,klein::A,kichik,қарғадай
608,lang::A,uzun,сопақ
609,lang::A,uzun,сорайған
610,kurz::A,qisqa,кеспелтек
611,breit::A,keng,айдынды
612,schmal::A,änsiz,қысық
613,dicht::A,quyuq,жиі
614,dick[Gegenstand]::A,qalin,шомбал
615,dünn::A,ingichka,жұқа
616,dünn::A,ingichka,жіңішке
617,fein::A,mayin,қаңылтақ
618,fest::A,qattiq,берік
619,fest::A,qattiq,мызғымас
620,flach::A,yalpoq,жалпак
621,glatt::A,tekis,типыл
622,hart::A,qattiq,қатты
623,weich::A,yumshoq,жұмсақ
624,rund::A,yumaloq,домалақ
625,spitz::A,uchli,үшкір
626,scharf::A,keskir,сүйрік
627,stumpf::A,to'mtoq,доғал
628,stumpf::A,to'mtoq,өтпейтін
629,schwer::A,salmoqli,салмақты
630,schön::A,go'zal,сұлу
631,heiß::A,qiziq,ыссы
632,warm::A,issiq,жылы
633,kalt::A,sovuq,аязды
634,kühl::A,salqin,салқын
635,frisch::A,toza,таза
636,frisch::A,toza,жаңа
637,feucht::A,namli,нам
638,feucht::A,namli,дымқылды
639,nass::A,nam,сулы
640,trocken::A,quruq,құрғақ
641,voll::A,to'la,толы
642,leer::A,puch,бос
643,offen::A,ochiq,ашып қойылған
644,geschlossen::A,berk,жабулы
645,sauber::A,ozoda,дақсыз
646,sauber::A,ozoda,мұнтаздай
647,schmutzig::A,kir,айғыз
648,schmutzig::A,kir,сатпақ
649,schmutzig::A,kir,сатал-сатал
650,roh::A,xom,шикі
651,reif::A,pishiq,піскен
652,lecker::A,shirin,дәмді
653,süß::A,shirin,тәтті
654,bitter::A,achchiq,ащы
655,sauer::A,achchiq,қышқыл
656,hell::A,yorug',жарық
657,hell::A,yorug',жарқын
658,dunkel::A,qorong'i,қараңғы
659,schwarz::A,qora,қара
660,weiß::A,oq,ақ
661,rot::A,qizil,қызыл
662,gelb::A,sariq,сары
663,blau::A,zangori,көк
664,grün::A,yashil,жасыл
665,grau::A,bo'z,бозамық
666,bunt::A,ola,алабажак
667,billig::A,arzon,арзан
668,teuer::A,qimmat,бағалы
669,wertvoll::A,qimmat,құнды
670,wertvoll::A,qimmat,қымбат
671,blind::A,ko'r,көзсіз
672,blind::A,ko'r,көр
673,blind::A,ko'r,көр_соқыр
674,taub::A,garang,керең
675,taub::A,garang,саңырау
676,kräftig::A,kuchli,қуатты
677,kräftig::A,kuchli,қарымды
678,stark::A,quvvatli,білекті
679,schwach::A,kuchsiz,әлсіз
680,schwach::A,kuchsiz,күшсіз
681,schwach::A,kuchsiz,қайратсыз
682,fett::A,semiz,семіз
683,schlank::A,ingichka,ашаң
684,hübsch::A,ko'rkam,ажарлы
685,hübsch::A,ko'rkam,шырайлы
686,böse::A,yovuz,өш
687,böse::A,yovuz,сұм
688,böse::A,yovuz,жауыз
689,dumm::A,aqlsiz,көкми
690,dumm::A,aqlsiz,ақымақ
691,dumm::A,aqlsiz,миы жоқ
692,faul::A,ärinchak,жалқау
693,faul::A,ärinchak,еріншек
694,fleißig::A,ishchan,ұқыпты
695,geizig::A,qurumsoq,сараң
696,klug::A,oqil,жетік
