,Concept_ID,ka,lv
0,Auge::N,თვალი,син
1,Auge::N,თვალი,acs
2,Ohr::N,ყური,пель
3,Ohr::N,ყური,auss
4,Nase::N,ცხვირი,ныр
5,Nase::N,ცხვირი,deguns
6,Mund::N,პირი,вом
7,Mund::N,პირი,mute
8,Zahn::N,კბილი,пинь
9,Zahn::N,კბილი,zobs
10,Zunge::N,ენა,кыв
11,Zunge::N,ენა,mēle
12,Lippe::N,ბაგე,вом дор
13,Lippe::N,ბაგე,lūpa
14,Wange::N,ლოყა,бан
15,Wange::N,ლოყა,vaigs
16,Gesicht::N,სახე,чужӧм
17,Gesicht::N,სახე,seja
18,Gesicht::N,სახე,ģīmis
19,Stirn::N,შუბლი,плеш
20,Stirn::N,შუბლი,кымӧс
21,Stirn::N,შუბლი,piere
22,Haar::N,თმა,си
23,Haar::N,თმა,юрси
24,Haar::N,თმა,mats
25,Schnurrbart::N,ულვაში,ус
26,Schnurrbart::N,ულვაში,пыртсим
27,Schnurrbart::N,ულვაში,ūsas
28,Bart::N,წვერი,тош
29,Bart::N,წვერი,bārda
30,Kinn::N,ნიკაპი,тшӧка
31,Kinn::N,ნიკაპი,zods
32,Kinn::N,ნიკაპი,smakrs
33,Kiefer[Anatomie]::N,ყბა,черлы
34,Kiefer[Anatomie]::N,ყბა,алака лы
35,Kiefer[Anatomie]::N,ყბა,вомкӧтш лы
36,Kiefer[Anatomie]::N,ყბა,žoklis
37,Kehle::N,ყელი,голя
38,Kehle::N,ყელი,rīkle
39,Hals::N,ყელი,сьылі
40,Hals::N,ყელი,kakls
41,Hals::N,კისერი,сьылі
42,Hals::N,კისერი,kakls
43,Genick::N,კეფა,юрбӧр
44,Genick::N,კეფა,балябӧж
45,Genick::N,კეფა,sprands
46,Kopf::N,თავი,юр
47,Kopf::N,თავი,galva
48,Rücken::N,ზურგი,мыш
49,Rücken::N,ზურგი,mugura
50,Bauch::N,მუცელი,рушку
51,Bauch::N,მუცელი,vēders
52,Nabel::N,ჭიპი,гӧг
53,Nabel::N,ჭიპი,naba
54,Busen::N,ძუძუ,морӧс
55,Busen::N,ძუძუ,krūts
56,Brust::N,მკერდი,морӧс
57,Brust::N,მკერდი,krūts
58,Schulter::N,მხარი,пельпом
59,Schulter::N,მხარი,plecs
60,Schulter::N,მკლავი,пельпом
61,Schulter::N,მკლავი,plecs
62,Arm::N,ხელი,ки
63,Arm::N,ხელი,roka
