,Concept_ID,ta,ps
0,Auge::N,கண்,سترګه
1,Ohr::N,காது,غوږ
2,Nase::N,மூக்கு,پوزه
3,Mund::N,வாய்,خوله
4,Zahn::N,பல்,غاښ
5,Zunge::N,நாக்கு,جبه
6,Lippe::N,உதடு,شونډه
7,Wange::N,கன்னம்,باړخو
8,Gesicht::N,முகம்,مخ
9,Stirn::N,முன்னெற்றி,تندی
10,Stirn::N,முன்னெற்றி,وچولی
11,Haar::N,முடி,وېښته
12,Schnurrbart::N,மீசை,برېت
13,Bart::N,தாடி,ږیره
14,Kinn::N,கீழதாடை,زنه
15,Kiefer[Anatomie]::N,தாடை,جامه
16,Kehle::N,தொண்டை,غاړه
17,Hals::N,கழுத்து,غاړه
18,Genick::N,கழுத்து,ورمېږ
19,Kopf::N,தலை,سر
20,Rücken::N,முதுகு,شا
21,Bauch::N,வயிறு,نس
22,Bauch::N,வயிறு,ګېډه
23,Nabel::N,தொப்புள்,نوم
24,Busen::N,மார்பகம்,تی
25,Brust::N, மார்பு,سینه
26,Schulter::N,தோள்பட்டை,اوږه
27,Arm::N,கரம்,لاس
28,Ellenbogen::N,முழங்கை,څنګل
29,Hand::N,கை,لاس
30,Handfläche::N,உள்ளங்கை,ورغوی
31,Finger::N,விரல்,ګوته
32,Fingernagel::N,விரல் நகம்,نوک
33,Nagel[Anatomie]::N,நகம்,نوک
34,Zeh::N,கால்விரல்,ګوته
35,Fuß::N,கால்,پښه
36,Ferse::N,குதிகால்,پونده
37,Knie::N,முழங்கால்,زنګون
38,Oberschenkel::N,தொடை,پتون
39,Bein::N,கால்,پښه
40,Körper::N,உடல்,ځان
41,Haut::N,சருமம்,پوټکی
42,Blut::N,இரத்தம்,وینه
43,Ader::N,நாளம்,رګ
44,Sehne::N,தசைநார்,پله
45,Knochen::N,எலுமபு,هډوکی
46,Gehirn::N,மூனை,ماغزه
47,Herz::N,இதயம,زړه
48,Magen::N,வயிறு,معده
49,Leber::N,கல்லீரல்,ينه
50,Leber::N,கல்லீரல்,ځیګر
51,Atem::N,மூச்சு,نفس
52,Hunger::N,பசி,ولږه
53,Träne::N,கண்ணீர்,اوښکه
54,Geschmack::N,நறுமணம்,مزه
55,Geschmack::N,நறுமணம்,خوند
56,Geruch::N,துர்நாற்றம்,بوی
57,Schlaf::N,தூக்கம்,خوب
58,Traum::N,கனவு,خوب
59,Himmel::N,வானம்,اسمان
60,Sonne::N,சூரியன்,لمر
61,Mond::N,சந்திரன்,سپوږمۍ
62,Stern::N,நட்சத்திரம்,ستوری
63,Luft::N,காறறு,هوا
64,Wind::N,காற்று,ورښ
65,Welle::N,அலை,موج
66,Wasser::N,நீர்,اوبه
67,Stein::N,கல்,ډبره
68,Boden::N,தரை,مځکه
