,Concept_ID,mn,sv
0,Auge::N,нүд,öga
1,Ohr::N,чих,öra
2,Nase::N,хамар,näsa
3,Mund::N,ам,mun
4,Zahn::N,шүд,tand
5,Zunge::N,хэл,tunga
6,Lippe::N,уруул,läpp
7,Wange::N,хацар,kind
8,Gesicht::N,царай,syn
9,Gesicht::N,царай,ansikte
10,Gesicht::N,нүүр,syn
11,Gesicht::N,нүүр,ansikte
12,Stirn::N,дух,panna
13,Haar::N,үс,hår
14,Schnurrbart::N,дээд сахал,mustasch
15,Schnurrbart::N,живэр сахал,mustasch
16,Bart::N,сахал,skägg
17,Kinn::N,эрүү,haka
18,Kiefer[Anatomie]::N,эрүү,käke
19,Kehle::N,хоолой,strupe
20,Hals::N,хүзүү,hals
21,Genick::N,шил,nacke
22,Genick::N,хүзүү,nacke
23,Kopf::N,толгой,huvud
24,Rücken::N,ар,rygg
25,Rücken::N,нуруу,rygg
26,Bauch::N,хэвлий,buk
27,Bauch::N,хэвлий,mage
28,Bauch::N,гэдэс,buk
29,Bauch::N,гэдэс,mage
30,Nabel::N,хүйс,navel
31,Busen::N,хөх,barm
32,Brust::N,цээж,bröst
33,Schulter::N,мөр,skuldra
34,Schulter::N,бугалга,skuldra
35,Arm::N,гар,arm
36,Ellenbogen::N,тохой,armbåge
37,Hand::N,гар,hand
38,Hand::N,алга,hand
39,Handfläche::N,алга,handflata
40,Finger::N,хуруу,finger
41,Fingernagel::N,хурууны хумс,fingernagel
42,Nagel[Anatomie]::N,хумс,nagel
43,Zeh::N,хуруу,tå
44,Fuß::N,хөл,fot
45,Ferse::N,өсгий,häl
46,Knie::N,өвдөг,knä
47,Oberschenkel::N,гуя,lår
48,Bein::N,хөл,ben
49,Körper::N,бие,kropp
50,Haut::N,арьс,hud
51,Haut::N,арьс,skinn
52,Blut::N,цус,blod
53,Ader::N,судас,åder
54,Sehne::N,бүлх,sena
55,Sehne::N,шандас,sena
56,Knochen::N,яс,ben
57,Gehirn::N,тархи,hjärna
58,Herz::N,зүрх,hjärta
59,Magen::N,ходоод,mage
60,Leber::N,элэг,lever
61,Atem::N,амьсгаа,anda
62,Atem::N,амьсгаа,andedräkt
63,Hunger::N,өлсгөлөн,svält
64,Hunger::N,өлсгөлөн,hunger
65,Träne::N,нулимс,tår
66,Geschmack::N,амт,smak
67,Geruch::N,үнэр,lukt
68,Schlaf::N,нойр,sömn
69,Traum::N,зүүд,dröm
70,Himmel::N,тэнгэр,himmel
71,Himmel::N,огторгуй,himmel
72,Sonne::N,нар,sol
73,Mond::N,сар,måne
74,Stern::N,од,stjärna
75,Luft::N,агаар,luft
76,Wind::N,салхи,vind
77,Welle::N,долгио,våg
78,Welle::N,долгио,bölja
79,Welle::N,давалгаа,våg
80,Welle::N,давалгаа,bölja
81,Wasser::N,ус,vatten
82,Stein::N,чулуу,sten
83,Boden::N,хөрс,mark
84,Erde::N,газар,jord
85,Erde::N,шороо,jord
86,Staub::N,тоос,damm
87,Rauch::N,утаа,rök
88,Funke::N,оч,gnista
89,Feuer::N,гал,eld
90,Licht::N,гэрэл,ljus
91,Licht::N,гэгээ,ljus
92,Schatten::N,сүүдэр,skugga
93,Wetter::N,тэнгэр,väder
94,Wetter::N,цаг уур,väder
95,Nebel::N,будан,dimma
96,Nebel::N,будан,töcken
97,Wolke::N,үүл,sky
98,Wolke::N,үүл,moln
99,Regen::N,бороо,regn
100,Schnee::N,цас,snö
101,Eis::N,мөс,is
102,Frost::N,хүйт,frost
103,Kälte::N,хүйт,köld
104,Hitze::N,халуун,hetta
105,Raureif::N,цан,rimfrost
106,Raureif::N,хяруу,rimfrost
