,Concept_ID,et,av
0,Auge::N,silm,
1,Ohr::N,kõrv,гӏин
2,Nase::N,nina,мегӏер
3,Mund::N,suu,кӏал
4,Zahn::N,hammas,гӏус
5,Zunge::N,keel,мацӏ
6,Lippe::N,huul,кӏветӏ
7,Wange::N,põsk,гӏоно
8,Gesicht::N,nägu,гьумер
9,Stirn::N,otsmik,нодо
10,Haar::N,juus,рас
11,Schnurrbart::N,vurrud,михъ
12,Schnurrbart::N,vuntsid,михъ
13,Bart::N,habe,мегеж
14,Kinn::N,lõug,нилъу
15,Kiefer[Anatomie]::N,lõualuu,чанагъ
16,Kehle::N,kõri,щекъер
17,Hals::N,kael,габур
18,Genick::N,kukal,гъванща
19,Kopf::N,pea,бетӏер
20,Rücken::N,selg,мугъ
21,Bauch::N,kõht,чехь
22,Nabel::N,naba,цӏину
23,Busen::N,rind,керен
24,Brust::N,rind,керен
25,Schulter::N,õlg,гъажазубетӏер
26,Arm::N,käsivars,гъеж
27,Ellenbogen::N,küünarnukk,гӏункӏрукь
28,Hand::N,käsi,квер
29,Handfläche::N,pihk,огъохъат
30,Handfläche::N,pihk,жанисахъат
31,Finger::N,sõrm,килищ
32,Fingernagel::N,küüs,малъ
33,Nagel[Anatomie]::N,küüs,малъ
34,Zeh::N,varvas,килищ
35,Fuß::N,jalg,хӏетӏ
36,Fuß::N,jalg,хӏетӏе
37,Ferse::N,kand,эгъе
38,Knie::N,põlv,наку
39,Oberschenkel::N,reis,мачӏ
40,Bein::N,jalg,бох
41,Körper::N,ihu,къаркъала
42,Körper::N,keha,къаркъала
43,Haut::N,nahk,тӏом
44,Blut::N,veri,би
45,Ader::N,veen,бидурихь
46,Sehne::N,kõõlus,
47,Knochen::N,luu,ракьа
48,Gehirn::N,aju,гӏадалнах
49,Herz::N,süda,ракӏ
50,Magen::N,magu,кванирукъ
51,Leber::N,maks,тӏул
52,Atem::N,hingeõhk,хӏухь
53,Atem::N,hingamine,хӏухь
54,Hunger::N,nälg,ракъи
55,Träne::N,pisar,магӏу
56,Geschmack::N,maitse,тату
57,Geruch::N,lõhn,махӏ
58,Schlaf::N,uni,макьу
59,Traum::N,unenägu,макьу
60,Himmel::N,taevas,зоб
61,Sonne::N,päike,бакъ
62,Mond::N,kuu,моцӏ
63,Stern::N,täht,цӏва
64,Luft::N,õhk,гьава
65,Wind::N,tuul,гьури
66,Welle::N,laine,карачел
67,Wasser::N,vesi,лъим
68,Stein::N,kivi,гьецӏо
69,Boden::N,maa,ракь
70,Boden::N,pinnas,ракь
71,Erde::N,maa,ракь
72,Erde::N,maa,дуниял
73,Staub::N,põrm,хӏур
74,Rauch::N,suits,кӏкӏуй
75,Funke::N,säde,
76,Feuer::N,tuli,цӏа
77,Licht::N,valgus,канлъи
78,Schatten::N,vari,рагӏад
79,Wetter::N,ilm,гьава-бакъ
80,Nebel::N,udu,гӏодобнакӏкӏ
81,Wolke::N,pilv,накӏкӏ
82,Regen::N,sadu,цӏад
83,Schnee::N,lumi,гӏазу
84,Eis::N,jää,цӏер
85,Frost::N,pakane,замгьари
86,Kälte::N,külm,квач
87,Kälte::N,külmus,квач
88,Hitze::N,kuumus,багӏари
89,Hitze::N,palavus,багӏари
90,Raureif::N,härmatis,мартӏ
