,Concept_ID,ps,pt
0,Auge::N,سترګه,olho
1,Ohr::N,غوږ,orelha
2,Nase::N,پوزه,nariz
3,Mund::N,خوله,boca
4,Zahn::N,غاښ,dente
5,Zunge::N,جبه,língua
6,Lippe::N,شونډه,lábio
7,Wange::N,باړخو,face
8,Gesicht::N,مخ,cara
9,Gesicht::N,مخ,rosto
10,Stirn::N,تندی,testa
11,Stirn::N,وچولی,testa
12,Haar::N,وېښته,cabelo
13,Schnurrbart::N,برېت,bigode
14,Bart::N,ږیره,barba
15,Kinn::N,زنه,queixo
16,Kiefer[Anatomie]::N,جامه,maxila
17,Kiefer[Anatomie]::N,جامه,mandíbula
18,Kehle::N,غاړه,garganta
19,Hals::N,غاړه,colo
20,Hals::N,غاړه,pescoço
21,Genick::N,ورمېږ,nuca
22,Kopf::N,سر,cabeça
23,Rücken::N,شا,dorso
24,Rücken::N,شا,costas
25,Bauch::N,نس,ventre
26,Bauch::N,نس,barriga
27,Bauch::N,ګېډه,ventre
28,Bauch::N,ګېډه,barriga
29,Nabel::N,نوم,umbigo
30,Busen::N,تی,seio
31,Brust::N,سینه,peito
32,Schulter::N,اوږه,ombro
33,Arm::N,لاس,braço
34,Ellenbogen::N,څنګل,cotovelo
35,Hand::N,لاس,mão
36,Handfläche::N,ورغوی,palma
37,Handfläche::N,ورغوی,palma da mão
38,Finger::N,ګوته,dedo
39,Fingernagel::N,نوک,unha
40,Nagel[Anatomie]::N,نوک,unha
41,Zeh::N,ګوته,dedo do pé
42,Fuß::N,پښه,pé
43,Ferse::N,پونده,calcanhar
44,Knie::N,زنګون,joelho
45,Oberschenkel::N,پتون,coxa
46,Bein::N,پښه,perna
47,Körper::N,ځان,corpo
48,Haut::N,پوټکی,pele
49,Blut::N,وینه,sangue
50,Ader::N,رګ,veia
51,Sehne::N,پله,tendão
52,Knochen::N,هډوکی,osso
53,Gehirn::N,ماغزه,cérebro
54,Herz::N,زړه,coração
55,Magen::N,معده,estômago
56,Leber::N,ينه,fígado
57,Leber::N,ځیګر,fígado
58,Atem::N,نفس,fôlego
59,Hunger::N,ولږه,fome
60,Träne::N,اوښکه,lágrima
61,Geschmack::N,مزه,gosto
62,Geschmack::N,خوند,gosto
63,Geruch::N,بوی,odor
64,Geruch::N,بوی,cheiro
65,Schlaf::N,خوب,sono
66,Traum::N,خوب,sonho
67,Himmel::N,اسمان,céu
68,Sonne::N,لمر,sol
69,Mond::N,سپوږمۍ,lua
70,Stern::N,ستوری,estrela
71,Luft::N,هوا,ar
72,Wind::N,ورښ,vento
73,Welle::N,موج,onda
74,Wasser::N,اوبه,água
75,Stein::N,ډبره,pedra
76,Boden::N,مځکه,solo
77,Erde::N,خاوره,terra
78,Staub::N,ګرد,pó
79,Staub::N,خاوره,pó
80,Rauch::N,دود,fumo
81,Rauch::N,لوګی,fumo
