,Concept_ID,ab,fa
0,Auge::N,ала,چشم
1,Ohr::N,алымҳа,گوش
2,Nase::N,аҧынҵа,بینی
3,Mund::N,аҧышə,دهان
4,Zahn::N,ахаҧыц,دندان
5,Zunge::N,абз,زبان
6,Lippe::N,ақьышə,لب
7,Wange::N,аӡамҩа,لپ
8,Gesicht::N,аҿы,رو
9,Gesicht::N,аҿы,چهره
10,Stirn::N,алахь,پیشانی
11,Haar::N,ахəыц,مو
12,Schnurrbart::N,аҧаҵа,سبیل
13,Bart::N,ажакьа,ریش
14,Kinn::N,ацламкəыгə,چانه
15,Kiefer[Anatomie]::N,ацламҳəа,فک
16,Kiefer[Anatomie]::N,ацламҳəа,آرواره
17,Kehle::N,ахəда,حلق
18,Hals::N,ахəда,گردن
19,Genick::N,ахəдаџьал,پشت گردن
20,Kopf::N,ахы,سر
21,Kopf::N,ахы,کله
22,Rücken::N,азқəа,پشت
23,Bauch::N,амгəа,شکم
24,Nabel::N,аҷапан,ناف
25,Busen::N,агəыҧҳəы,پستان
26,Brust::N,агəышҧы,سینه
27,Schulter::N,ажəҩахыр,دوش
28,Schulter::N,ажəҩахыр,شانه
29,Arm::N,амахəар,بازو
30,Ellenbogen::N,амашьхəылҵ,آرنج
31,Hand::N,анапы,دست
32,Handfläche::N,анапсаргəыҵа,کف دست
33,Finger::N,анацəа,انگشت
34,Fingernagel::N,анапхыц,ناخن دست
35,Nagel[Anatomie]::N,ашьапхыц,ناخن
36,Zeh::N,ашьацəа,انگشت پا
37,Fuß::N,ашьапсыргəыҵа,پا
38,Ferse::N,ашьхəа,پاشنه
39,Knie::N,ашьамхы,زانو
40,Oberschenkel::N,ауаҭəа,ران
41,Bein::N,ашьапы,پا
42,Bein::N,ашьапы,لنگ
43,Körper::N,ацəеижь,تن
44,Körper::N,ацəеижь,بدن
45,Haut::N,ацəа,پوست
46,Blut::N,ашьа,خون
47,Ader::N,ада,رگ
48,Sehne::N,адаш,زردپی
49,Knochen::N,абаҩ,استخوان
50,Gehirn::N,ахшлыбаҩ,مخ
51,Gehirn::N,ахшлыбаҩ,مغز
52,Gehirn::N,ахшыбаҩ,مخ
53,Gehirn::N,ахшыбаҩ,مغز
54,Herz::N,агəы,دل
55,Herz::N,агəы,قلب
56,Magen::N,аца,معده
57,Magen::N,ацар,معده
58,Leber::N,агəаҵəа,کبد
59,Atem::N,аҧсыҧлагаҩгара,نفس
60,Hunger::N,амла,گرسنگی
61,Träne::N,алабжыш,اشک
62,Geschmack::N,агьама,مزه
63,Geruch::N,афҩы,بو
64,Schlaf::N,ацəа,خواب
65,Traum::N,аҧхыӡ,رؤیا
66,Himmel::N,ажəҩан,فلک
