,Concept_ID,mdf,lbe
0,Auge::N,сельме,я
1,Ohr::N,пиле,вичӏи
2,Nase::N,шалхка,май
3,Mund::N,курга,кьацӏ
4,Zahn::N,пей,ккарччи
5,Zunge::N,кяль,маз
6,Lippe::N,търва́,мурччи
7,Wange::N,щёка,чӏав
8,Gesicht::N,шама,лажин
9,Stirn::N,коня,ненттабакӏ
10,Haar::N,шя́ярь,чӏара
11,Schnurrbart::N,уса́,ссирссилтту
12,Bart::N,сакал,чӏири
13,Kinn::N,ула,лунттубакӏ
14,Kiefer[Anatomie]::N,саласка,ххинчулул
15,Kehle::N,кълдома,кьакьари
16,Kehle::N,кърга́парь,кьакьари
17,Hals::N,сялдаз,ссурссу
18,Genick::N,шовонь,махъабакӏ
19,Kopf::N,пря,бакӏ
20,Rücken::N,копорь,ттиликӏ
21,Bauch::N,пеке,лякьа
22,Nabel::N,по́кон,цӏумуккутӏ
23,Busen::N,потя,ккукку
24,Brust::N,мяште,хъазам
25,Schulter::N,лафту,хъачӏ
26,Arm::N,кядь,ка
27,Ellenbogen::N,кенерьба́карь,ссюрхъ
28,Hand::N,кядь,бартка
29,Handfläche::N,кядьлапш,хъат
30,Handfläche::N,кядьлапш,битӏянхъ
31,Finger::N,сур,кӏисса
32,Fingernagel::N,кенже,михь
33,Nagel[Anatomie]::N,кенже,михь
34,Zeh::N,пильгосу́р,кӏисса
35,Fuß::N,пильге,чӏанччан
36,Fuß::N,пильгелапа,чӏанччан
37,Ferse::N,кочкяря,никъа
38,Knie::N,эль,ник
39,Knie::N,пълма́нжа,ник
40,Oberschenkel::N,пильгепукша,жира
41,Bein::N,пильге,ччан
42,Körper::N,ро́нга,чурх
43,Körper::N,по́нда,чурх
44,Haut::N,киське,бурчу
45,Blut::N,вер,оь
46,Ader::N,сан,тунну
47,Ader::N,верза́н,тунну
48,Sehne::N,коське сан,хьхьа
49,Knochen::N,пакарь,ттаркӏ
50,Gehirn::N,уй,ня
51,Herz::N,седи,дакӏ
52,Herz::N,седи,къюкӏ
53,Magen::N,коткърдазь,лякьа
54,Leber::N,макса,
55,Atem::N,лекома,ссихӏ ласаву
56,Atem::N,лекома,ссихӏ бигьаву
57,Atem::N,ваймонь тарксема,ссихӏ ласаву
58,Atem::N,ваймонь тарксема,ссихӏ бигьаву
59,Hunger::N,вачеши,ккаши
60,Träne::N,сельмове́дь,макь
61,Geschmack::N,таньф,тӏин
62,Geschmack::N,таньф,тӏааьн
63,Geruch::N,шине,кьанкь
64,Schlaf::N,удома́,шану
65,Traum::N,он,макӏру
66,Himmel::N,менель,ссав
67,Sonne::N,ши,баргъ
68,Mond::N,ков,барз
69,Stern::N,тяште,цӏуку
70,Luft::N,кожф,гьава
71,Wind::N,варма,марч
72,Welle::N,тавла,щатӏи
73,Wasser::N,ведь,щин
74,Stein::N,кев,чару
75,Boden::N,мода,аьрщи
76,Boden::N,потмакс,аьрщи
77,Erde::N,мода,аьрщи
78,Erde::N,мастор,аьрщи
79,Staub::N,пуль,ххит
80,Rauch::N,качам,пуркӏу
81,Funke::N,ця́тка,пиягь
82,Feuer::N,тол,цӏу
83,Licht::N,ва́лда,чани
84,Schatten::N,цильф,ххют
85,Wetter::N,уша,гьава
86,Nebel::N,тума́н,шархь ттурлу
87,Wolke::N,ковол,ттурлу
88,Regen::N,пизем,гъарал
89,Schnee::N,лов,марххала
90,Eis::N,эй,микӏ
91,Frost::N,ке́льме,дяркъу
92,Frost::N,ке́льме,замгьар
93,Kälte::N,якшама,дяркъу
94,Hitze::N,пси,кӏиришиву
95,Raureif::N,леш,сил
96,Raureif::N,леш,бурса
97,Regenbogen::N,а́тямъёнга,ссурул ккуртта
98,Donner::N,атям,къув
99,Strömung::N,шудема́,экьинанаву
100,Tropfen::N,путькс,кӏунтӏ
101,Tropfen::N,пътняфкс,кӏунтӏ
102,Schaum::N,шов,хьама
103,Schmutz::N,ърда́з,кьяркьи
104,See::N,эрьхке,бяр
105,Sumpf::N,шяй,кунцӏа
106,Moor::N,шяй,
107,Wiese::N,луга,кьан
108,Wald::N,вирь,вацӏа
109,Hügel::N,губо́р,бакӏу
110,Hügel::N,пандоня,бакӏу
111,Anhöhe::N,губо́р,
112,Berg::N,панда,зунтту
113,Gipfel::N,пря,мицӏ
114,Höhle::N,у́нда,нух
115,Abhang::N,па́нда ша́ма,сун
116,Quelle::N,эшиня,дайдихьу
117,Quelle::N,эшиня,бакӏ
118,Bach::N,шудерькс,чӏрир нех
119,Fluss::N,ляй,нех
120,Ufer::N,търва́,зума
121,Küste::N,ляйтърва́,зумаинхалу
122,Küste::N,ляйтърва́,зуманицӏалу
123,Festland::N,мода,кьири
124,Meer::N,моря,хьхьири
125,Bucht::N,ведьуське,
126,Insel::N,цёнга,жазира
127,Blume::N,панчф,тӏутӏи
128,Gras::N,тише,уртту
129,Wurzel::N,юр,мархха
130,Wurzel::N,ункс,мархха
131,Baum::N,шуфта,мурхь
132,Stamm::N,ро́нга,ттарцӏ
133,Rinde::N,кер,ккамара
134,Ast::N,морга,матӏи
135,Zweig::N,тарад,къяртта
136,Blatt::N,лопа,чӏапӏи
137,Birke::N,ке́лу,кӏялахӏи
138,Birke::N,ке́лу,кӏялахӏилул мурхь
139,Kiefer[Baum]::N,пиче,ттар
140,Kiefer[Baum]::N,пиче,ттарлил мурхь
141,Weide[Baum]::N,каль,щавщи
142,Tanne::N,куз,ттарлил мурхь
143,Horn::N,сюра,хъи
144,Feder::N,толга,лелуххул тӏиму
145,Fell::N,кедь,бурчу
146,Flügel::N,паця,хъа
147,Flügel::N,паця,ххурупӏайрал тӏиму
148,Klaue::N,кенже,михь
149,Kralle::N,кенже,ххяппа
150,Schwanz::N,пула,магъ
151,Ei::N,ал,ккунук
152,Nest::N,пиза,кюру
153,Bau::N,пиза,цукъуккутӏ
154,Tier::N,жува́та,хӏайван
155,Herde::N,нал,газу
156,Herde::N,стада,газу
157,Kuh::N,скал,оьл
158,Kuh::N,тракс,оьл
159,Bulle::N,бука,ниц
160,Pferd::N,лишме,чу
161,Schaf::N,уча́,тта
162,Schwein::N,тува,дунгъуз
163,Hund::N,пине,ккаччи
164,Katze::N,катоня,ччиту
165,Katze::N,аваката,ччиту
166,Bär::N,офта,цуша
167,Eichhörnchen::N,ур,бюрхттукку
168,Elch::N,ся́рда,ниц-бюрин
169,Fuchs::N,келазь,цулчӏа
170,Fuchs::N,келазь,куча цулчӏа
171,Hase::N,ну́мол,бюрх
172,Maus::N,шеер,кӏулу
173,Wolf::N,върьгаз,барцӏ
174,Vogel::N,нармонь,лелуххи
175,Schwarm::N,ко́вол,гьухъала
176,Schwarm::N,ме́швеле,гьухъала
177,Huhn::N,сараз,аьнакӏи
178,Hahn::N,а́тякш,ажари
179,Gans::N,маци,къаз
180,Adler::N,куцькан,барзу
181,Ente::N,яксярга,урдак
182,Eule::N,ко́рож,ису
183,Eule::N,ко́рож,ччиккумяв
184,Kranich::N,ка́рга,кьурукь
185,Krähe::N,ва́рси,хъатӏу
186,Kuckuck::N,ку́ку,ччикку
187,Schwan::N,ло́ксти,урттил къаз
188,Fisch::N,кал,чавахъ
189,Barsch::N,о́кунь,
190,Hecht::N,щу́ка,
191,Schlange[Tier]::N,куй,шатта
192,Wurm::N,сукс,кьюнукьай шатта
193,Spinne::N,унжа́,ххялцу
194,Ameise::N,панжам,митӏикьукьу
195,Laus::N,си,
196,Mücke::N,ся́ське,мичӏак
197,Fliege::N,кару,зимиз
198,Schmetterling::N,ме́лав,чӏимучӏали
199,Beere::N,и́мож,хӏаллил ахъулсса
200,Apfel::N,марь,гьивч
201,Pilz::N,панга,ттуккул иис
202,Zwiebel::N,шурьхкя́,лаччул чсмусул бакӏ
203,Saat::N,видьмот,гьанна
204,Korn::N,сёра,къама
205,Heu::N,тише,ххулув
206,Schale::N,кедь,ккиртту
207,Grube::N,лотка,кӏаланг
208,Falle::N,туфкс,къатӏа
209,Falle::N,кунда́ма,къатӏа
210,Schlinge::N,килькш,хӏатӏ
211,Spur::N,пильгоки́,ша
212,Asche::N,кулу,лах
213,Dreck::N,ърда́з,кьяркьи
214,Dreck::N,ърда́з,венп
215,Eisen::N,кшни,мах
216,Gold::N,ока,муси
217,Gold::N,золота,муси
218,Silber::N,сия́,арцу
219,Kohle::N,седь,кӏалаш
220,Kohle::N,седь,хъуручӏ
221,Kohle::N,седьвальмя,кӏалаш
222,Kohle::N,седьвальмя,хъуручӏ
223,Glas::N,кля́нцек,пюрун
224,Lehm::N,сёвонь,сина аьрщи
225,Sand::N,шува́р,къун
226,Mensch::N,ломань,инсан
227,Mann::N,аля,чув
228,Mann::N,аля,адимина
229,Mann::N,цёраломань,чув
230,Mann::N,цёраломань,адимина
231,Frau::N,ава,щарсса
232,Frau::N,ава,хъамитайпа
233,Kind::N,идь,чӏиви оьрчӏ
234,Kind::N,шаба,чӏиви оьрчӏ
235,Junge::N,цёраня,оьрчӏ
236,Junge::N,цёраня,бурхьин оьрчӏ
237,Mädchen::N,стирня́,душ
238,Familie::N,тнал,кулпат
239,Familie::N,семья,кулпат
240,Großvater::N,атя,ттатта
241,Großvater::N,атя,ниттил ппу
242,Großvater::N,щя́тя,ттатта
243,Großvater::N,щя́тя,ниттил ппу
244,Großmutter::N,баба,буттал нину
245,Eltern::N,тя́дят-а́лят,нину-ппу
246,Vater::N,аля,ппу
247,Mutter::N,ава,нину
248,Mutter::N,тядя,нину
249,Sohn::N,цёра,арс
250,Tochter::N,стирь,душ
251,Bruder::N,дуган,уссу
252,Bruder::N,пяльне,уссу
253,Schwester::N,ака,ссу
254,Schwester::N,сазор,ссу
255,Onkel::N,оця,буттауссу
256,Onkel::N,патя,буттауссу
257,Onkel::N,щеня́,буттауссу
258,Tante::N,ака,буттал ссу
259,Tante::N,щака,буттал ссу
260,Ehemann::N,мирде,лас
261,Ehefrau::N,ърьвя́,щар
262,Ehefrau::N,ърьвя́,щарсса
263,Freude::N,ке́нярдема,шадшиву
264,Freude::N,ке́нярдема,ххаришиву
265,Gelächter::N,рахсема,хъяхъаву
266,Glück::N,паваз,талихӏ
267,Kummer::N,ризф,дард
268,Kummer::N,пичефкс,дард
