,Concept_ID,eu,pt
0,Auge::N,begi,olho
1,Ohr::N,belarri,orelha
2,Nase::N,sudur,nariz
3,Mund::N,aho,boca
4,Zahn::N,hortz,dente
5,Zunge::N,mihi,língua
6,Lippe::N,ezpain,lábio
7,Wange::N,masail,face
8,Gesicht::N,aurpegi,cara
9,Gesicht::N,aurpegi,rosto
10,Stirn::N,bekoki,testa
11,Haar::N,ile,cabelo
12,Haar::N,bilo,cabelo
13,Schnurrbart::N,bibote,bigode
14,Schnurrbart::N,sudurpeko,bigode
15,Bart::N,bizar,barba
16,Kinn::N,kokots,queixo
17,Kiefer[Anatomie]::N,masailezur,maxila
18,Kiefer[Anatomie]::N,masailezur,mandíbula
19,Kehle::N,eztarri,garganta
20,Hals::N,sama,colo
21,Hals::N,sama,pescoço
22,Genick::N,garondo,nuca
23,Kopf::N,buru,cabeça
24,Rücken::N,bizkar,dorso
25,Rücken::N,bizkar,costas
26,Bauch::N,sabel,ventre
27,Bauch::N,sabel,barriga
28,Nabel::N,zilbor,umbigo
29,Busen::N,titi,seio
30,Busen::N,ugatz,seio
31,Brust::N,bular,peito
32,Schulter::N,besaburu,ombro
33,Arm::N,beso,braço
34,Ellenbogen::N,ukondo,cotovelo
35,Hand::N,esku,mão
36,Handfläche::N,ahur,palma
37,Handfläche::N,ahur,palma da mão
38,Finger::N,hatz,dedo
39,Fingernagel::N,azazkal,unha
40,Nagel[Anatomie]::N,azazkal,unha
41,Zeh::N,behatz,dedo do pé
42,Fuß::N,oin,pé
43,Ferse::N,orpo,calcanhar
44,Ferse::N,oinburu,calcanhar
45,Knie::N,belaun,joelho
46,Oberschenkel::N,izter,coxa
47,Bein::N,zango,perna
48,Körper::N,soin,corpo
49,Haut::N,azal,pele
50,Blut::N,odol,sangue
51,Ader::N,zain,veia
52,Sehne::N,gihar-zain,tendão
53,Knochen::N,hezur,osso
54,Gehirn::N,garun,cérebro
55,Gehirn::N,burmuin,cérebro
56,Herz::N,bihotz,coração
57,Magen::N,urdail,estômago
58,Leber::N,gibel,fígado
59,Atem::N,hats,fôlego
60,Atem::N,arnasa,fôlego
61,Hunger::N,gose,fome
62,Träne::N,malko,lágrima
63,Geschmack::N,dasta,gosto
64,Geruch::N,usain,odor
65,Geruch::N,usain,cheiro
66,Schlaf::N,lo,sono
67,Traum::N,amets,sonho
68,Himmel::N,zeru,céu
69,Sonne::N,eguzki,sol
70,Mond::N,ilargi,lua
71,Stern::N,izar,estrela
72,Luft::N,aire,ar
73,Wind::N,haize,vento
74,Welle::N,uhin,onda
75,Welle::N,olatu,onda
76,Wasser::N,ur,água
77,Stein::N,harri,pedra
78,Boden::N,lur,solo
79,Boden::N,zoru,solo
80,Erde::N,lur,terra
81,Staub::N,hauts,pó
82,Rauch::N,ke,fumo
83,Funke::N,zirta,faísca
84,Funke::N,zirta,centelha
85,Funke::N,txinparta,faísca
86,Funke::N,txinparta,centelha
87,Feuer::N,su,fogo
88,Licht::N,argi,luz
89,Schatten::N,itzal,sombra
90,Schatten::N,geriza,sombra
91,Wetter::N,eguraldi,tempo
92,Nebel::N,laino,nevoeiro
93,Wolke::N,hodei,nuvem
94,Regen::N,euri,chuva
95,Schnee::N,elur,neve
96,Eis::N,horma,gelo
97,Frost::N,izotzaldi,gelo
98,Frost::N,izotzaldi,geada
99,Kälte::N,hotz,frio
100,Hitze::N,bero,ardor
101,Raureif::N,antzigar,geada
102,Regenbogen::N,ostadar,arco-iris
103,Regenbogen::N,ortzadar,arco-iris
104,Donner::N,ostots,trovão
