,Concept_ID,cy,kn
0,Auge::N,llygad,ಕಣ್ಣು
1,Ohr::N,clust,ಕಿವಿ
2,Nase::N,trwyn,ಮೂಗು
3,Mund::N,ceg,ಬಾಯಿ
4,Zahn::N,dant,ಹಲ್ಲು
5,Zunge::N,tafod,ನಾಲಿಗೆ
6,Lippe::N,gwefus,ತುಟಿ
7,Wange::N,boch,ಗಲ್ಲ
8,Gesicht::N,wyneb,ಮುಖ
9,Stirn::N,talcen,ಹಣೆ
10,Haar::N,blew,ಕೂದಲು
11,Schnurrbart::N,mwstas,ಮೀಸೆ
12,Bart::N,barf,ಗಡ್ಡ
13,Kinn::N,gên,ಗದ್ದ
14,Kiefer[Anatomie]::N,gên,ದವಡೆ
15,Kehle::N,gwddf,ಗಂಟಲು
16,Hals::N,gwddf,ಕೊರಳು
17,Genick::N,gwar,ಹಿಂಗತ್ತು
18,Genick::N,gwegil,ಹಿಂಗತ್ತು
19,Kopf::N,pen,ತಲೆ
20,Rücken::N,cefn,ಬೆನ್ನು
21,Bauch::N,bol,ಹೊಟ್ಟೆ
22,Nabel::N,bogail,ಹೊಕ್ಕುಳು
23,Busen::N,bron,ಸ್ತನ
24,Brust::N,brest,ಎದೆ
25,Schulter::N,ysgwydd,ಭುಜ
26,Arm::N,braich,ತೋಳು
27,Ellenbogen::N,penelin,ಮೊಣಕೈ
28,Hand::N,llaw,ಕೈ
29,Handfläche::N,palf,ಅಂಗೈ
30,Finger::N,bys,ಕೈಬೆರಳು
31,Fingernagel::N,ewin,ಉಗುರು
32,Nagel[Anatomie]::N,ewin,ಉಗುರು
33,Zeh::N,bys troed,ಕಾಲ್ಬೆರಳು
34,Fuß::N,troed,ಪಾದ
35,Ferse::N,sawdl,ಹಿಮ್ಮಡಿ
36,Knie::N,glin,ಮಂಡಿ
37,Oberschenkel::N,clun,ತೊಡೆ
38,Bein::N,coes,ಕಾಲು
39,Körper::N,corff,ದೇಹ
40,Haut::N,croen,ಚರ್ಮ
41,Blut::N,gwaed,ರಕ್ತ
42,Ader::N,gwythïen,ನರ
43,Sehne::N,gewyn,ನರ
44,Knochen::N,asgwrn,ಮೂಳೆ
45,Gehirn::N,ymennydd,ಮಿದುಳು
46,Herz::N,calon,ಹೃದಯ
47,Magen::N,cylla,ಉದರ
48,Magen::N,stumog,ಉದರ
49,Leber::N,iau,ಯಕೃತ್ತು
50,Atem::N,anadl,ಉಸಿರು
51,Hunger::N,newyn,ಹಸಿವು
52,Träne::N,deigryn,ಕಣ್ಣೀರು
53,Geschmack::N,cyflas,ರುಚಿ
54,Geruch::N,aroglau,ವಾಸನೆ
55,Schlaf::N,cwsg,ನಿದ್ರೆ
56,Traum::N,breuddwyd,ಕನಸು
57,Himmel::N,awyr,ಬಾನು
58,Sonne::N,haul,ಸೂರ್ಯ
59,Mond::N,lleuad,ಚಂದ್ರ
60,Stern::N,seren,ಚುಕ್ಕಿ
61,Luft::N,awyr,ವಾಯು
62,Wind::N,gwynt,ಗಾಳಿ
63,Welle::N,ton,ಅಲೆ
64,Wasser::N,dŵr,ನೀರು
65,Stein::N,carreg,ಕಲ್ಲು
66,Boden::N,llawr,ನೆಲ
67,Erde::N,pridd,ಭೂಮಿ
68,Staub::N,llwch,ದೂಳು
69,Rauch::N,mwg,ಹೊಗೆ
70,Funke::N,gwreichioni,ಕಿಡಿ
71,Feuer::N,tân,ಬೆಂಕಿ
72,Licht::N,golau,ಬೆಳಕು
73,Schatten::N,cysgod,ನೆರಳು
74,Wetter::N,tywydd,ಹವ
75,Nebel::N,niwl,ಮಂಜು
76,Wolke::N,cwmwl,ಮೋಡ
77,Regen::N,glaw,ಮಳೆ
78,Schnee::N,ôd,ಹಿಮ
