,Concept_ID,az,cy
0,Auge::N,göz,llygad
1,Ohr::N,qulaq,clust
2,Nase::N,burun,trwyn
3,Mund::N,ağız,ceg
4,Zahn::N,diş,dant
5,Zunge::N,dil,tafod
6,Lippe::N,dodaq,gwefus
7,Wange::N,yanaq,boch
8,Gesicht::N,üz,wyneb
9,Stirn::N,alın,talcen
10,Haar::N,saç,blew
11,Schnurrbart::N,bığ,mwstas
12,Bart::N,saqqal,barf
13,Kinn::N,çənə,gên
14,Kiefer[Anatomie]::N,çənə,gên
15,Kehle::N,boğaz,gwddf
16,Hals::N,boyun,gwddf
17,Genick::N,ənsə,gwar
18,Genick::N,ənsə,gwegil
19,Kopf::N,baş,pen
20,Rücken::N,bel,cefn
21,Bauch::N,qarın,bol
22,Nabel::N,göbək,bogail
23,Busen::N,məmə,bron
24,Brust::N,döş,brest
25,Schulter::N,çiyin,ysgwydd
26,Arm::N,qol,braich
27,Ellenbogen::N,dirsək,penelin
28,Hand::N,əl,llaw
29,Handfläche::N,ovuc,palf
30,Finger::N,barmaq,bys
31,Fingernagel::N,barmaq dırnağı,ewin
32,Nagel[Anatomie]::N,dırnak,ewin
33,Zeh::N,ayaq barmağı,bys troed
34,Fuß::N,ayaq,troed
35,Ferse::N,daban,sawdl
36,Knie::N,diz,glin
37,Oberschenkel::N,bud,clun
38,Bein::N,qıç,coes
39,Körper::N,əndam,corff
40,Haut::N,dəri,croen
41,Blut::N,qan,gwaed
42,Ader::N,damar,gwythïen
43,Sehne::N,vətər,gewyn
44,Knochen::N,sümük,asgwrn
45,Gehirn::N,beyin,ymennydd
46,Herz::N,ürək,calon
47,Magen::N,mədə,cylla
48,Magen::N,mədə,stumog
49,Leber::N,qara ciyər,iau
50,Atem::N,nəfəs,anadl
51,Hunger::N,aclıq,newyn
52,Träne::N,göz yaşı,deigryn
53,Geschmack::N,tam,cyflas
54,Geschmack::N,ləzzət,cyflas
55,Geruch::N,qoxu,aroglau
56,Schlaf::N,yuxu,cwsg
57,Traum::N,röya,breuddwyd
58,Himmel::N,göy,awyr
59,Himmel::N,səma,awyr
60,Sonne::N,günəş,haul
61,Mond::N,ay,lleuad
62,Stern::N,ulduz,seren
63,Luft::N,hava,awyr
64,Wind::N,yel,gwynt
65,Wind::N,külək,gwynt
66,Welle::N,dalğa,ton
67,Wasser::N,su,dŵr
68,Stein::N,daş,carreg
69,Boden::N,yer,llawr
70,Boden::N,zəmin,llawr
71,Erde::N,yer torpaq,pridd
72,Staub::N,toz,llwch
73,Rauch::N,tüstü,mwg
74,Funke::N,qığılcım,gwreichioni
75,Feuer::N,od,tân
76,Licht::N,işıq,golau
77,Schatten::N,kölgə,cysgod
78,Wetter::N,hava,tywydd
79,Nebel::N,duman,niwl
80,Wolke::N,bulud,cwmwl
81,Regen::N,yağış,glaw
82,Regen::N,yağmur,glaw
83,Schnee::N,qar,ôd
84,Schnee::N,qar,eira
85,Eis::N,buz,iâ
86,Frost::N,ayaz,rhew
87,Kälte::N,soyuq,oerni
88,Kälte::N,soyuq,annwyd
89,Hitze::N,coşğunluq,gwres
90,Raureif::N,qırov,barrug
91,Regenbogen::N,göy qurşağı,enfys
92,Donner::N,göy gurultusu,tyrfau
93,Strömung::N,axın,cerrynt
94,Tropfen::N,damcı,dafn
95,Tropfen::N,damcı,diferyn
96,Schaum::N,köpük,ewyn
97,Schmutz::N,çamır,baw
98,Schmutz::N,çamır,budreddi
99,See::N,göl,llyn
100,Sumpf::N,bataqlıq,cors
101,Moor::N,bataqlıq,rhos
102,Wiese::N,çəmən,dôl
103,Wald::N,meşə,coedwig
104,Hügel::N,təpə,bryn
105,Anhöhe::N,təpə,bryn
106,Berg::N,dağ,mynydd
107,Gipfel::N,zirvə,copa
108,Höhle::N,mağara,ogof
109,Abhang::N,yamac,llethr
110,Quelle::N,bulaq,tarddiad
111,Quelle::N,bulaq,ffynhonnell
112,Bach::N,kiçik çay,nant
113,Bach::N,kiçik çay,afonig
114,Bach::N,kiçik çay,cornant
115,Fluss::N,çay,afon
116,Ufer::N,kənar,glan
117,Küste::N,sahil,traeth
118,Küste::N,sahil,arfordir
119,Festland::N,materik,tir
120,Meer::N,dəniz,môr
121,Bucht::N,körfəz,bae
122,Insel::N,ada,ynys
123,Blume::N,çiçək,blodyn
124,Gras::N,ot,glaswellt
125,Wurzel::N,kök,gwreiddyn
126,Baum::N,ağac,coeden
127,Stamm::N,gövdə,colfen
128,Stamm::N,gövdə,boncyff
129,Rinde::N,qabıq,rhisgl
130,Ast::N,şax,cangen
131,Zweig::N,budaq,cainc
132,Zweig::N,budaq,cangen
133,Blatt::N,yarpaq,deilen
134,Birke::N,tozağacı,bedwen
135,Kiefer[Baum]::N,şam,pinwydden
136,Weide[Baum]::N,söyüd,helygen
137,Tanne::N,küknar,ffynidwydden
138,Horn::N,buynuz,corn
139,Feder::N,tük,plufyn
140,Feder::N,lələk,plufyn
141,Fell::N,xəz,ffwr
142,Flügel::N,qanad,adain
143,Klaue::N,pəncə,crafanc
144,Kralle::N,dırnaq,ewin
145,Schwanz::N,quyruq,cwt
146,Schwanz::N,quyruq,cynffon
147,Ei::N,yumurta,wy
148,Nest::N,yuva,nyth
149,Bau::N,yuva,ffau
150,Tier::N,heyvan,anifail
151,Herde::N,sürü,praidd
152,Herde::N,sürü,diadell
153,Kuh::N,inək,buwch
154,Bulle::N,öküz,tarw
155,Pferd::N,at,ceffyl
156,Schaf::N,qoyun,dafad
157,Schwein::N,donuz,mochyn
158,Hund::N,it,ci
159,Hund::N,köpək,ci
160,Katze::N,pişik,cath
161,Bär::N,ayı,arth
162,Eichhörnchen::N,dələ,gwiwer
163,Elch::N,sığın,elc
164,Fuchs::N,tülkü,cadno
165,Hase::N,dovşan,ysgyfarnog
166,Maus::N,siçan,llygoden
167,Wolf::N,qurd,blaidd
168,Vogel::N,quş,aderyn
169,Schwarm::N,sürü,haid
170,Huhn::N,toyuq,cyw
171,Hahn::N,xoruz,ceiliog
172,Gans::N,qaz,gŵydd
173,Adler::N,qartal,eryr
174,Adler::N,qaraquş,eryr
175,Ente::N,ördək,hwyad
176,Eule::N,bayquş,tylluan
177,Kranich::N,durna,garan
178,Kranich::N,durna,crychydd
179,Krähe::N,qarğa,brân
180,Kuckuck::N,ququ,cog
181,Kuckuck::N,ququ,cwcw
182,Schwan::N,qu quşu,alarch
183,Fisch::N,balıq,pysgod
184,Barsch::N,tar,draenog
185,Hecht::N,durnabalığı,penhwyad
186,Schlange[Tier]::N,ilan,neidr
