,Concept_ID,tt,mhr
0,Auge::N,күз,шинча́
1,Ohr::N,колак,пы́лыш
2,Nase::N,борын,нер
3,Mund::N,авыз,умша́
4,Mund::N,тамак,умша́
5,Zahn::N,теш,пӱй
6,Zunge::N,тел,йы́лме
7,Lippe::N,ирен,тӱ́рвӧ
8,Wange::N,яңак,шӱ́ргӧ
9,Gesicht::N,йөз,чури́й
10,Stirn::N,маңгай,саҥга́
11,Haar::N,чәч,ӱп
12,Schnurrbart::N,мыек,ӧ́рыш
13,Bart::N,сакал,понда́ш
14,Kinn::N,ияк,оҥыла́ш
15,Kiefer[Anatomie]::N,казналык,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,казналык,пӱйората́
17,Kehle::N,тамак,лога́р
18,Hals::N,бугаз,шӱй
19,Genick::N,җилкә,шӱйло́дыш
20,Kopf::N,баш,вуй
21,Rücken::N,сырт,туп
22,Bauch::N,корсак,мӱ́шкыр
23,Nabel::N,кендек,кы́лымде
24,Busen::N,түш,чы́зе
25,Brust::N,имчәк,оҥ
26,Brust::N,күкрәк,оҥ
27,Schulter::N,иңбаш,ва́че
28,Schulter::N,кулбаш,ва́че
29,Arm::N,кул,кид
30,Ellenbogen::N,терсәк,кынерву́й
31,Hand::N,кул,кид
32,Hand::N,кул,копа́
33,Handfläche::N,уч,со́во
34,Finger::N,бармак,парня́
35,Fingernagel::N,тырнак,кидкӱ́ч
36,Fingernagel::N,тырнак,парнягӱ́ч
37,Nagel[Anatomie]::N,тырнак,кӱч
38,Zeh::N,бармак,йолварня́
39,Fuß::N,табан,йол
40,Fuß::N,табан,йолкопа́
41,Ferse::N,үкчә,тага́н
42,Knie::N,тез,пулву́й
43,Oberschenkel::N,бот,э́рде
44,Bein::N,аяк,йол
45,Körper::N,тән,кап
46,Körper::N,җисем,кап
47,Haut::N,тире,кова́ште
48,Blut::N,кан,вӱр
49,Ader::N,тамыр,шӧн
50,Sehne::N,сеңер,шӧн
51,Sehne::N,сеңер,кӱсе́н
52,Knochen::N,сөяк,лу
53,Gehirn::N,ми,вем
54,Gehirn::N,ми,вуйве́м
55,Herz::N,йөрәк,шӱм
56,Magen::N,ашказаны,пага́р
57,Leber::N,бавыр,мокш
58,Atem::N,сулыш,шӱ́лыш
59,Hunger::N,ачлык,шужыма́ш
60,Träne::N,яшь,шинчавӱ́д
61,Geschmack::N,тәм,там
62,Geschmack::N,зәвык,там
63,Geruch::N,ис,пуш
64,Schlaf::N,йокы,о́мо
65,Traum::N,төш,йӱдо́мо
66,Himmel::N,күк,кава́
67,Sonne::N,кояш,ке́че
68,Mond::N,ай,ты́лзе
69,Stern::N,йолдыз,шӱ́дыр
70,Luft::N,һава,юж
71,Wind::N,җил,марде́ж
72,Welle::N,дулкын,то́лкын
73,Wasser::N,су,вӱд
74,Stein::N,таш,кӱ
75,Boden::N,туфрак,рок
76,Erde::N,җир,мла́нде
77,Staub::N,тузан,пура́к
78,Rauch::N,төтен,шикш
79,Funke::N,очкын,сеске́м
80,Funke::N,очкын,тулйы́п
81,Feuer::N,ут,тул
82,Licht::N,якты,со́то
83,Schatten::N,күләгә,ӱ́мыл
84,Wetter::N,һава,иге́че
85,Nebel::N,томан,тӱтыра́
86,Wolke::N,болыт,пыл
87,Regen::N,яңгыр,йӱр
88,Schnee::N,кар,лум
89,Eis::N,боз,ий
90,Frost::N,суык,чатлама́
91,Frost::N,салкын,чатлама́
92,Kälte::N,суык,йӱ́штӧ
93,Kälte::N,салкын,йӱ́штӧ
94,Hitze::N,эсселек,шо́кшо
95,Raureif::N,бәс,пӧрш
96,Raureif::N,бәс,по́кшым
97,Raureif::N,сыкы,пӧрш
98,Raureif::N,сыкы,по́кшым
99,Regenbogen::N,салават күпере,шонанпы́л
100,Donner::N,күкрәү,кӱ́дырчӧ
101,Strömung::N,агыш'агым,йо́гын
