,Concept_ID,ab,en
0,Auge::N,ала,eye
1,Ohr::N,алымҳа,ear
2,Nase::N,аҧынҵа,nose
3,Mund::N,аҧышə,mouth
4,Zahn::N,ахаҧыц,tooth
5,Zunge::N,абз,tongue
6,Lippe::N,ақьышə,lip
7,Wange::N,аӡамҩа,cheek
8,Gesicht::N,аҿы,face
9,Stirn::N,алахь,forehead
10,Haar::N,ахəыц,hair
11,Schnurrbart::N,аҧаҵа,moustache
12,Bart::N,ажакьа,beard
13,Kinn::N,ацламкəыгə,chin
14,Kiefer[Anatomie]::N,ацламҳəа,jaw
15,Kehle::N,ахəда,throat
16,Hals::N,ахəда,neck
17,Genick::N,ахəдаџьал,nape
18,Kopf::N,ахы,head
19,Rücken::N,азқəа,back
20,Rücken::N,азқəа,spine
21,Bauch::N,амгəа,belly
22,Nabel::N,аҷапан,navel
23,Busen::N,агəыҧҳəы,bosom
24,Brust::N,агəышҧы,chest
25,Brust::N,агəышҧы,breast
26,Schulter::N,ажəҩахыр,shoulder
27,Arm::N,амахəар,arm
28,Ellenbogen::N,амашьхəылҵ,elbow
29,Hand::N,анапы,hand
30,Handfläche::N,анапсаргəыҵа,palm
31,Finger::N,анацəа,finger
32,Fingernagel::N,анапхыц,fingernail
33,Nagel[Anatomie]::N,ашьапхыц,nail
34,Zeh::N,ашьацəа,toe
35,Fuß::N,ашьапсыргəыҵа,foot
36,Ferse::N,ашьхəа,heel
37,Knie::N,ашьамхы,knee
38,Oberschenkel::N,ауаҭəа,thigh
39,Bein::N,ашьапы,leg
40,Körper::N,ацəеижь,body
41,Haut::N,ацəа,skin
42,Blut::N,ашьа,blood
43,Ader::N,ада,vein
44,Sehne::N,адаш,sinew
45,Knochen::N,абаҩ,bone
46,Gehirn::N,ахшлыбаҩ,brain
47,Gehirn::N,ахшыбаҩ,brain
48,Herz::N,агəы,heart
49,Magen::N,аца,stomach
50,Magen::N,ацар,stomach
51,Leber::N,агəаҵəа,liver
52,Atem::N,аҧсыҧлагаҩгара,breath
53,Hunger::N,амла,hunger
54,Träne::N,алабжыш,tear
55,Geschmack::N,агьама,flavour
56,Geschmack::N,агьама,flavor
57,Geruch::N,афҩы,odour
58,Geruch::N,афҩы,odor
59,Schlaf::N,ацəа,sleep
60,Traum::N,аҧхыӡ,dream
61,Himmel::N,ажəҩан,sky
62,Sonne::N,амра,sun
63,Mond::N,амза,moon
64,Stern::N,аеҵəа,star
65,Luft::N,аҳаир,air
66,Wind::N,аҧша,wind
67,Welle::N,ацəқəырҧа,wave
68,Wasser::N,аӡы,water
69,Stein::N,ахаҳə,stone
70,Boden::N,адгьыл,soil
71,Boden::N,адгьыл,ground
72,Erde::N,адгьыл,earth
73,Staub::N,асаба,dust
74,Rauch::N,алҩа,smoke
75,Funke::N,акəиц,spark
76,Funke::N,ацҧхь,spark
77,Feuer::N,амца,fire
78,Licht::N,алашара,light
79,Schatten::N,ашəшьыра,shadow
80,Wetter::N,амш,weather
81,Nebel::N,анаҟəа,fog
82,Wolke::N,аҧсҭҳəа,cloud
83,Regen::N,ақəа,rain
84,Schnee::N,асы,snow
85,Eis::N,аҵаа,ice
86,Frost::N,аҵаа,frost
87,Kälte::N,ахьҭа,chill
88,Hitze::N,ашоура,heat
89,Raureif::N,аҵааҧшқа,hoarfrost
90,Regenbogen::N,ацəаҟəа,rainbow
91,Donner::N,адыд,thunder
92,Strömung::N,аиасра,current
93,Strömung::N,амҩасра,current
94,Tropfen::N,ацəыкəбар,drop
95,Schaum::N,ашəах,foam
96,Schmutz::N,алымт,dirt
97,See::N,аӡиа,lake
98,Sumpf::N,аӡмах,swamp
99,Wiese::N,адəы,meadow
100,Wald::N,абна,forest
101,Hügel::N,ахəы,hill
102,Anhöhe::N,аҳаракыра,elevation
