,Concept_ID,hr,sah
0,Auge::N,oko,харах
1,Ohr::N,uho,кулгаах
2,Nase::N,nos,мурун
3,Mund::N,usta,айах
4,Zahn::N,zub,тиис
5,Zunge::N,jezik,тыл
6,Lippe::N,usna,уос
7,Wange::N,obraz,иэдэс
8,Gesicht::N,lice,сирэй
9,Stirn::N,čelo,сүүс
10,Haar::N,kosa,баттах
11,Schnurrbart::N,brkovi,уос бытыга
12,Bart::N,brada,сэҥийэ бытыга
13,Kinn::N,brada,сэҥийэ
14,Kinn::N,podbradak,сэҥийэ
15,Kiefer[Anatomie]::N,čeljust,сыҥаах
16,Kehle::N,grlo,тамах
17,Kehle::N,grlo,күөмэй
18,Hals::N,vrat,моой
19,Genick::N,zatiljak,кэтэх
20,Kopf::N,glava,бас
21,Rücken::N,leđa,көҕүс
22,Rücken::N,hrbat,көҕүс
23,Bauch::N,trbuh,ис
24,Nabel::N,pupak,киин
25,Busen::N,sisa,эмиий
26,Busen::N,njedra,эмиий
27,Brust::N,prsa,түөс
28,Schulter::N,rame,сарын
29,Schulter::N,pleći,сарын
30,Arm::N,ruka,илии
31,Ellenbogen::N,lakat,тоҕонох
32,Hand::N,ruka,илии
33,Handfläche::N,dlan,ытыс
34,Finger::N,prst,тарбах
35,Fingernagel::N,nokat,тыҥырах
36,Nagel[Anatomie]::N,nokat,тыҥырах
37,Zeh::N,nozni prst,тарбах
38,Fuß::N,noga,уллуҥах
39,Fuß::N,stopalo,уллуҥах
40,Ferse::N,peta,тилэх
41,Knie::N,koljeno,тобук
42,Knie::N,koljeno,дьилбэк
43,Oberschenkel::N,bedro,уллук
44,Oberschenkel::N,bedro,өттүк
45,Bein::N,noga,атах
46,Körper::N,tijelo,бэйэ
47,Haut::N,put,тирии
48,Haut::N,koža,тирии
49,Blut::N,krv,хаан
50,Ader::N,žila,вена
51,Ader::N,žila,күөх_тымыр
52,Sehne::N,tetiva,иҥиир
53,Knochen::N,kost,уҥуох
