,Concept_ID,sq,pt
0,Auge::N,sy,olho
1,Ohr::N,vesh,orelha
2,Nase::N,hundë,nariz
3,Mund::N,gojë,boca
4,Zahn::N,dhëmb,dente
5,Zunge::N,gjuhë,língua
6,Lippe::N,buzë,lábio
7,Wange::N,faqe,face
8,Wange::N,mollëz,face
9,Gesicht::N,fytyrë,cara
10,Gesicht::N,fytyrë,rosto
11,Stirn::N,ballë,testa
12,Haar::N,flokë,cabelo
13,Schnurrbart::N,mustaqe,bigode
14,Bart::N,mjekër,barba
15,Kinn::N,mjekër,queixo
16,Kiefer[Anatomie]::N,nofull,maxila
17,Kiefer[Anatomie]::N,nofull,mandíbula
18,Kehle::N,fyt,garganta
19,Kehle::N,grykë,garganta
20,Hals::N,qafë,colo
21,Hals::N,qafë,pescoço
22,Genick::N,arrëz,nuca
23,Kopf::N,kokë,cabeça
24,Rücken::N,kurriz,dorso
25,Rücken::N,kurriz,costas
26,Bauch::N,bark,ventre
27,Bauch::N,bark,barriga
28,Nabel::N,kërthizë,umbigo
29,Busen::N,gji,seio
30,Brust::N,gjoks,peito
31,Brust::N,kraharor,peito
32,Schulter::N,sup,ombro
33,Schulter::N,krah,ombro
34,Arm::N,krah,braço
35,Ellenbogen::N,bërryl,cotovelo
36,Hand::N,dorë,mão
37,Handfläche::N,pëllëmbë,palma
38,Handfläche::N,pëllëmbë,palma da mão
39,Finger::N,gisht,dedo
40,Fingernagel::N,thua,unha
41,Nagel[Anatomie]::N,thua,unha
42,Zeh::N,gisht i këmbës,dedo do pé
43,Fuß::N,këmbë,pé
44,Ferse::N,thembër,calcanhar
45,Knie::N,gju,joelho
46,Oberschenkel::N,kofshë,coxa
47,Bein::N,këmbë,perna
48,Körper::N,trup,corpo
49,Haut::N,lëkurë,pele
50,Blut::N,gjak,sangue
51,Ader::N,venë,veia
52,Sehne::N,dell,tendão
53,Knochen::N,asht,osso
54,Knochen::N,kockë,osso
55,Gehirn::N,tru,cérebro
56,Herz::N,zemër,coração
57,Magen::N,stomak,estômago
58,Leber::N,mëlçi,fígado
59,Atem::N,frymë,fôlego
60,Hunger::N,uri,fome
61,Träne::N,lot,lágrima
62,Geschmack::N,shije,gosto
63,Geruch::N,erë,odor
64,Geruch::N,erë,cheiro
65,Schlaf::N,gjumë,sono
66,Traum::N,ëndërr,sonho
67,Himmel::N,qiell,céu
68,Sonne::N,diell,sol
69,Mond::N,hënë,lua
