,Concept_ID,av,vep
0,Ohr::N,гӏин,korv
1,Nase::N,мегӏер,nena
2,Mund::N,кӏал,su
3,Zahn::N,гӏус,pi
4,Zahn::N,гӏус,hambaz
5,Zunge::N,мацӏ,kel'
6,Lippe::N,кӏветӏ,hul'
7,Wange::N,гӏоно,modpolišk
8,Gesicht::N,гьумер,mod
9,Stirn::N,нодо,oc
10,Haar::N,рас,tuk
11,Haar::N,рас,hibuz
12,Schnurrbart::N,михъ,habinod
13,Bart::N,мегеж,bard
14,Kinn::N,нилъу,löug
15,Kiefer[Anatomie]::N,чанагъ,hambazlu
16,Kehle::N,щекъер,kurk
17,Hals::N,габур,kagl
18,Genick::N,гъванща,tagarai
19,Kopf::N,бетӏер,pä
20,Rücken::N,мугъ,sel'g
21,Bauch::N,чехь,vac
22,Bauch::N,чехь,koht
23,Nabel::N,цӏину,naba
24,Busen::N,керен,niža
25,Brust::N,керен,rind
26,Schulter::N,гъажазубетӏер,oug
27,Arm::N,гъеж,käzi
28,Ellenbogen::N,гӏункӏрукь,künambruz
29,Hand::N,квер,käzi
30,Hand::N,квер,käzitera
31,Handfläche::N,огъохъат,kämen
32,Handfläche::N,жанисахъат,kämen
33,Finger::N,килищ,sor'm
34,Fingernagel::N,малъ,künz'
35,Nagel[Anatomie]::N,малъ,künz'
36,Zeh::N,килищ,barbaz
37,Fuß::N,хӏетӏ,jaug
38,Fuß::N,хӏетӏе,jaug
39,Ferse::N,эгъе,kand
40,Knie::N,наку,komb
41,Knie::N,наку,pol'v
42,Oberschenkel::N,мачӏ,riiže
43,Bein::N,бох,jaug
44,Körper::N,къаркъала,hibj
45,Haut::N,тӏом,nahk
46,Blut::N,би,čak
47,Blut::N,би,veri
48,Ader::N,бидурихь,son'
49,Knochen::N,ракьа,lu
50,Gehirn::N,гӏадалнах,aivod
51,Herz::N,ракӏ,südäin
52,Magen::N,кванирукъ,südäikoht
53,Leber::N,тӏул,maks
54,Atem::N,хӏухь,hengaiduz
55,Hunger::N,ракъи,näl'g
56,Träne::N,магӏу,kündal'
57,Geschmack::N,тату,magu
58,Geruch::N,махӏ,haju
59,Schlaf::N,макьу,uni
60,Traum::N,макьу,unikuva
61,Himmel::N,зоб,taivaz
62,Sonne::N,бакъ,päiväine
63,Mond::N,моцӏ,kudmaine
64,Stern::N,цӏва,tähtaz
