,Concept_ID,et,se
0,Auge::N,silm,tjelmie
1,Auge::N,silm,tjalmme
2,Auge::N,silm,čalbmi
3,Auge::N,silm,čalme
4,Auge::N,silm,čâ´lmm
5,Auge::N,silm,ча̄лльм
6,Ohr::N,kõrv,bieljie
7,Ohr::N,kõrv,biellje
8,Ohr::N,kõrv,beallji
9,Ohr::N,kõrv,pelji
10,Ohr::N,kõrv,pe´llj
11,Ohr::N,kõrv,пе̄лльй
12,Nase::N,nina,njuenie
13,Nase::N,nina,njunnje
14,Nase::N,nina,njunni
15,Nase::N,nina,njuṇe
16,Nase::N,nina,njuu´nn
17,Nase::N,nina,нюннҍ
18,Mund::N,suu,njaelmie
19,Mund::N,suu,njálmme
20,Mund::N,suu,njálbmi
21,Mund::N,suu,njälmi
22,Mund::N,suu,njä´lmm
23,Mund::N,suu,ня̄лльм
24,Zahn::N,hammas,baenie
25,Zahn::N,hammas,bádne
26,Zahn::N,hammas,bátni
27,Zahn::N,hammas,pääṇi
28,Zahn::N,hammas,pää´nn
29,Zahn::N,hammas,па̄ннҍ
30,Zunge::N,keel,njoektjeme
31,Zunge::N,keel,njuovtjav
32,Zunge::N,keel,njuovčča
33,Zunge::N,keel,njuovčâ
34,Zunge::N,keel,njuhččâm
35,Zunge::N,keel,нюхчем
36,Lippe::N,huul,bangseme
37,Lippe::N,huul,njálmmerabdda
38,Lippe::N,huul,bavssa
39,Lippe::N,huul,poovsâ
40,Lippe::N,huul,põõus
41,Lippe::N,huul,пэ̄кс
42,Wange::N,põsk,skiehrie
43,Wange::N,põsk,nierra
44,Wange::N,põsk,muohtu
45,Wange::N,põsk,nieṛâ
46,Wange::N,põsk,njiõrr
47,Wange::N,põsk,нӣрр
48,Gesicht::N,nägu,ååredæjja
49,Gesicht::N,nägu,muohto
50,Gesicht::N,nägu,muođut
51,Gesicht::N,nägu,ámadadju
52,Gesicht::N,nägu,muáđuh
53,Gesicht::N,nägu,muâđ
54,Gesicht::N,nägu,ка̄ссв
55,Stirn::N,otsmik,gaalloe
56,Stirn::N,otsmik,gállo
57,Stirn::N,otsmik,gállu
58,Stirn::N,otsmik,kállu
59,Stirn::N,otsmik,käll
60,Stirn::N,otsmik,вуэххьц
61,Haar::N,juus,voepte
62,Haar::N,juus,vuoppta
63,Haar::N,juus,vuokta
64,Haar::N,juus,vuop'tâ
65,Haar::N,juus,vuõpt
66,Haar::N,juus,вӯппт
67,Schnurrbart::N,vurrud,bijjie-skaavtjoe
68,Schnurrbart::N,vurrud,njunjevuolskávttjá
69,Schnurrbart::N,vurrud,seamu
70,Schnurrbart::N,vurrud,siämu
71,Schnurrbart::N,vurrud,ää´bben
72,Schnurrbart::N,vurrud,о̄а̄бпан
73,Schnurrbart::N,vuntsid,bijjie-skaavtjoe
74,Schnurrbart::N,vuntsid,njunjevuolskávttjá
75,Schnurrbart::N,vuntsid,seamu
76,Schnurrbart::N,vuntsid,siämu
77,Schnurrbart::N,vuntsid,ää´bben
78,Schnurrbart::N,vuntsid,о̄а̄бпан
79,Bart::N,habe,skaavtja
80,Bart::N,habe,skaavtjoe
81,Bart::N,habe,skávttjá
82,Bart::N,habe,seamu
83,Bart::N,habe,siämu
