,Concept_ID,az,hy
0,Auge::N,göz,աչք
1,Ohr::N,qulaq,ականջ
2,Nase::N,burun,քիթ
3,Mund::N,ağız,բերան
4,Zahn::N,diş,ատամ
5,Zunge::N,dil,լեզու
6,Lippe::N,dodaq,շրթունք
7,Wange::N,yanaq,այտ
8,Wange::N,yanaq,թուշ
9,Gesicht::N,üz,դեմք
10,Stirn::N,alın,ճակատ
11,Haar::N,saç,մազ
12,Schnurrbart::N,bığ,բեղ
13,Bart::N,saqqal,մորուք
14,Kinn::N,çənə,կզակ
15,Kiefer[Anatomie]::N,çənə,ծնոտ
16,Kehle::N,boğaz,կոկորդ
17,Hals::N,boyun,վիզ
18,Hals::N,boyun,պարանոց
19,Genick::N,ənsə,ծոծրակ
20,Kopf::N,baş,գլուխ
21,Rücken::N,bel,մեջք
22,Bauch::N,qarın,փոր
23,Bauch::N,qarın,որովայն
24,Nabel::N,göbək,պորտ
25,Busen::N,məmə,ծոց
26,Brust::N,döş,կուրծք
27,Schulter::N,çiyin,ուս
28,Arm::N,qol,թեւ
29,Arm::N,qol,բազուկ
30,Ellenbogen::N,dirsək,արմունկ
31,Hand::N,əl,ձեռք
32,Handfläche::N,ovuc,ափ
33,Finger::N,barmaq,մատ
34,Fingernagel::N,barmaq dırnağı,եղունգ
35,Nagel[Anatomie]::N,dırnak,եղունգ
36,Zeh::N,ayaq barmağı,ոտքի մատ
37,Fuß::N,ayaq,ոտք
38,Ferse::N,daban,գարշապար
39,Knie::N,diz,ծունկ
40,Oberschenkel::N,bud,ազդր
41,Bein::N,qıç,ոտք
42,Körper::N,əndam,մարմին
43,Haut::N,dəri,մաշկ
44,Blut::N,qan,արյուն
45,Ader::N,damar,երակ
46,Sehne::N,vətər,ջիղ
47,Sehne::N,vətər,ձգտան
48,Knochen::N,sümük,ոսկոր
49,Gehirn::N,beyin,խելք
50,Herz::N,ürək,սիրտ
51,Magen::N,mədə,ստամոքս
52,Leber::N,qara ciyər,լյարդ
53,Atem::N,nəfəs,շունչ
54,Hunger::N,aclıq,քաղց
55,Träne::N,göz yaşı,արտասուք
56,Geschmack::N,tam,համ
57,Geschmack::N,tam,բուրմունք
58,Geschmack::N,ləzzət,համ
59,Geschmack::N,ləzzət,բուրմունք
60,Geruch::N,qoxu,հոտ
61,Geruch::N,qoxu,բուրում
62,Schlaf::N,yuxu,քուն
63,Traum::N,röya,երազ
64,Himmel::N,göy,երկինք
65,Himmel::N,səma,երկինք
66,Sonne::N,günəş,արեւ
67,Mond::N,ay,լուսին
68,Stern::N,ulduz,աստղ
69,Luft::N,hava,օդ
70,Wind::N,yel,քամի
71,Wind::N,külək,քամի
72,Welle::N,dalğa,ալիք
73,Wasser::N,su,ջուր
74,Stein::N,daş,քար
75,Boden::N,yer,գետին
76,Boden::N,zəmin,գետին
77,Erde::N,yer torpaq,հող
78,Staub::N,toz,փոշի
79,Rauch::N,tüstü,ծուխ
80,Funke::N,qığılcım,կայծ
81,Feuer::N,od,կրակ
82,Feuer::N,od,հրդեհ
83,Licht::N,işıq,լույս
84,Schatten::N,kölgə,ստվեր
85,Wetter::N,hava,եղանակ
86,Nebel::N,duman,մեգ
87,Nebel::N,duman,մառախուղ
88,Wolke::N,bulud,ամպ
89,Regen::N,yağış,անձրև
90,Regen::N,yağmur,անձրև
91,Schnee::N,qar,ձյուն
92,Eis::N,buz,սառույց
93,Frost::N,ayaz,սառնամանիք
94,Kälte::N,soyuq,դող
95,Hitze::N,coşğunluq,շոգ
96,Raureif::N,qırov,ցօղեղեամ
