,Concept_ID,ku,lt
0,Auge::N,çav,akis
1,Ohr::N,guh,ausis
2,Nase::N,bêvil,nosis
3,Mund::N,dev,burna
4,Zahn::N,didan,dantis
5,Zunge::N,ziman,liežuvis
6,Lippe::N,lêv,lūpa
7,Wange::N,dêm,žandas
8,Wange::N,dêm,skruostas
9,Wange::N,hinarik,žandas
10,Wange::N,hinarik,skruostas
11,Gesicht::N,rû,veidas
12,Stirn::N,enî,kakta
13,Haar::N,por,plaukai
14,Schnurrbart::N,simbêl,ūsai
15,Bart::N,rih,barzda
16,Kinn::N,zenî,smakras
17,Kiefer[Anatomie]::N,arguşk,žandikaulis
18,Kehle::N,qirik,gerklė
19,Hals::N,stû,kaklas
20,Hals::N,qirik,kaklas
21,Genick::N,stû,sprandas
22,Kopf::N,serî,galva
23,Rücken::N,pişt,nugara
24,Bauch::N,ûr,pilvas
25,Bauch::N,zik,pilvas
26,Nabel::N,navik,bamba
27,Busen::N,sîng,krūtinė
28,Brust::N,sîng,krūtis
29,Schulter::N,mil,petys
30,Arm::N,çepil,ranka
31,Ellenbogen::N,enîşk,alkūnė
32,Hand::N,dest,ranka
33,Hand::N,dest,plaštaka
34,Handfläche::N,kefadest,delnas
35,Handfläche::N,kefadest,plaštaka
36,Finger::N,tilî,pirštas
37,Fingernagel::N,neynuk,nagas
38,Nagel[Anatomie]::N,bizmar,nagas
39,Zeh::N,tilî linga,pirštas
40,Fuß::N,ling,pėda
41,Ferse::N,pahnî,kulnas
42,Knie::N,kabok,kelis
43,Oberschenkel::N,rahn,kulšis
44,Oberschenkel::N,rahn,šlaunis
45,Bein::N,çip,koja
46,Körper::N,laş,kūnas
47,Körper::N,gowde,kūnas
48,Haut::N,çerm,oda
49,Blut::N,xwîn,kraujas
50,Ader::N,reh,kraujagyslė
51,Sehne::N,reh,sausgyslė
52,Knochen::N,hestî,kaulas
53,Gehirn::N,mêjî,smegenys
54,Herz::N,dil,širdis
55,Magen::N,navêş,skrandis
56,Leber::N,kezeb,kepenys
57,Atem::N,hilm,kvapas
58,Hunger::N,birçîtî,badas
59,Hunger::N,birçîtî,alkis
60,Träne::N,hêstir,ašara
61,Geschmack::N,tam,skonis
62,Geruch::N,bêhn,kvapas
63,Schlaf::N,xew,miegas
64,Traum::N,xewn,sapnas
65,Himmel::N,ezman,dangus
66,Sonne::N,roj,saulė
67,Mond::N,heyv,mėnulis
68,Stern::N,stêrk,žvaigždė
69,Luft::N,ba,oras
70,Wind::N,ba,vėjas
71,Welle::N,şewl,banga
72,Welle::N,şewl,vilnis
73,Wasser::N,av,vanduo
74,Stein::N,kevir,akmuo
75,Boden::N,herd,žemė
76,Boden::N,herd,dugnas
77,Erde::N,ax,žemė
78,Staub::N,toz,dulkės
79,Rauch::N,dû,dūmai
80,Funke::N,çirûşk,kibirkštis
81,Feuer::N,agir,ugnis
82,Licht::N,ronahî,šviesa
83,Schatten::N,sî,paūksmė
84,Wetter::N,hewa,oras
85,Nebel::N,mij,migla
86,Nebel::N,mij,rūkas
87,Wolke::N,ewr,debesis
88,Regen::N,baran,lietus
89,Schnee::N,berf,sniegas
90,Eis::N,qeşa,ledas
91,Frost::N,xûsik,šalna
92,Kälte::N,serma,šaltis
93,Hitze::N,germayî,karštis
94,Raureif::N,şext,šerkšnas
95,Regenbogen::N,heftreng,vaivorykštė
96,Donner::N,gire-gir,perkūnas
97,Donner::N,gire-gir,griaustinis
98,Strömung::N,şewl,tėkmė
99,Tropfen::N,dilop,lašas
100,Schaum::N,kef,putos
101,Schmutz::N,gemar,purvas
102,See::N,gol,ežeras
103,Sumpf::N,hezek,klampynė
104,Sumpf::N,hezek,liūnas
105,Moor::N,mafêl,pelkė
106,Wiese::N,sûrik,pieva
107,Wald::N,çiya,miškas
108,Wald::N,daristan,miškas
109,Hügel::N,gir,kalva
110,Anhöhe::N,sere gir,kauburys
111,Berg::N,kaş,kalnas
112,Gipfel::N,sere gir,viršūnė
113,Höhle::N,şikeft,ola
114,Abhang::N,kaş,šlaitas
115,Abhang::N,kaş,nuokalnė
116,Quelle::N,kanî,versmė
117,Quelle::N,kanî,šaltinis
118,Bach::N,çem,upelis
119,Fluss::N,çem,upė
120,Fluss::N,rûbar,upė
121,Ufer::N,kevî,krantas
122,Küste::N,berav,pajūris
123,Festland::N,bejahî,sausuma
124,Meer::N,behr,jūra
125,Bucht::N,derav,įlanka
126,Bucht::N,derav,užutekis
127,Insel::N,girav,sala
128,Blume::N,kulînk,gėlė
129,Gras::N,giha,žolė
130,Wurzel::N,reh,šaknis
131,Baum::N,dar,medis
132,Stamm::N,bavik,kamienas
133,Rinde::N,qaqil,žievė
134,Ast::N,gulî,šaka
135,Zweig::N,şax,šakelė
136,Blatt::N,pel,lapas
137,Birke::N,dara sipî,beržas
138,Kiefer[Baum]::N,dara bî,pušis
139,Weide[Baum]::N,dara belalûk,karklas
140,Tanne::N,merx,eglė
141,Tanne::N,merx,kėnis
142,Horn::N,strô,ragas
143,Feder::N,pîrtîk,plunksna
144,Fell::N,heyar,kailis
145,Flügel::N,per,sparnas
146,Klaue::N,napîk,kanopa
147,Kralle::N,dinik,nagas
148,Kralle::N,dirnax,nagas
149,Schwanz::N,dûv,uodega
150,Ei::N,hêk,kiaušinis
151,Nest::N,hêlîn,gūžta
152,Nest::N,hêlîn,lizdas
153,Bau::N,avahî,ola
154,Tier::N,heywan,gyvūnas
155,Herde::N,hoz,banda
156,Herde::N,hoz,kaimenė
157,Kuh::N,çêlek,karvė
158,Bulle::N,ga,bulius
159,Pferd::N,hesp,arklys
160,Schaf::N,mîh,avis
161,Schwein::N,beraz,kiaulė
162,Hund::N,seh,šuo
163,Katze::N,pişîk,katė
164,Bär::N,hirç,lokys
165,Eichhörnchen::N,pilûr,voveraitė
166,Elch::N,pazkovî,briedis
167,Fuchs::N,rovî,lapė
168,Hase::N,kîroşk,kiškas
169,Maus::N,mişk,pelė
