,Concept_ID,it,uk
0,Auge::N,occhio,око
1,Ohr::N,orecchio,вухо
2,Nase::N,naso,ніс
3,Mund::N,bocca,рот
4,Zahn::N,dente,зуб
5,Zunge::N,lingua,язик
6,Lippe::N,labbro,губа
7,Wange::N,guancia,щока
8,Gesicht::N,viso,обличчя
9,Gesicht::N,faccia,обличчя
10,Stirn::N,fronte,лоб
11,Haar::N,capello,волосся
12,Schnurrbart::N,baffi,вуса
13,Schnurrbart::N,mustacchi,вуса
14,Bart::N,barba,борода
15,Kinn::N,mento,підборіддя
16,Kiefer[Anatomie]::N,mascella,щелепа
17,Kehle::N,gola,горло
18,Hals::N,collo,шия
19,Genick::N,nuca,потилиця
20,Kopf::N,capo,голова
21,Kopf::N,testa,голова
22,Rücken::N,dorso,спина
23,Rücken::N,schiena,спина
24,Bauch::N,ventre,живіт
25,Nabel::N,ombelico,пупок
26,Busen::N,seno,груди
27,Brust::N,petto,груди
28,Schulter::N,spalla,плече
29,Arm::N,braccio,рука
30,Ellenbogen::N,gomito,лікоть
31,Hand::N,mano,рука
32,Handfläche::N,palma,долоня
33,Finger::N,dito,палець
34,Fingernagel::N,unghia,ніготь
35,Nagel[Anatomie]::N,unghia,ніготь
36,Zeh::N,dito del piede,палець на нозі
37,Fuß::N,piede,нога
38,Ferse::N,tallone,п’ятка
39,Ferse::N,calcagno,п’ятка
40,Knie::N,ginocchio,коліно
41,Oberschenkel::N,fèmore,стегно
42,Bein::N,gamba,нога
43,Körper::N,corpo,тіло
44,Haut::N,pelle,шкіра
45,Blut::N,sangue,кров
46,Ader::N,vena,вена
47,Sehne::N,tèndine,сухожилля
48,Knochen::N,osso,кістка
49,Gehirn::N,cervello,мозок
50,Herz::N,cuore,серце
51,Magen::N,stòmaco,шлунок
52,Leber::N,fegato,печінка
53,Atem::N,fiato,дихання
54,Atem::N,respiro,дихання
55,Hunger::N,fame,голод
56,Träne::N,làcrima,сльоза
57,Geschmack::N,gusto,смак
58,Geschmack::N,sapore,смак
59,Geruch::N,odore,запах
60,Schlaf::N,sonno,сон
61,Schlaf::N,sonno,сплячка
62,Traum::N,sogno,сон
63,Himmel::N,cielo,небо
64,Sonne::N,sole,сонце
65,Mond::N,luna,місяць
66,Stern::N,stella,зірка
67,Luft::N,aria,повітря
68,Wind::N,vento,вітер
69,Welle::N,onda,хвиля
70,Wasser::N,acqua,вода
71,Stein::N,sasso,камінь
72,Stein::N,pietra,камінь
73,Boden::N,suolo,ґрунт
74,Boden::N,terreno,ґрунт
75,Erde::N,terra,земля
76,Staub::N,polvere,пил
77,Rauch::N,fumo,дим
78,Funke::N,scintilla,іскра
79,Feuer::N,fuoco,вогонь
80,Licht::N,luce,світло
81,Schatten::N,ombra,тінь
82,Wetter::N,tempo,погода
83,Nebel::N,nebbia,туман
84,Wolke::N,nube,хмара
85,Wolke::N,nùvola,хмара
86,Regen::N,pioggia,дощ
87,Schnee::N,neve,сніг
88,Eis::N,ghiaccio,лід
89,Frost::N,gelo,мороз
90,Kälte::N,freddo,холод
91,Hitze::N,caldo,жар
92,Hitze::N,calura,жар
93,Raureif::N,brina,іній
94,Regenbogen::N,arcobaleno,райдуга
95,Donner::N,tuono,грім
96,Strömung::N,corrente,струмина
97,Tropfen::N,goccia,крапля
98,Schaum::N,spuma,піна
99,Schaum::N,schiuma,піна
100,Schmutz::N,sudiciume,бруд
101,See::N,lago,озеро
102,Sumpf::N,palude,драговина
103,Moor::N,torbiera,болото
104,Wiese::N,prato,луг
105,Wiese::N,prato,лука
106,Wald::N,bosco,ліс
107,Wald::N,foresta,ліс
108,Hügel::N,colle,горб
109,Hügel::N,collina,горб
110,Anhöhe::N,altura,височина
111,Berg::N,monte,гора
112,Berg::N,montagna,гора
113,Gipfel::N,cima,вершина
114,Höhle::N,grotta,печера
115,Höhle::N,caverna,печера
116,Abhang::N,pendìo,схил
117,Quelle::N,sorgente,джерело
118,Bach::N,ruscello,струмок
119,Fluss::N,fiume,річка
120,Ufer::N,riva,берег
121,Küste::N,costa,узбережжя
122,Festland::N,terraferma,суша
123,Meer::N,mare,море
124,Bucht::N,cala,бухта
125,Bucht::N,cala,затока
126,Insel::N,ìsola,острів
127,Blume::N,fiore,квітка
128,Gras::N,erba,трава
129,Wurzel::N,radice,корінь
130,Baum::N,àlbero,дерево
131,Stamm::N,tronco,стовбур
132,Rinde::N,corteccia,кора
133,Ast::N,ramo,гілка
134,Zweig::N,ramo,галузь
135,Blatt::N,foglia,лист
136,Birke::N,betulla,береза
137,Kiefer[Baum]::N,pino,сосна
138,Weide[Baum]::N,sàlice,верба
139,Tanne::N,abete,ялиця
140,Horn::N,corno,ріг
141,Feder::N,penna,перо
142,Fell::N,manto,хутро
143,Fell::N,pelame,хутро
144,Flügel::N,ala,крило
145,Klaue::N,grinfia,кіготь
146,Kralle::N,unghia,лапа
147,Kralle::N,artiglio,лапа
148,Schwanz::N,coda,хвіст
149,Ei::N,uovo,яйце
150,Nest::N,nido,гніздо
151,Bau::N,covo,лігво
152,Tier::N,bestia,тварина
153,Tier::N,animale,тварина
154,Herde::N,gregge,стадо
155,Kuh::N,vacca,корова
156,Bulle::N,toro,бик
157,Bulle::N,toro,бугай
158,Pferd::N,cavallo,кінь
159,Schaf::N,pècora,вівця
160,Schwein::N,porco,свиня
161,Schwein::N,maiale,свиня
162,Hund::N,cane,собака
163,Katze::N,gatta,кішка
164,Bär::N,orso,ведмідь
165,Eichhörnchen::N,scoiàttolo,білка
166,Elch::N,alce,лось
167,Fuchs::N,volpe,лисиця
168,Hase::N,lepre,заєць
169,Maus::N,topo,миша
170,Maus::N,sorcio,миша
171,Wolf::N,lupo,вовк
172,Vogel::N,uccello,птах
173,Schwarm::N,stormo,зграя
174,Huhn::N,gallina,курка
175,Hahn::N,gallo,півень
176,Gans::N,oca,гуска
177,Adler::N,àquila,орел
178,Ente::N,ànatra,качка
179,Eule::N,gufo,сова
180,Eule::N,civetta,сова
181,Kranich::N,gru,журавель
182,Krähe::N,cornacchia,ворона
183,Kuckuck::N,cuccù,зозуля
184,Kuckuck::N,cùculo,зозуля
185,Schwan::N,cigno,лебідь
186,Fisch::N,pesce,риба
187,Barsch::N,pèrsico,окунь
188,Hecht::N,luccio,щука
189,Schlange[Tier]::N,serpente,змія
190,Wurm::N,baco,черв’як
191,Wurm::N,verme,черв’як
192,Spinne::N,ragno,павук
193,Ameise::N,formica,мурашка
194,Laus::N,pidocchio,воша
195,Mücke::N,zanzara,комар
196,Fliege::N,mosca,муха
197,Schmetterling::N,farfalla,метелик
198,Beere::N,bacca,ягода
199,Apfel::N,mela,яблуко
200,Pilz::N,fungo,гриб
201,Zwiebel::N,cipolla,цибуля
202,Saat::N,semente,сім’я
203,Korn::N,grano,зерно
204,Heu::N,fieno,сіно
205,Schale::N,buccia,шкірка
206,Grube::N,cava,яма
207,Grube::N,fossa,яма
208,Falle::N,tràppola,пастка
209,Schlinge::N,laccio,петля
210,Spur::N,traccia,слід
211,Asche::N,cenere,зола
212,Asche::N,cenere,попіл
213,Dreck::N,fango,бруд
214,Eisen::N,ferro,залізо
215,Gold::N,oro,золото
216,Silber::N,argento,срібло
217,Kohle::N,carbone,вугілля
218,Glas::N,vetro,скло
219,Lehm::N,argilla,глина
220,Sand::N,arena,пісок
221,Sand::N,sabbia,пісок
222,Mensch::N,uomo,людина
223,Mensch::N,èssere umano,людина
224,Mann::N,uomo,чоловік
225,Frau::N,donna,жінка
226,Kind::N,bambino,дитина
227,Junge::N,ragazzo,хлопець
228,Mädchen::N,ragazza,дівчина
229,Familie::N,famiglia,сім’я
230,Familie::N,famiglia,родина
231,Großvater::N,nonno,дідусь
232,Großmutter::N,nonna,бабуся
233,Eltern::N,genitori,батьки
234,Vater::N,padre,батько
235,Mutter::N,madre,мати
236,Sohn::N,figlio,син
237,Tochter::N,figlia,дочка
238,Bruder::N,fratello,брат
239,Schwester::N,sorella,сестра
240,Onkel::N,zio,дядько
241,Tante::N,zia,тітка
242,Ehemann::N,marito,чоловік
243,Ehefrau::N,moglie,жінка
244,Ehefrau::N,moglie,дружина
245,Freude::N,gioia,радощі
246,Freude::N,piacere,радощі
247,Gelächter::N,risata,сміх
248,Glück::N,felicità,щастя
249,Kummer::N,afflizione,горе
250,Wunsch::N,desiderio,бажання
251,Lust::N,voglia,бажання
252,Geist::N,mente,дух
253,Geist::N,spìrito,дух
254,Gedanke::N,idea,думка
255,Gedanke::N,pensiero,думка
256,Gedächtnis::N,memoria,пам’ять
257,Verstand::N,intelletto,розум
258,Sinn::N,senso,зміст
259,Sinn::N,senso,значення
260,Sinn::N,significato,зміст
261,Sinn::N,significato,значення
262,Grund::N,causa,причина
263,Grund::N,motivo,причина
264,Grund::N,ragione,причина
265,Wahrheit::N,verità,правда
266,Gespräch::N,discorso,розмова
267,Gespräch::N,conversazione,розмова
268,Märchen::N,fiaba,байка
269,Märchen::N,fàvola,байка
270,Erzählung::N,racconto,повість
271,Erzählung::N,racconto,оповідання
272,Erzählung::N,narrazione,повість
273,Erzählung::N,narrazione,оповідання
274,Nachricht::N,messaggio,повідомлення
275,Neuigkeit::N,notizia,новина
276,Name::N,nome,ім’я
277,Rätsel::N,indovinello,загадка
278,Rede::N,discorso,промова
279,Sprache::N,lingua,мова
280,Sprache::N,linguaggio,мова
281,Stimme::N,voce,голос
282,Wort::N,parola,слово
283,Zeichen::N,segno,знак
284,Zeichen::N,segnale,знак
285,Ruf::N,chiamata,оклик
286,Lärm::N,chiasso,шум
287,Lärm::N,strèpito,шум
288,Laut::N,suono,звук
289,Ton::N,tono,тон
290,Lied::N,canto,пісня
291,Lied::N,canzone,пісня
292,Ruhe::N,calma,спокій
293,Ruhe::N,tranquillità,спокій
294,Leute::N,gente,люди
295,Volk::N,pòpolo,народ
296,Arbeit::N,lavoro,робота
297,Gast::N,òspite,гість
298,Gast::N,invitato,гість
299,Geschenk::N,regalo,подарунок
300,Spiel::N,gioco,гра
301,Gesellschaft::N,compagnìa,товариство
302,Hilfe::N,aiuto,допомога
303,Hilfe::N,soccorso,допомога
304,Freund::N,amico,друг
305,Freund::N,amico,приятель
306,Kamerad::N,camerata,товариш
307,Angelegenheit::N,affare,справа
308,Angelegenheit::N,faccenda,справа
309,Anzahl::N,nùmero,число
310,Anzahl::N,quantità,число
311,Art::N,tipo,рід
312,Art::N,specie,рід
313,Stück::N,pezzo,кусок
314,Teil::N,parte,частина
315,Hälfte::N,metà,половина
316,Kreis::N,cìrcolo,круг
317,Kreis::N,cìrcolo,коло
318,Kreuz::N,croce,хрест
319,Linie::N,lìnea,лінія
320,Strich::N,tratto,штрих
321,Abstand::N,distanza,проміжок
322,Entfernung::N,distanza,відстань
323,Entfernung::N,lontananza,відстань
324,Gegend::N,regione,місцевість
325,Platz::N,posto,площа
326,Platz::N,spazio,площа
327,Ort::N,luogo,місце
328,Ort::N,località,місце
329,Seite::N,lato,сторона
330,Seite::N,parte,сторона
331,Mitte::N,mezzo,середина
332,Mitte::N,centro,середина
333,Gegenstand::N,oggetto,предмет
334,Sache::N,cosa,річ
335,Rand::N,orlo,край
336,Rand::N,bordo,край
337,Kante::N,spìgolo,ребро
338,Ecke::N,canto,ріг
339,Spitze::N,punta,кінчик
340,Ende::N,capo,кінець
341,Ende::N,estremità,кінець
342,Loch::N,buco,діра
343,Winkel::N,àngolo,куток
