,Concept_ID,et,sk
0,Auge::N,silm,oko
1,Ohr::N,kõrv,ucho
2,Nase::N,nina,nos
3,Mund::N,suu,ústa
4,Zahn::N,hammas,zub
5,Zunge::N,keel,jazyk
6,Lippe::N,huul,pera
7,Wange::N,põsk,líce
8,Gesicht::N,nägu,tvár
9,Gesicht::N,nägu,obličaj
10,Stirn::N,otsmik,čelo
11,Haar::N,juus,vlas
12,Schnurrbart::N,vurrud,fúzy
13,Schnurrbart::N,vuntsid,fúzy
14,Bart::N,habe,brada
15,Kinn::N,lõug,brada
16,Kiefer[Anatomie]::N,lõualuu,čeľusť
17,Kehle::N,kõri,hrdlo
18,Hals::N,kael,krk
19,Genick::N,kukal,väzy
20,Kopf::N,pea,hlava
21,Rücken::N,selg,chrbát
22,Bauch::N,kõht,brucho
23,Nabel::N,naba,pupok
24,Busen::N,rind,prsia
25,Brust::N,rind,hruď
26,Schulter::N,õlg,plece
27,Arm::N,käsivars,rameno
28,Ellenbogen::N,küünarnukk,lakeť
29,Hand::N,käsi,ruka
30,Handfläche::N,pihk,dlaň
31,Finger::N,sõrm,prst
32,Fingernagel::N,küüs,necht
33,Nagel[Anatomie]::N,küüs,necht
34,Zeh::N,varvas,prst na nohe
35,Fuß::N,jalg,noha
36,Ferse::N,kand,päta
37,Knie::N,põlv,koleno
38,Oberschenkel::N,reis,stehno
39,Bein::N,jalg,noha
40,Körper::N,ihu,telo
41,Körper::N,keha,telo
42,Haut::N,nahk,koža
43,Blut::N,veri,krv
44,Ader::N,veen,žila
45,Sehne::N,kõõlus,šľacha
46,Knochen::N,luu,kosť
47,Gehirn::N,aju,mozog
48,Herz::N,süda,srdce
49,Magen::N,magu,žalúdok
50,Leber::N,maks,pečeň
51,Atem::N,hingeõhk,dych
52,Atem::N,hingamine,dych
53,Hunger::N,nälg,hlad
54,Träne::N,pisar,slza
55,Geschmack::N,maitse,chuť
56,Geruch::N,lõhn,pach
57,Schlaf::N,uni,spánok
58,Traum::N,unenägu,sen
59,Himmel::N,taevas,nebo
60,Sonne::N,päike,slnko
61,Mond::N,kuu,mesiac
62,Stern::N,täht,hviezda
63,Luft::N,õhk,vzduch
64,Wind::N,tuul,vietor
65,Welle::N,laine,vlna
66,Wasser::N,vesi,voda
67,Stein::N,kivi,kameň
68,Boden::N,maa,zem
69,Boden::N,maa,pôda
70,Boden::N,pinnas,zem
71,Boden::N,pinnas,pôda
72,Erde::N,maa,zem
73,Staub::N,põrm,prach
74,Rauch::N,suits,dym
75,Funke::N,säde,iskra
76,Feuer::N,tuli,oheň
77,Licht::N,valgus,svetlo
78,Schatten::N,vari,tieň
79,Wetter::N,ilm,počasie
80,Nebel::N,udu,hmla
81,Wolke::N,pilv,oblak
82,Wolke::N,pilv,mračno
83,Regen::N,sadu,dážď
84,Schnee::N,lumi,sneh
85,Eis::N,jää,ľad
86,Frost::N,pakane,mráz
87,Kälte::N,külm,zima
88,Kälte::N,külm,chlad
89,Kälte::N,külmus,zima
90,Kälte::N,külmus,chlad
91,Hitze::N,kuumus,horúčava
92,Hitze::N,palavus,horúčava
93,Raureif::N,härmatis,srieň
94,Raureif::N,härmatis,inovať
95,Regenbogen::N,vikerkaar,dúha
96,Donner::N,kõu,hrom
97,Donner::N,müristamine,hrom
98,Strömung::N,voolus,prúdenie
99,Strömung::N,jõevool,prúdenie
100,Tropfen::N,tilk,kvapka
101,Schaum::N,vaht,pena
102,Schmutz::N,pori,špina
103,Schmutz::N,pori,nečistota
104,Schmutz::N,mustus,špina
105,Schmutz::N,mustus,nečistota
106,See::N,järv,jazero
107,Sumpf::N,soo,bahno
108,Moor::N,raba,močiar
109,Wiese::N,aas,lúka
110,Wiese::N,nurm,lúka
111,Wald::N,mets,les
112,Wald::N,mets,hora
113,Hügel::N,küngas,vŕšok
114,Anhöhe::N,küngas,výšina
115,Anhöhe::N,küngas,vyvýšenina
116,Berg::N,mägi,hora
117,Gipfel::N,mäetipp,vrchol
118,Höhle::N,koobas,jaskyňa
119,Abhang::N,nõlvak,úbočie
120,Quelle::N,allikas,prameň
121,Bach::N,oja,potok
122,Fluss::N,jõgi,rieka
123,Ufer::N,kallas,breh
124,Küste::N,rannik,pobrežie
125,Festland::N,mander,pevnina
126,Festland::N,maismaa,pevnina
127,Meer::N,meri,more
128,Bucht::N,laht,záliv
129,Bucht::N,laht,zátoka
130,Insel::N,saar,ostrov
131,Blume::N,lill,kvet
132,Blume::N,lill,kvetina
133,Gras::N,rohi,tráva
134,Wurzel::N,juur,koreň
135,Baum::N,puu,strom
136,Stamm::N,tüvi,kmeň
137,Rinde::N,koor,kôra
138,Ast::N,oks,konár
139,Zweig::N,oks,vetva
140,Blatt::N,leht,list
141,Birke::N,kask,breza
142,Kiefer[Baum]::N,mänd,sosna
143,Kiefer[Baum]::N,mänd,borovica
144,Weide[Baum]::N,paju,vŕba
145,Tanne::N,nulg,jedľa
146,Horn::N,sarv,roh
147,Feder::N,sulg,pero
148,Fell::N,karvkate,koža
149,Fell::N,karvkate,kožušina
150,Fell::N,karusnahk,koža
151,Fell::N,karusnahk,kožušina
152,Flügel::N,tiib,krídlo
153,Flügel::N,tiivik,krídlo
154,Klaue::N,küüs,paznecht
155,Kralle::N,küünis,pazúr
156,Schwanz::N,saba,chvost
157,Ei::N,muna,vajce
158,Ei::N,muna,vajíčko
159,Nest::N,pesa,hniezdo
160,Bau::N,urg,nora
161,Tier::N,loom,zviera
162,Herde::N,kari,stádo
163,Kuh::N,lehm,krava
164,Bulle::N,pull,býk
165,Pferd::N,hobune,kôň
166,Schaf::N,lammas,ovca
167,Schwein::N,siga,sviňa
168,Hund::N,koer,pes
169,Katze::N,kass,mačka
170,Bär::N,karu,medveď
171,Eichhörnchen::N,orav,veverička
172,Elch::N,põder,los
173,Fuchs::N,rebane,líška
174,Hase::N,jänes,zajac
175,Maus::N,hiir,myš
176,Wolf::N,hunt,vlk
177,Vogel::N,lind,vták
178,Schwarm::N,parv,roj
179,Huhn::N,kana,kurča
180,Huhn::N,kana,sliepka
181,Hahn::N,kukk,kohút
182,Gans::N,hani,hus
183,Adler::N,kotkas,orol
184,Ente::N,part,kačka
185,Ente::N,part,kačica
186,Eule::N,kakk,sova
187,Eule::N,öökull,sova
188,Kranich::N,kurg,žeriav
189,Krähe::N,vares,vrana
190,Kuckuck::N,kägu,kukučka
191,Schwan::N,luik,labuť
192,Fisch::N,kala,ryba
193,Barsch::N,ahven,ostriež
194,Hecht::N,haug,šťuka
195,Schlange[Tier]::N,uss,had
196,Wurm::N,uss,červ
197,Wurm::N,vagel,červ
198,Spinne::N,ämblik,pavúk
199,Ameise::N,sipelgas,mravec
200,Laus::N,täi,voš
201,Mücke::N,sääsk,komár
202,Fliege::N,kärbes,mucha
203,Schmetterling::N,liblikas,motýľ
204,Beere::N,mari,bobuľa
205,Apfel::N,õun,jablko
206,Pilz::N,seen,hríb
207,Zwiebel::N,sibul,cibuľa
208,Saat::N,seeme,osivo
209,Korn::N,iva,zrno
210,Korn::N,tera,zrno
211,Heu::N,hein,seno
212,Schale::N,koor,šupa
213,Schale::N,koor,škrupina
214,Grube::N,kaevand,jama
215,Falle::N,lõks,pasca
216,Falle::N,lõks,klepec
217,Falle::N,püünis,pasca
218,Falle::N,püünis,klepec
219,Schlinge::N,aas,slučka
220,Spur::N,jälg,stopa
221,Asche::N,tuhk,popol
222,Dreck::N,saast,kal
223,Dreck::N,saast,blato
224,Dreck::N,mustus,kal
225,Dreck::N,mustus,blato
226,Eisen::N,raud,železo
227,Gold::N,kuld,zlato
