,Concept_ID,av,sah
0,Ohr::N,гӏин,кулгаах
1,Nase::N,мегӏер,мурун
2,Mund::N,кӏал,айах
3,Zahn::N,гӏус,тиис
4,Zunge::N,мацӏ,тыл
5,Lippe::N,кӏветӏ,уос
6,Wange::N,гӏоно,иэдэс
7,Gesicht::N,гьумер,сирэй
8,Stirn::N,нодо,сүүс
9,Haar::N,рас,баттах
10,Schnurrbart::N,михъ,уос бытыга
11,Bart::N,мегеж,сэҥийэ бытыга
12,Kinn::N,нилъу,сэҥийэ
13,Kiefer[Anatomie]::N,чанагъ,сыҥаах
14,Kehle::N,щекъер,тамах
15,Kehle::N,щекъер,күөмэй
16,Hals::N,габур,моой
17,Genick::N,гъванща,кэтэх
18,Kopf::N,бетӏер,бас
19,Rücken::N,мугъ,көҕүс
20,Bauch::N,чехь,ис
21,Nabel::N,цӏину,киин
22,Busen::N,керен,эмиий
23,Brust::N,керен,түөс
24,Schulter::N,гъажазубетӏер,сарын
25,Arm::N,гъеж,илии
26,Ellenbogen::N,гӏункӏрукь,тоҕонох
27,Hand::N,квер,илии
28,Handfläche::N,огъохъат,ытыс
29,Handfläche::N,жанисахъат,ытыс
30,Finger::N,килищ,тарбах
31,Fingernagel::N,малъ,тыҥырах
32,Nagel[Anatomie]::N,малъ,тыҥырах
33,Zeh::N,килищ,тарбах
34,Fuß::N,хӏетӏ,уллуҥах
35,Fuß::N,хӏетӏе,уллуҥах
36,Ferse::N,эгъе,тилэх
37,Knie::N,наку,тобук
38,Knie::N,наку,дьилбэк
39,Oberschenkel::N,мачӏ,уллук
40,Oberschenkel::N,мачӏ,өттүк
41,Bein::N,бох,атах
42,Körper::N,къаркъала,бэйэ
43,Haut::N,тӏом,тирии
44,Blut::N,би,хаан
45,Ader::N,бидурихь,вена
46,Ader::N,бидурихь,күөх_тымыр
47,Knochen::N,ракьа,уҥуох
48,Knochen::N,ракьа,уҥгуох
49,Gehirn::N,гӏадалнах,мэйии
50,Herz::N,ракӏ,сүрэх
51,Magen::N,кванирукъ,куртах
52,Leber::N,тӏул,быар
53,Atem::N,хӏухь,тыын
54,Hunger::N,ракъи,аас
55,Träne::N,магӏу,харах уута
56,Geschmack::N,тату,амтан
57,Geruch::N,махӏ,сыт
58,Schlaf::N,макьу,утуйуу
59,Traum::N,макьу,түүл
60,Himmel::N,зоб,халлаан
61,Sonne::N,бакъ,күн
62,Mond::N,моцӏ,ый
63,Stern::N,цӏва,сулус
64,Luft::N,гьава,салгын
65,Wind::N,гьури,тыал
66,Welle::N,карачел,долгун
