,Concept_ID,ml,fr
0,Auge::N,കണ്ണ്,œil
1,Ohr::N,ചെവി,oreille
2,Nase::N,മൂക്ക്,nez
3,Mund::N,വായ,bouche
4,Zahn::N,പല്ല്,dent
5,Zunge::N,നാക്ക്,langue
6,Lippe::N,ചുണ്ട്,lèvre
7,Wange::N,കവിൾത്തടം,joue
8,Gesicht::N,മുഖം,face
9,Gesicht::N,മുഖം,visage
10,Stirn::N,നെറ്റി,front
11,Haar::N,തലമുടി,cheveu
12,Schnurrbart::N,മീശ,moustache
13,Bart::N,താടിരോമം,barbe
14,Kinn::N,താടി,menton
15,Kiefer[Anatomie]::N,താടിയെല്ല്,mâchoire
16,Kehle::N,കണ്ഠനാളം,gorge
17,Hals::N,കഴുത്ത്,cou
18,Genick::N,പിടലി,nuque
19,Kopf::N,തല,tête
20,Rücken::N,മുതുക്,dos
21,Bauch::N,നയറ്,ventre
22,Nabel::N,നാഭി,nombril
23,Busen::N,സ്തനം,sein
24,Brust::N,സ്തനം,poitrine
25,Schulter::N,തോൾ,épaule
26,Arm::N,കൈ,bras
27,Ellenbogen::N,കൈമുട്ട്,coude
28,Hand::N,കൈ,main
29,Handfläche::N,ഉള്ളം കൈ,paume
30,Finger::N,വിരൽ,doigt
31,Fingernagel::N,നഖം,ongle
32,Nagel[Anatomie]::N,നഖം,ongle
33,Zeh::N,കാൽവിരൽ,orteil
34,Zeh::N,കാൽവിരൽ,doigt de pied
35,Fuß::N,കാൽപ്പാദം,pied
36,Ferse::N,ഉപ്പൂറ്റി,talon
37,Knie::N,കാൽമുട്ട്,genou
38,Oberschenkel::N,തുട,cuisse
39,Bein::N,കാൽ,jambe
40,Körper::N,ശരീരം,corps
41,Haut::N,ചർമ്മം,peau
42,Blut::N,രക്തം,sang
43,Ader::N,ഞരമ്പ്,veine
44,Sehne::N,സ്നായു,tendon
45,Knochen::N,അസ്ഥി,os
46,Gehirn::N,തലച്ചോറ്,cerveau
47,Herz::N,ഹൃദയം,cœur
48,Magen::N,വയർ,estomac
49,Leber::N,കരൾ,foie
50,Atem::N,ശ്വാസം,haleine
51,Hunger::N,വിശപ്പ്,faim
52,Träne::N,കണ്ണീർ,larme
53,Geschmack::N,രുചി,goût
54,Geschmack::N,രുചി,saveur
55,Geruch::N,ഗന്ധം,odeur
56,Schlaf::N,ഉറകും,sommeil
57,Traum::N,സ്വപ്നം,songe
58,Himmel::N,ആകാശം,ciel
59,Sonne::N,സൂര്യൻ,soleil
60,Mond::N,ചന്ദ്രൻ,lune
61,Stern::N,നക്ഷത്രം,étoile
62,Luft::N,കാറ്റ്,air
63,Wind::N,കാറ്റ്,vent
64,Welle::N,തിരമാല,vague
65,Wasser::N,വെള്ളം,eau
66,Stein::N,ശില,pierre
67,Stein::N,കല്ല്,pierre
68,Boden::N,തറ,sol
69,Boden::N,തറ,terrain
70,Boden::N,നിലം,sol
71,Boden::N,നിലം,terrain
72,Erde::N,മണ്ണ്,terre
73,Staub::N,പൊടി,poussière
74,Rauch::N,പുക,fumée
75,Funke::N,തീപ്പൊരി,étincelle
76,Feuer::N,തീ,feu
77,Licht::N,വിളക്ക്,lumière
78,Licht::N,സൂര്യപ്രകാശം,lumière
79,Schatten::N,തണൽ,ombre
80,Wetter::N,കാലാവസ്ഥ,temps
81,Nebel::N,മൂടൽമഞ്ഞ്,brume
82,Nebel::N,മൂടൽമഞ്ഞ്,brouillard
83,Wolke::N,മേഘം,nuage
84,Regen::N,മഴ,pluie
85,Schnee::N,മഞ്ഞ്,neige
86,Eis::N,ഐസ്,glace
87,Frost::N,മൂടൽമഞ്ഞ്,gel
88,Frost::N,മൂടൽമഞ്ഞ്,gelée
89,Kälte::N,തണുപ്പ്,froid
90,Hitze::N,ചൂട്,chaleur
91,Raureif::N,കോടമഞ്ഞ്,givre
92,Regenbogen::N,മഴവില്ല്,arc-en-ciel
93,Donner::N,ഇടി,tonnerre
94,Strömung::N,പ്രവാഹം,courant
95,Tropfen::N,തുള്ളി,goutte
96,Schaum::N,നുര,écume
97,Schaum::N,നുര,mousse
98,Schmutz::N,അഴുക്ക്,boue
99,Schmutz::N,അഴുക്ക്,saleté
100,See::N,തടാകം,lac
101,Sumpf::N,ചതുപ്പുനിലം,marais
102,Sumpf::N,ചതുപ്പുനിലം,marécage
103,Moor::N,പാഴ്നിലം,tourbière
104,Wiese::N,പുൽത്തകിടി,pré
105,Wald::N,വനം,bois
106,Wald::N,വനം,forêt
107,Wald::N,കാട്,bois
108,Wald::N,കാട്,forêt
109,Hügel::N,കുന്ന്,coteau
110,Hügel::N,കുന്ന്,colline
111,Anhöhe::N,ഉയർന്ന ഭൂമി,éminence
112,Anhöhe::N,ഉയർന്ന ഭൂമി,élévation
113,Berg::N,പർവ്വതം,mont
114,Berg::N,പർവ്വതം,montagne
115,Gipfel::N,ഉച്ചകോടി,cime
116,Gipfel::N,ഉച്ചകോടി,sommet
117,Höhle::N,ഗുഹ,caverne
118,Abhang::N,ചരിവ്,pente
119,Abhang::N,ചരിവ്,versant
120,Quelle::N,ഉറവിടം,source
121,Quelle::N,ഉറവിടം,fontaine
122,Bach::N,അരുവി,ruisseau
123,Fluss::N,നദി,fleuve
124,Fluss::N,നദി,rivière
125,Ufer::N,തീരം,bord
126,Ufer::N,തീരം,rivage
127,Küste::N,കടൽത്തീരം,côte
128,Festland::N,കര,terre ferme
129,Meer::N,കടൽ,mer
130,Bucht::N,ഉൾക്കടല്,baie
131,Insel::N,ദ്വീപ്,île
132,Blume::N,പൂവ്,fleur
133,Gras::N,പുല്ല്,herbe
134,Wurzel::N,വേര്,racine
135,Baum::N,മരം,arbre
136,Stamm::N,തായ്ത്തടി,tronc
137,Rinde::N,പട്ട,écorce
138,Ast::N,ശാഖ,branche
139,Zweig::N,ശാഖ,rameau
140,Blatt::N,ഇല,feuille
141,Birke::N,പൂവരശ്,bouleau
142,Kiefer[Baum]::N,പൈൻമരം,pin
143,Weide[Baum]::N,വില്ലോ,saule
144,Tanne::N,ദേവദാരു,sapin
145,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,corne
146,Feder::N,തൂവൽ,plume
147,Fell::N,മൃദുരോമം,peau
148,Flügel::N,ചിറക്,aile
149,Klaue::N,നഖം,serre
150,Kralle::N,നഖം,ongle
151,Kralle::N,നഖം,griffe
152,Schwanz::N,വാൽ,queue
153,Ei::N,മുട്ട,œuf
154,Nest::N,കൂട്,nid
155,Bau::N,മാളം,terrier
156,Tier::N,മൃഗം,animal
157,Herde::N,കൂട്ടം,troupeau
158,Kuh::N,പശു,vache
159,Bulle::N,കാള,taureau
160,Pferd::N,കുതിര,cheval
161,Schaf::N,ആട്,mouton
162,Schwein::N,പന്നി,porc
163,Schwein::N,പന്നി,cochon
164,Hund::N,നായ്,chien
165,Katze::N,പൂച്ച,chat
166,Bär::N,കരടി,ours
167,Eichhörnchen::N,അണ്ണാൻ,écureuil
168,Elch::N,കടമാന്,élan
169,Fuchs::N,കുറുക്കൻ,renard
170,Hase::N,മുയൽ,lièvre
171,Maus::N,ചുണ്ടലി,souris
172,Wolf::N,ചെന്നായ,loup
173,Vogel::N,പക്ഷി,oiseau
174,Schwarm::N,കൂട്ടം,nuée
175,Schwarm::N,കൂട്ടം,volée
176,Huhn::N,കോഴി,poule
