,Concept_ID,ba,nl
0,Auge::N,күҙ,oog
1,Ohr::N,ҡолаҡ,oor
2,Nase::N,танау,neus
3,Mund::N,ауыҙ,mond
4,Zahn::N,теш,tand
5,Zunge::N,тел,tong
6,Lippe::N,ирен,lip
7,Wange::N,яцаҡтар,wang
8,Gesicht::N,бит,gelaat
9,Gesicht::N,бит,gezicht
10,Stirn::N,маңлай,voorhoofd
11,Haar::N,сәс,haar
12,Schnurrbart::N,мылтыҡ,snor
13,Bart::N,һаҡал,baard
14,Kinn::N,эйэк,kin
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,kaak
16,Kehle::N,тамаҡ,keel
17,Kehle::N,тамаҡ,strot
18,Hals::N,муйын,hals
19,Genick::N,соңҡа,nek
20,Kopf::N,баш,hoofd
21,Rücken::N,арҡа,rug
22,Bauch::N,ҡорһаҡ,buik
23,Nabel::N,кендек,navel
24,Busen::N,күкрәк,boezem
25,Brust::N,түш,borst
26,Schulter::N,яурын,schouder
27,Arm::N,ҡул,arm
28,Ellenbogen::N,терһәк,elleboog
29,Hand::N,ҡул,hand
30,Hand::N,ҡул суғы,hand
31,Handfläche::N,ус төбө,handpalm
32,Finger::N,бармаҡ,vinger
33,Fingernagel::N,тырнаҡ,nagel
34,Nagel[Anatomie]::N,тырнаҡ,nagel
35,Zeh::N,бармаҡ,teen
36,Fuß::N,табан,voet
37,Ferse::N,үксә,hak
38,Ferse::N,үксә,hiel
39,Knie::N,тубыҡ,knie
40,Oberschenkel::N,сандыр,dij
41,Bein::N,аяҡ,been
42,Körper::N,тән,lichaam
43,Haut::N,тире,huid
44,Blut::N,ҡан,bloed
45,Ader::N,тамыр,ader
46,Sehne::N,һеңер,pees
47,Sehne::N,тарамыш,pees
48,Knochen::N,һойәк,bot
49,Knochen::N,һойәк,been
50,Knochen::N,һойәк,knook
51,Gehirn::N,мейе,hersenen
52,Herz::N,йорәк,hart
53,Magen::N,ашҡаҙан,maag
54,Leber::N,бауыр,lever
55,Atem::N,һулыш,adem
56,Hunger::N,аслыҡ,honger
57,Träne::N,күҙ иәше,traan
58,Geschmack::N,тәм,smaak
59,Geruch::N,еҫ,geur
60,Schlaf::N,йоҡлау,slaap
61,Traum::N,төш,droom
62,Himmel::N,күк,hemel
63,Sonne::N,ҡояш,zon
64,Mond::N,ай,maan
65,Stern::N,йондоҙ,ster
66,Luft::N,һауа,lucht
67,Wind::N,ел,wind
68,Welle::N,тулҡын,golf
69,Wasser::N,һыу,water
