,Concept_ID,ar,bg
0,Auge::N,عين,око
1,Ohr::N,أذن,ухо
2,Nase::N,أنف,нос
3,Mund::N,فم,уста
4,Zahn::N,سن,зъб
5,Zunge::N,لسان,език
6,Lippe::N,شفة,устна
7,Wange::N,خد,буза
8,Wange::N,وجنة,буза
9,Gesicht::N,وجه,лице
10,Gesicht::N,وجه,образ
11,Stirn::N,جبين,чело
12,Haar::N,شعر,коса
13,Haar::N,شعر,косъм
14,Schnurrbart::N,شارب,мустаци
15,Bart::N,لحية,брада
16,Kinn::N,ذقن,брада
17,Kinn::N,ذقن,брадичка
18,Kiefer[Anatomie]::N,فك,челюст
19,Kehle::N,حلق,гърло
20,Hals::N,عنق,врат
21,Hals::N,رقبة,врат
22,Genick::N,قفا,тил
23,Kopf::N,رأس,глава
24,Rücken::N,ظهر,гръб
25,Bauch::N,بطن,корем
26,Nabel::N,سرة,пъп
27,Busen::N,ثدي,бозка
28,Brust::N,صدر,гръд
29,Schulter::N,كتف,рамо
30,Schulter::N,كتف,плещи
31,Arm::N,ذراع,ръка
32,Ellenbogen::N,كوع,лакът
33,Hand::N,يد,ръка
34,Hand::N,يد,китка
35,Handfläche::N,كف,длан
36,Finger::N,إصبع,пръст
37,Fingernagel::N,ظفر,нокът
38,Nagel[Anatomie]::N,ظفر,нокът
39,Zeh::N,إصبع القدم,пръст на крак
40,Fuß::N,قدم,крак
41,Fuß::N,قدم,нога
42,Ferse::N,كعب,пета
43,Knie::N,ركبة,коляно
44,Oberschenkel::N,فخذ,бедро
45,Bein::N,ساق,крак
46,Bein::N,ساق,нога
47,Körper::N,جسم,тяло
48,Haut::N,بشرة,кожа
49,Blut::N,دم,кръв
50,Ader::N,عرق,вена
51,Ader::N,عرق,артерия
52,Sehne::N,طنب,жила
53,Sehne::N,طنب,сухожилие
54,Knochen::N,عظم,кост
55,Gehirn::N,دماغ,мозък
56,Herz::N,قلب,сърце
57,Magen::N,معدة,стомах
58,Leber::N,كبد,черен дроб
