,Concept_ID,la,xal
0,Auge::N,oculus,нүдн
1,Ohr::N,auris,чикн
2,Nase::N,nasus,хамр
3,Mund::N,os,амн
4,Zahn::N,dens,шүдн
5,Zunge::N,lingua,келн
6,Lippe::N,labrum,урл
7,Wange::N,gena,халх
8,Gesicht::N,vultus,нүр
9,Stirn::N,frons,маңна
10,Haar::N,capillus,үсн
11,Schnurrbart::N,barba labri superioris,сахл
12,Bart::N,barba,сахл
13,Bart::N,barba,өргнә сахл
14,Kinn::N,mentum,өргн
15,Kiefer[Anatomie]::N,mala,өргн
16,Kehle::N,iugulums,хол
17,Hals::N,collum,күзүн
18,Genick::N,cervices,гиҗг
19,Kopf::N,caput,толһа
20,Rücken::N,tergum,нурһн
21,Bauch::N,venter,гесн
22,Nabel::N,umbilicus,киисн
23,Busen::N,sinus,көкн
24,Brust::N,pectus,чееҗ
25,Schulter::N,umerus,ээм
26,Arm::N,bracchium,һар
27,Ellenbogen::N,cubitum,тоха
28,Hand::N,manus,баһлцг
29,Handfläche::N,palma,альхн
30,Finger::N,digitus,хурһн
31,Finger::N,digitus,һарин хурһн
32,Fingernagel::N,unguiculus,хумсн
33,Nagel[Anatomie]::N,unguis,хумсн
34,Zeh::N,digitus,хурһн
35,Zeh::N,digitus,көлин хурһн
36,Fuß::N,pes,тавг
37,Ferse::N,calx,өскә
38,Knie::N,genu,өвдг
39,Oberschenkel::N,femur,һуй
40,Bein::N,crus,көл
41,Körper::N,corpus,махмуд
42,Haut::N,cutis,арсн
43,Haut::N,pellis,арсн
44,Blut::N,sanguis,цусн
45,Ader::N,vena,судцн
46,Sehne::N,nervus,шүрүсн
47,Knochen::N,os,ясн
48,Gehirn::N,cerebrum,экн
49,Herz::N,cor,зүркн
50,Herz::N,animus,зүркн
51,Magen::N,stomachus,гесн
52,Leber::N,iecur,элкн
53,Atem::N,spiritus,әмсхл
54,Hunger::N,fames,харһнлһн
55,Träne::N,lacrima,нульмсн
56,Geschmack::N,sapor,амтн
57,Geschmack::N,gustus,амтн
58,Geruch::N,odor,үнр
59,Schlaf::N,somnus,нөр
60,Traum::N,somnium,зүүдн
61,Himmel::N,caelum,теңгр
62,Sonne::N,sol,нарн
63,Mond::N,luna,сар
64,Stern::N,sidus,одн
65,Stern::N,stella,одн
66,Luft::N,aer,аһар
67,Wind::N,ventus,салькн
68,Welle::N,unda,дольган
69,Wasser::N,aqua,усн
70,Stein::N,lapis,чолун
71,Boden::N,solum,Һазр
72,Erde::N,terra,Һазр
73,Staub::N,pulvis,тоосн
74,Rauch::N,fumus,утан
75,Funke::N,scintilla,очн
76,Feuer::N,ignis,һал
77,Licht::N,lux,герл
78,Licht::N,lumen,герл
79,Schatten::N,umbra,сүүдр
80,Wetter::N,caelum,теңгр
81,Wetter::N,tempestas,теңгр
82,Nebel::N,nebula,будн
83,Wolke::N,nubes,үүлн
84,Regen::N,imber,хур
85,Regen::N,pluvia,хур
86,Schnee::N,nix,цасн
87,Eis::N,glacies,мөсн
88,Frost::N,gelu,киитн
89,Kälte::N,frigus,киитн
90,Hitze::N,calor,халун
91,Hitze::N,aestus,халун
92,Raureif::N,pruina,цаң
93,Raureif::N,pruina,кирү
94,Regenbogen::N,arcus,солңһ
95,Donner::N,tonitrus,оһтрһун дун
96,Strömung::N,fluctus,урсхл
97,Tropfen::N,gutta,дусал
98,Schaum::N,spuma,көөсн
99,Schmutz::N,sordes,кир
100,Schmutz::N,squalor,кир
101,See::N,lacus,нур
102,Sumpf::N,palus,унул
103,Moor::N,palus,улм
104,Wiese::N,pratum,хадлһн
105,Wald::N,silva,ө-модн
106,Hügel::N,collis,толһа
107,Anhöhe::N,specula,хамр
108,Berg::N,mons,уул
109,Gipfel::N,vertex,ора
110,Höhle::N,caverna,хадин көндә
111,Höhle::N,spelunca,хадин көндә
112,Abhang::N,declivum,ташу
113,Quelle::N,fons,булг
114,Bach::N,rivus,һооҗур
115,Fluss::N,flumen,һол
116,Ufer::N,ripa,көвә
117,Küste::N,litus,көвә
118,Küste::N,litus,теңгсин көвә
119,Festland::N,continens,хүүрә һазр
120,Meer::N,mare,теңгс
121,Bucht::N,sinus,цекә
122,Bucht::N,sinus,теңгсин цекә
123,Insel::N,insula,арл
124,Blume::N,flos,цецг
125,Gras::N,herba,ноһан
126,Gras::N,gramen,ноһан
127,Wurzel::N,radix,уңг
128,Baum::N,arbor,модн
129,Stamm::N,truncus,шилв
130,Stamm::N,truncus,һол модн
131,Rinde::N,cortex,көрсн
132,Ast::N,ramus,ац
133,Zweig::N,ramus,ац
134,Blatt::N,folium,хамтхасн
135,Birke::N,betulla,хусм модн
136,Kiefer[Baum]::N,pinus,шар харһа
137,Weide[Baum]::N,salix,удн
138,Tanne::N,abies,җөөлн цаһан модн
139,Horn::N,cornu,өвр
140,Feder::N,penna,өрвлг
141,Fell::N,pellis,арсн
142,Flügel::N,ala,җивр
143,Klaue::N,unguis,хумсн
144,Kralle::N,unguis,тавг
145,Schwanz::N,cauda,сүл
146,Ei::N,ovum,өндгн
147,Nest::N,nidus,үр
148,Bau::N,cavum,нүкн
149,Bau::N,latibulum,нүкн
150,Tier::N,bestia,мал
151,Herde::N,grex,сүрг мал
152,Kuh::N,vacca,үкр
153,Bulle::N,taurus,бух
154,Pferd::N,equus,мөрн
155,Schaf::N,ovis,хөн
156,Schwein::N,sus,һаха
157,Schwein::N,porcus,һаха
158,Hund::N,canis,ноха
159,Katze::N,felis,мис
160,Bär::N,ursus,аю
161,Eichhörnchen::N,sciurus,кермн
162,Elch::N,alces,хандһа
163,Fuchs::N,vulpes,арат
164,Hase::N,lepus,туула
165,Maus::N,mus,хулһн
166,Wolf::N,lupus,чон
167,Vogel::N,avis,шовун
168,Schwarm::N,examen,зел
169,Huhn::N,gallina,така
170,Hahn::N,gallus,эр така
171,Gans::N,anser,һалун
172,Adler::N,aquila,һәрд
173,Ente::N,anas,нуһсн
174,Eule::N,ulula,һурвлһ
175,Eule::N,noctua,һурвлһ
176,Kranich::N,grus,тоһрун
177,Krähe::N,cornix,шаазһа
178,Kuckuck::N,cuculus,эргин хуцдг
179,Schwan::N,olor,хун
180,Schwan::N,cycnus,хун
181,Fisch::N,piscis,заһсн
182,Barsch::N,perca,шүрг
183,Hecht::N,esox,цурх
184,Schlange[Tier]::N,serpens,моһа
185,Wurm::N,vermis,өтн
186,Spinne::N,aranea,аралҗн
187,Ameise::N,formica,шорһлҗн
188,Laus::N,pediculus,бөөсн
189,Mücke::N,culex,бөкүн
190,Fliege::N,musca,батхн
191,Schmetterling::N,papilio,эрвәкә
192,Beere::N,baca,бөөлҗрһн
193,Apfel::N,malum,альмн
194,Pilz::N,fungus,теңгрин ки
195,Zwiebel::N,cepa,мәңгрснә толһа
196,Saat::N,seges,буудян экн
