,Concept_ID,is,eu
0,Auge::N,auga,begi
1,Ohr::N,eyra,belarri
2,Nase::N,nef,sudur
3,Mund::N,munnur,aho
4,Zahn::N,tönn,hortz
5,Zunge::N,tunga,mihi
6,Lippe::N,vör,ezpain
7,Wange::N,kinn,masail
8,Wange::N,vangi,masail
9,Gesicht::N,andlit,aurpegi
10,Stirn::N,enni,bekoki
11,Haar::N,hár,ile
12,Haar::N,hár,bilo
13,Schnurrbart::N,yfirskegg,bibote
14,Schnurrbart::N,yfirskegg,sudurpeko
15,Bart::N,skegg,bizar
16,Kinn::N,haka,kokots
17,Kiefer[Anatomie]::N,kjálki,masailezur
18,Kiefer[Anatomie]::N,skoltur,masailezur
19,Kehle::N,kverk,eztarri
20,Hals::N,háls,sama
21,Genick::N,hnakki,garondo
22,Kopf::N,höfuð,buru
23,Rücken::N,hryggur,bizkar
24,Bauch::N,kviður,sabel
25,Nabel::N,nafli,zilbor
26,Busen::N,barmur,titi
27,Busen::N,barmur,ugatz
28,Brust::N,brjóst,bular
29,Schulter::N,öxl,besaburu
30,Arm::N,armur,beso
31,Ellenbogen::N,olnbogi,ukondo
32,Hand::N,hönd,esku
33,Handfläche::N,lófi,ahur
34,Finger::N,fingur,hatz
35,Fingernagel::N,fingurnögl,azazkal
36,Nagel[Anatomie]::N,nögl,azazkal
37,Zeh::N,tá,behatz
38,Fuß::N,fótur,oin
39,Ferse::N,hæll,orpo
40,Ferse::N,hæll,oinburu
41,Knie::N,kné,belaun
42,Oberschenkel::N,læri,izter
43,Bein::N,fótleggur,zango
44,Körper::N,búkur,soin
45,Körper::N,líkami,soin
46,Haut::N,húð,azal
47,Haut::N,skinn,azal
48,Blut::N,blóð,odol
49,Ader::N,æð,zain
50,Sehne::N,sin,gihar-zain
51,Knochen::N,bein,hezur
52,Gehirn::N,heili,garun
53,Gehirn::N,heili,burmuin
54,Herz::N,hjarta,bihotz
55,Magen::N,magi,urdail
56,Leber::N,lifur,gibel
57,Atem::N,andi,hats
58,Atem::N,andi,arnasa
59,Atem::N,andardráttur,hats
60,Atem::N,andardráttur,arnasa
61,Hunger::N,hungur,gose
