,Concept_ID,udm,lt
0,Auge::N,син,akis
1,Ohr::N,пель,ausis
2,Nase::N,ныр,nosis
3,Mund::N,ым,burna
4,Zahn::N,пинь,dantis
5,Zunge::N,кыл,liežuvis
6,Lippe::N,ымдур,lūpa
7,Wange::N,бам,žandas
8,Wange::N,бам,skruostas
9,Gesicht::N,ымныр,veidas
10,Stirn::N,кымес,kakta
11,Haar::N,йырси,plaukai
12,Schnurrbart::N,мыйык,ūsai
13,Bart::N,туш,barzda
14,Kinn::N,ангес,smakras
15,Kiefer[Anatomie]::N,ан,žandikaulis
16,Kiefer[Anatomie]::N,анлы,žandikaulis
17,Kehle::N,гульым,gerklė
18,Hals::N,чырты,kaklas
19,Genick::N,йырбер,sprandas
20,Kopf::N,йыр,galva
21,Rücken::N,мыш,nugara
22,Bauch::N,кӧт,pilvas
23,Nabel::N,гогы,bamba
24,Busen::N,ноны,krūtinė
25,Brust::N,мӧля,krūtis
26,Schulter::N,пельпум,petys
27,Arm::N,суй,ranka
28,Ellenbogen::N,гырпум,alkūnė
29,Hand::N,ки,ranka
30,Hand::N,ки,plaštaka
31,Handfläche::N,ки пыдэс,delnas
32,Handfläche::N,ки пыдэс,plaštaka
33,Handfläche::N,кырым пыдэс,delnas
34,Handfläche::N,кырым пыдэс,plaštaka
35,Finger::N,чиньы,pirštas
36,Fingernagel::N,гижы,nagas
37,Fingernagel::N,гиждӥнь,nagas
38,Nagel[Anatomie]::N,гижы,nagas
39,Zeh::N,пыдчиньы,pirštas
40,Fuß::N,пыд,pėda
41,Ferse::N,пыдбер,kulnas
42,Knie::N,пыдес,kelis
43,Oberschenkel::N,макес,kulšis
44,Oberschenkel::N,макес,šlaunis
45,Bein::N,пыд,koja
46,Körper::N,мугор,kūnas
47,Körper::N,вылтыр,kūnas
48,Haut::N,ку,oda
49,Blut::N,вир,kraujas
50,Ader::N,вирсэр,kraujagyslė
51,Sehne::N,вуж,sausgyslė
52,Knochen::N,лы,kaulas
53,Gehirn::N,вим,smegenys
54,Herz::N,сюлэм,širdis
55,Magen::N,ӝуш,skrandis
56,Leber::N,мус,kepenys
57,Atem::N,лул,kvapas
58,Atem::N,шокан,kvapas
59,Hunger::N,кӧтсюман,badas
60,Hunger::N,кӧтсюман,alkis
61,Träne::N,синкыли,ašara
62,Geschmack::N,шӧм,skonis
63,Geruch::N,зын,kvapas
64,Schlaf::N,вӧт,miegas
65,Traum::N,уйвӧт,sapnas
66,Himmel::N,ин,dangus
67,Sonne::N,шунды,saulė
68,Mond::N,толэзь,mėnulis
69,Stern::N,кизили,žvaigždė
70,Luft::N,омыр,oras
71,Wind::N,тӧл,vėjas
72,Welle::N,тулкым,banga
73,Welle::N,тулкым,vilnis
74,Wasser::N,ву,vanduo
75,Stein::N,из,akmuo
76,Boden::N,музъем,žemė
77,Boden::N,музъем,dugnas
78,Erde::N,му,žemė
79,Staub::N,пыль,dulkės
80,Rauch::N,ӵын,dūmai
81,Funke::N,гизьы,kibirkštis
82,Feuer::N,тыл,ugnis
83,Licht::N,тыл,šviesa
84,Schatten::N,вужер,paūksmė
85,Wetter::N,куазь,oras
86,Nebel::N,бус,migla
87,Nebel::N,бус,rūkas
88,Wolke::N,пилем,debesis
89,Regen::N,зор,lietus
90,Schnee::N,лымы,sniegas
91,Eis::N,йӧ,ledas
92,Frost::N,кезьыт,šalna
93,Kälte::N,кезьыт,šaltis
94,Hitze::N,пӧсь,karštis
95,Raureif::N,гӧр,šerkšnas
96,Regenbogen::N,вуюись,vaivorykštė
97,Donner::N,гудыри,perkūnas
98,Donner::N,гудыри,griaustinis
99,Strömung::N,бызён,tėkmė
100,Tropfen::N,шапык,lašas
101,Schaum::N,шукы,putos
102,Schmutz::N,нӧд,purvas
103,Schmutz::N,дэри,purvas
104,See::N,ты,ežeras
105,Sumpf::N,нюр,klampynė
106,Sumpf::N,нюр,liūnas
107,Moor::N,нюр,pelkė
108,Wiese::N,возь,pieva
109,Wiese::N,возьвыл,pieva
110,Wald::N,сик,miškas
111,Wald::N,нюлэс,miškas
112,Hügel::N,выр,kalva
113,Hügel::N,вырйыл,kalva
114,Anhöhe::N,выр,kauburys
115,Anhöhe::N,вырйыл,kauburys
116,Berg::N,гурезь,kalnas
117,Gipfel::N,йыл,viršūnė
118,Höhle::N,гу,ola
119,Abhang::N,бам,šlaitas
120,Abhang::N,бам,nuokalnė
121,Quelle::N,ошмес,versmė
122,Quelle::N,ошмес,šaltinis
123,Bach::N,пичи шур,upelis
124,Fluss::N,шур,upė
125,Ufer::N,ярдур,krantas
126,Küste::N,вудур,pajūris
127,Festland::N,мувыр,sausuma
128,Meer::N,зарезь,jūra
129,Bucht::N,вукож,įlanka
130,Bucht::N,вукож,užutekis
131,Insel::N,вумуӵ,sala
132,Insel::N,шормуӵ,sala
133,Blume::N,сяська,gėlė
134,Gras::N,турын,žolė
135,Wurzel::N,выжы,šaknis
136,Baum::N,пу,medis
137,Stamm::N,модос,kamienas
138,Rinde::N,сул,žievė
139,Ast::N,ул,šaka
140,Zweig::N,вай,šakelė
141,Blatt::N,куар,lapas
142,Birke::N,кызьпу,beržas
143,Kiefer[Baum]::N,пужым,pušis
