,Concept_ID,ko,myv
0,Auge::N,눈,сельме
1,Ohr::N,귀,пиле
2,Nase::N,코,судо
3,Mund::N,입,курго
4,Zahn::N,이,пей
5,Zunge::N,혀,кель
6,Lippe::N,입술,турва
7,Wange::N,뺨,чамабока
8,Wange::N,뺨,чамаумарь
9,Gesicht::N,얼굴,чама
10,Stirn::N,이마,коня
11,Haar::N,털,черь
12,Schnurrbart::N,윗수몀,ус
13,Schnurrbart::N,윗수몀,муюк
14,Schnurrbart::N,코밑수염,ус
15,Schnurrbart::N,코밑수염,муюк
16,Bart::N,수엄,сакал
17,Kinn::N,아래턱,уло
18,Kiefer[Anatomie]::N,턱,пейпакар
19,Kiefer[Anatomie]::N,턱,пейловажа
20,Kehle::N,인후,кирьгапарь
21,Hals::N,목,кирьга
22,Genick::N,먹덜이,човонь
23,Kopf::N,머리,пря
24,Rücken::N,든,копорь
25,Bauch::N,배,пеке
26,Nabel::N,배꼽,почо
27,Busen::N,가슴속,поте
28,Brust::N,가슴,меште
29,Schulter::N,어깨,лавтов
30,Arm::N,팔,кедь
31,Ellenbogen::N,팔쿰치,кенерепакарь
32,Hand::N,손,кедь
33,Handfläche::N,손바닥,кедькуншка
34,Handfläche::N,손바닥,кедьлапушка
35,Finger::N,속가락,сур
36,Fingernagel::N,손톱,кенже
37,Nagel[Anatomie]::N,손톱,кенже
38,Zeh::N,발가락,пильге сур
39,Fuß::N,발,пильге
40,Ferse::N,발꿈치,кочкаря
41,Knie::N,무릎,эле
42,Knie::N,무릎,эзне
43,Knie::N,무릎,кумажа
44,Oberschenkel::N,허벅다리,качо
45,Bein::N,다리,пильге
46,Körper::N,구간,рунго
47,Haut::N,살갗,киське
48,Blut::N,피,верь
49,Ader::N,정맥,сан
50,Sehne::N,현,коське сан
51,Knochen::N,뼈,пакарь
52,Gehirn::N,뇌,удем
53,Gehirn::N,뇌수,удем
54,Herz::N,염통,седей
55,Magen::N,위,пеке
56,Leber::N,간,максо
57,Atem::N,기식,лексема
58,Atem::N,기식,оймень таргсема
59,Hunger::N,공복,вачочи
60,Träne::N,눈물,селведь
61,Geschmack::N,기호,тансть
62,Geruch::N,냄새,чине
63,Schlaf::N,수면,удома
64,Traum::N,쿰,он
65,Himmel::N,하늘,менель
66,Sonne::N,해,чи
67,Mond::N,달,ков
68,Stern::N,별,теште
69,Luft::N,동준,кошт
70,Luft::N,가스채,кошт
71,Wind::N,바람,варма
72,Welle::N,물결,толкун
73,Wasser::N,물,ведь
74,Stein::N,돌,кев
75,Boden::N,바닥,мода
76,Erde::N,흙,мастор
77,Staub::N,먼지,пуль
78,Rauch::N,연기,качамо
79,Funke::N,불티,сятко
80,Feuer::N,불,тол
81,Licht::N,불,валдо
82,Schatten::N,어스레함,сулей
83,Schatten::N,어스레함,сулейкс
84,Wetter::N,기상,ушо
85,Nebel::N,안개,сув
86,Wolke::N,구름,пель
87,Regen::N,비,пиземс
88,Schnee::N,눈,лов
89,Eis::N,얼음,эй
90,Frost::N,혹한,кельме
91,Kälte::N,추위,якшамо
92,Kälte::N,차가움,якшамо
93,Hitze::N,고온,пси
94,Hitze::N,더위,пси
95,Regenbogen::N,무지개,пурьгинечирьке
96,Regenbogen::N,무지개,пурьгинеёнкс
97,Donner::N,뇌명,пурьгине
98,Strömung::N,유동,чудема
99,Strömung::N,유동,чудевкс
100,Tropfen::N,물방울,петнявкс
101,Schaum::N,포말,чов
102,Schmutz::N,때,рудаз
103,See::N,호수,эрьке
104,Sumpf::N,습지,чей
105,Moor::N,저습지,чей
106,Wiese::N,목초지,луга
107,Wald::N,숲,вирь
108,Hügel::N,언덕,губорь
109,Hügel::N,언덕,пандыне
110,Anhöhe::N,언덕,губорь
111,Anhöhe::N,언덕,пандыне
112,Berg::N,산,пандо
113,Gipfel::N,졀졍,пря
114,Höhle::N,공동,пещера
115,Abhang::N,몰매,пандочама
116,Quelle::N,근원,ушодкс
117,Bach::N,내,чудикерькс
118,Fluss::N,강,лей
119,Ufer::N,강변,чире
120,Ufer::N,바닷가,чире
121,Küste::N,해변,лейчире
122,Küste::N,해변가,лейчире
123,Festland::N,본토,мода
124,Meer::N,바다,моря
125,Bucht::N,협만,усия
126,Insel::N,섬,усия
127,Blume::N,꽃,цеця
128,Gras::N,풀,тикше
129,Wurzel::N,뿌리,юр
130,Wurzel::N,뿌리,ундокс
131,Baum::N,나무,чувто
132,Stamm::N,대,рунго
133,Rinde::N,나무껍질,суд
134,Rinde::N,나무껍질,керь
135,Ast::N,가지,морго
136,Zweig::N,가지,тарад
137,Blatt::N,잎,лопа
138,Birke::N,자작나무,килей
139,Kiefer[Baum]::N,소나무,пиче
140,Weide[Baum]::N,쉬양버들,каль
141,Tanne::N,전나무,куз
142,Horn::N,뿔,сюро
143,Feder::N,깃털,толга
144,Fell::N,피혁모피,пона
145,Flügel::N,날개,сёлмо
146,Klaue::N,갈고리 발톺,кенже
147,Kralle::N,발툭,кенже
148,Schwanz::N,꼬리,пуло
149,Ei::N,알,ал
150,Nest::N,보금자리,пизэ
151,Bau::N,굴,варя
152,Bau::N,굴,пизе
153,Tier::N,짐승,ракша
154,Herde::N,가축의떼,стада
155,Kuh::N,암소,скал
156,Bulle::N,황소,бука
157,Pferd::N,말,лишме
158,Schaf::N,양,реве
159,Schwein::N,돼지,туво
160,Hund::N,개,пине
161,Hund::N,개,киска
162,Katze::N,고양이,псака
163,Bär::N,콤,овто
164,Eichhörnchen::N,다람쥐,ур
165,Elch::N,고라니,сярдо
166,Fuchs::N,여우,ривезь
167,Hase::N,토끼,нумоло
168,Maus::N,쥐,чеерь
169,Wolf::N,늑대,верьгиз
170,Vogel::N,새,нармунь
171,Schwarm::N,뗴,полк
172,Schwarm::N,뗴,стада
173,Huhn::N,암탉,сараз
174,Hahn::N,수탉,атякш
175,Gans::N,거위,гала
176,Gans::N,거위,мацей
177,Adler::N,수리,куцькан
178,Adler::N,수리,тумоатякш
179,Ente::N,오리,яксярго
180,Eule::N,부엉이,корж
181,Kranich::N,두루미,карго
182,Krähe::N,까마귀,варака
183,Kuckuck::N,뻐꾸기,куко
184,Schwan::N,배조,локсей
185,Fisch::N,물고기,кал
186,Barsch::N,농어,окунь
187,Hecht::N,에속스,щука
188,Schlange[Tier]::N,뱀,гуй
189,Wurm::N,벌레,сукс
190,Spinne::N,거미,шанжав
191,Ameise::N,개미,коткудав
192,Laus::N,이,сий
193,Mücke::N,모기,сеське
194,Fliege::N,날기,карво
195,Schmetterling::N,나비,нимиляв
196,Beere::N,장과,умарь
197,Apfel::N,사과,умарь
198,Pilz::N,고방이,панго
199,Zwiebel::N,양파,чурька
200,Saat::N,씨,видьметь
201,Korn::N,알맹이,сюро
202,Heu::N,건초,тикше
203,Schale::N,피상,кедь
204,Schale::N,피상,ваткавкс
205,Falle::N,함정,тувор
206,Falle::N,함정,кундамка
207,Schlinge::N,올가미,килькш
208,Schlinge::N,멜빵붕대,килькш
209,Spur::N,발지국,челькс
210,Spur::N,발지국,пильгеки
211,Asche::N,재,кулов
212,Dreck::N,똥,рудаз
213,Dreck::N,오물,рудаз
214,Eisen::N,쇠,кшни
215,Eisen::N,철,кшни
216,Gold::N,항금,сырне
217,Silber::N,은,сия
218,Kohle::N,슻,сэдь
219,Kohle::N,슻,уголия
220,Glas::N,유리,сулика
221,Lehm::N,찰흙,сёвонь
222,Sand::N,모래,човар
223,Mensch::N,사람,ломань
224,Mann::N,남자,аля
225,Mann::N,남자,цёраломань
226,Frau::N,여자,ава
227,Kind::N,아이,эйкакш
228,Junge::N,소녁,цёрыне
229,Mädchen::N,소녀,тейтерне
230,Familie::N,가족,семия
231,Großvater::N,할아버지,покштя
232,Großmutter::N,할머니,баба
233,Eltern::N,어버오,тетят-ават
234,Vater::N,아버지,тетя
235,Mutter::N,어머니,ава
236,Sohn::N,아들,цёра
237,Tochter::N,딸기,тейтерь
238,Bruder::N,형제,леля
