,Concept_ID,nl,nl
0,Auge::N,oog,oog
1,Ohr::N,oor,oor
2,Nase::N,neus,neus
3,Mund::N,mond,mond
4,Zahn::N,tand,tand
5,Zunge::N,tong,tong
6,Lippe::N,lip,lip
7,Wange::N,wang,wang
8,Gesicht::N,gelaat,gelaat
9,Gesicht::N,gelaat,gezicht
10,Gesicht::N,gezicht,gelaat
11,Gesicht::N,gezicht,gezicht
12,Stirn::N,voorhoofd,voorhoofd
13,Haar::N,haar,haar
14,Schnurrbart::N,snor,snor
15,Bart::N,baard,baard
16,Kinn::N,kin,kin
17,Kiefer[Anatomie]::N,kaak,kaak
18,Kehle::N,keel,keel
19,Kehle::N,keel,strot
20,Kehle::N,strot,keel
21,Kehle::N,strot,strot
22,Hals::N,hals,hals
23,Genick::N,nek,nek
24,Kopf::N,hoofd,hoofd
25,Rücken::N,rug,rug
26,Bauch::N,buik,buik
27,Nabel::N,navel,navel
28,Busen::N,boezem,boezem
29,Brust::N,borst,borst
30,Schulter::N,schouder,schouder
31,Arm::N,arm,arm
32,Ellenbogen::N,elleboog,elleboog
33,Hand::N,hand,hand
34,Handfläche::N,handpalm,handpalm
35,Finger::N,vinger,vinger
36,Fingernagel::N,nagel,nagel
37,Nagel[Anatomie]::N,nagel,nagel
38,Zeh::N,teen,teen
39,Fuß::N,voet,voet
40,Ferse::N,hak,hak
41,Ferse::N,hak,hiel
42,Ferse::N,hiel,hak
43,Ferse::N,hiel,hiel
44,Knie::N,knie,knie
45,Oberschenkel::N,dij,dij
46,Bein::N,been,been
47,Körper::N,lichaam,lichaam
48,Haut::N,huid,huid
49,Blut::N,bloed,bloed
50,Ader::N,ader,ader
51,Sehne::N,pees,pees
52,Knochen::N,bot,bot
53,Knochen::N,bot,been
54,Knochen::N,bot,knook
55,Knochen::N,been,bot
56,Knochen::N,been,been
57,Knochen::N,been,knook
58,Knochen::N,knook,bot
59,Knochen::N,knook,been
60,Knochen::N,knook,knook
61,Gehirn::N,hersenen,hersenen
62,Herz::N,hart,hart
63,Magen::N,maag,maag
64,Leber::N,lever,lever
65,Atem::N,adem,adem
66,Hunger::N,honger,honger
67,Träne::N,traan,traan
68,Geschmack::N,smaak,smaak
69,Geruch::N,geur,geur
70,Schlaf::N,slaap,slaap
71,Traum::N,droom,droom
72,Himmel::N,hemel,hemel
73,Sonne::N,zon,zon
74,Mond::N,maan,maan
75,Stern::N,ster,ster
76,Luft::N,lucht,lucht
77,Wind::N,wind,wind
78,Welle::N,golf,golf
79,Wasser::N,water,water
80,Stein::N,steen,steen
81,Boden::N,grond,grond
82,Erde::N,aarde,aarde
83,Staub::N,stof,stof
84,Rauch::N,rook,rook
85,Funke::N,vonk,vonk
86,Feuer::N,vuur,vuur
