,Concept_ID,it,bn
0,Auge::N,occhio,চক্ষু
1,Ohr::N,orecchio,কর্ণ
2,Nase::N,naso,নাক
3,Mund::N,bocca,মুখ
4,Zahn::N,dente,দাঁত
5,Zunge::N,lingua,জিহবা
6,Lippe::N,labbro,অধর
7,Wange::N,guancia,গণ্ড
8,Gesicht::N,viso,মুখমণ্ডল
9,Gesicht::N,faccia,মুখমণ্ডল
10,Stirn::N,fronte,কপাল
11,Haar::N,capello,চুল
12,Schnurrbart::N,baffi,গোঁফ
13,Schnurrbart::N,mustacchi,গোঁফ
14,Bart::N,barba,শ্মশ্রু
15,Kinn::N,mento,চিবুক
16,Kiefer[Anatomie]::N,mascella,চোয়াল
17,Kehle::N,gola,কণ্ঠ
18,Hals::N,collo,গল
19,Genick::N,nuca,ঘাড়
20,Kopf::N,capo,মাথা
21,Kopf::N,testa,মাথা
22,Rücken::N,dorso,পৃষ্ঠ
23,Rücken::N,schiena,পৃষ্ঠ
24,Bauch::N,ventre,উদর
25,Nabel::N,ombelico,নাভি
26,Busen::N,seno,স্তন
27,Brust::N,petto,বুক
28,Schulter::N,spalla,স্কন্ধ
29,Arm::N,braccio,বাহু
30,Ellenbogen::N,gomito,কনুই
31,Hand::N,mano,হাত
32,Handfläche::N,palma,করতল
33,Finger::N,dito,আঙ্গুল
34,Fingernagel::N,unghia,হাতের নখ
35,Nagel[Anatomie]::N,unghia,নখ
36,Zeh::N,dito del piede,আঙ্গুল
37,Fuß::N,piede,পা
38,Ferse::N,tallone,গোড়ালি
39,Ferse::N,calcagno,গোড়ালি
40,Knie::N,ginocchio,হাঁটু
41,Oberschenkel::N,fèmore,ঊরু
42,Bein::N,gamba,পা
43,Körper::N,corpo,দেহ
44,Haut::N,pelle,ত্বক
45,Blut::N,sangue,রক্ত
46,Ader::N,vena,শিরা
47,Sehne::N,tèndine,কণ্ডরা
48,Knochen::N,osso,অস্থি
49,Gehirn::N,cervello,মস্তিষ্ক
50,Herz::N,cuore,হৃৎপিণ্ড
51,Magen::N,stòmaco,পাকস্থলী
52,Leber::N,fegato,যকৃৎ
53,Atem::N,fiato,শ্বাস
54,Atem::N,respiro,শ্বাস
55,Hunger::N,fame,ক্ষুধা
56,Träne::N,làcrima,অশ্রু
57,Geschmack::N,gusto,স্বাদ
58,Geschmack::N,sapore,স্বাদ
59,Geruch::N,odore,গন্ধ
60,Schlaf::N,sonno,ঘুম
61,Traum::N,sogno,স্বপ্ন
62,Himmel::N,cielo,আকাশ
63,Sonne::N,sole,সূর্য
64,Mond::N,luna,চন্দ্র
65,Stern::N,stella,নক্ষত্র
66,Luft::N,aria,বায়ু
67,Wind::N,vento,বাতাস
68,Welle::N,onda,ঢেউ
69,Welle::N,onda,তরঙ্গ
70,Wasser::N,acqua,জল
71,Stein::N,sasso,ঢিল
72,Stein::N,sasso,প্রস্তর
73,Stein::N,pietra,ঢিল
74,Stein::N,pietra,প্রস্তর
75,Boden::N,suolo,ভূতল
76,Boden::N,terreno,ভূতল
77,Erde::N,terra,ভূমি
78,Staub::N,polvere,ধুলা
79,Rauch::N,fumo,ধোঁয়া
80,Funke::N,scintilla,স্ফুলিঙ্গ
81,Feuer::N,fuoco,অগ্নি
82,Licht::N,luce,আলো
83,Schatten::N,ombra,ছায়া
84,Wetter::N,tempo,আবহাওয়া
85,Nebel::N,nebbia,কুহেলিকা
86,Wolke::N,nube,মেঘ
87,Wolke::N,nùvola,মেঘ
88,Regen::N,pioggia,বৃষ্টি
89,Schnee::N,neve,তুষার
90,Eis::N,ghiaccio,বরফ
91,Frost::N,gelo,তুষার
92,Kälte::N,freddo,শৈত্য
93,Hitze::N,caldo,তাপ
94,Hitze::N,calura,তাপ
95,Raureif::N,brina,তুহিন
96,Regenbogen::N,arcobaleno,রামধনু
97,Donner::N,tuono,বজ্রধ্বনি
98,Strömung::N,corrente,স্রোত
99,Tropfen::N,goccia,ফোঁটা
100,Schaum::N,spuma,ফেনা
101,Schaum::N,schiuma,ফেনা
102,Schmutz::N,sudiciume,ধুলা
103,See::N,lago,হ্রদ
104,Sumpf::N,palude,জলা
105,Moor::N,torbiera,মাঠ
106,Wiese::N,prato,তৃণভূমি
107,Wald::N,bosco,বন
108,Wald::N,foresta,বন
109,Hügel::N,colle,পাহাড়
110,Hügel::N,collina,পাহাড়
111,Anhöhe::N,altura,টিলা
112,Berg::N,monte,পর্বত
113,Berg::N,montagna,পর্বত
114,Gipfel::N,cima,শীর্ষ
115,Höhle::N,grotta,গুহা
116,Höhle::N,caverna,গুহা
117,Abhang::N,pendìo,ঢাল
118,Quelle::N,sorgente,উৎস
119,Bach::N,ruscello,ক্ষুদ্র নদী
120,Fluss::N,fiume,নদী
121,Ufer::N,riva,উপকূল
122,Küste::N,costa,তীর
123,Festland::N,terraferma,ভূমি
124,Meer::N,mare,সমুদ্র
125,Bucht::N,cala,উপসাগর
126,Insel::N,ìsola,দ্বীপ
127,Blume::N,fiore,ফুল
128,Gras::N,erba,ঘাস
129,Wurzel::N,radice,শিকড়
130,Baum::N,àlbero,গাছ
131,Stamm::N,tronco,স্কন্ধ
132,Rinde::N,corteccia,বল্কল
133,Ast::N,ramo,শাখা
134,Zweig::N,ramo,ডাল
135,Blatt::N,foglia,পর্ণ
136,Birke::N,betulla,ভুর্জ
137,Kiefer[Baum]::N,pino,পাইন গাছ
138,Weide[Baum]::N,sàlice,উইলো
139,Tanne::N,abete,দেবদারূ গাছ
140,Horn::N,corno,শিং
141,Feder::N,penna,পালক
142,Fell::N,manto,রোম
143,Fell::N,pelame,রোম
144,Flügel::N,ala,ডানা
145,Klaue::N,grinfia,নখর
146,Kralle::N,unghia,নখর
147,Kralle::N,artiglio,নখর
148,Schwanz::N,coda,লেজ
149,Ei::N,uovo,ডিম
150,Nest::N,nido,কুলায়
151,Bau::N,covo,ডেরা
152,Tier::N,bestia,জন্তু
153,Tier::N,animale,জন্তু
154,Herde::N,gregge,ঝাঁক
155,Kuh::N,vacca,গোরু
156,Bulle::N,toro,বৃষ
157,Pferd::N,cavallo,ঘোড়া
158,Schaf::N,pècora,ভেড়া
159,Schwein::N,porco,শূকর
160,Schwein::N,maiale,শূকর
161,Hund::N,cane,কুকুর
162,Katze::N,gatta,বেড়াল
163,Bär::N,orso,ভল্লুক
164,Eichhörnchen::N,scoiàttolo,কাঠবিড়াল
165,Elch::N,alce,হরিণবিশেষ
166,Fuchs::N,volpe,পাঁতিশিয়াল
167,Hase::N,lepre,শশক
168,Maus::N,topo,নেংটি ইঁদুর
169,Maus::N,sorcio,নেংটি ইঁদুর
170,Wolf::N,lupo,নেকড়ে
171,Vogel::N,uccello,পক্ষী
172,Schwarm::N,stormo,ঝাঁক
173,Huhn::N,gallina,মোরগ
174,Hahn::N,gallo,কুক্কুট
175,Gans::N,oca,হংসী
176,Adler::N,àquila,ইগল
177,Ente::N,ànatra,হংসী
178,Eule::N,gufo,পেচক
179,Eule::N,civetta,পেচক
180,Kranich::N,gru,সারস
181,Krähe::N,cornacchia,কাক
182,Kuckuck::N,cuccù,কোকিল
183,Kuckuck::N,cùculo,কোকিল
184,Schwan::N,cigno,মরাল
185,Fisch::N,pesce,মাছ
186,Barsch::N,pèrsico,মৎন্যবিশেষ
187,Hecht::N,luccio,বানমাছ
188,Schlange[Tier]::N,serpente,সর্প
189,Wurm::N,baco,কীট
190,Wurm::N,verme,কীট
191,Spinne::N,ragno,মাকড়সা
192,Ameise::N,formica,পিপীলিকা
193,Laus::N,pidocchio,উকুন
194,Mücke::N,zanzara,মশা
195,Fliege::N,mosca,মাছি
196,Schmetterling::N,farfalla,প্রজাপতি
197,Beere::N,bacca,বেরি
198,Apfel::N,mela,আপেল
199,Pilz::N,fungo,ছত্রক
200,Zwiebel::N,cipolla,পিয়াজ
201,Saat::N,semente,বীজ
202,Korn::N,grano,শস্য
203,Heu::N,fieno,খড়
204,Schale::N,buccia,খোসা
205,Grube::N,cava,গর্ত
206,Grube::N,fossa,গর্ত
207,Falle::N,tràppola,ফাঁদ
208,Schlinge::N,laccio,পাশ
209,Spur::N,traccia,চিহ্ন
210,Asche::N,cenere,ভস্ম
211,Dreck::N,fango,ময়লা
212,Eisen::N,ferro,লোহা
213,Gold::N,oro,স্বর্ণ
214,Silber::N,argento,রৌপ্য
215,Kohle::N,carbone,অঙ্গার
216,Glas::N,vetro,কাচ
217,Lehm::N,argilla,মৃত্তিকা
218,Sand::N,arena,বালি
219,Sand::N,sabbia,বালি
220,Mensch::N,uomo,নর
221,Mensch::N,uomo,মানুষ
222,Mensch::N,èssere umano,নর
223,Mensch::N,èssere umano,মানুষ
224,Mann::N,uomo,মানুষ
225,Frau::N,donna,নারী
226,Kind::N,bambino,বাচ্চা
227,Junge::N,ragazzo,ছেলে
228,Mädchen::N,ragazza,মেয়ে
229,Familie::N,famiglia,পরিবার
