,Concept_ID,kv,no
582,roh::A,путӧм,rå
583,reif::A,кисьмалӧм,moden
584,lecker::A,кӧра ,lekker
585,süß::A,чӧскыт,søt
586,bitter::A,курыт,besk
587,bitter::A,курыт,bitter
588,sauer::A,шӧма ,sur
589,hell::A,югыт,lys
590,dunkel::A,пемыт,mørk
591,schwarz::A,сьӧд,svart
592,weiß::A,чочком,hvit
593,rot::A,гӧрд,rød
594,gelb::A,веж,gul
595,blau::A,лӧз,blå
596,grün::A,веж,grønn
597,grau::A,руд,grå
598,grau::A,бусӧй,grå
599,bunt::A,быдрӧма,broket
600,billig::A,донтӧм,billig
601,teuer::A,дона,dyr
602,wertvoll::A,дона,verdifull
603,blind::A,синтӧм,blind
604,taub::A,пельтӧм,døv
605,kräftig::A,вына,kraftig
606,stark::A,вына,sterk
607,schwach::A,некодя,svak
608,fett::A,госа,fet
609,schlank::A,статя,slank
610,hübsch::A,басӧк,pen
611,böse::A,лёк,slem
612,dumm::A,бӧбӧв,dum
613,dumm::A,вежӧртӧм,dum
614,faul::A,дыш,lat
615,faul::A,дыш,doven
616,fleißig::A,уджалicь,flittig
617,geizig::A,жикмӧра,gjerrig
618,geizig::A,горшаліcь,gjerrig
619,klug::A,авья,klok
620,klug::A,вежӧра,klok
621,geschickt::A,кипода,hendig
622,geschickt::A,кипода,skikket
623,lieb::A,муса,kjær
624,lieb::A,муса,snill
625,lieb::A,дзулиньӧй,kjær
626,lieb::A,дзулиньӧй,snill
627,lustig::A,гажа,morsom
628,sanft::A,лебезнӧй,blid
629,hungrig::A,тшыг,sulten
630,krank::A,шогалiсь,syk
631,nackt::A,куш,naken
632,traurig::A,жугыль,sørgmodig
633,lebendig::A,ловья,levende
634,gut::A,бур,god
635,schlecht::A,умӧль,dårlig
636,schlimm::A,нештӧм,slem
637,alt::A,важ,gammel
638,neu::A,виль,ny
639,ehemalig::A,вӧвлӧм,forhenværende
640,alt[Lebewesen]::A,года,gammel
641,alt[Lebewesen]::A,годдэза,gammel
642,jung::A,том,ung
643,arm::A,гов,fattig
644,arm::A,беднӧй,fattig
645,reich::A,эма,rik
646,bekannt::A,тӧдса,kjent
647,fremd::A,чужӧй,fremmed
648,verschieden::A,быдкодь,forskjellig
649,nah::A,матiсь,nær
650,fern::A,ылicь,fjern
651,linker::A,шульга,venstre
652,rechter::A,веськытланись,høyre
653,anderer::A,мукӧд,annen
654,erster::A,медодзза,første
655,zweiter::A,кыкӧт,annen
656,dritter::A,куимӧт,tredje
657,dritter::A,куимӧдз,tredje
658,letzter::A,бӧрья,sist
659,letzter::A,мёдбӧрья,sist
660,auf einmal::ADV,тшӧтш,med ett
661,zusammen::ADV,ӧтлаын,sammen
662,lange::ADV,дыр,lenge
663,plötzlich::ADV,друг,plutselig
664,sofort::ADV,тшӧтш,straks
665,später::ADV,медбӧрын,senere
666,jetzt::ADV,ӧні,nå
667,heute::ADV,талун,i dag
668,morgen::ADV,ашын,i morgen
669,bald::ADV,чожа,snart
670,dann::ADV,сыбӧрын,så
671,gestern::ADV,тӧн,i går
672,einst::ADV,ӧтпыр,engang
673,damals::ADV,сэк,den gang
674,damals::ADV,сэки,den gang
675,danach::ADV,сэсся,deretter
676,vorher::ADV,одзжык,før
677,vorher::ADV,одзжык,i forveien
678,zuerst::ADV,наперво,først
679,einmal::ADV,ӧтпыр,en gang
680,manchmal::ADV,мукӧдпыр,somme tider
681,oft::ADV,-лы-,ofte
682,immer::ADV,быдпыр,alltid
683,immer::ADV,быдпырся,alltid
684,niemals::ADV,некӧр,aldri
685,hier::ADV,татӧн,her
686,hierhin::ADV,татчӧ,hit
687,von hier::ADV,тасянь,herfra
688,dort::ADV,сэтӧн,der
689,dorthin::ADV,сэтчин,dit
690,geradeaus::ADV,веськыта,rett fram
691,vorwärts::ADV,одзӧ,fram
692,vorwärts::ADV,одзӧ,framover
693,rückwärts::ADV,бӧр,baklengs
694,zurück::ADV,бӧр,tilbake
695,unten::ADV,увтын,nede
696,hinab::ADV,увтас,ned
697,hinab::ADV,увтас,nedover
698,oben::ADV,вевдӧрас,oppe
699,oben::ADV,вевдӧрас,ovenpå
700,hinauf::ADV,вывлань,opp
701,hinauf::ADV,вывлань,oppover
702,hinauf::ADV,вывланьӧ,opp
703,hinauf::ADV,вывланьӧ,oppover
704,überall::ADV,быдлан,overalt
705,nicht::ADV,ог,ikke
706,ein wenig::ADV,-ышт,litt
707,ein wenig::ADV,невна,litt
708,kaum::ADV,ӧдва,neppe
709,sehr::ADV,вывтi,svært
710,so::ADV,сiдз,så
711,noch::ADV,эшӧ,enda
712,nur::ADV,только,bare
713,schon::ADV,ни,alt
714,schon::ADV,ни,allerede
715,wieder::ADV,бӧра,igjen
716,vergebens::ADV,весись,forgjeves
717,vor::PRP,одзас,foran
718,vor::PRP,одзас,utenfor
719,hinter::PRP,бӧрӧ,bak
720,hinter::PRP,бӧрӧ,bakom
721,unter::PRP,увтын,under
722,durch::PRP,пыр,gjennom
723,durch::PRP,пыр,igjennom
724,neben::PRP,бокам,ved siden av
725,neben::PRP,боксиным,ved siden av
726,zwischen::PRP,коласас,mellom
727,wegen::PRP,понда,på grunn av
728,dies::PRN,эта,dette
729,das::PRN,сiя,det
730,alles::PRN,быдӧс,alt
731,ich::PRN,ме,jeg
732,du::PRN,тэ,du
733,er::PRN,сiя,han
734,wir::PRN,мийӧ,vi
735,ihr::PRN,ті,dere
736,sie::PRN,нія,de
737,was::FPRN,мый,hva
738,wer::FPRN,кин,hvem
739,wo::FADV,кытӧн,hvor
740,wohin::FADV,кытчӧ,hvor ... hen
741,wie::FADV,дзик,hvordan
742,warum::FADV,мыля,hvorfor
743,warum::FADV,мыйсянь,hvorfor
744,wieviel::FNUM,мымда,hvor mye
745,eins::NUM,ӧт,en
746,eins::NUM,ӧт,ett
747,zwei::NUM,кык,to
748,drei::NUM,куим,tre
749,vier::NUM,нёль,fire
750,fünf::NUM,вит,fem
751,sechs::NUM,квать,seks
752,sieben::NUM,сизим,sju
753,acht::NUM,кыкьямыс,åtte
754,neun::NUM,ӧкмыс,ni
755,zehn::NUM,дас,ti
756,elf::NUM,дасотік,elleve
757,zwölf::NUM,даскык,tolv
758,zwanzig::NUM,кыкдас,tjue
759,dreißig::NUM,куимдас,tretti
760,vierzig::NUM,нёльдас,førti
761,fünfzig::NUM,витдас,femti
762,sechzig::NUM,кватьдас,seksti
763,siebzig::NUM,сизимдас,sytti
764,achtzig::NUM,кыкьямысдас,åtti
765,neunzig::NUM,ӧкмысдас,nitti
766,hundert::NUM,сто,hundre
767,tausend::NUM,тысяча,tusen
768,und::CNJ,и,og
769,und::CNJ,да,og
770,oder::CNJ,или,eller
771,stehen::V,сулавны,stå
772,sitzen::V,пукавны,sitte
773,liegen::V,куйлыны,ligge
774,hängen::V,ӧшавны,henge
775,werden::V,лоны,bli
776,passieren::V,аркмыны,skje
777,passieren::V,аркмыны,hende
778,beginnen::V,петны,begynne
779,enden::V,-сь,ende
780,enden::V,-сь,slutte
781,enden::V,бырны,ende
782,enden::V,бырны,slutte
783,wechseln::V,вежсьыны,veksle
784,aufgehen[Sonne]::V,петавны,stå opp
785,untergehen[Sonne]::V,пуксьыны,gå ned
786,scheinen[Sonne]::V,югьявны,skinne
787,donnern::V,гымавны,tordne
788,wehen::V,пӧлявны,blåse
789,strömen::V,киссьыны,strømme
790,fließen::V,визывтны,flyte
791,sich drehen::V,бергавны,dreie seg
792,schwanken::V,кӧвьясьны,svaie
793,schwingen::V,дюттясьны,svinge
794,fallen::V,усьны,falle
795,brennen::V,сотчыны,brenne
796,rauchen::V,тшынасьны,ryke
797,regnen::V,зэрны,regne
798,gefrieren::V,гегдыны,fryse
799,tauen::V,сывны,tine
800,schmelzen::V,сывны,smelte
801,trocknen::V,косьмыны,tørre
802,sieden::V,пизьны,koke
803,faulen::V,нёльзьыны,råtne
804,verfaulen::V,тӧрмыны,råtne
805,verfaulen::V,сiсьмыны,råtne
806,reißen::V,косясьны,briste
807,versinken::V,вӧйны,synke
808,versinken::V,вӧйны,synke ned
809,vergehen::V,мунны,forløpe
810,erscheinen::V,мыччисьны,synes
811,verschwinden::V,ӧшны,forsvinne
812,sinken::V,ямны,synke
813,abnehmen::V,ямны,avta
814,abnehmen::V,ямны,minske
815,zunehmen::V,паськавны,tilta
816,steigen::V,лэбтiсьны,stige
817,wachsen::V,быдмыны,gro
818,wachsen::V,быдмыны,vokse
819,glänzen::V,свиттявны,skinne
820,funkeln::V,югйовтлыны,tindre
821,funkeln::V,югйӧв-керны,tindre
822,lärmen::V,чавзыны,bråke
823,läuten::V,диньгыны,ringe
824,klingeln::V,силькӧтны,ringe
825,klirren::V,жольӧтны,klirre
826,brausen::V,гуасьны,bruse
827,rauschen::V,кышӧтны,suse
828,klingen::V,горавны,lyde
829,klingen::V,горавны,klinge
830,bellen::V,увтны,gjø
831,bellen::V,увтны,bjeffe
832,bellen::V,вувтны,gjø
833,bellen::V,вувтны,bjeffe
834,heulen::V,уннявны,ule
835,blasen::V,пӧлявны,blåse
836,pfeifen::V,пиксыны,plystre
837,schreien::V,айзыны,skrike
838,stöhnen::V,ойзыны,stønne
839,stöhnen::V,ружтыны,stønne
840,zittern::V,легьявны,dirre
841,zittern::V,легьявны,skjelve
842,leben::V,овны,leve
843,geboren werden::V,шогмыны,fødes
844,atmen::V,лолавны,ånde
845,atmen::V,лолавны,puste
846,trinken::V,юны,drikke
847,essen::V,сёйны,spise
848,schlucken::V,ньылавны,svelge
849,müde werden::V,мыдзны,bli trett
850,einschlafen::V,ланьтны,sovne
851,schlafen::V,узьны,sove
852,aufwachen::V,саймыны,våkne
853,aufwachen::V,пальмыны,våkne
854,aufstehen::V,сувтны,stå opp
855,sich erholen::V,шоччисьлыны,bli bra
856,sich erholen::V,шоччисьлыны,komme seg
857,krank werden::V,моржитны,bli syk
858,krank sein::V,шогавны,være syk
859,krank sein::V,визьӧтны,være syk
860,schmerzen::V,висьны,gjøre vondt
861,husten::V,кашляйтны,hoste
862,genesen::V,бурдны,komme seg
863,sterben::V,кувны,dø
864,umkommen::V,вийсьыны,omkomme
865,sich bewegen::V,локны,bevege seg
866,sich bewegen::V,ветлӧтны,bevege seg
867,sich rühren::V,вӧрзьӧтчыны,røre på seg
868,sich erheben::V,сувтны,reise seg
869,sich setzen::V,пуксьыны,sette sig
870,hinfallen::V,пӧрласьны,falle over ende
871,laufen::V,мунны,løpe
872,schreiten::V,тальччавны,skride
873,spazierengehen::V,котрасьны,spasere
874,spazierengehen::V,котрасьны,gå en tur
875,eilen::V,тэрмасьны,ile
876,sich beeilen::V,тэрмасьны,skynde seg
877,sausen::V,вирдавны-котӧртны,suse
878,springen::V,чеччавны,hoppe
879,springen::V,чеччавны,springe
880,klettern::V,кышасьны,klatre
881,schaukeln::V,чурликасьны,huske
882,kriechen::V,кыскасьны-мунны,krype
883,schwimmen::V,вартчыны,svømme
884,tauchen::V,сунгисьны ваӧ,dykke
885,rudern::V,сынны,ro
886,fahren::V,мунны,kjøre
887,fliegen::V,лэбавны,fly
888,gehen::V,мунны,gå
889,weggehen::V,мунны,gå bort
890,abfahren::V,иньдӧтчыны,reise
891,abfahren::V,мунны,reise
892,anhalten::V,сувтны,stanse
893,hineingehen::V,пырны,gå inn
894,eintreten::V,пырны,tre inn
895,kommen::V,локны,komme
896,ankommen::V,локны,ankomme
897,ankommen::V,локны,komme til
898,zurückkommen::V,бертны,komme tilbake
899,zurückkommen::V,панӧвтсьыны,komme tilbake
900,bleiben::V,кольччыны,bli
901,bleiben::V,кольччыны,forbli
902,warten::V,видзчисьны,vente
903,erwarten::V,видзчисьны,vente
904,suchen::V,кошшыны,søke
905,finden::V,адззыны,finne
906,versuchen::V,пондыны,prøve
907,versuchen::V,пондыны,forsøke
908,versuchen::V,пондӧтны,prøve
909,versuchen::V,пондӧтны,forsøke
910,vorbereiten::V,лӧсьӧтны,forberede
911,lieben::V,милуйтны,elske
912,mögen::V,радейтны,like
913,lachen::V,серавны,le
914,rühren::V,сьӧлӧм вӧрзьӧтны,røre
915,weinen::V,горзыны,gråte
916,schimpfen::V,видчыны,skjelle
917,sich ärgern::V,лёкавны,ergre seg
918,sich fürchten::V,повны,være redd
919,fürchten::V,повны,være redd for
920,fliehen::V,пышшыны,rømme
921,fliehen::V,пышшыны,flykte
922,flüchten::V,пышшыны,flykte
923,sehen::V,адззыны,se
924,anschauen::V,видзӧтны,se på
925,anschauen::V,видзӧтны,betrakte
926,ansehen::V,видзӧтны,anse
927,hören::V,кывны,høre
928,zuhören::V,кывзыны,tilhøre
929,probieren::V,пешлыны,smake
930,probieren::V,пешлыны,smake på
931,riechen::V,дукавны,lukte
932,fühlen::V,кывны,føle
933,scheinen::V,декуйтчыны,se ut
934,zu sehen sein::V,тыдавны,synes
935,vernehmen::V,тӧдмавны,få vite
936,frieren::V,гегдыны,fryse
937,tun::V,керны,gjøre
938,können::V,вермыны,kunne
939,wollen::V,мӧдны,ville
940,anfangen::V,петны,begynne
941,beenden::V,ештӧтны,avslutte
942,beenden::V,керыштны,avslutte
943,aufhören::V,дугдыны,slutte
944,aufhören::V,дугдыны,holde opp
945,gelingen::V,шогмыны,lykkes
946,geraten::V,мыччисьны,bli
947,öffnen::V,осьтны,åpne
948,schließen::V,пӧднавны,lukke
949,schließen::V,пӧднавны,stenge
950,stellen::V,сувтӧтны,stille
951,setzen::V,пуксьӧтны,sette
952,legen::V,пуктыны,legge
953,berühren::V,вӧрзьӧтны,berøre
954,verbinden::V,йитны,forbinde
955,bedecken::V,вевттьыны,dekke
956,aufhängen::V,ӧшӧтны,henge
957,aufhängen::V,ӧшӧтны,henge opp
958,anzünden::V,ӧзтыны,tenne
959,anzünden::V,ӧзтыны,antenne
960,anzünden::V,ӧзтыны,tenne på
961,aufheben::V,лэбтыны,løfte
962,aufheben::V,лэбтыны,ta opp
963,zurücklassen::V,кольны,slippe tilbake
964,verlieren::V,ӧштыны,miste
965,fallen lassen::V,уськӧтны,droppe
966,fallen lassen::V,уськӧтны,la falle
967,machen::V,керны,lage
968,machen::V,керны,gjøre
969,herstellen::V,вӧчны,fremstille
970,bauen::V,строитны,bygge
971,reparieren::V,вочны,reparere
972,verbessern::V,бурсьӧтны,rette
973,verbessern::V,бурсьӧтны,forbedre
974,ändern::V,вежны,forandre
975,graben::V,гарйыны,grave
976,beugen::V,кусіньтны,bøye
977,biegen::V,чукыльтыштны,bøye
978,drehen::V,бергӧтны,dreie
979,wenden::V,бергӧтны,vende
980,umdrehen::V,бергӧтны,snu
981,heben::V,лэбтыны,heve
982,hochheben::V,лэбтыны,løfte
983,ergreifen::V,кватитны,gripe
984,ergreifen::V,кватитны,få tak i
985,halten::V,видзны,holde
986,drücken::V,личкыны,trykke
987,schieben::V,тойлавны,skyve
988,kratzen::V,шаркӧтны,klø
989,kratzen::V,шаркӧтны,klore
990,lecken::V,нювны,slikke
991,beißen::V,йирны,bite
992,abreißen::V,орӧтны,rive av
993,abschneiden::V,шӧрыштны,skjære av
994,abschneiden::V,вундыштны,skjære av
995,binden::V,гӧрдззыны,binde
996,stecken::V,мӧртны,stikke
997,brechen::V,жугдыны,bryte
998,brechen::V,жугдыны,briste
999,klopfen::V,зукӧтны,banke
1000,hauen::V,желльыны,hogge
1001,kleben::V,лякӧтны,klistre
1002,reiben::V,зыртны,gni
1003,streichen::V,мавтны,stryke
1004,schleifen::V,кыскыны,slipe
1005,schneiden::V,вундавны,klippe
1006,rütteln::V,шатлавны,ruske
1007,schütteln::V,зыбӧтны,riste
1008,schwenken::V,ӧвтны,svinge
1009,schwenken::V,макайтны,svinge
1010,schütten::V,кисьтны,helle
1011,füllen::V,тыртны,fylle
1012,füllen::V,тырсьӧтны,fylle
1013,einwickeln::V,тубны,vikle inn
1014,tragen::V,новйӧтны,bære
1015,schleppen::V,кыскыны,slepe
1016,ziehen::V,кыскыны,dra
1017,ziehen::V,кыскыны,trekke
1018,aufbewahren::V,видзны,oppbevare
1019,aufbewahren::V,видзны,ta vare på
1020,werfen::V,шентывлыны,kaste
1021,fangen::V,кутны,fange
1022,packen::V,кутасьны,gripe
1023,packen::V,кутасьны,gripe tak i
1024,packen::V,кватитны,gripe
1025,packen::V,кватитны,gripe tak i
1026,verstecken::V,дзебны,gjemme
1027,teilen::V,торйӧтны,dele
1028,schicken::V,иньдыны,sende
1029,bringen::V,вайны,bringe
1030,hinzufügen::V,содтыны,tilføye
1031,bekommen::V,получитны,få
1032,erhalten::V,получитны,få
1033,nehmen::V,босьтны,ta
1034,wählen::V,бӧрйыны,velge
1035,auswählen::V,бӧрйыны,velge ut
1036,bewahren::V,видзны,bevare
1037,behindern::V,падтыны,hindre
1038,behindern::V,падтыны,forhindre
1039,verderben::V,изводавны,ødelegge
1040,beschädigen::V,паздыны,skade
1041,zerbrechen::V,паздыны,brekke i stykker
1042,zerreißen::V,косявны,rive i stykker
1043,zerstören::V,паздыны,ødelegge
1044,verbrennen::V,сотны,brenne
1045,verbrennen::V,сотны,brenne opp
1046,geben::V,сетны,gi
1047,reichen::V,сетны,rekke
1048,schenken::V,козьнавны,forære
1049,schenken::V,козьнавны,skjenke
1050,versprechen::V,кӧсйыны,love
1051,wünschen::V,бурсьыны,ønske
1052,loben::V,ошкыны,rose
1053,küssen::V,окавны,kysse
1054,wiegen::V,тюттьӧтны,vogge
1055,zudecken::V,вевттьыны,dekke til
1056,wecken::V,саймӧтны,vekke
1057,zeigen::V,мыччавны,vise
1058,führen::V,нуӧтны,føre
1059,lehren::V,велӧтны,lære
1060,unterrichten::V,велӧтны,undervise
1061,aufziehen::V,быдтыны,oppdra
1062,leiten::V,юравны,lede
1063,leiten::V,веськӧтлыны,lede
1064,antreiben::V,тэрмӧтны,drive på
1065,lassen::V,-ӧтыны,få til å
1066,einladen::V,корны,be
1067,einladen::V,корны,invitere
1068,vereinigen::V,ӧтувтны,forene
1069,vereinigen::V,ӧтлаавны,forene
1070,besuchen::V,пыравлыны,besøke
1071,treffen::V,пантавны,møte
1072,treffen::V,пантавны,treffe
1073,sich versammeln::V,ӧксьыны,forsamles
1074,spielen::V,орсны,leke
1075,spielen::V,орсны,spille
1076,singen::V,сьывны,synge
1077,tanzen::V,йӧктыны,danse
1078,sich trennen::V,торьясьны,skilles
1079,verlassen::V,кольны,forlate
1080,retten::V,мынтны,redde
1081,bewachen::V,смекайтны,bevokte
1082,schützen::V,дорйыны,verne
1083,schützen::V,дорйыны,beskytte
1084,verteidigen::V,дорйыны,forsvare
1085,sich schlagen::V,тышкасьны,slåss
1086,schießen::V,лыйны,skyte
1087,siegen::V,вермыны,seire
1088,ärgern::V,лӧгӧтны,ergre
1089,schlagen::V,базнитны,
1090,treten::V,чужьявны,sparke
1091,stechen::V,бытшкыны,stikke
1092,stoßen::V,тапкыны,støte
1093,stoßen::V,тойыштны,støte
1094,stehlen::V,гусявны,stjele
1095,stören::V,костіавны,forstyrre
1096,belästigen::V,назыляйтны,plage
1097,belästigen::V,назыляйтны,sjenere
1098,verbergen::V,дзебны,gjemme
1099,täuschen::V,бӧбӧтны,villede
1100,täuschen::V,пӧрьявны,villede
1101,betrügen::V,муклачитны,bedra
